parking lot is full of trucks
Basic
0.4 0.4
288 86.39999
Moved 1092.764 394.6397 454 0.1202768 0.763889
Moved 1092.778 390.6077 454 0.1062766 0.763889
Moved 1092.795 386.994 454 0.09372904 0.763889
Moved 1092.811 383.3834 454 0.0811924 0.763889
Moved 1092.826 379.7726 454 0.06865471 0.763889
Moved 1092.842 378.4773 454 0.06415739 0.763889
Moved 1092.857 374.5 454 0.05034714 0.763889
Moved 1092.872 371.7709 454 0.04087135 0.763889
Moved 1092.888 369.1055 454 0.03161639 0.763889
Moved 1092.903 366.6983 454 0.02325803 0.763889
Moved 1092.919 364.2848 454 0.01487762 0.763889
Moved 1092.933 362 454 0.006944388 0.763889
Moved 1092.948 358.4675 454 -0.005321279 0.763889
Moved 1092.966 356.5161 454 -0.01209691 0.763889
Moved 1092.98 353.4011 447.9359 -0.02291284 0.6937022
Moved 1092.999 349.7752 444.8501 -0.03550283 0.6579871
Moved 1093.012 347.4436 443.7218 -0.04359856 0.6449284
Moved 1093.027 343.5653 442.5218 -0.05706489 0.6310392
Moved 1093.041 341.6308 440.3154 -0.06378195 0.6055027
Moved 1093.059 338.3206 438.2137 -0.0752756 0.5811774
Moved 1093.073 334.7162 436.9054 -0.08779078 0.5660349
Moved 1093.088 331.0953 434.3969 -0.1003636 0.5370008
Moved 1093.104 328.4569 432.6379 -0.1095245 0.516643
Moved 1093.12 324.6873 430.1249 -0.1226136 0.4875566
Moved 1093.135 322.0772 427.7181 -0.1316765 0.4597007
Moved 1093.148 318.463 425.3087 -0.1442257 0.4318131
Moved 1093.167 315.9008 423.9504 -0.1531224 0.4160923
Moved 1093.181 313.4876 421.4877 -0.1615012 0.3875886
Moved 1093.196 309.6225 419.0817 -0.174922 0.3597415
Moved 1093.213 306.9952 416.6635 -0.1840443 0.3317538
Moved 1093.227 304.6563 415.3281 -0.1921656 0.3162979
Moved 1093.241 302.4423 413.4423 -0.1998532 0.2944708
Moved 1093.258 300.0342 411.0342 -0.2082147 0.2665991
Moved 1093.274 296.4234 408.6156 -0.220752 0.2386067
Moved 1093.289 294.217 407.6085 -0.2284133 0.2269498
Moved 1093.304 291.2006 405.4002 -0.2388869 0.2013913
Moved 1093.319 288.3913 403.3913 -0.2486413 0.1781402
Moved 1093.335 285.989 401.9944 -0.2569828 0.1619727
Moved 1093.355 283.5817 400.7908 -0.2653413 0.148042
Moved 1093.366 281.7397 398.7397 -0.2717372 0.1243023
Moved 1093.381 279.2674 397.6337 -0.2803215 0.1115009
Moved 1093.397 278.5 396.5 -0.2829861 0.09837998
Moved 1093.411 275.4484 396 -0.2935818 0.09259259
Moved 1093.427 273.0505 395.0253 -0.301908 0.08131098
Moved 1093.445 270.6267 393.8134 -0.310324 0.06728438
Moved 1093.459 269.6144 392.6144 -0.3138388 0.05340717
Moved 1093.475 266.817 392.4085 -0.3235523 0.05102458
Moved 1093.489 265 391.5 -0.3298611 0.04050961
Moved 1093.505 262.5593 391 -0.3383357 0.03472222
Moved 1093.52 260.1508 390.0754 -0.3466986 0.02402076
Moved 1093.536 258.8745 390 -0.3511302 0.02314815
Moved 1093.551 256.3412 388.6706 -0.3599264 0.00776132
Moved 1093.567 252.5 387.5 -0.3732638 -0.00578686
Moved 1093.582 250.5162 387.2581 -0.3801521 -0.008586777
Moved 1093.598 248.1013 387 -0.3885371 -0.0115739
Moved 1093.615 246.855 385.855 -0.3928645 -0.02482591
Moved 1093.629 244.935 386 -0.3995311 -0.02314815
Moved 1093.643 242.4901 384.7451 -0.4080206 -0.03767278
Moved 1093.659 240.0865 385 -0.4163663 -0.03472222
Moved 1093.673 239.3412 384 -0.4189541 -0.04629594
Moved 1093.689 238.1344 384 -0.4231445 -0.04629594
Moved 1093.706 236.9301 384 -0.4273259 -0.04629594
Moved 1093.721 235.7265 384 -0.431505 -0.04629594
Moved 1093.736 234.5231 382.5231 -0.4356838 -0.06339002
Moved 1093.75 233.5 383 -0.4392361 -0.05787037
Stationary 1093.766 233.5 383 -0.4392361 -0.05787037
Moved 1093.781 232.7249 383 -0.4419273 -0.05787037
Stationary 1093.797 232.7249 383 -0.4419273 -0.05787037
Moved 1093.815 231.6883 383 -0.4455267 -0.05787037
Moved 1093.829 230.7981 383 -0.4486176 -0.05787037
Stationary 1093.845 230.7981 383 -0.4486176 -0.05787037
Moved 1093.86 229.6872 383 -0.4524751 -0.05787037
Stationary 1093.874 229.6872 383 -0.4524751 -0.05787037
Stationary 1093.888 229.6872 383 -0.4524751 -0.05787037
Moved 1093.913 228.8106 383 -0.4555188 -0.05787037
Stationary 1093.925 228.8106 383 -0.4555188 -0.05787037
Stationary 1093.936 228.8106 383 -0.4555188 -0.05787037
Stationary 1093.95 228.8106 383 -0.4555188 -0.05787037
Moved 1093.967 227.8749 383 -0.4587678 -0.05787037
Stationary 1093.982 227.8749 383 -0.4587678 -0.05787037
Stationary 1093.998 227.8749 383 -0.4587678 -0.05787037
Stationary 1094.014 228 383 -0.4583333 -0.05787037
Stationary 1094.029 228 383 -0.4583333 -0.05787037
Stationary 1094.045 228 383 -0.4583333 -0.05787037
Stationary 1094.06 228 383 -0.4583333 -0.05787037
Stationary 1094.075 228 383 -0.4583333 -0.05787037
Stationary 1094.09 228 383 -0.4583333 -0.05787037
Stationary 1094.106 228 383 -0.4583333 -0.05787037
Stationary 1094.122 228 383 -0.4583333 -0.05787037
Stationary 1094.137 228 383 -0.4583333 -0.05787037
Stationary 1094.152 228 383 -0.4583333 -0.05787037
Stationary 1094.168 228 383 -0.4583333 -0.05787037
Stationary 1094.184 228 383 -0.4583333 -0.05787037
Stationary 1094.2 228 383 -0.4583333 -0.05787037
Stationary 1094.214 228 383 -0.4583333 -0.05787037
Stationary 1094.23 228 383 -0.4583333 -0.05787037
Stationary 1094.246 228 383 -0.4583333 -0.05787037
Stationary 1094.261 228 383 -0.4583333 -0.05787037
Stationary 1094.275 228 383 -0.4583333 -0.05787037
Stationary 1094.29 228 383 -0.4583333 -0.05787037
Stationary 1094.307 228 383 -0.4583333 -0.05787037
Stationary 1094.322 228 383 -0.4583333 -0.05787037
Stationary 1094.337 228 383 -0.4583333 -0.05787037
Stationary 1094.354 228 383 -0.4583333 -0.05787037
Stationary 1094.367 228 383 -0.4583333 -0.05787037
Stationary 1094.385 228 383 -0.4583333 -0.05787037
Stationary 1094.399 228 383 -0.4583333 -0.05787037
Stationary 1094.415 228 383 -0.4583333 -0.05787037
Stationary 1094.434 228 383 -0.4583333 -0.05787037
Stationary 1094.446 228 383 -0.4583333 -0.05787037
Stationary 1094.462 228 383 -0.4583333 -0.05787037
Stationary 1094.476 228 383 -0.4583333 -0.05787037
Stationary 1094.49 228 383 -0.4583333 -0.05787037
Stationary 1094.51 228 383 -0.4583333 -0.05787037
Stationary 1094.522 228 383 -0.4583333 -0.05787037
Stationary 1094.537 228 383 -0.4583333 -0.05787037
Stationary 1094.553 228 383 -0.4583333 -0.05787037
Stationary 1094.569 228 383 -0.4583333 -0.05787037
Stationary 1094.583 228 383 -0.4583333 -0.05787037
Stationary 1094.598 228 383 -0.4583333 -0.05787037
Stationary 1094.616 228 383 -0.4583333 -0.05787037
Stationary 1094.631 228 383 -0.4583333 -0.05787037
Stationary 1094.646 228 383 -0.4583333 -0.05787037
Stationary 1094.662 228 383 -0.4583333 -0.05787037
Stationary 1094.675 228 383 -0.4583333 -0.05787037
Stationary 1094.691 228 383 -0.4583333 -0.05787037
Stationary 1094.709 228 383 -0.4583333 -0.05787037
