coming up with killer sound bites
Basic
0.6 0.6
432 129.6
Began 297.4444 314 255 -0.1064815 -1.026234
Stationary 297.4618 314 255 -0.1064815 -1.026234
Stationary 297.4773 314 255 -0.1064815 -1.026234
Stationary 297.4908 314 255 -0.1064815 -1.026234
Stationary 297.5061 314 255 -0.1064815 -1.026234
Stationary 297.5216 314 255 -0.1064815 -1.026234
Stationary 297.5373 314 255 -0.1064815 -1.026234
Stationary 297.5522 314 255 -0.1064815 -1.026234
Stationary 297.5673 314 255 -0.1064815 -1.026234
Stationary 297.5826 314 255 -0.1064815 -1.026234
Stationary 297.602 314 255 -0.1064815 -1.026234
Stationary 297.6161 314 255 -0.1064815 -1.026234
Stationary 297.6318 314 255 -0.1064815 -1.026234
Stationary 297.6476 314 255 -0.1064815 -1.026234
Stationary 297.6633 314 255 -0.1064815 -1.026234
Stationary 297.6777 314 255 -0.1064815 -1.026234
Stationary 297.6935 314 255 -0.1064815 -1.026234
Stationary 297.7084 314 255 -0.1064815 -1.026234
Stationary 297.725 314 255 -0.1064815 -1.026234
Stationary 297.7396 314 255 -0.1064815 -1.026234
Stationary 297.7556 314 255 -0.1064815 -1.026234
Stationary 297.7708 314 255 -0.1064815 -1.026234
Stationary 297.7852 314 255 -0.1064815 -1.026234
Stationary 297.7996 314 255 -0.1064815 -1.026234
Stationary 297.815 314 255 -0.1064815 -1.026234
Stationary 297.8311 314 255 -0.1064815 -1.026234
Moved 297.8461 314 266.3305 -0.1064815 -0.9388081
Moved 297.8629 314 270.2988 -0.1064815 -0.9081886
Moved 297.8778 314 274.6423 -0.1064815 -0.8746734
Moved 297.9004 314 285.3724 -0.1064815 -0.7918794
Stationary 297.9114 314 285.3724 -0.1064815 -0.7918794
Moved 297.923 314 291.0591 -0.1064815 -0.748001
Moved 297.939 314 296.8303 -0.1064815 -0.7034702
Moved 297.9552 306.214 302.1791 -0.1245047 -0.6621985
Moved 297.9712 303.3248 306.5128 -0.1311926 -0.6287589
Moved 297.9879 300.4464 310.8303 -0.1378555 -0.5954451
Moved 298.003 298 313 -0.1435185 -0.5787038
Moved 298.0158 296.1453 316.5643 -0.1478119 -0.5512016
Moved 298.0313 293.4123 319.5878 -0.1541383 -0.527872
Moved 298.0476 292.2673 321.7327 -0.1567886 -0.5113221
Moved 298.0615 290.8252 324.3495 -0.1601268 -0.4911301
Moved 298.0775 289.3962 326.6038 -0.1634348 -0.473736
Moved 298.093 287.9537 328.0463 -0.1667739 -0.4626053
Moved 298.109 286.5067 330.9866 -0.1701233 -0.4399187
Moved 298.1228 287 331.5892 -0.1689815 -0.4352688
Moved 298.14 285.9796 333.0203 -0.1713434 -0.4242259
Moved 298.1548 286 334.4717 -0.1712963 -0.4130267
Moved 298.1705 286 335.9095 -0.1712963 -0.4019325
Moved 298.189 284.6481 337.3519 -0.1744257 -0.3908031
Moved 298.2019 285 338.7896 -0.1736111 -0.3797098
Moved 298.2168 285 340.2319 -0.1736111 -0.3685815
Stationary 298.2323 285 340.2319 -0.1736111 -0.3685815
Moved 298.2472 285 341.7433 -0.1736111 -0.3569191
Moved 298.2625 285 342.5 -0.1736111 -0.35108
Moved 298.2784 285 343 -0.1736111 -0.3472222
Moved 298.2949 285 344.0576 -0.1736111 -0.3390616
Moved 298.312 285 345.4919 -0.1736111 -0.3279943
Moved 298.3242 294.8641 345.9321 -0.1507776 -0.324598
Moved 298.3419 299.1479 348.0739 -0.1408614 -0.3080717
Moved 298.3552 304.9166 349.4791 -0.1275079 -0.2972288
Moved 298.371 313.5582 351.8527 -0.1075042 -0.2789142
Moved 298.3871 323.5564 353.3652 -0.08436024 -0.267244
Moved 298.4013 332.627 354.8039 -0.06336331 -0.2561428
Moved 298.416 342.7232 356.2462 -0.03999258 -0.2450143
Moved 298.4327 351.3885 357.6777 -0.01993413 -0.2339683
Moved 298.4488 358.7818 358.826 -0.002819846 -0.2251081
Moved 298.4629 368.419 360.2027 0.01948843 -0.2144851
Moved 298.4792 377.2216 361.6443 0.03986468 -0.203362
Moved 298.4945 386.5818 364.1663 0.06153196 -0.1839023
Moved 298.51 395 365.5 0.08101851 -0.1736111
Moved 298.5248 403.731 367.9551 0.1012291 -0.1546672
Moved 298.5405 410.9876 370.795 0.1180269 -0.1327541
Moved 298.5565 418 371.5 0.1342593 -0.1273146
Moved 298.5716 425.8025 375.8815 0.1523207 -0.09350672
Moved 298.5869 433.0162 378.8065 0.1690191 -0.07093713
Moved 298.6023 438.2046 380.6818 0.1810291 -0.05646718
Moved 298.6178 444.1333 383.5667 0.1947531 -0.03420771
Moved 298.6336 449.1676 387.1676 0.2064064 -0.006422938
Moved 298.6479 453.4787 390.3192 0.2163859 0.0178947
Moved 298.6635 459 394.5 0.2291666 0.05015444
Moved 298.6786 462.828 397.8281 0.2380279 0.07583383
Moved 298.6966 466.2981 401.2982 0.2460605 0.1026092
Moved 298.7105 470.7671 405.1781 0.2564054 0.1325472
Moved 298.7247 475.0868 409.0868 0.2664046 0.1627069
Moved 298.7427 477.938 411.938 0.2730046 0.1847067
Moved 298.7569 481.7201 414.8134 0.2817594 0.2068932
Moved 298.7715 484.6902 417.6902 0.2886348 0.2290914
Moved 298.7869 486.609 419.609 0.2930764 0.2438966
Moved 298.8024 489.7151 422.7151 0.3002666 0.2678639
Moved 298.8261 494.727 426.727 0.311868 0.2988194
Stationary 298.8372 494.727 426.727 0.311868 0.2988194
Moved 298.8488 497.3314 428.1657 0.3178967 0.3099206
Moved 298.8647 499.2181 430.6091 0.3222641 0.3287736
Moved 298.88 501.0519 433.1039 0.3265091 0.3480237
Moved 298.8963 502.1203 433 0.3289821 0.3472221
Moved 298.9115 503.6034 434.6033 0.3324152 0.3595937
Moved 298.9263 504 436.0432 0.3333333 0.3707038
Moved 298.9422 505.4862 437.4862 0.3367736 0.3818379
Moved 298.9557 506.9235 438.9235 0.3401007 0.3929285
Moved 298.9716 508.3623 439 0.3434313 0.3935187
Moved 298.9864 508.8016 440 0.3444481 0.4012346
Moved 299.0044 509.9181 440.918 0.3470325 0.4083183
