the dow jones index has risen
Basic
0.8 0.8
575.9999 172.8
Moved 520.0714 418 384.6186 0.1006944 -0.01956825
Moved 520.0869 419.5 385 0.1032986 -0.01736111
Moved 520.1028 419 383.8632 0.1024306 -0.02394005
Stationary 520.1172 419 383.8632 0.1024306 -0.02394005
Stationary 520.1331 419 384 0.1024306 -0.02314797
Stationary 520.1494 419 384 0.1024306 -0.02314797
Stationary 520.1638 419 384 0.1024306 -0.02314797
Moved 520.1786 409.4999 384 0.0859373 -0.02314797
Moved 520.1981 403.7998 384 0.0760413 -0.02314797
Moved 520.2105 399.0169 391.9548 0.06773777 0.02288686
Moved 520.226 393.4912 394.2036 0.05814441 0.03590036
Moved 520.2426 383.5244 399.7379 0.04084088 0.06792749
Moved 520.2568 375.8788 404.0727 0.02756737 0.09301327
Moved 520.2719 367.2384 406.9205 0.0125666 0.109494
Moved 520.2878 360.5434 409.8913 0.000943467 0.1266856
Moved 520.3032 354.663 412.6685 -0.009265616 0.1427577
Moved 520.3172 348.1356 415.5458 -0.02059795 0.1594084
Moved 520.3333 342.4584 417.8167 -0.03045417 0.1725501
Moved 520.3556 327.2213 422.5115 -0.05690738 0.1997192
Stationary 520.3668 327.2213 422.5115 -0.05690738 0.1997192
Moved 520.3792 318.8082 425.3973 -0.07151361 0.2164194
Moved 520.3943 312.4855 426.6286 -0.08249044 0.2235452
Moved 520.4105 304.5443 429.1519 -0.09627729 0.2381477
Moved 520.4258 298.9714 430.5071 -0.1059524 0.2459903
Moved 520.4412 294.9131 431.6956 -0.1129981 0.2528682
Moved 520.4567 289.8974 434.0513 -0.1217059 0.2665007
Moved 520.4727 284.1532 435.4617 -0.1316784 0.2746623
Moved 520.4881 280.3153 437.8949 -0.1383415 0.2887436
Moved 520.5046 274.661 440.6695 -0.148158 0.3048002
Moved 520.5183 269.6713 442.5525 -0.1568207 0.3156973
Moved 520.5342 264.1255 444.2186 -0.1664488 0.3253393
Moved 520.5511 260.5 445.5 -0.1727431 0.3327546
Moved 520.5652 254.9174 446.7707 -0.1824351 0.3401082
Moved 520.581 249.2954 449.3523 -0.1921955 0.3550481
Moved 520.5957 244.158 450 -0.2011146 0.3587963
Moved 520.6111 239.8816 450 -0.2085388 0.3587963
Moved 520.6265 235.5042 451.4986 -0.2161385 0.3674687
Moved 520.6411 233.1481 451 -0.2202289 0.3645833
Moved 520.6567 230.2736 451 -0.2252195 0.3645833
Moved 520.673 228.3388 451 -0.2285784 0.3645833
Moved 520.6883 224.2357 451 -0.2357019 0.3645833
Moved 520.704 221.3692 451 -0.2406785 0.3645833
Moved 520.719 219.2485 451 -0.2443602 0.3645833
Moved 520.7346 216.6239 451 -0.2489168 0.3645833
Moved 520.7503 214.3775 451 -0.2528169 0.3645833
Moved 520.766 212.9491 451 -0.2552966 0.3645833
Moved 520.7806 211.8491 451 -0.2572064 0.3645833
Moved 520.7963 210.3693 451 -0.2597755 0.3645833
Moved 520.8116 208.9361 451 -0.2622638 0.3645833
Stationary 520.8266 208.9361 451 -0.2622638 0.3645833
