parking lot is full of trucks
Basic
0.4 0.4
288 259.2
Moved 153.9325 326.5716 464 -0.1160707 0.2932098
Moved 153.9475 327.9614 464 -0.1112451 0.2932098
Moved 153.9627 329.3439 464 -0.1064446 0.2932098
Moved 153.9779 330 464 -0.1041666 0.2932098
Moved 153.9934 331.1226 464 -0.1002688 0.2932098
Moved 154.0082 332.1159 464 -0.09681976 0.2932098
Moved 154.0247 333.5441 464 -0.09186089 0.2932098
Moved 154.0387 334.9313 464 -0.08704394 0.2932098
Moved 154.0564 335.5 464 -0.08506946 0.2932098
Moved 154.0698 336.71 464 -0.08086815 0.2932098
Moved 154.0854 338.0856 464 -0.07609159 0.2932098
Stationary 154.1004 338.0856 464 -0.07609159 0.2932098
Moved 154.116 339.6573 464 -0.07063456 0.2932098
Moved 154.131 340 457.4424 -0.06944447 0.2679104
Moved 154.1464 340 453.5 -0.06944447 0.2527004
Moved 154.1623 341.3544 457 -0.06474151 0.2662036
Moved 154.1779 342.0446 455.9554 -0.06234527 0.2621736
Stationary 154.1925 342.0446 455.9554 -0.06234527 0.2621736
Stationary 154.2114 342.0446 455.9554 -0.06234527 0.2621736
Moved 154.2331 343.2403 456 -0.0581935 0.2623455
Stationary 154.2432 343.2403 456 -0.0581935 0.2623455
Moved 154.2537 344.2049 454.795 -0.05484402 0.2576968
Stationary 154.2693 344.2049 454.795 -0.05484402 0.2576968
Moved 154.2851 345.1531 455 -0.05155168 0.2584875
Stationary 154.3014 345.1531 455 -0.05155168 0.2584875
Moved 154.3169 345 453.9231 -0.05208335 0.2543329
Moved 154.3305 346.5 454 -0.04687503 0.2546296
Stationary 154.3465 346.5 454 -0.04687503 0.2546296
Stationary 154.3642 346.5 454 -0.04687503 0.2546296
Moved 154.3775 346 452.8866 -0.04861109 0.2503339
Stationary 154.3932 346 452.8866 -0.04861109 0.2503339
Moved 154.4085 347 453 -0.0451389 0.2507715
Stationary 154.4244 347 453 -0.0451389 0.2507715
Moved 154.4391 347 451.6424 -0.0451389 0.2455338
Moved 154.4546 347 450.8026 -0.0451389 0.2422936
Moved 154.4704 347.4518 449.5482 -0.04356995 0.2374541
Moved 154.4859 348.8393 448.1607 -0.03875248 0.2321014
Moved 154.5016 351.4506 445.5494 -0.02968535 0.2220269
Moved 154.517 355.2226 441.7774 -0.0165882 0.2074745
Moved 154.5322 360.9865 437.0108 0.00342533 0.1890848
Moved 154.5475 370.6039 430.1401 0.03681898 0.1625776
Moved 154.5636 379.7397 423.0082 0.06854057 0.1350625
Moved 154.5781 386.8218 417.0099 0.09313121 0.1119208
Moved 154.593 396.1187 407.8812 0.1254123 0.07670225
Moved 154.6087 403.2193 401.7807 0.1500671 0.05316622
Moved 154.6255 408.7482 398.1259 0.1692645 0.03906597
Moved 154.64 412.9684 394.0316 0.1839179 0.02327
Moved 154.6553 417.4082 391.5918 0.199334 0.01385712
Moved 154.6707 420.1786 389.9107 0.2089535 0.007371431
Moved 154.687 422.9507 388.5247 0.2185789 0.002024085
Moved 154.7009 425.0957 386.4521 0.2260266 -0.005971767
Moved 154.7184 427.8525 385.0737 0.2355991 -0.01128962
