id,mode,kind,time
1,Basic,gesture,0.504851
1,Basic,select,0.322591
1,Basic,cancel,0.0574656
1,Basic,delete,0
1,Basic,rest,0.115093
1,FixStart,gesture,0.606394
1,FixStart,select,0.285016
1,FixStart,cancel,0.0441178
1,FixStart,delete,0
1,FixStart,rest,0.0644722
2,Basic,gesture,0.491743
2,Basic,select,0.33612
2,Basic,cancel,0.0419853
2,Basic,delete,0
2,Basic,rest,0.130152
2,FixStart,gesture,0.601519
2,FixStart,select,0.285909
2,FixStart,cancel,0.0352381
2,FixStart,delete,0
2,FixStart,rest,0.0773345
3,Basic,gesture,0.5425
3,Basic,select,0.254318
3,Basic,cancel,0.0349957
3,Basic,delete,0.00164903
3,Basic,rest,0.166537
3,FixStart,gesture,0.617258
3,FixStart,select,0.239694
3,FixStart,cancel,0.0437964
3,FixStart,delete,0.00033206
3,FixStart,rest,0.0989193
4,Basic,gesture,0.548727
4,Basic,select,0.250779
4,Basic,cancel,0.032704
4,Basic,delete,0.00127019
4,Basic,rest,0.16652
4,FixStart,gesture,0.594658
4,FixStart,select,0.247043
4,FixStart,cancel,0.0390845
4,FixStart,delete,0.00025842
4,FixStart,rest,0.118957
5,Basic,gesture,0.547366
5,Basic,select,0.242174
5,Basic,cancel,0.0262454
5,Basic,delete,0.00101934
5,Basic,rest,0.183195
5,FixStart,gesture,0.596663
5,FixStart,select,0.242359
5,FixStart,cancel,0.0315599
5,FixStart,delete,0.000208668
5,FixStart,rest,0.129209
6,Basic,gesture,0.544426
6,Basic,select,0.244854
6,Basic,cancel,0.0334081
6,Basic,delete,0.00083207
6,Basic,rest,0.17648
6,FixStart,gesture,0.60035
6,FixStart,select,0.239154
6,FixStart,cancel,0.0349155
6,FixStart,delete,0.000168547
6,FixStart,rest,0.125412
