id,algorithm,block,mode,Gesture(Mean),Select(Mean),Cancel(Mean),Delete(Mean),Rest(Mean)
9,DTW,1,Basic,1.36654,1.10073,2.42455,1.4353,0.531881
9,DTW,2,Basic,1.20065,0.924011,1.6624,nan,0.49633
9,DTW,3,Basic,1.30931,1.00871,1.12192,0.5432,0.447009
9,DTW,4,Basic,1.33255,1.03508,1.1106,nan,0.444153
9,DTW,5,Basic,1.31726,1.08241,0.824,nan,0.460821
9,DTW,6,Basic,1.10967,0.8626,1.26271,nan,0.424029
9,DTW,7,Basic,1.19397,1.11447,2.45875,nan,0.426733
9,DTW,8,Basic,1.34752,0.966733,1.843,0.815,0.425667
9,DTW,1,FixStart,1.5984,0.853771,1.174,nan,0.569914
9,DTW,2,FixStart,1.6902,0.80575,1.11067,nan,0.488897
9,DTW,3,FixStart,1.43,0.862613,1.07025,nan,0.488241
9,DTW,4,FixStart,1.66197,0.891903,1.9355,nan,0.414897
9,DTW,5,FixStart,1.74364,0.7851,0.497667,nan,0.426926
9,DTW,6,FixStart,1.60885,0.8592,1.18425,nan,0.398121
9,DTW,7,FixStart,1.61707,0.9062,nan,nan,0.379042
9,DTW,8,FixStart,1.55956,0.852375,1.1635,nan,0.412821
10,DTW,1,FixStart,1.44756,0.788221,nan,nan,0.499055
10,DTW,2,FixStart,1.26873,0.786153,nan,nan,0.472921
10,DTW,3,FixStart,1.48917,0.744739,nan,nan,0.436609
10,DTW,4,FixStart,1.38723,0.665228,nan,nan,0.364443
10,DTW,5,FixStart,1.27167,0.695766,nan,nan,0.397214
10,DTW,6,FixStart,1.13643,0.726229,nan,nan,0.385621
10,DTW,7,FixStart,1.08733,0.726697,nan,nan,0.371926
10,DTW,8,FixStart,1.0758,0.690286,nan,nan,0.400379
10,DTW,1,Basic,1.06665,0.728735,nan,nan,0.632
10,DTW,2,Basic,1.20694,0.633785,nan,nan,0.475324
10,DTW,3,Basic,0.986016,0.815925,nan,nan,0.539423
10,DTW,4,Basic,1.11906,0.782183,nan,nan,0.504358
10,DTW,5,Basic,1.07027,0.716775,nan,nan,0.533068
10,DTW,6,Basic,1.07385,0.719546,nan,nan,0.478205
10,DTW,7,Basic,1.00719,0.676209,nan,nan,0.453807
10,DTW,8,Basic,0.885084,0.683931,nan,nan,0.457846
11,DTW,1,Basic,1.03677,0.964297,2.39867,nan,0.453042
11,DTW,2,Basic,0.827836,0.987776,2.22662,0.84394,0.435319
11,DTW,3,Basic,0.875305,0.985106,2.71627,nan,0.375084
11,DTW,4,Basic,0.962338,1.17166,1.7434,nan,0.423804
11,DTW,5,Basic,0.660528,1.02878,2.7255,nan,0.369033
11,DTW,6,Basic,0.868242,1.07339,2.325,nan,0.409667
11,DTW,7,Basic,0.723471,1.02641,1.5535,nan,0.391593
11,DTW,8,Basic,0.71015,1.10224,2.08216,nan,0.331949
11,DTW,1,FixStart,1.32791,1.18583,1.70447,nan,0.377557
11,DTW,2,FixStart,1.05285,0.9762,1.58008,0.295,0.403549
11,DTW,3,FixStart,1.10406,0.992717,1.39516,nan,0.24808
11,DTW,4,FixStart,1.20573,1.01875,0.728075,nan,0.312034
11,DTW,5,FixStart,1.15825,1.01237,1.9051,nan,0.301807
11,DTW,6,FixStart,1.33479,1.07059,4.2384,nan,0.295309
11,DTW,7,FixStart,0.850456,0.952355,2.7926,nan,0.330117
11,DTW,8,FixStart,1.0035,0.961913,1.73098,nan,0.224383
12,DTW,1,FixStart,1.52959,1.06188,2.4167,nan,1.16721
12,DTW,2,FixStart,1.80099,0.957489,1.38602,nan,1.14234
12,DTW,3,FixStart,1.55016,0.899309,2.26803,1.7668,0.984112
12,DTW,4,FixStart,1.71743,0.942648,2.04043,0.5886,1.03923
12,DTW,5,FixStart,1.59683,1.08021,1.9885,nan,0.896471
12,DTW,6,FixStart,1.72715,1.12844,2.5358,nan,0.897822
12,DTW,7,FixStart,1.55348,1.09939,2.55125,1.219,0.781248
12,DTW,8,FixStart,1.22176,1.10987,2.94229,nan,0.762548
12,DTW,1,Basic,1.45914,1.0017,2.4824,nan,0.963058
12,DTW,2,Basic,1.30678,1.12413,1.80159,nan,0.943058
12,DTW,3,Basic,1.66342,0.978129,2.30775,0.9718,1.02065
12,DTW,4,Basic,1.122,1.45847,2.2805,1.149,0.903559
12,DTW,5,Basic,1.60338,1.05843,3.01561,nan,0.974484
12,DTW,6,Basic,1.19254,1.20689,2.63108,1.1846,0.944243
12,DTW,7,Basic,1.3823,1.09182,2.08342,1.1083,0.885927
12,DTW,8,Basic,1.33747,1.01506,2.0916,nan,0.968828
13,DTW,1,FixStart,2.04669,1.02144,nan,nan,0.677835
13,DTW,2,FixStart,1.90788,0.987917,1.1417,nan,0.73784
13,DTW,3,FixStart,1.76087,0.944384,nan,nan,0.61035
13,DTW,4,FixStart,1.75656,0.971545,4.888,nan,0.562607
13,DTW,5,FixStart,1.50262,1.05074,nan,nan,0.579643
13,DTW,6,FixStart,1.853,1.04487,nan,nan,0.583875
13,DTW,7,FixStart,2.04854,0.976464,nan,nan,0.540818
13,DTW,8,FixStart,1.27433,1.15006,nan,nan,0.519037
13,DTW,1,Basic,1.20569,1.14541,2.4212,nan,0.794334
13,DTW,2,Basic,1.00438,1.10902,3.25336,nan,0.809942
13,DTW,3,Basic,1.37686,0.948921,3.2512,nan,0.695167
13,DTW,4,Basic,1.16485,1.17787,2.10767,nan,0.80337
13,DTW,5,Basic,1.14742,1.03489,2.19567,nan,0.676676
13,DTW,6,Basic,1.02526,1.06916,2.658,nan,0.657242
13,DTW,7,Basic,1.03577,1.2809,3.1545,nan,0.710759
13,DTW,8,Basic,1.25837,1.03378,nan,nan,0.668333
14,DTW,1,Basic,1.78028,0.954666,2.17368,nan,0.722228
14,DTW,2,Basic,1.64134,0.802817,1.50017,nan,0.69701
14,DTW,3,Basic,1.73975,0.875287,2.32447,nan,0.640563
14,DTW,4,Basic,1.97295,0.827794,1.35243,0.786,0.670857
14,DTW,5,Basic,1.42747,1.04872,2.7845,2.622,0.523321
14,DTW,6,Basic,1.79135,1.07359,2.921,1.311,0.51628
14,DTW,7,Basic,1.85111,1.18048,2.64671,nan,0.5234
14,DTW,8,Basic,1.57715,1.00957,3.273,nan,0.43325
14,DTW,1,FixStart,1.52616,1.11813,3.449,nan,0.68264
14,DTW,2,FixStart,1.65123,0.906179,2.4805,nan,0.580375
14,DTW,3,FixStart,1.42605,0.929853,2.01367,3.163,0.623452
14,DTW,4,FixStart,1.16742,0.883576,3.0604,nan,0.486125
14,DTW,5,FixStart,1.49237,0.952,2.22067,nan,0.556654
14,DTW,6,FixStart,1.46177,1.20706,2.43727,1.604,0.446
14,DTW,7,FixStart,1.25639,0.872943,2.60933,0.556,0.519438
14,DTW,8,FixStart,1.3086,0.880886,2.6166,0.402,0.471735
15,DTW,1,Basic,1.28881,1.32199,3.6862,nan,1.0468
15,DTW,2,Basic,1.30676,1.61297,2.69541,nan,0.919205
15,DTW,3,Basic,1.72282,1.50541,3.14182,nan,0.836147
15,DTW,4,Basic,2.02171,1.42065,1.9915,nan,0.891483
15,DTW,5,Basic,1.85222,1.18676,3.13614,nan,0.688086
15,DTW,6,Basic,2.31318,1.12888,2.16133,1.311,0.694485
15,DTW,7,Basic,2.12829,1.17974,2.31833,nan,0.648679
15,DTW,8,Basic,1.80881,1.29497,2.99625,nan,0.723233
15,DTW,1,FixStart,2.00181,0.927529,1.3,nan,0.652767
15,DTW,2,FixStart,1.83955,1.06377,0.893,nan,0.63084
15,DTW,3,FixStart,2.08256,0.898156,nan,nan,0.622731
15,DTW,4,FixStart,1.87252,1.18977,3.837,nan,0.580815
15,DTW,5,FixStart,2.04829,0.958419,nan,nan,0.65404
15,DTW,6,FixStart,1.86841,0.900143,4.594,nan,0.509348
15,DTW,7,FixStart,1.81794,0.983824,nan,nan,0.586071
15,DTW,8,FixStart,1.56666,0.904633,nan,nan,0.539647
16,DTW,1,Basic,2.37655,0.967451,2.96512,1.4121,0.931179
16,DTW,2,Basic,2.04632,0.930004,2.3341,nan,0.757504
16,DTW,3,Basic,1.77714,0.978343,3.061,nan,0.715516
16,DTW,4,Basic,1.71307,1.05477,2.82467,nan,0.632174
16,DTW,5,Basic,1.7037,1.057,2.14,nan,0.66375
16,DTW,6,Basic,1.54259,1.26141,3.5292,nan,0.655643
16,DTW,7,Basic,1.38324,1.02861,2.249,nan,0.653214
16,DTW,8,Basic,1.08492,1.04209,3.5086,nan,0.721545
16,DTW,1,FixStart,1.51112,1.04367,3.992,3.389,0.780786
16,DTW,2,FixStart,1.44909,1.14613,3.0435,nan,0.625259
16,DTW,3,FixStart,1.654,1.02945,3.81067,nan,0.6174
16,DTW,4,FixStart,1.46175,0.952727,2.83167,nan,0.572833
16,DTW,5,FixStart,1.44957,0.947875,1.9398,nan,0.580226
16,DTW,6,FixStart,1.44748,0.855733,2.68,nan,0.55688
16,DTW,7,FixStart,1.29449,1.07624,nan,1.249,0.641032
16,DTW,8,FixStart,1.25857,0.991833,2.555,1.263,0.504419
