travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Moved 332.3501 437.719 428.2645 0.1799051 0.1035608
Moved 332.3659 435.6436 436.4258 0.1751008 0.1245518
Moved 332.3817 429.3007 452.3986 0.1604184 0.1656341
Moved 332.3972 423.5296 466.176 0.1470594 0.2010698
Moved 332.4127 416.2372 481.0782 0.1301786 0.2393985
Moved 332.4278 410.0094 493.9813 0.1157625 0.2725854
Moved 332.4432 402.7974 506.9647 0.09906799 0.3059791
Moved 332.4615 398.4766 515.2851 0.08906623 0.3273793
Moved 332.4744 394.1159 525.7101 0.07897208 0.3541926
Moved 332.4896 389.8138 537.1632 0.06901333 0.3836501
Moved 332.5058 385.4541 549.4863 0.05892158 0.4153454
Moved 332.5209 381.1242 560.0435 0.04889866 0.4424987
Moved 332.5373 378.8327 571.5019 0.04359424 0.4719698
Moved 332.5514 375.6724 582.1468 0.03627867 0.4993487
Moved 332.5663 373.791 590.2314 0.03192365 0.5201425
Moved 332.5822 372.1987 598.6089 0.0282378 0.5416896
Moved 332.5977 370.8099 603.5703 0.02502292 0.5544503
Moved 332.6125 370 607.241 0.02314816 0.5638914
Moved 332.6282 368.9274 610.1452 0.02066523 0.5713609
Moved 332.6458 369 611.5077 0.02083332 0.5748653
Moved 332.6607 368.056 612.944 0.01864821 0.5785595
Moved 332.6746 368 614.3823 0.01851857 0.5822589
Moved 332.6898 368 615 0.01851857 0.5838476
Stationary 332.705 368 615 0.01851857 0.5838476
Stationary 332.7206 368 615 0.01851857 0.5838476
Stationary 332.7357 368 615 0.01851857 0.5838476
Moved 332.7507 376.87 615 0.03905098 0.5838476
Moved 332.7664 389.0335 605.1866 0.06720712 0.5586073
Moved 332.7823 403.4299 599.428 0.1005321 0.5437962
Moved 332.7976 417 595.5 0.1319444 0.5336933
Moved 332.8126 431.8647 588.0541 0.1663534 0.5145424
Moved 332.8284 451.1846 581.6355 0.2110754 0.4980336
Moved 332.8448 474.4926 572.2537 0.2650293 0.4739033
Moved 332.8608 496.5118 565.1221 0.3159996 0.4555608
Moved 332.874 515.4605 557.8998 0.3598622 0.4369849
Moved 332.8902 535.8642 550.8543 0.407093 0.4188638
Moved 332.9134 567.3407 533.5196 0.4799553 0.3742787
Stationary 332.924 567.3407 533.5196 0.4799553 0.3742787
Moved 332.9365 579.8803 524.6398 0.5089822 0.3514398
Moved 332.9528 592.6496 514.9392 0.5385408 0.3264896
Moved 332.9677 601.6636 509.0692 0.5594063 0.3113917
Moved 332.9828 612.3715 499.7999 0.5841933 0.2875511
Moved 332.9981 617.4521 495.1609 0.5959541 0.2756195
Moved 333.0149 624.1851 489.8519 0.6115396 0.2619647
Moved 333.0288 628.3729 485.6271 0.6212336 0.2510983
Moved 333.0435 633.7133 480.7156 0.6335956 0.2384659
Moved 333.0609 637.0181 476.9819 0.6412455 0.2288629
Moved 333.0744 639.9122 472.6318 0.6479448 0.2176742
Moved 333.0897 642.8954 469.1046 0.6548504 0.2086023
Moved 333.1055 644.3301 465.0098 0.6581715 0.1980705
Moved 333.1204 645 463.4288 0.6597222 0.194004
Moved 333.1359 645.9331 461.1337 0.6618822 0.1881011
Moved 333.151 646 458.251 0.662037 0.1806867
Moved 333.1672 646.7953 455.4092 0.6638781 0.1733776
Ended 333.184 648.252 453.748 0.6672499 0.169105
Candidates 333.2888 12 travel excel rebel isabel angel develop handful trail evil rail tail label
Began 333.7645 526 332 0.3842592 -0.144033
Stationary 333.7834 526 332 0.3842592 -0.144033
Stationary 333.7986 526 332 0.3842592 -0.144033
Moved 333.8139 526 345.0912 0.3842592 -0.1103622
Moved 333.83 510.8954 394.9739 0.3492949 0.01793704
Moved 333.8453 505.8094 457.9234 0.3375216 0.1798441
Moved 333.8616 506 527.2159 0.337963 0.3580657
Moved 333.8759 506 586 0.337963 0.5092591
Moved 333.8916 538.7251 653.5778 0.4137155 0.6830703
Ended 333.9095 565.0326 697.3303 0.4746125 0.7956023
Accept 333.95 0 travel
Began 334.3347 445 455 0.1967593 0.172325
Stationary 334.3561 445 455 0.1967593 0.172325
Stationary 334.369 445 455 0.1967593 0.172325
Moved 334.3843 423.3035 455 0.1465359 0.172325
Moved 334.4001 405.2987 455 0.1048581 0.172325
Moved 334.415 385.4482 455 0.05890787 0.172325
Moved 334.4302 367.6702 455 0.01775503 0.172325
Moved 334.446 355.3973 455 -0.01065438 0.172325
Moved 334.462 339.3193 455 -0.04787192 0.172325
Moved 334.4768 322.6822 455 -0.08638386 0.172325
Moved 334.4926 308.9449 455 -0.1181832 0.172325
Moved 334.5086 296.3551 455 -0.1473262 0.172325
Moved 334.5239 287.4564 461.3356 -0.1679251 0.1886202
Moved 334.5396 277.3562 465.4697 -0.191305 0.1992532
Moved 334.554 271.5 466.5 -0.2048611 0.2019032
Moved 334.5698 265.0402 467.5839 -0.2198144 0.2046911
Moved 334.5853 259.0607 468 -0.2336559 0.2057612
Moved 334.6006 253.3008 469.6748 -0.246989 0.2100689
Moved 334.6163 249.7711 470 -0.2551595 0.2109053
Moved 334.6323 247 471.5 -0.2615741 0.2147633
Moved 334.6466 244.0275 471 -0.2684549 0.2134772
Moved 334.6623 241.1418 471 -0.2751347 0.2134772
Stationary 334.6769 240.6177 471 -0.2763478 0.2134772
Moved 334.6923 239.0476 472 -0.2799823 0.2160493
Moved 334.7085 238.5 472 -0.28125 0.2160493
Moved 334.7234 239 473 -0.2800926 0.2186213
Moved 334.739 239 474.2748 -0.2800926 0.2219001
Moved 334.7549 239 478.1639 -0.2800926 0.2319029
Moved 334.7743 256.2533 485.9013 -0.2401544 0.2518037
Moved 334.7857 268.6889 494.7926 -0.2113684 0.2746722
Moved 334.8007 304.2444 514.8606 -0.1290638 0.3262875
Moved 334.8174 334.7211 527.4175 -0.05851597 0.3585841
Moved 334.8315 365.4963 540.1347 0.01272301 0.3912929
Moved 334.8464 389.7333 550.2933 0.06882717 0.4174211
Moved 334.8622 410 559 0.1157407 0.4398148
Moved 334.8778 428.0755 566.1981 0.1575822 0.4583284
Moved 334.8939 442.2872 571.7258 0.1904795 0.4725458
Moved 334.9088 458.1024 580.2377 0.2270888 0.4944383
Moved 334.924 473.028 588.8168 0.2616388 0.5165039
Moved 334.9392 483.7236 596.2311 0.2863972 0.5355738
Moved 334.955 493.1172 603.431 0.3081417 0.554092
Moved 334.9704 500.6133 609.4907 0.3254938 0.5696775
Moved 334.9852 505.7133 613.2844 0.3372994 0.5794351
Moved 335.001 509.2261 616.4841 0.3454309 0.5876647
Moved 335.0171 513.2212 620.2212 0.3546787 0.5972766
Moved 335.0314 517.5 624.5 0.3645833 0.6082818
Moved 335.0464 518.9327 625.9327 0.3678997 0.6119667
Moved 335.0626 520.405 627.405 0.3713079 0.6157535
Moved 335.0787 521.8467 628.8467 0.3746451 0.6194615
Ended 335.0934 522 629 0.375 0.6198559
Candidates 335.2285 12 say day gay at gary fatty ay assay art ai fat sat
Began 335.9215 478 521 0.2731481 0.3420781
Stationary 335.9415 478 521 0.2731481 0.3420781
Moved 335.963 469.7108 489.2375 0.2539603 0.2603846
Stationary 335.9735 469.7108 489.2375 0.2539603 0.2603846
Moved 335.9871 466.1172 461.5653 0.2456417 0.1892111
Moved 336.0022 462.8553 416.5403 0.2380911 0.07340612
Moved 336.018 458.5 369.5 0.2280092 -0.04758238
Moved 336.0323 460 335 0.2314815 -0.1363169
Moved 336.0475 467.4798 282.4061 0.2487957 -0.2715893
Moved 336.0645 473.4636 233.5596 0.2626472 -0.3972234
Moved 336.0796 480.0308 201.6829 0.2778491 -0.4792108
Moved 336.0934 485.9564 179.4137 0.2915657 -0.5364875
Moved 336.1092 495.1305 149.2318 0.312802 -0.6141158
Moved 336.1252 502.4853 126.5443 0.329827 -0.6724684
Moved 336.1406 506.5 117.5 0.3391203 -0.6957305
Moved 336.1556 509.9128 106.6239 0.3470204 -0.723704
Moved 336.1716 512.0775 101.9225 0.3520312 -0.7357961
Moved 336.1865 513.519 98.44299 0.355368 -0.7447454
Moved 336.2026 515.9155 88.38025 0.3609155 -0.770627
Ended 336.2171 516 87 0.3611111 -0.774177
Accept 336.2622 3 at
Began 336.6483 477 378 0.2708333 -0.02572024
Stationary 336.6654 477 378 0.2708333 -0.02572024
Stationary 336.6794 477 378 0.2708333 -0.02572024
Stationary 336.6939 477 378 0.2708333 -0.02572024
Moved 336.7176 477 398.6951 0.2708333 0.02750785
Stationary 336.7276 477 398.6951 0.2708333 0.02750785
Moved 336.7411 468.5532 417.6808 0.2512806 0.07633959
Moved 336.7573 463.3484 438.4436 0.2392324 0.1297417
Moved 336.7728 462.7987 448.0126 0.23796 0.1543534
Moved 336.7878 459.603 470.2866 0.2305624 0.2116425
Moved 336.8047 457.8595 480.9838 0.2265266 0.2391558
Moved 336.8183 457 489.937 0.2245371 0.2621834
Moved 336.8345 457 497.1456 0.2245371 0.2807242
Moved 336.8501 455.5365 504.3174 0.2211493 0.2991703
Moved 336.8649 456 508.4544 0.2222222 0.3098106
Moved 336.881 456 512.6431 0.2222222 0.3205841
Moved 336.8953 456 519.6026 0.2222222 0.3384839
Moved 336.9114 456 522.5167 0.2222222 0.3459792
Moved 336.9261 456 525.3942 0.2222222 0.35338
Moved 336.942 456 527.6359 0.2222222 0.3591457
Moved 336.9589 456 530.1492 0.2222222 0.3656099
Moved 336.9723 456 532.5148 0.2222222 0.3716943
Stationary 336.9887 456 533 0.2222222 0.3729423
Moved 337.006 456 534.0569 0.2222222 0.3756606
Moved 337.0199 456 535.5034 0.2222222 0.3793811
Moved 337.0344 456 536.5 0.2222222 0.3819444
Moved 337.0564 456 537.1906 0.2222222 0.3837207
Moved 337.0688 456 537.8225 0.2222222 0.3853458
Moved 337.0792 456 538.5 0.2222222 0.3870883
Stationary 337.0945 456 538.5 0.2222222 0.3870883
Stationary 337.1127 456 538.5 0.2222222 0.3870883
Moved 337.1262 456 538 0.2222222 0.3858024
Stationary 337.1407 456 538 0.2222222 0.3858024
Stationary 337.1559 456 538 0.2222222 0.3858024
Stationary 337.1719 456 538 0.2222222 0.3858024
Moved 337.189 463.9604 521.2375 0.2406491 0.3426891
Moved 337.2037 465.4034 513.983 0.2439894 0.3240302
Moved 337.2186 469.6215 501.5949 0.2537535 0.2921679
Moved 337.2342 474.8999 489.2001 0.265972 0.2602883
Moved 337.2501 480.6384 476.3136 0.2792555 0.2271439
Moved 337.2655 483.5499 465.2003 0.2859951 0.1985604
Moved 337.2806 486.6062 452.2722 0.2930699 0.1653091
Moved 337.2969 490.4684 438.392 0.3020103 0.1296091
Moved 337.3134 493.3497 430.1259 0.3086798 0.1083483
Moved 337.3275 495.4247 421.301 0.3134832 0.08565055
Moved 337.3434 500.1701 412.9365 0.3244677 0.06413707
Moved 337.3586 504.4886 405.1857 0.3344643 0.04420194
Moved 337.3736 507.2124 398.5751 0.3407695 0.02719938
Moved 337.3931 510.0803 393.8796 0.3474081 0.01512245
Moved 337.4073 511.4708 391.0583 0.3506269 0.007866086
Moved 337.4189 513.8267 387.3466 0.3560804 -0.001680625
Moved 337.4348 514.9189 385.162 0.3586087 -0.007299297
Moved 337.4508 516.3281 382.3438 0.3618706 -0.01454797
Moved 337.4657 517 381.2303 0.3634259 -0.01741189
Moved 337.4811 518.2086 381 0.3662236 -0.01800419
Moved 337.4969 518 379.3509 0.3657407 -0.02224573
Moved 337.5141 519.0858 379 0.3682541 -0.02314815
Moved 337.5268 519 378 0.3680556 -0.02572024
Stationary 337.5431 519 378 0.3680556 -0.02572024
Moved 337.5593 519 376.9291 0.3680556 -0.02847459
Moved 337.574 514.8801 377 0.3585187 -0.02829226
Moved 337.5884 505.2689 377 0.3362705 -0.02829226
Moved 337.6048 495.2998 392.2432 0.3131941 0.01091337
Moved 337.6203 482.2988 400.8636 0.2830991 0.03308528
Moved 337.636 464.3531 416.0858 0.2415582 0.0722371
Moved 337.6511 453 426.5 0.2152778 0.09902258
Moved 337.6666 432.9069 446.4807 0.168766 0.1504131
Moved 337.6858 418.7582 460.2418 0.1360144 0.1858069
Moved 337.6974 402.5267 475.1527 0.09844144 0.2241581
Moved 337.712 388.9698 489.0302 0.0670596 0.2598514
Moved 337.7288 377.6153 502.9489 0.04077603 0.2956502
Moved 337.7428 367.9168 513.0832 0.01832595 0.321716
Moved 337.7594 359.37 521.63 -0.001458327 0.3436986
Moved 337.7752 355.6846 526.3154 -0.00998944 0.3557495
Moved 337.7897 350.9384 532.082 -0.02097582 0.3705812
Moved 337.8041 348.0898 536.3652 -0.02756983 0.3815977
Moved 337.82 345.1991 538.801 -0.03426144 0.3878625
Moved 337.8357 343.6604 540.3396 -0.03782307 0.3918198
Ended 337.8493 344 541 -0.03703703 0.3935184
Candidates 337.9712 12 the there threw further tiger trigger huge where urge regret higher rude
Began 338.2467 479 343 0.275463 -0.1157408
Stationary 338.2682 479 343 0.275463 -0.1157408
Stationary 338.283 479 343 0.275463 -0.1157408
Stationary 338.2974 479 343 0.275463 -0.1157408
Moved 338.3128 457.0475 387.0903 0.2246469 -0.002339956
Moved 338.3337 446.746 442.8801 0.2008009 0.1411523
Moved 338.3451 448 510.2469 0.2037037 0.3144211
Moved 338.3616 456.0876 565.0555 0.222425 0.4553895
Moved 338.3747 476.4124 639.4432 0.269473 0.646716
Moved 338.3911 498 692.5 0.3194444 0.7831789
Moved 338.4074 501.6796 688.6796 0.327962 0.7733527
Ended 338.421 507.4465 695.8082 0.3413114 0.7916876
Accept 338.4795 0 the
Began 338.773 439 493 0.1828703 0.2700616
Stationary 338.7911 439 493 0.1828703 0.2700616
Stationary 338.8063 439 493 0.1828703 0.2700616
Moved 338.8215 427.0143 479.0143 0.1551256 0.2340901
Moved 338.8376 421.2514 474.4386 0.1417857 0.2223214
Moved 338.8528 416.0001 470.2001 0.1296299 0.2114199
Moved 338.8683 405.0324 463.1614 0.1042418 0.1933163
Moved 338.8839 392.6925 453.983 0.07567713 0.1697094
Moved 338.8996 381.8542 450.2233 0.05058855 0.1600392
