exercise is good for the mind
exercise is good for the mind
FixStart
0.6 0.6
432 388.8
Began 2034.804 403 325 0.09953707 -0.1620371
Stationary 2034.825 403 325 0.09953707 -0.1620371
Stationary 2034.838 403 325 0.09953707 -0.1620371
Stationary 2034.853 403 325 0.09953707 -0.1620371
Stationary 2034.868 403 325 0.09953707 -0.1620371
Stationary 2034.884 403 325 0.09953707 -0.1620371
Stationary 2034.9 403 325 0.09953707 -0.1620371
Stationary 2034.914 403 325 0.09953707 -0.1620371
Moved 2034.93 393.6696 342.3278 0.07793904 -0.1174698
Moved 2034.947 392.4578 349.1688 0.07513384 -0.09987458
Moved 2034.962 388.3698 365.5206 0.0656709 -0.05781754
Moved 2034.978 383.3733 380.2234 0.05410483 -0.02000141
Moved 2034.993 377.6194 396.0468 0.04078557 0.02069634
Moved 2035.009 372.4225 410.7842 0.02875576 0.05860125
Moved 2035.023 367.4708 423.7642 0.01729349 0.09198608
Moved 2035.039 362.8932 437.3561 0.006697178 0.1269446
Moved 2035.054 358.5513 451.8289 -0.003353407 0.164169
Moved 2035.071 355.1738 461.3917 -0.01117175 0.1887646
Moved 2035.086 350.9442 470.1116 -0.02096246 0.2111923
Moved 2035.1 346.6146 479.7708 -0.03098468 0.2360358
Moved 2035.115 342.3054 485.9262 -0.04095981 0.2518678
Moved 2035.131 340 491 -0.04629632 0.2649176
Moved 2035.147 336.4326 495.3511 -0.05455415 0.2761086
Moved 2035.162 333.5525 498.4474 -0.06122102 0.2840726
Moved 2035.178 331.6752 501.3248 -0.06556675 0.2914733
Moved 2035.192 329.8989 504.2022 -0.06967847 0.2988739
Moved 2035.208 327.4601 505.5399 -0.07532389 0.3023145
Moved 2035.225 326.0186 506.9814 -0.07866075 0.3060221
Moved 2035.24 324.5798 508.4202 -0.08199126 0.3097227
Moved 2035.264 322.0472 510 -0.08785368 0.3137859
Stationary 2035.275 322.0472 510 -0.08785368 0.3137859
Moved 2035.286 320.6082 511.3917 -0.09118462 0.3173654
Stationary 2035.301 320.6082 511.3917 -0.09118462 0.3173654
Moved 2035.316 318.7271 511 -0.09553915 0.3163579
Moved 2035.332 316.5742 511 -0.1005227 0.3163579
Moved 2035.347 314.8476 511 -0.1045195 0.3163579
Moved 2035.362 312.5557 501.2227 -0.1098248 0.2912104
Moved 2035.378 309.5426 483.0695 -0.1167995 0.2445201
Moved 2035.393 307.8198 464.8376 -0.1207875 0.1976276
Moved 2035.408 308 448.1064 -0.1203704 0.1545947
Moved 2035.424 308 430.4719 -0.1203704 0.1092383
Moved 2035.439 308 413.0518 -0.1203704 0.06443349
Moved 2035.454 308 388.5137 -0.1203704 0.001321212
Moved 2035.47 308 371.5646 -0.1203704 -0.04227226
