what goes up must come down
what goes up must come down
FixStart
0.6 0.6
432 388.8
Began 328.4891 506 457 0.337963 0.1774691
Stationary 328.5049 506 457 0.337963 0.1774691
Stationary 328.5191 506 457 0.337963 0.1774691
Stationary 328.5344 506 457 0.337963 0.1774691
Stationary 328.5504 506 457 0.337963 0.1774691
Stationary 328.5662 506 457 0.337963 0.1774691
Stationary 328.5807 506 457 0.337963 0.1774691
Stationary 328.5964 506 457 0.337963 0.1774691
Stationary 328.6125 506 457 0.337963 0.1774691
Moved 328.6272 495.2599 466.6101 0.3131017 0.2021865
Moved 328.6429 491.2323 472.0237 0.3037785 0.2161102
Moved 328.6581 487.4266 480.1468 0.294969 0.237003
Moved 328.6739 481.8884 488.1395 0.2821491 0.2575603
Moved 328.6885 477.7657 497.8801 0.2726057 0.2826135
Moved 328.7056 471.6083 507.7833 0.2583526 0.3080845
Moved 328.7213 466.2858 516.0713 0.246032 0.3294014
Moved 328.7362 463.429 524.5226 0.239419 0.3511384
Moved 328.7517 455.4556 538.0889 0.220962 0.3860309
Moved 328.7664 449.9214 548.1376 0.2081513 0.4118766
Moved 328.7828 444.4177 557.769 0.1954114 0.4366485
Moved 328.7981 437.8506 566.7241 0.1802097 0.4596813
Moved 328.8131 432.293 576.2373 0.1673448 0.4841493
Moved 328.8288 428.5 582.5 0.1585648 0.5002571
Moved 328.8448 423.8763 589.5396 0.1478617 0.5183629
Moved 328.8598 420.0151 595.9749 0.1389238 0.5349148
Moved 328.8748 414.5006 601.4994 0.1261589 0.5491239
Moved 328.8905 411.7137 607.0484 0.1197077 0.563396
Moved 328.9055 408.7023 610.2977 0.1127368 0.5717532
Moved 328.9214 406 613 0.1064815 0.5787036
Moved 328.9361 403.1638 615.8362 0.09991625 0.5859983
Moved 328.9506 400.4035 617.2983 0.09352664 0.5897588
Moved 328.9666 398.4031 618.2984 0.08889616 0.5923312
Moved 328.982 396.2177 619.7822 0.08383741 0.5961476
Moved 328.9977 393.6776 620 0.07795741 0.5967077
Moved 329.0131 391.7848 621 0.07357587 0.5992797
Moved 329.0287 389.0154 621 0.0671652 0.5992797
Moved 329.0436 386.2483 621 0.06075998 0.5992797
Moved 329.0589 383.4812 621 0.05435457 0.5992797
Moved 329.0747 380.4088 621 0.04724254 0.5992797
Moved 329.0898 375.1871 611.3741 0.03515521 0.5745218
Moved 329.1047 371.2299 604.4599 0.02599527 0.5567383
Moved 329.1218 367.1043 592.3476 0.01644512 0.5255853
Moved 329.1372 364.2883 582.5092 0.009926657 0.5002806
Moved 329.1513 365 570.9042 0.01157403 0.4704324
Moved 329.1672 365 560.1917 0.01157403 0.4428797
Moved 329.1842 365 550.6021 0.01157403 0.418215
Moved 329.1984 377.1693 539.746 0.03974378 0.3902932
Moved 329.2135 385.549 526.7217 0.05914112 0.3567944
Moved 329.2305 400.2307 511.7693 0.0931266 0.3183365
Moved 329.2446 410.7274 501.9479 0.1174245 0.2930759
Moved 329.2596 424.5436 491.6047 0.1494065 0.2664729
Moved 329.276 438.3724 480.502 0.1814177 0.2379166
Moved 329.2909 453.9315 469.5043 0.2174341 0.2096304
Moved 329.3068 467.9127 461.5854 0.249798 0.1892629
Moved 329.3227 484.1685 453.4157 0.2874272 0.1682502
Moved 329.3368 499.1884 447.386 0.3221954 0.1527418
Moved 329.3524 511.2437 441.8781 0.3501013 0.1385753
Moved 329.3765 529.9125 435.2175 0.393316 0.1214441
Moved 329.3891 536.8087 432.6765 0.4092793 0.1149086
Stationary 329.3992 536.8087 432.6765 0.4092793 0.1149086
Moved 329.414 542 431.5 0.4212962 0.1118827
Moved 329.43 545.1649 431 0.4286225 0.1105966
Moved 329.446 547.9192 431 0.4349981 0.1105966
Moved 329.4597 549.3356 431 0.4382769 0.1105966
Moved 329.4762 550 431 0.4398148 0.1105966
Stationary 329.4923 550 431 0.4398148 0.1105966
Stationary 329.5078 550 431 0.4398148 0.1105966
Moved 329.5227 539.5767 441.4233 0.4156867 0.1374056
Moved 329.5396 529.2644 447.8531 0.3918157 0.1539432
Moved 329.5531 511.6019 456.0299 0.3509302 0.1749739
Moved 329.5694 498.4223 460.6837 0.3204219 0.1869436
Moved 329.5842 482.6689 466.484 0.2839558 0.201862
Moved 329.5996 462.4765 472.0073 0.2372141 0.216068
Moved 329.6148 445.2901 476.6775 0.1974308 0.2280799
Moved 329.6325 427.3961 480.8317 0.1560094 0.2387646
Moved 329.6455 408.5 486 0.1122685 0.2520575
Moved 329.6609 393.9015 487.4426 0.07847577 0.255768
Moved 329.6766 380.1376 488 0.04661491 0.2572016
Moved 329.6921 366.321 489.4679 0.01463195 0.260977
Moved 329.7067 349.5011 489.8635 -0.02430295 0.2619945
Moved 329.7248 336.7459 490 -0.0538289 0.2623456
Moved 329.7379 323.3311 490 -0.08488174 0.2623456
Moved 329.7533 309.8303 490 -0.1161336 0.2623456
Moved 329.7691 300.6491 490 -0.1373864 0.2623456
Moved 329.7837 285.1602 490 -0.1732404 0.2623456
Moved 329.7998 275.5782 481.3507 -0.1954209 0.2400995
Moved 329.8153 265.5392 479.7913 -0.2186592 0.2360887
Moved 329.832 259.0305 478.4061 -0.2337256 0.232526
Moved 329.8456 253.0857 477.0214 -0.2474867 0.2289644
Moved 329.8606 247.5363 475.6341 -0.2603326 0.2253962
Moved 329.8793 244.5 474.5 -0.2673611 0.2224794
Moved 329.8923 241.387 474 -0.274567 0.2211934
Moved 329.908 239.804 474 -0.2782316 0.2211934
Stationary 329.923 240 474 -0.2777777 0.2211934
Stationary 329.9388 240 474 -0.2777777 0.2211934
Stationary 329.9533 240 474 -0.2777777 0.2211934
Stationary 329.9685 240 474 -0.2777777 0.2211934
Moved 329.9841 240 482.3086 -0.2777777 0.2425631
Moved 330.0003 253.4005 492.0504 -0.2467582 0.2676191
Moved 330.0162 265.5 504.5 -0.21875 0.2996398
Moved 330.0314 280.228 518.2982 -0.1846573 0.3351291
Moved 330.0468 296.7112 532.0927 -0.1465018 0.3706087
Moved 330.0622 320.2343 552.83 -0.09205028 0.4239454
Moved 330.0772 349.7564 574.2219 -0.02371202 0.4789656
Moved 330.0934 384.6208 594.9725 0.05699247 0.5323365
Moved 330.1082 403 606 0.09953707 0.5606995
Moved 330.1243 431.861 622.3406 0.1663449 0.6027277
Moved 330.14 451.5328 630.9426 0.2118814 0.6248523
Moved 330.1605 487.231 646.4734 0.2945161 0.6647979
Stationary 330.1718 487.231 646.4734 0.2945161 0.6647979
Moved 330.1849 497.7849 650.4193 0.3189465 0.6749467
Moved 330.2007 508.8829 653.7208 0.3446364 0.6834381
Moved 330.2161 514.9772 656.4886 0.3587436 0.6905569
Moved 330.2315 518.931 658.4655 0.3678959 0.6956416
Moved 330.2468 523.0701 659.6901 0.3774771 0.6987913
Moved 330.2623 526.1489 661.0745 0.384604 0.7023518
Moved 330.2782 527.4661 661 0.3876529 0.7021603
Ended 330.2935 530 661 0.3935185 0.7021603
Candidates 330.3966 12 what that wheat wednesday defeat every ebay radar agar quarter start regret
Began 330.9221 427 430 0.1550926 0.1080246
Stationary 330.9409 427 430 0.1550926 0.1080246
Stationary 330.9552 427 430 0.1550926 0.1080246
Moved 330.9698 427 437.1724 0.1550926 0.1264722
Moved 330.987 427 447.9205 0.1550926 0.1541163
Moved 331.0022 427 460.2662 0.1550926 0.1858697
Moved 331.017 427 480.1808 0.1550926 0.2370904
Moved 331.0318 427 497.6086 0.1550926 0.2819149
Moved 331.0475 427 506.0237 0.1550926 0.3035588
Moved 331.0624 427 523.8843 0.1550926 0.3494968
Moved 331.0804 427 538.2104 0.1550926 0.3863434
Moved 331.0946 427 548.1321 0.1550926 0.4118624
Moved 331.1099 427 558.822 0.1550926 0.439357
Moved 331.1255 435.552 571.69 0.1748889 0.4724536
Moved 331.141 440.8259 585.5648 0.187097 0.5081397
Ended 331.1568 446.5 597.5 0.2002315 0.5388373
Accept 331.1974 0 what
Began 331.6315 501 518 0.3263889 0.3343621
Stationary 331.6489 501 518 0.3263889 0.3343621
Stationary 331.6643 501 518 0.3263889 0.3343621
Stationary 331.6795 501 518 0.3263889 0.3343621
Stationary 331.6947 501 518 0.3263889 0.3343621
Stationary 331.7107 501 518 0.3263889 0.3343621
Stationary 331.7263 501 518 0.3263889 0.3343621
Stationary 331.7415 501 518 0.3263889 0.3343621
Stationary 331.7559 501 518 0.3263889 0.3343621
Moved 331.7787 492 518 0.3055556 0.3343621
Stationary 331.7892 492 518 0.3055556 0.3343621
Moved 331.8032 489.0871 518 0.2988127 0.3343621
Stationary 331.8183 489.0871 518 0.2988127 0.3343621
Moved 331.8348 486.7776 518 0.2934665 0.3343621
Stationary 331.8492 486.7776 518 0.2934665 0.3343621
Moved 331.8651 485.2316 512.621 0.2898879 0.3205271
Moved 331.882 483.9146 509.9146 0.2868392 0.3135662
Stationary 331.8958 483.9146 509.9146 0.2868392 0.3135662
Moved 331.9108 483 508.1451 0.2847222 0.3090152
Moved 331.9274 481.7578 508 0.2818466 0.3086419
Moved 331.9429 482 507.3749 0.2824074 0.307034
Moved 331.9581 482 506.5 0.2824074 0.3047839
