the postal service is very slow
the postal service is very slow
FixStart
0.6 0.6
432 388.8
Began 562.0736 429 249 0.1597223 -0.3575103
Stationary 562.0931 429 249 0.1597223 -0.3575103
Stationary 562.1076 429 249 0.1597223 -0.3575103
Stationary 562.1235 429 249 0.1597223 -0.3575103
Moved 562.1378 429 264.8806 0.1597223 -0.3166651
Moved 562.1549 414.6834 279.5541 0.1265819 -0.2789248
Moved 562.1697 404.6779 296.8379 0.103421 -0.2344705
Moved 562.1847 396.4324 309.3514 0.08433431 -0.2022856
Moved 562.2006 389.4148 321.7175 0.06808976 -0.1704798
Moved 562.2155 383.3458 335.3083 0.05404125 -0.1355239
Moved 562.2313 378.9091 343.1514 0.04377117 -0.1153513
Moved 562.2467 376.2097 351.3707 0.03752251 -0.09421109
Moved 562.2622 373.4855 357.7862 0.03121655 -0.07771048
Moved 562.2772 371.9189 362.2435 0.0275899 -0.0662463
Moved 562.2926 370.6461 368.7698 0.02464364 -0.04946053
Moved 562.3081 369.5 371.5 0.02199074 -0.04243827
Moved 562.3239 369.1774 374.6451 0.02124409 -0.03434891
Moved 562.3383 369 376.1869 0.02083332 -0.03038359
Moved 562.3535 369 377.5569 0.02083332 -0.02685994
Moved 562.3693 369 378.9219 0.02083332 -0.02334909
Stationary 562.3845 369 379 0.02083332 -0.02314815
Moved 562.3993 389.1267 373.7639 0.06742299 -0.03661568
Moved 562.4171 409.1184 359.907 0.1136999 -0.0722557
Moved 562.4308 422.5933 350.5892 0.1448919 -0.09622118
Moved 562.4463 443.4873 330.9452 0.1932576 -0.1467459
Moved 562.4628 456.5577 315.1084 0.2235131 -0.1874784
Moved 562.4775 468.0788 302.9211 0.2501824 -0.2188243
Moved 562.4933 477.5092 289.9854 0.272012 -0.2520953
Moved 562.5082 485.8184 276.0257 0.2912462 -0.2879998
Moved 562.5281 491.4688 263.9453 0.3043259 -0.3190709
Moved 562.5392 495.4331 253.1785 0.3135024 -0.3467632
Moved 562.5537 495.3609 250.1956 0.3133354 -0.3544354
Moved 562.5696 496 242.5634 0.3148148 -0.3740654
Moved 562.5857 496 239.5503 0.3148148 -0.3818152
Moved 562.6006 486.0134 234.8251 0.2916978 -0.3939685
Moved 562.6183 467.6074 234 0.2490911 -0.3960905
Moved 562.6313 440.5766 252.4965 0.1865198 -0.3485174
Moved 562.6469 419.1632 262.7582 0.1369519 -0.3221239
Moved 562.6644 406.2233 269.7873 0.1069984 -0.304045
Moved 562.6776 389.6933 275.402 0.06873459 -0.2896039
Moved 562.6931 376.3469 280.8612 0.03784011 -0.2755628
Moved 562.7092 362.6707 286.3317 0.006182095 -0.2614926
Moved 562.7233 352.6157 291.791 -0.01709322 -0.2474512
Moved 562.7396 340.7301 296.09 -0.04460623 -0.2363942
Moved 562.7554 334.7494 299.438 -0.0584505 -0.227783
Moved 562.7708 330.4728 302.3514 -0.06834999 -0.2202895
Moved 562.7859 327.5593 303.1469 -0.07509416 -0.2182437
Moved 562.8007 325.4283 304.5717 -0.08002698 -0.2145792
Moved 562.8161 324.0696 305 -0.08317212 -0.2134774
Moved 562.8314 322.7041 306.296 -0.08633316 -0.2101441
Moved 562.8475 322 307 -0.08796295 -0.2083334
Ended 562.8636 322 307 -0.08796295 -0.2083334
Candidates 563.0759 12 the weeks else tells held gels els heels feels rights there right
Began 563.4283 414 213 0.125 -0.4501029
Stationary 563.4478 414 213 0.125 -0.4501029
Stationary 563.4627 414 213 0.125 -0.4501029
Stationary 563.4781 414 213 0.125 -0.4501029
Stationary 563.4929 414 213 0.125 -0.4501029
Moved 563.5085 414 221.5944 0.125 -0.4279981
Moved 563.5247 414 237.7339 0.125 -0.386487
Moved 563.5402 414 257.98 0.125 -0.3344134
Moved 563.5553 414 268.5384 0.125 -0.3072572
Moved 563.5708 414 292.0413 0.125 -0.2468075
Moved 563.5854 414 308.4318 0.125 -0.2046509
Moved 563.6026 414 317.3495 0.125 -0.1817142
Moved 563.6169 414 325.2299 0.125 -0.1614458
Moved 563.6327 414 332.0477 0.125 -0.1439102
Moved 563.6477 414 335.7108 0.125 -0.1344886
Moved 563.6631 414 337.6924 0.125 -0.1293919
Moved 563.6785 414 338.9487 0.125 -0.1261609
Moved 563.6938 414 340.3193 0.125 -0.1226355
Moved 563.7087 414 341.5 0.125 -0.1195988
Ended 563.7247 414 341 0.125 -0.1208849
Accept 563.7509 0 the
Began 564.5848 395 222 0.08101851 -0.4269547
Stationary 564.6049 395 222 0.08101851 -0.4269547
Stationary 564.6212 395 222 0.08101851 -0.4269547
Stationary 564.634 395 222 0.08101851 -0.4269547
Stationary 564.648 395 222 0.08101851 -0.4269547
Stationary 564.6666 395 222 0.08101851 -0.4269547
Stationary 564.6805 395 222 0.08101851 -0.4269547
Moved 564.6954 425.9109 249.5085 0.1525715 -0.3562023
Moved 564.7109 447.3965 272.5106 0.2023066 -0.2970408
Moved 564.7267 502 319.5 0.3287037 -0.1761832
Moved 564.7419 512.4286 328.4286 0.3528441 -0.1532186
Moved 564.7571 526.3171 339.8537 0.3849934 -0.1238331
Moved 564.7728 543.7859 355.1877 0.4254303 -0.08439381
Moved 564.7944 561.6354 371.6354 0.4667487 -0.04209
Stationary 564.8068 561.6354 371.6354 0.4667487 -0.04209
Moved 564.8192 570.5 379 0.4872685 -0.02314815
Moved 564.8334 575.8635 383.1476 0.4996841 -0.01248034
Moved 564.8493 579.1296 386.1296 0.5072446 -0.0048106
Moved 564.8655 583.2755 391.7007 0.5168415 0.009518141
Moved 564.881 583.7945 392.7945 0.5180429 0.01233148
Moved 564.8954 584 394.1583 0.5185185 0.01583924
Moved 564.9106 584 397 0.5185185 0.02314815
Moved 564.9268 584 398.8687 0.5185185 0.02795427
Moved 564.9424 568.8579 400.0095 0.4834674 0.03088849
Moved 564.9577 549.7586 401.3744 0.439256 0.03439907
Moved 564.973 522.7199 395.8355 0.3766665 0.02015298
Moved 564.9888 500.3307 389.5826 0.3248396 0.004070502
Moved 565.0057 465.54 376.8744 0.2443056 -0.02861533
Moved 565.0187 408.8093 348.6406 0.1129845 -0.1012332
Moved 565.0344 382.6328 336.4154 0.0523907 -0.1326765
Moved 565.0497 365 327.5 0.01157403 -0.1556071
Moved 565.0653 350.3547 317.4717 -0.02232705 -0.1814
Moved 565.0809 320.9055 300.9527 -0.09049664 -0.2238872
Moved 565.0964 300.6138 288.9683 -0.1374681 -0.2547112
Moved 565.114 287.0672 282.6269 -0.168826 -0.2710215
Moved 565.1286 272.4904 277.1783 -0.2025686 -0.2850352
Moved 565.144 261.4589 271.7294 -0.2281044 -0.2990499
Moved 565.1577 251.2228 267.9526 -0.2517991 -0.3087638
Moved 565.1727 245.1195 265.4478 -0.2659271 -0.3152063
Moved 565.189 239.7566 263.9391 -0.2783412 -0.3190866
Moved 565.2048 237.1463 264 -0.2843837 -0.31893
Moved 565.2194 235.2079 264 -0.2888707 -0.31893
Stationary 565.2347 235 264 -0.2893518 -0.31893
Moved 565.2503 233.5 264 -0.2928241 -0.31893
Stationary 565.2659 233.5 264 -0.2928241 -0.31893
Moved 565.281 234 264 -0.2916667 -0.31893
Moved 565.2965 234 276.2168 -0.2916667 -0.2875082
Moved 565.312 289.225 317.3419 -0.163831 -0.1817338
Moved 565.327 329.5704 348.4482 -0.07043893 -0.101728
Moved 565.3433 352.4379 363.1657 -0.01750489 -0.06387428
Moved 565.3596 366.5972 369.7986 0.01527141 -0.04681418
Moved 565.3735 384.022 381.3999 0.05560656 -0.01697556
Moved 565.3888 394 390.5 0.07870366 0.006429962
Moved 565.4039 399.0041 393.3361 0.09028733 0.01372435
Moved 565.4194 400.9129 394.9129 0.09470581 0.01778006
Moved 565.442 402 396.5 0.09722222 0.02186214
Stationary 565.4526 402 396.5 0.09722222 0.02186214
Moved 565.4649 402 396 0.09722222 0.02057605
Moved 565.4811 386.9009 396 0.06227066 0.02057605
Moved 565.497 356.4349 381.3165 -0.00825261 -0.01719008
Moved 565.5148 324.6812 370.1934 -0.08175661 -0.04579889
Moved 565.5281 303.1383 363.0461 -0.1316243 -0.06418196
Moved 565.543 270 346 -0.2083333 -0.1080248
Moved 565.5585 255.1626 338.626 -0.2426792 -0.1269908
Moved 565.5746 238.7074 329.0793 -0.2807699 -0.1515451
Moved 565.5898 226.235 318.8755 -0.3096412 -0.1777893
Moved 565.6058 216.9754 309.9754 -0.3310755 -0.2006806
Moved 565.6196 208.7721 301.7721 -0.3500646 -0.2217797
Moved 565.6349 206.5 299.5 -0.3553241 -0.2276234
Moved 565.6506 204.2189 297.2189 -0.3606045 -0.2334907
Moved 565.6667 204 294.7108 -0.3611111 -0.2399414
Moved 565.681 202.5 293.5 -0.3645833 -0.2430556
Moved 565.6956 203 290.377 -0.3634259 -0.251088
Moved 565.7118 219.1356 282.5528 -0.326075 -0.2712119
Moved 565.7274 244.102 273.7714 -0.2682825 -0.2937979
Moved 565.7422 282.949 264.2452 -0.1783587 -0.3182994
Moved 565.7595 321.5803 262.0221 -0.0889345 -0.3240172
Moved 565.7742 381.182 255.2748 0.04903247 -0.3413715
Moved 565.7897 426.6297 256 0.1542355 -0.3395062
Moved 565.8049 464.958 254.9301 0.2429585 -0.3422582
Moved 565.8204 497.4101 255 0.318079 -0.3420782
Moved 565.8361 533.9984 260.4777 0.4027739 -0.3279895
Moved 565.8514 555.3395 262 0.4521748 -0.3240741
Moved 565.8679 571 262 0.4884259 -0.3240741
Moved 565.8807 584.008 262 0.518537 -0.3240741
Moved 565.8968 595.6407 263.8973 0.5454646 -0.3191941
Moved 565.9122 605.2604 266.6458 0.5677325 -0.312125
Ended 565.9289 618 269 0.5972223 -0.30607
Candidates 566.0015 12 postal israel powerful portal oral partial ideal peak pearl powell bootstrap distal
Began 566.373 423 226 0.1458333 -0.4166668
Stationary 566.3966 423 226 0.1458333 -0.4166668
Stationary 566.4075 423 226 0.1458333 -0.4166668
Stationary 566.4203 423 226 0.1458333 -0.4166668
Stationary 566.4363 423 226 0.1458333 -0.4166668
Stationary 566.4521 423 226 0.1458333 -0.4166668
Stationary 566.4667 423 226 0.1458333 -0.4166668
Stationary 566.4822 423 226 0.1458333 -0.4166668
Stationary 566.4977 423 226 0.1458333 -0.4166668
Stationary 566.5132 423 226 0.1458333 -0.4166668
Moved 566.5294 423 246.8983 0.1458333 -0.3629159
Moved 566.5443 423 260.1851 0.1458333 -0.328742
Moved 566.5607 413.3357 282.0898 0.1234623 -0.2724027
Moved 566.5759 412.1959 295.0409 0.1208239 -0.2390924
Moved 566.5904 409.6612 307.5248 0.1149564 -0.2069836
Moved 566.6069 408.5 322.5 0.1122685 -0.1684671
Moved 566.6221 408.3932 326.0338 0.1120214 -0.1593781
Moved 566.6376 408 332.8447 0.1111111 -0.1418603
Moved 566.6539 406.6689 338.3242 0.1080299 -0.127767
Moved 566.6681 406.3068 340.3865 0.1071916 -0.1224628
Moved 566.6832 406 342.0554 0.1064815 -0.1181702
Moved 566.6982 406 344.8351 0.1064815 -0.1110209
Moved 566.7161 405 344.7819 0.1041667 -0.1111578
Moved 566.7294 404.1304 345 0.1021536 -0.1105968
Ended 566.7446 404 346.1938 0.1018518 -0.1075263
Accept 566.7863 0 postal
Began 567.0508 438 238 0.1805556 -0.3858025
Stationary 567.0674 438 238 0.1805556 -0.3858025
Stationary 567.0822 438 238 0.1805556 -0.3858025
Stationary 567.0983 438 238 0.1805556 -0.3858025
Stationary 567.1182 438 238 0.1805556 -0.3858025
Stationary 567.1302 438 238 0.1805556 -0.3858025
Moved 567.1453 430.3559 238 0.1628609 -0.3858025
Moved 567.1625 418.2795 238 0.1349062 -0.3858025
Moved 567.1766 411.131 238 0.1183587 -0.3858025
Moved 567.191 394.8972 238 0.08078048 -0.3858025
Moved 567.2075 380.7816 238 0.04810542 -0.3858025
Moved 567.2233 365.192 238 0.01201838 -0.3858025
Moved 567.2374 342.9462 238 -0.03947631 -0.3858025
Moved 567.2542 327.3298 244.4468 -0.07562548 -0.3692212
Moved 567.2695 311.0056 247.1663 -0.1134131 -0.3622268
Moved 567.2845 299.5 250 -0.1400463 -0.3549383
Moved 567.3012 294.5313 250.3527 -0.1515479 -0.3540312
Moved 567.3181 284.6886 252.8623 -0.1743319 -0.3475764
Moved 567.3308 279.0956 254.2261 -0.1872789 -0.3440688
Moved 567.3467 275.8121 255.594 -0.1948793 -0.3405505
Moved 567.3622 273.0672 256.9664 -0.2012333 -0.3370207
Moved 567.3779 270.3325 258.3337 -0.2075637 -0.3335038
Moved 567.3909 268.3055 260.3891 -0.2122559 -0.3282174
Moved 567.4065 267.2113 261.7886 -0.2147886 -0.3246177
Moved 567.4235 264.8278 265.2583 -0.220306 -0.3156937
Moved 567.4379 263.5509 270.7963 -0.2232618 -0.3014499
Moved 567.4528 263.1869 277.0656 -0.2241044 -0.2853251
Moved 567.4692 263 282.743 -0.2245371 -0.2707228
Moved 567.484 263 292.5 -0.2245371 -0.2456276
Moved 567.4991 263 297.6668 -0.2245371 -0.2323384
Moved 567.5143 263 303.1348 -0.2245371 -0.2182748
Moved 567.5356 270.2074 318.7659 -0.2078533 -0.1780712
Stationary 567.5465 270.2074 318.7659 -0.2078533 -0.1780712
Moved 567.562 277.3604 328.6307 -0.1912954 -0.1526987
Moved 567.5772 281.3833 335.3055 -0.1819831 -0.1355312
Moved 567.5922 286.2884 342.1105 -0.1706288 -0.1180287
Moved 567.608 291.7422 347.7422 -0.1580041 -0.1035438
Moved 567.6232 300 354.5 -0.1388889 -0.08616254
Moved 567.6372 307.1639 357.388 -0.1223057 -0.07873456
Moved 567.6537 319.5875 361.85 -0.09354755 -0.06725837
Moved 567.6686 337.193 367.2902 -0.05279392 -0.05326612
Moved 567.6849 357.6552 371.7586 -0.005427747 -0.04177321
Moved 567.7001 373.5845 376.1594 0.03144572 -0.03045423
Moved 567.7151 387.1672 376 0.06288697 -0.03086435
Moved 567.7305 400.0653 377 0.09274374 -0.02829226
Moved 567.7462 410.0435 377 0.1158415 -0.02829226
Moved 567.7612 414.6194 377 0.1264337 -0.02829226
Moved 567.7762 420 377 0.1388889 -0.02829226
Moved 567.7924 422.7874 377 0.1453412 -0.02829226
Moved 567.8076 425.5212 377 0.1516696 -0.02829226
Moved 567.8235 428.2462 365.8844 0.1579774 -0.05688176
Moved 567.8381 431.953 356.1254 0.1665578 -0.08198208
Moved 567.8548 434.6812 317.1233 0.172873 -0.1822961
Moved 567.8702 435.5 292.5 0.1747686 -0.2456276
Moved 567.8845 436.7667 253.5327 0.1777007 -0.3458521
Moved 567.8995 439.2605 230.0464 0.1834733 -0.4062593
Moved 567.9198 440.5 203.5 0.1863426 -0.4745371
Moved 567.9329 445.742 185.1182 0.1984768 -0.5218154
Moved 567.9468 448.5578 164.8164 0.2049949 -0.5740319
Moved 567.9619 452.9231 150.5897 0.2150998 -0.6106232
Moved 567.9779 456.0282 139.9014 0.2222875 -0.6381139
Moved 567.993 458.0654 132.771 0.2270033 -0.6564533
Moved 568.0096 459.4086 127.3656 0.2301125 -0.670356
Moved 568.0236 460.7755 121.6735 0.2332767 -0.6849962
Moved 568.0386 461 118.7119 0.2337964 -0.6926134
Moved 568.0544 462.5 116 0.2372685 -0.6995885
Moved 568.0707 462 116 0.2361111 -0.6995885
Moved 568.0854 462 128.3893 0.2361111 -0.667723
Moved 568.101 462 144 0.2361111 -0.627572
Moved 568.1166 462.6853 194.0961 0.2376973 -0.4987241
Moved 568.1317 467.196 253.1555 0.2481388 -0.3468223
Moved 568.1464 478.3124 308.976 0.2738712 -0.2032512
Moved 568.1629 498.1525 356.9907 0.3197974 -0.07975637
Moved 568.178 514.7576 390.3688 0.3582352 0.006092448
Moved 568.1924 529.5 408 0.3923611 0.05144025
Moved 568.2088 540.0953 421.7075 0.4168872 0.08669625
Moved 568.2236 545.6649 428.5979 0.4297799 0.1044184
Moved 568.2391 547.2796 432.8387 0.4335176 0.1153259
Moved 568.261 549 440.0226 0.4375 0.1338029
Stationary 568.2721 549 440.0226 0.4375 0.1338029
Moved 568.2853 549 444.1285 0.4375 0.1443634
Moved 568.3021 549 446.4835 0.4375 0.1504203
Moved 568.3163 540.1767 448.1029 0.4170757 0.1545856
Moved 568.3317 527.7517 448 0.3883141 0.1543209
Moved 568.3467 508.8612 434.3889 0.3445862 0.119313
Moved 568.3645 428.6183 356.4779 0.1588387 -0.0810755
Moved 568.3787 409.6708 336.459 0.1149786 -0.1325642
Moved 568.3931 396.1642 316.6628 0.08371352 -0.1834805
Moved 568.4086 384.3851 298.5777 0.05644709 -0.2299957
Moved 568.4247 372.2137 280.9753 0.02827237 -0.2752694
