effort is what it will take
effort is what it will take
Basic
0.6 0.6
432 388.8
Began 321.6456 301 478 -0.1365741 0.2314814
Stationary 321.6649 301 478 -0.1365741 0.2314814
Stationary 321.6799 301 478 -0.1365741 0.2314814
Stationary 321.6945 301 478 -0.1365741 0.2314814
Stationary 321.7095 301 478 -0.1365741 0.2314814
Stationary 321.725 301 478 -0.1365741 0.2314814
Stationary 321.7413 301 478 -0.1365741 0.2314814
Stationary 321.7571 301 478 -0.1365741 0.2314814
Stationary 321.7719 301 478 -0.1365741 0.2314814
Moved 321.7871 288.6726 486.9654 -0.1651098 0.2545406
Moved 321.8035 285.3129 488.5624 -0.1728868 0.258648
Moved 321.8195 280.997 491.002 -0.1828774 0.2649228
Moved 321.8331 276.6726 492.4424 -0.1928875 0.2686276
Moved 321.8503 272.217 495.783 -0.2032014 0.2772195
Moved 321.8644 268.0549 497.3151 -0.212836 0.2811601
Moved 321.8804 266.2907 498.3547 -0.2169196 0.283834
Moved 321.8956 264.0999 499.9001 -0.221991 0.2878088
Moved 321.9107 261.3723 501.3138 -0.2283048 0.291445
Moved 321.9266 260.5 501 -0.2303241 0.2906378
Moved 321.9423 259.9772 502.0228 -0.2315343 0.2932685
Moved 321.9576 258.5 502 -0.2349537 0.2932098
Stationary 321.9722 258.5 502 -0.2349537 0.2932098
Moved 321.988 256.9337 503.0663 -0.2385793 0.2959523
Stationary 322.0027 256.9337 503.0663 -0.2385793 0.2959523
Stationary 322.0175 256.9337 503.0663 -0.2385793 0.2959523
Moved 322.0335 255.7511 503 -0.241317 0.2957818
Moved 322.0496 256 504.3611 -0.2407407 0.2992826
Stationary 322.0653 256 504.3611 -0.2407407 0.2992826
Stationary 322.0797 256 504 -0.2407407 0.2983539
Stationary 322.096 256 504 -0.2407407 0.2983539
Stationary 322.1111 256 504 -0.2407407 0.2983539
Moved 322.1271 261.4667 504 -0.2280864 0.2983539
Moved 322.143 269.1825 504 -0.2102256 0.2983539
Moved 322.1569 278.9658 490.6952 -0.1875793 0.2641336
Moved 322.1732 287.5957 481.305 -0.1676024 0.2399819
Moved 322.1878 295.7283 470.6346 -0.148777 0.2125376
Moved 322.2041 301.7375 460.2724 -0.1348668 0.1858857
Moved 322.2198 308.4554 450.3624 -0.1193161 0.1603969
Moved 322.2352 314.2202 437.0964 -0.1059718 0.1262766
Moved 322.2503 318.9451 427.1373 -0.09503449 0.1006616
Moved 322.265 323.2415 415.6893 -0.08508911 0.07121718
Moved 322.2811 325.7253 407.6868 -0.07933964 0.0506348
Moved 322.2959 328.581 396.6758 -0.07272909 0.02231429
Moved 322.3111 331 391.5 -0.06712963 0.009002057
Moved 322.3275 331.8224 386.7104 -0.06522596 -0.003316824
Moved 322.3458 333.2603 382.2192 -0.06189749 -0.01486845
Moved 322.3571 334 377.9014 -0.06018519 -0.02597385
Moved 322.3727 335.141 374.718 -0.05754402 -0.03416156
Moved 322.3876 335.5779 372.4221 -0.05653267 -0.04006664
Moved 322.4031 336 370.9319 -0.05555556 -0.04389947
Moved 322.4188 336 369.5 -0.05555556 -0.04758238
Moved 322.4349 337.4953 368.5048 -0.05209426 -0.05014215
Stationary 322.4515 337.4953 368.5048 -0.05209426 -0.05014215
Moved 322.4665 338.5295 369 -0.04970029 -0.04886839
Moved 322.4806 340.9363 369 -0.04412899 -0.04886839
Moved 322.4967 346.569 369 -0.03109028 -0.04886839
Moved 322.5114 362.8706 392.8706 0.006644825 0.01252724
Moved 322.5269 380.3201 410.3201 0.0470373 0.05740765
Moved 322.5431 394.9351 426.2162 0.0808683 0.09829262
Moved 322.5584 421.2239 450.594 0.141722 0.1609927
Moved 322.5734 439.0031 464.2523 0.1828776 0.1961221
Moved 322.5965 473.307 491.9506 0.2622848 0.2673625
Stationary 322.6078 473.307 491.9506 0.2622848 0.2673625
Moved 322.6193 485.9167 501.7977 0.2914738 0.2926894
Moved 322.6345 496.951 509.9633 0.3170162 0.3136914
Moved 322.65 504.3188 514.1822 0.3340712 0.3245426
Moved 322.6652 520.5 521.5 0.3715278 0.3433641
Moved 322.6804 529.5023 525.7867 0.3923664 0.3543895
Moved 322.6965 541.0712 530.1517 0.4191463 0.3656166
Moved 322.7114 547.0914 531.8183 0.4330819 0.369903
Moved 322.7262 553.0266 534.5132 0.4468207 0.3768344
Moved 322.7414 557.0782 535.6927 0.4561996 0.3798681
Moved 322.7595 560.5839 537 0.4643145 0.3832304
Moved 322.7742 561 538.0209 0.4652777 0.385856
Moved 322.7903 562.4597 538 0.4686566 0.3858024
Stationary 322.8051 562 538 0.4675925 0.3858024
Moved 322.8197 562 539 0.4675925 0.3883744
Stationary 322.8358 562 539 0.4675925 0.3883744
Moved 322.8516 548.5453 540 0.4364474 0.3909464
Moved 322.8667 542.3668 540 0.4221453 0.3909464
Moved 322.8822 532.5314 541.0426 0.3993781 0.393628
Moved 322.8982 506.2104 541 0.33845 0.3935184
Moved 322.913 486.6985 541 0.2932835 0.3935184
Moved 322.9288 464.7463 541 0.2424683 0.3935184
Moved 322.9449 441.4948 531.4158 0.1886452 0.3688677
Moved 322.9593 428.5464 529.2578 0.1586722 0.3633171
Moved 322.9748 405.0196 525.8366 0.1042121 0.3545179
Moved 322.9905 384.4555 523.4547 0.05660991 0.3483915
Moved 323.0064 375.7738 522.7311 0.03651341 0.3465306
Moved 323.0201 353.0708 519.5634 -0.01603991 0.3383832
Moved 323.038 346.6493 517.6998 -0.03090436 0.33359
Moved 323.0519 330.5146 516.6893 -0.06825333 0.330991
Moved 323.0674 326.7792 515.9632 -0.07690007 0.3291234
Moved 323.0832 316.6729 514.5247 -0.1002942 0.3254236
Moved 323.0981 308.4807 515 -0.1192575 0.326646
Moved 323.1132 305.8988 515 -0.1252342 0.326646
Moved 323.1291 299.4399 515 -0.1401854 0.326646
Moved 323.1442 298.3722 515 -0.1426569 0.326646
Stationary 323.1599 298 515 -0.1435185 0.326646
Stationary 323.1735 298 515 -0.1435185 0.326646
Stationary 323.1883 298 515 -0.1435185 0.326646
Stationary 323.2041 298 515 -0.1435185 0.326646
Stationary 323.2201 298 515 -0.1435185 0.326646
Moved 323.2354 308.5856 523.2332 -0.1190149 0.347822
Moved 323.2514 321.0803 526.6934 -0.09009191 0.3567217
