a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Began 1583.929 154 332 -0.4768519 -0.144033
Stationary 1583.951 154 332 -0.4768519 -0.144033
Stationary 1583.964 154 332 -0.4768519 -0.144033
Stationary 1583.977 154 332 -0.4768519 -0.144033
Stationary 1583.996 154 332 -0.4768519 -0.144033
Stationary 1584.009 154 332 -0.4768519 -0.144033
Stationary 1584.024 154 332 -0.4768519 -0.144033
Stationary 1584.04 154 332 -0.4768519 -0.144033
Stationary 1584.055 154 332 -0.4768519 -0.144033
Stationary 1584.07 154 332 -0.4768519 -0.144033
Stationary 1584.087 154 332 -0.4768519 -0.144033
Stationary 1584.101 154 332 -0.4768519 -0.144033
Stationary 1584.116 154 332 -0.4768519 -0.144033
Stationary 1584.132 154 332 -0.4768519 -0.144033
Stationary 1584.147 154 332 -0.4768519 -0.144033
Stationary 1584.163 154 332 -0.4768519 -0.144033
Stationary 1584.178 154 332 -0.4768519 -0.144033
Ended 1584.194 154 332 -0.4768519 -0.144033
Candidates 1584.251 4 a z s x
Began 1584.717 352 339 -0.01851852 -0.1260288
Stationary 1584.734 352 339 -0.01851852 -0.1260288
Moved 1584.75 352 348.387 -0.01851852 -0.1018855
Moved 1584.765 352 361.4459 -0.01851852 -0.06829759
Moved 1584.78 352 381.8526 -0.01851852 -0.01581121
Moved 1584.796 352 404.3416 -0.01851852 0.04203086
Moved 1584.811 352 433.607 -0.01851852 0.1173019
Moved 1584.828 363.7581 455.4557 0.008699299 0.1734971
Moved 1584.843 364.5 481.5 0.01041671 0.2404835
Moved 1584.859 367.1993 498.9967 0.01666516 0.2854852
Moved 1584.872 369.0166 515.1994 0.02087176 0.3271589
Moved 1584.888 374.1536 533.0375 0.03276289 0.3730387
Moved 1584.904 379 544 0.04398147 0.4012345
Ended 1584.919 379 544 0.04398147 0.4012345
Accept 1584.948 0 a
Began 1585.671 418 221 0.1342593 -0.4295268
Stationary 1585.691 418 221 0.1342593 -0.4295268
Stationary 1585.71 418 221 0.1342593 -0.4295268
Stationary 1585.721 418 221 0.1342593 -0.4295268
Stationary 1585.735 418 221 0.1342593 -0.4295268
Moved 1585.751 418 211.2701 0.1342593 -0.4545522
Moved 1585.767 418 208.9823 0.1342593 -0.4604365
Moved 1585.783 418 207.7126 0.1342593 -0.4637021
Moved 1585.798 418 206.8014 0.1342593 -0.4660459
Moved 1585.812 418 205.5 0.1342593 -0.469393
Moved 1585.829 418 204.1738 0.1342593 -0.4728041
Moved 1585.844 418 202.8921 0.1342593 -0.4761007
Moved 1585.858 418 201.6104 0.1342593 -0.4793974
Stationary 1585.874 418 201.6104 0.1342593 -0.4793974
Moved 1585.891 418 200.6682 0.1342593 -0.4818204
Stationary 1585.907 418 200.6682 0.1342593 -0.4818204
Moved 1585.92 418 199.9292 0.1342593 -0.4837212
Stationary 1585.936 418 199.9292 0.1342593 -0.4837212
Stationary 1585.951 418 199.9292 0.1342593 -0.4837212
Stationary 1585.967 418 199.9292 0.1342593 -0.4837212
Stationary 1585.983 418 200 0.1342593 -0.4835392
Stationary 1585.998 418 200 0.1342593 -0.4835392
Stationary 1586.013 418 200 0.1342593 -0.4835392
Stationary 1586.029 418 200 0.1342593 -0.4835392
Stationary 1586.044 418 200 0.1342593 -0.4835392
Moved 1586.058 418 211.2667 0.1342593 -0.4545609
Moved 1586.074 411.1009 216.8293 0.1182891 -0.4402538
Moved 1586.09 403.1457 224.8251 0.09987434 -0.4196887
Moved 1586.106 396.7215 231.2786 0.08500338 -0.4030902
Moved 1586.12 388.746 238.254 0.06654163 -0.3851492
Moved 1586.136 381.0775 246.7428 0.04879058 -0.363316
Moved 1586.152 370.0973 256.8024 0.02337327 -0.3374423
Moved 1586.168 361.6655 265.3345 0.003855427 -0.3154978
Moved 1586.182 344.6492 281.0162 -0.03553435 -0.2751642
Moved 1586.198 335.4319 289.5681 -0.05687048 -0.2531686
Moved 1586.214 324.8362 299.2683 -0.08139765 -0.2282194
Moved 1586.229 315.868 308.132 -0.1021573 -0.2054221
Moved 1586.244 308.3495 315.6505 -0.1195614 -0.1860841
Moved 1586.259 298.9277 326.5215 -0.141371 -0.1581237
Moved 1586.276 289.9551 336.0449 -0.1621409 -0.1336296
Stationary 1586.292 289.9551 336.0449 -0.1621409 -0.1336296
Moved 1586.305 278.5866 353.2614 -0.1884568 -0.08934852
Moved 1586.321 271.1851 361.9409 -0.2055901 -0.06702447
Moved 1586.337 265.6598 370.8453 -0.21838 -0.04412215
Moved 1586.353 260.5718 379.7493 -0.2301579 -0.02122094
Moved 1586.368 258.2349 387.2954 -0.2355674 -0.001812216
Moved 1586.383 254.0413 394.9174 -0.2452748 0.01779164
Moved 1586.399 251.1489 402.5532 -0.2519701 0.03743105
Moved 1586.415 249.1569 408.5292 -0.2565812 0.05280145
Moved 1586.43 245.4722 416.0556 -0.2651106 0.07215939
Moved 1586.445 243.0836 425.2076 -0.2706399 0.09569847
Moved 1586.461 240.5165 431.4505 -0.2765822 0.1117553
Moved 1586.476 237.9518 438.1206 -0.282519 0.128911
Moved 1586.492 235.3883 444.5292 -0.2884529 0.1453939
Moved 1586.506 233.8299 449.3402 -0.2920604 0.157768
Moved 1586.521 232.1332 455.3339 -0.2959879 0.1731838
Moved 1586.538 231.095 458.715 -0.2983912 0.1818801
Moved 1586.555 229.8388 463.6447 -0.301299 0.1945592
Moved 1586.567 230 468.7715 -0.3009259 0.2077457
Moved 1586.582 228.2728 472.9087 -0.304924 0.2183865
Moved 1586.6 228 477.0267 -0.3055556 0.228978
