players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Stationary 335.901 399 502.5 0.09027779 0.2944958
Moved 335.9172 399 502 0.09027779 0.2932098
Moved 335.9335 384.0868 502 0.05575637 0.2932098
Moved 335.9496 372.9712 502 0.03002594 0.2932098
Moved 335.9643 358.7378 502 -0.00292177 0.2932098
Moved 335.9807 343.3224 502 -0.03860563 0.2932098
Moved 335.9956 327.9717 502 -0.07413948 0.2932098
Moved 336.0109 314.9446 502 -0.1042948 0.2932098
Moved 336.0267 301.1886 502.7811 -0.1361375 0.2952189
Moved 336.0414 289.2411 503 -0.1637938 0.2957818
Moved 336.0573 281.2769 503 -0.1822294 0.2957818
Moved 336.0725 268.8461 503 -0.2110043 0.2957818
Moved 336.0882 259.9939 503 -0.2314957 0.2957818
Moved 336.1035 250.9434 503 -0.2524458 0.2957818
Moved 336.1175 243.7995 503 -0.2689826 0.2957818
Moved 336.1345 239.537 503 -0.2788496 0.2957818
Moved 336.1494 236.1472 503 -0.2866964 0.2957818
Moved 336.1645 233.9391 503 -0.2918076 0.2957818
Moved 336.1801 231.0502 503 -0.298495 0.2957818
Moved 336.2024 228.6472 503 -0.3040574 0.2957818
Stationary 336.2132 228.6472 503 -0.3040574 0.2957818
Moved 336.2251 227.2069 503.7932 -0.3073915 0.2978218
Moved 336.2411 226.5 504.5 -0.3090278 0.2996398
Moved 336.2568 225.6707 504 -0.3109475 0.2983539
Stationary 336.2715 225.6707 504 -0.3109475 0.2983539
Moved 336.2878 226 505.3181 -0.3101852 0.301744
Moved 336.3051 226 505.6284 -0.3101852 0.302542
Moved 336.3195 233.4412 508.126 -0.2929603 0.308966
Moved 336.3348 243.5 511 -0.2696759 0.3163579
Moved 336.3503 255.9501 512.9929 -0.2408561 0.3214836
Moved 336.3654 270.2886 515.8577 -0.2076652 0.3288521
Moved 336.3818 277.6332 516.6619 -0.1906639 0.3309203
Moved 336.3971 284.9648 517.993 -0.1736925 0.334344
Moved 336.4121 293.5727 519.4288 -0.1537668 0.338037
Moved 336.4272 297.4635 520 -0.1447604 0.3395061
Moved 336.4429 300.5939 520 -0.1375141 0.3395061
Moved 336.4586 303.4856 521 -0.1308203 0.3420781
Moved 336.4737 306.3686 521 -0.1241467 0.3420781
Moved 336.489 307.5 521 -0.1215278 0.3420781
Moved 336.5043 308.7149 521.7149 -0.1187155 0.3439169
Moved 336.5185 310.1459 522 -0.1154029 0.3446501
Stationary 336.5338 310.1459 522 -0.1154029 0.3446501
Moved 336.5497 311 522 -0.113426 0.3446501
Moved 336.5646 312.457 522 -0.1100532 0.3446501
Stationary 336.5811 312.457 522 -0.1100532 0.3446501
Moved 336.5961 313.3196 522 -0.1080564 0.3446501
