good jobs for those with education
good jobs for those with education
FixStart
0.6 0.6
432 388.8
Moved 188.986 517 393 0.3634259 0.01285996
Moved 189.0011 517.9777 393 0.3656892 0.01285996
Stationary 189.0167 518 393 0.3657407 0.01285996
Moved 189.0312 521 411 0.3726852 0.05915629
Moved 189.0469 522.9151 430.1934 0.3771183 0.1085221
Moved 189.0629 525.809 461.8989 0.383817 0.190069
Moved 189.0783 529.684 482.1039 0.3927869 0.2420367
Moved 189.0931 532.5578 495.5102 0.3994393 0.2765179
Moved 189.1084 536.1492 508.1639 0.4077527 0.3090634
Moved 189.1243 538.123 516.6153 0.4123219 0.3308006
Moved 189.1398 540.9792 526.4271 0.4189334 0.3560367
Moved 189.1537 542.7353 535.3088 0.4229984 0.3788804
Moved 189.1715 545.9445 550.7225 0.4304271 0.418525
Moved 189.1851 547.4188 559.5128 0.4338398 0.4411335
Moved 189.2013 548.8597 565.4388 0.4371752 0.4563753
Moved 189.2172 549 571.1546 0.4375 0.4710765
Moved 189.2313 550 573.4681 0.4398148 0.477027
Moved 189.2467 551.1743 576.3486 0.4425331 0.4844355
Moved 189.2631 552.2202 577.2202 0.4449542 0.4866774
Moved 189.2789 553.7348 580.4695 0.4484602 0.4950347
Moved 189.2937 554 582.181 0.4490741 0.4994366
Moved 189.3147 556 585.0486 0.4537037 0.5068123
Stationary 189.3259 556 585.0486 0.4537037 0.5068123
Moved 189.339 557 585.4991 0.4560185 0.5079708
Moved 189.3536 557 586.5 0.4560185 0.5105452
Moved 189.3715 557 587.0099 0.4560185 0.5118566
Stationary 189.3861 557 587.0099 0.4560185 0.5118566
Stationary 189.3999 557 587 0.4560185 0.5118312
Moved 189.4168 541.8578 577.6818 0.4209673 0.4878645
Moved 189.4314 523.1666 561.7333 0.3777005 0.4468448
Moved 189.4479 500.6202 540.819 0.3255097 0.3930529
Moved 189.4621 475.8363 515.8363 0.2681397 0.328797
Moved 189.4785 455.6721 495.6721 0.2214632 0.2769344
Moved 189.4931 428.1052 460.6368 0.1576509 0.186823
Moved 189.5082 417.4255 445.1581 0.1329295 0.1470114
Moved 189.5241 407.9216 425.8319 0.1109296 0.09730421
Moved 189.5398 400.7264 409.9981 0.09427409 0.05657937
Moved 189.5546 396.3404 393.1346 0.08412123 0.01320619
Moved 189.5707 390.699 374.7718 0.07106254 -0.03402317
Moved 189.5863 389 365.5 0.06712963 -0.05787045
Moved 189.6015 386.2504 350.5024 0.06076485 -0.0964445
Moved 189.6162 384.6823 337.1409 0.05713503 -0.1308105
Moved 189.632 384.2466 325.4666 0.05612652 -0.1608371
Moved 189.6479 384 315.8142 0.0555556 -0.1856631
Moved 189.664 384 306.1681 0.0555556 -0.210473
Moved 189.6785 384 298.6127 0.0555556 -0.2299056
Moved 189.6935 384 288.5 0.0555556 -0.2559158
Moved 189.7111 384 283.4313 0.0555556 -0.2689524
Moved 189.7244 384 277.9135 0.0555556 -0.2831446
Moved 189.7401 384 272.5711 0.0555556 -0.2968851
Moved 189.7554 384 268.2626 0.0555556 -0.3079665
Moved 189.771 384 265.2431 0.0555556 -0.3157328
Moved 189.7864 391 260.4127 0.07175922 -0.3281567
Moved 189.802 392.2384 258.7616 0.07462591 -0.3324034
Moved 189.8172 392 256.4647 0.07407407 -0.3383111
Moved 189.8322 393.7925 254.4149 0.07822344 -0.3435832
Moved 189.8522 394 252.7653 0.07870366 -0.347826
Stationary 189.8647 394 252.7653 0.07870366 -0.347826
Moved 189.8778 395.3766 253 0.08189042 -0.3472223
Moved 189.894 395 257.4842 0.08101851 -0.3356889
Moved 189.9095 387.0414 269.9535 0.06259571 -0.3036176
Moved 189.9251 382.7086 280.7285 0.05256613 -0.275904
Moved 189.9411 372.2592 297.8784 0.02837787 -0.2317944
Moved 189.9547 359.3086 317.5371 -0.001600484 -0.1812317
Moved 189.9715 348.0765 333.1764 -0.02760067 -0.1410073
Moved 189.9866 335.4197 349.2963 -0.05689884 -0.09954657
Moved 190.0018 322.3944 365.1846 -0.08704989 -0.05868181
Moved 190.0166 307.3558 382.3824 -0.1218615 -0.0144486
Moved 190.0331 297.7656 393.1387 -0.144061 0.01321663
Moved 190.0484 285.1412 405.8588 -0.1732842 0.04593296
Moved 190.0638 274.7416 414.5072 -0.1973574 0.06817692
Moved 190.0791 264.6122 423.1896 -0.2208051 0.09050813
Moved 190.095 257.1851 427.5433 -0.2379974 0.1017058
Moved 190.1102 249.6424 434.3576 -0.2554574 0.1192325
Moved 190.1264 242.5 438.5 -0.2719907 0.1298867
Moved 190.1395 237.5645 443.0613 -0.2834156 0.1416185
Moved 190.1566 231.8953 447.0786 -0.2965387 0.1519509
Moved 190.1728 227.6052 451.3948 -0.3064695 0.1630525
Moved 190.187 225.187 453.813 -0.3120671 0.169272
Moved 190.2027 222.3096 455.3452 -0.3187278 0.173213
Moved 190.2182 221.2132 456.7868 -0.3212657 0.1769207
Moved 190.2328 219.7744 458.2256 -0.3245963 0.1806213
Ended 190.2486 217 458 -0.3310185 0.180041
Candidates 190.4 12 love live jobs linda kinda kinds lions kind globe pounds pbs move
Began 191.2005 360 374 0 -0.03600823
Stationary 191.2197 360 374 0 -0.03600823
Stationary 191.234 360 374 0 -0.03600823
Stationary 191.2485 360 374 0 -0.03600823
Ended 191.2673 360 374 0 -0.03600823
NextCandidatePanel 191.3247
Began 191.7392 325 362 -0.08101851 -0.06687243
Stationary 191.7591 325 362 -0.08101851 -0.06687243
Stationary 191.7734 325 362 -0.08101851 -0.06687243
Stationary 191.7884 325 362 -0.08101851 -0.06687243
Stationary 191.8052 325 362 -0.08101851 -0.06687243
Ended 191.8189 325 362 -0.08101851 -0.06687243
NextCandidatePanel 191.8792
Began 192.1392 319 353 -0.09490739 -0.09002065
Stationary 192.1591 319 353 -0.09490739 -0.09002065
Stationary 192.1737 319 353 -0.09490739 -0.09002065
Stationary 192.1886 319 353 -0.09490739 -0.09002065
Ended 192.2041 319 353 -0.09490739 -0.09002065
NextCandidatePanel 192.2653
Began 192.4934 270 368 -0.2083333 -0.05144041
Stationary 192.5136 270 368 -0.2083333 -0.05144041
Moved 192.5285 286.4674 368 -0.1702144 -0.05144041
Moved 192.5435 315.3846 368 -0.1032764 -0.05144041
Moved 192.5592 366.5 368 0.0150463 -0.05144041
Moved 192.5744 429.2038 368 0.1601939 -0.05144041
Moved 192.5982 531 353 0.3958333 -0.09002065
Stationary 192.6091 531 353 0.3958333 -0.09002065
Moved 192.6213 560.7612 349.3532 0.4647249 -0.09940017
Moved 192.6365 583.9939 346.4675 0.5185044 -0.1068223
Moved 192.6516 605.6059 346 0.5685321 -0.1080248
Moved 192.6676 618.0665 346 0.5973761 -0.1080248
Ended 192.6834 626 346 0.6157407 -0.1080248
Accept 192.7248 2 jobs
Began 193.3698 457 345 0.2245371 -0.1105968
Stationary 193.3817 457 345 0.2245371 -0.1105968
Stationary 193.392 457 345 0.2245371 -0.1105968
Stationary 193.4056 457 345 0.2245371 -0.1105968
Stationary 193.4205 457 345 0.2245371 -0.1105968
Stationary 193.4365 457 345 0.2245371 -0.1105968
Stationary 193.4519 457 345 0.2245371 -0.1105968
Stationary 193.4685 457 345 0.2245371 -0.1105968
Stationary 193.4833 457 345 0.2245371 -0.1105968
