good jobs for those with education
good jobs for those with education
Moved 102.8759 523 471.9045 0.3773148 0.2158036
Moved 102.8912 523 473.9591 0.3773148 0.2210882
Moved 102.9074 523 476.6649 0.3773148 0.2280475
Moved 102.9225 523 478.6896 0.3773148 0.2332552
Moved 102.9379 515.6536 480.0495 0.3603092 0.2367528
Moved 102.954 513.189 481.4055 0.3546042 0.2402402
Moved 102.9688 507.6927 481 0.3418813 0.2391974
Moved 102.9845 501.3248 481 0.3271407 0.2391974
Moved 102.9998 494.5 481 0.3113426 0.2391974
Moved 103.0153 487.0025 481 0.2939873 0.2391974
Moved 103.0378 426.5123 416.9346 0.1539637 0.07442027
Moved 103.0559 416.402 401.7746 0.1305603 0.03542845
Moved 103.1273 406.8123 385.6782 0.1083617 -0.005971806
Moved 103.1418 384.4147 317.0737 0.05651563 -0.1824238
Moved 103.1543 383.4458 303.3492 0.05427261 -0.2177232
Moved 103.1722 382.0925 287.1095 0.05113999 -0.2594921
Moved 103.1852 380.7226 274.5037 0.04796902 -0.2919145
Moved 103.2005 380 265.4883 0.04629632 -0.315102
Moved 103.2162 380 258.9849 0.04629632 -0.331829
Moved 103.2324 380 253.4858 0.04629632 -0.3459727
Moved 103.2469 380 249.5859 0.04629632 -0.3560032
Moved 103.2627 379 245.5515 0.04398147 -0.3663798
Moved 103.2786 379 242.6415 0.04398147 -0.3738646
Moved 103.2931 377.5 241.5 0.04050931 -0.3768004
Moved 103.3086 376.088 239.0879 0.03724059 -0.3830044
Moved 103.3241 374.7249 239 0.03408531 -0.3832304
Moved 103.3391 371.0677 239 0.02561976 -0.3832304
Moved 103.3556 366.1718 239 0.01428664 -0.3832304
Moved 103.3717 354.3665 250.6968 -0.0130404 -0.3531461
Moved 103.3877 342.2058 258.5294 -0.04119018 -0.3330005
Moved 103.4029 321.7357 282.8434 -0.08857478 -0.2704645
Moved 103.4178 305.1981 302.1023 -0.1268564 -0.2209304
Moved 103.4318 284.5 330 -0.1747685 -0.149177
Moved 103.448 275.0882 343.549 -0.196555 -0.1143287
Moved 103.4635 265.2654 357.478 -0.2192931 -0.07850301
Moved 103.479 258.6319 368.1499 -0.2346484 -0.05105485
Moved 103.4951 249.8804 382.3674 -0.2549064 -0.01448729
Moved 103.5165 236.1961 401.1647 -0.2865832 0.03385987
Stationary 103.5282 236.1961 401.1647 -0.2865832 0.03385987
Moved 103.5396 229.1358 409.5802 -0.3029264 0.05550451
Moved 103.5553 224.7464 415.3381 -0.313087 0.07031386
Moved 103.5699 220.6603 420.7863 -0.3225456 0.08432671
Moved 103.5858 219 422 -0.3263889 0.08744851
Ended 103.6031 215.5 427 -0.3344907 0.1003086
Candidates 103.782 12 jobs move love live kinda kind kinds linda moves moved mice minds
Began 104.1993 408 291 0.1111111 -0.2494857
Stationary 104.217 408 291 0.1111111 -0.2494857
Stationary 104.2306 408 291 0.1111111 -0.2494857
Stationary 104.2482 408 291 0.1111111 -0.2494857
Stationary 104.2629 408 291 0.1111111 -0.2494857
Stationary 104.278 408 291 0.1111111 -0.2494857
Stationary 104.293 408 291 0.1111111 -0.2494857
Moved 104.308 408 300.15 0.1111111 -0.2259516
Moved 104.3247 408 305.2418 0.1111111 -0.2128555
Moved 104.3398 420.783 316.3627 0.1407013 -0.1842524
Moved 104.3604 423.5872 331.3488 0.1471926 -0.1457078
Moved 104.3723 428.6432 346.9297 0.1588963 -0.1056336
Moved 104.3874 431.5435 356.1451 0.1656101 -0.08193129
Moved 104.4028 435.6379 370.6723 0.1750878 -0.04456712
Moved 104.4181 437.253 383.2767 0.1788262 -0.01214855
Moved 104.4334 438.5 391.5 0.181713 0.009002057
Moved 104.4515 439 398.4978 0.1828703 0.02700048
Moved 104.4638 439 402.1204 0.1828703 0.03631792
Moved 104.4792 439 404.8555 0.1828703 0.04335246
Moved 104.4951 439 406.7949 0.1828703 0.04834081
Moved 104.5112 439 408.1591 0.1828703 0.05184938
Moved 104.5248 439 409.5 0.1828703 0.05529835
Stationary 104.5435 439 409.5 0.1828703 0.05529835
Ended 104.5631 439 410 0.1828703 0.05658428
Accept 104.6141 0 jobs
Began 104.7999 286 330 -0.1712963 -0.149177
Stationary 104.8187 286 330 -0.1712963 -0.149177
Stationary 104.834 286 330 -0.1712963 -0.149177
Stationary 104.8491 286 330 -0.1712963 -0.149177
Stationary 104.8649 286 330 -0.1712963 -0.149177
Stationary 104.8795 286 330 -0.1712963 -0.149177
Moved 104.8952 294.1848 343.3697 -0.1523499 -0.11479
Moved 104.9106 297.8474 348.5593 -0.1438718 -0.1014422
Moved 104.927 305.757 357.7223 -0.1255625 -0.07787484
Moved 104.9423 315.3491 368.6846 -0.1033587 -0.04967952
Moved 104.956 325.9059 380.6068 -0.07892142 -0.01901548
Moved 104.9719 338.6351 392.5716 -0.04945586 0.01175814
Moved 104.9876 353.698 406.2709 -0.01458804 0.04699295
Moved 105.0052 372.5452 418.9543 0.02903978 0.07961504
Moved 105.018 389.9918 430.2258 0.06942551 0.1086052
Moved 105.034 399.6016 437.1212 0.09167045 0.1263404
Moved 105.0496 421.0819 449.041 0.1413932 0.1569983
Moved 105.065 440.1515 457.6364 0.1855359 0.1791057
Moved 105.0803 457.8901 464.4962 0.2265974 0.1967493
Moved 105.0963 473.5987 469.6395 0.2629599 0.209978
Moved 105.1119 484.1892 473.0541 0.287475 0.2187604
Moved 105.1267 495.1545 477.1829 0.3128577 0.2293799
Moved 105.1417 501 479 0.3263889 0.2340534
Moved 105.1586 507.1216 481.7804 0.3405592 0.2412047
Moved 105.1719 511.4113 483.1371 0.3504892 0.2446941
Moved 105.1885 513.9947 485.9947 0.3564692 0.2520439
Moved 105.2111 516 488.2256 0.3611111 0.2577819
Stationary 105.2214 516 488.2256 0.3611111 0.2577819
Moved 105.2333 517 489.5876 0.3634259 0.261285
Moved 105.2507 517 491.895 0.3634259 0.2672195
Moved 105.2654 509.8825 493.0168 0.3469502 0.2701048
Moved 105.2802 493.4229 498.5257 0.3088493 0.2842738
Moved 105.2967 475.8002 501.2399 0.268056 0.2912549
Moved 105.3126 451.9752 506.45 0.2129056 0.3046552
Moved 105.3276 420.1504 510.4152 0.139237 0.3148537
Moved 105.3426 379.2799 516.366 0.04462937 0.3301593
Moved 105.358 352.0959 518.2055 -0.01829654 0.3348906
Moved 105.3729 339.5 518 -0.04745369 0.3343621
Moved 105.3885 332.3653 518.6261 -0.06396929 0.3359724
Moved 105.4039 324.0603 519 -0.08319373 0.3369341
Moved 105.419 317.2432 519 -0.09897411 0.3369341
Moved 105.4351 312.8391 519 -0.1091688 0.3369341
Moved 105.4525 309.8265 519 -0.1161423 0.3369341
Moved 105.4667 307.0921 519 -0.122472 0.3369341
Moved 105.4796 305 520.5 -0.1273148 0.3407921
Ended 105.4952 305 520.5 -0.1273148 0.3407921
Candidates 105.6323 12 for foot short door got fort shot show shoot fit sort court
Began 106.0016 392 316 0.07407407 -0.1851853
Stationary 106.0208 392 316 0.07407407 -0.1851853
Stationary 106.0355 392 316 0.07407407 -0.1851853
Stationary 106.0551 392 316 0.07407407 -0.1851853
Stationary 106.0654 392 316 0.07407407 -0.1851853
Stationary 106.0806 392 316 0.07407407 -0.1851853
Stationary 106.0972 392 316 0.07407407 -0.1851853
Stationary 106.1123 392 316 0.07407407 -0.1851853
Moved 106.1275 392 325.7535 0.07407407 -0.1600991
Moved 106.1434 392 334.6178 0.07407407 -0.1372999
Moved 106.1591 392 339.944 0.07407407 -0.1236008
Moved 106.1744 392 347.2728 0.07407407 -0.1047512
Moved 106.1892 392 352.874 0.07407407 -0.09034466
Moved 106.2056 392 358.746 0.07407407 -0.07524192
Moved 106.2218 392 363.782 0.07407407 -0.06228922
Moved 106.2361 392 368.9121 0.07407407 -0.04909437
Moved 106.2517 392 375.7186 0.07407407 -0.03158797
Moved 106.2667 392 381.8069 0.07407407 -0.01592887
Moved 106.2821 392 387.281 0.07407407 -0.001849382
Moved 106.2978 392 389.8822 0.07407407 0.004841016
Moved 106.3127 392 393.597 0.07407407 0.01439546
Moved 106.3277 392 396.3334 0.07407407 0.02143365
Moved 106.3425 392 399 0.07407407 0.02829214
Stationary 106.3584 392 399 0.07407407 0.02829214
Moved 106.3738 392 399.9675 0.07407407 0.03078048
Stationary 106.3888 392 400 0.07407407 0.03086416
Ended 106.4041 392 400 0.07407407 0.03086416
Accept 106.4475 0 for
Began 106.7109 323 497 -0.08564815 0.2803498
Stationary 106.73 323 497 -0.08564815 0.2803498
Stationary 106.7434 323 497 -0.08564815 0.2803498
Stationary 106.7589 323 497 -0.08564815 0.2803498
Stationary 106.7751 323 497 -0.08564815 0.2803498
Stationary 106.7901 323 497 -0.08564815 0.2803498
Stationary 106.8063 323 497 -0.08564815 0.2803498
Stationary 106.8211 323 497 -0.08564815 0.2803498
Moved 106.8368 338.9367 481.076 -0.04875764 0.2393928
Moved 106.8526 344.4021 471.5463 -0.03610616 0.2148822
Moved 106.8673 351.0721 461.6239 -0.02066657 0.1893619
Moved 106.8835 356.5441 454.3198 -0.007999688 0.1705756
Moved 106.8993 362 446 0.004629592 0.1491768
Moved 106.914 366.5971 439.6714 0.01527111 0.1328997
Moved 106.9301 369.4739 432.8153 0.02193024 0.1152657
Moved 106.9451 373.5 428 0.03125002 0.1028806
Moved 106.9603 375.62 423.1399 0.03615747 0.09038026
Moved 106.9758 377.9686 419.0472 0.04159391 0.07985374
Moved 106.9912 380.7055 416.2945 0.04792939 0.07277378
Moved 107.0069 381.7213 415.2787 0.05028079 0.07016119
Moved 107.0229 384.1797 413.9101 0.05597164 0.06664111
Moved 107.0393 386.9091 412.5454 0.06228964 0.06313108
Moved 107.0588 399.2725 412 0.09090851 0.06172835
Stationary 107.0691 399.2725 412 0.09090851 0.06172835
Moved 107.0822 427.3468 424.4304 0.1558954 0.0936994
Moved 107.0997 450.5118 438.4824 0.209518 0.1298414
Moved 107.113 467.787 450.8509 0.2495068 0.1616535
Moved 107.1292 481.4737 460.4316 0.2811892 0.1862953
Moved 107.1462 489.5294 467.5294 0.2998366 0.2045509
Moved 107.161 495.2829 473.2828 0.3131547 0.2193488
Moved 107.1752 499.3069 477.3069 0.3224698 0.2296988
Moved 107.1916 499.3568 481.4272 0.3225852 0.2402962
Moved 107.2067 500 488.03 0.324074 0.2572788
Moved 107.2214 500 492.5999 0.324074 0.2690326
Moved 107.2361 487.8983 497.7006 0.2960607 0.2821516
Moved 107.2521 467.1624 499 0.2480611 0.2854938
Moved 107.2683 436.0881 499 0.1761298 0.2854938
Moved 107.2833 392.3466 478.3376 0.07487635 0.2323497
Moved 107.3009 357.1631 463.7833 -0.006566793 0.1949159
Moved 107.3212 298.8808 433.2031 -0.1414796 0.1162631
Stationary 107.3327 298.8808 433.2031 -0.1414796 0.1162631
Moved 107.3453 278.3445 419.7193 -0.1890173 0.08158252
Moved 107.3646 263.9139 410.7484 -0.2224215 0.05850913
Moved 107.376 246.8531 398.9969 -0.2619141 0.02828409
Moved 107.3906 234.5336 390.3558 -0.2904314 0.006059011
Moved 107.4064 226.1434 383.4528 -0.3098533 -0.01169542
Moved 107.423 221.63 381.178 -0.3203009 -0.01754627
Moved 107.4375 218.5528 379.2764 -0.3274241 -0.02243725
Moved 107.4558 215.8201 377.9101 -0.3337497 -0.02595148
Moved 107.4693 213.0987 378 -0.3400492 -0.02572024
Moved 107.4836 213.1774 378 -0.3398671 -0.02572024
Stationary 107.4977 213 378 -0.3402778 -0.02572024
Moved 107.5151 213 390.9326 -0.3402778 0.007542661
Moved 107.5299 213 398.8185 -0.3402778 0.02782527
Moved 107.5451 224.325 413.2688 -0.3140624 0.06499176
Moved 107.5617 230.2487 428.4338 -0.3003503 0.1039964
Moved 107.5751 240.7332 450.4664 -0.2760805 0.1606646
Moved 107.5914 252.3949 474.8336 -0.249086 0.2233373
Moved 107.6064 263.2079 497.8168 -0.2240557 0.2824507
Moved 107.6219 268.3041 514.6805 -0.2122589 0.3258242
Moved 107.6376 272.3117 525.8312 -0.2029821 0.3545041
Moved 107.6532 274.2339 529.4677 -0.1985327 0.3638572
Moved 107.6744 275.8652 533.8652 -0.1947565 0.3751675
Stationary 107.6849 275.8652 533.8652 -0.1947565 0.3751675
Moved 107.6984 276 535.2247 -0.1944444 0.3786642
Stationary 107.7138 276 535.2247 -0.1944444 0.3786642
Ended 107.7311 276 536 -0.1944444 0.3806583
Candidates 107.8668 12 those house dose goat rise rose ghost foster host spare guide hide
Began 108.221 349 318 -0.02546296 -0.1800412
Stationary 108.2375 349 318 -0.02546296 -0.1800412
Stationary 108.2538 349 318 -0.02546296 -0.1800412
Stationary 108.2685 349 318 -0.02546296 -0.1800412
Stationary 108.2838 349 318 -0.02546296 -0.1800412
Stationary 108.3008 349 318 -0.02546296 -0.1800412
Stationary 108.3153 349 318 -0.02546296 -0.1800412
Moved 108.33 349 336.3716 -0.02546296 -0.1327892
Moved 108.3468 349 341.551 -0.02546296 -0.1194676
Moved 108.3616 349 356.0274 -0.02546296 -0.08223404
Moved 108.3768 349 369.8378 -0.02546296 -0.04671363
Moved 108.3916 349 379.6198 -0.02546296 -0.02155398
Moved 108.4132 349 384.7996 -0.02546296 -0.008231582
Moved 108.4239 349 388.9012 -0.02546296 0.002317782
Moved 108.4382 349 392.9918 -0.02546296 0.01283901
Moved 108.4535 349 393.5 -0.02546296 0.01414597
Moved 108.4696 349 395.7462 -0.02546296 0.0199232
Moved 108.485 349 397.1133 -0.02546296 0.02343963
Stationary 108.5001 349 397 -0.02546296 0.02314815
Moved 108.5153 349 398 -0.02546296 0.02572008
Moved 108.5303 349 399.2123 -0.02546296 0.02883828
Stationary 108.5454 349 399.2123 -0.02546296 0.02883828
Ended 108.5604 349 399 -0.02546296 0.02829214
Accept 108.6196 0 those
Began 108.912 175 446 -0.4282407 0.1491768
Stationary 108.932 175 446 -0.4282407 0.1491768
Stationary 108.9472 175 446 -0.4282407 0.1491768
Stationary 108.9615 175 446 -0.4282407 0.1491768
Stationary 108.9759 175 446 -0.4282407 0.1491768
Stationary 108.997 175 446 -0.4282407 0.1491768
Stationary 109.009 175 446 -0.4282407 0.1491768
Stationary 109.0241 175 446 -0.4282407 0.1491768
