the price of gas is high
the price of gas is coal
Basic
0.6 0.6
432 388.8
Began 636.9498 417 324 0.1319444 -0.164609
Stationary 636.9692 417 324 0.1319444 -0.164609
Stationary 636.983 417 324 0.1319444 -0.164609
Stationary 636.9982 417 324 0.1319444 -0.164609
Stationary 637.014 417 324 0.1319444 -0.164609
Stationary 637.0303 417 324 0.1319444 -0.164609
Stationary 637.0459 417 324 0.1319444 -0.164609
Stationary 637.0611 417 324 0.1319444 -0.164609
Stationary 637.0764 417 324 0.1319444 -0.164609
Stationary 637.0919 417 324 0.1319444 -0.164609
Stationary 637.1082 417 324 0.1319444 -0.164609
Stationary 637.124 417 324 0.1319444 -0.164609
Stationary 637.1374 417 324 0.1319444 -0.164609
Moved 637.1519 417 333.3254 0.1319444 -0.140624
Moved 637.1677 411.2669 334 0.1186734 -0.1388889
Moved 637.1846 410 334.9515 0.1157407 -0.1364417
Moved 637.1985 408.6293 335 0.1125678 -0.1363169
Moved 637.214 408.1815 336 0.1115312 -0.1337449
Moved 637.2289 406.7386 336 0.1081913 -0.1337449
Stationary 637.2445 406.7386 336 0.1081913 -0.1337449
Moved 637.2606 404.8623 337 0.1038479 -0.1311728
Moved 637.2753 404.417 337 0.102817 -0.1311728
Moved 637.2913 403.5 337 0.1006944 -0.1311728
Stationary 637.3069 403.5 337 0.1006944 -0.1311728
Ended 637.3232 402.8345 337 0.09915391 -0.1311728
Candidates 637.4133 12 mg ng nj hmm hmmm gm kb h jnk vh jm j
Began 637.5815 378 375 0.04166663 -0.03343629
Stationary 637.6012 378 375 0.04166663 -0.03343629
Stationary 637.6142 378 375 0.04166663 -0.03343629
Stationary 637.629 378 375 0.04166663 -0.03343629
Stationary 637.6455 378 375 0.04166663 -0.03343629
Stationary 637.6614 378 375 0.04166663 -0.03343629
Moved 637.6766 378 391.1545 0.04166663 0.008113335
Moved 637.6931 378 393 0.04166663 0.01285996
Moved 637.7136 378 400.5466 0.04166663 0.03226994
Moved 637.7257 368.4304 405.1013 0.01951486 0.0439846
Moved 637.7385 369.1941 412.0297 0.02128253 0.06180476
Moved 637.7535 367.7536 416.7393 0.01794805 0.07391792
Moved 637.7693 367.3177 420.3646 0.01693914 0.08324211
Moved 637.7852 367 423.2485 0.01620372 0.09065969
Moved 637.8008 365.5 426 0.01273145 0.09773654
Moved 637.8157 365.3263 428.3475 0.01232932 0.1037743
Moved 637.8325 365 430.1124 0.01157403 0.1083138
Moved 637.8455 365 432.5544 0.01157403 0.1145946
Moved 637.8622 365 433.5 0.01157403 0.1170266
Moved 637.8785 363.7828 434.2172 0.00875642 0.1188714
Moved 637.8923 364 435.8763 0.009259283 0.1231387
Moved 637.9075 364 437.3185 0.009259283 0.126848
Stationary 637.9238 364 437.3185 0.009259283 0.126848
Moved 637.9378 364 438.3162 0.009259283 0.1294141
Stationary 637.9537 364 438.3162 0.009259283 0.1294141
Moved 637.969 364 439.2393 0.009259283 0.1317882
Stationary 637.9846 364 439.2393 0.009259283 0.1317882
Moved 637.9984 364 440.1991 0.009259283 0.1342568
Stationary 638.0148 364 440 0.009259283 0.1337448
Stationary 638.031 364 440 0.009259283 0.1337448
Stationary 638.047 364 440 0.009259283 0.1337448
Stationary 638.0618 364 440 0.009259283 0.1337448
Stationary 638.0769 364 440 0.009259283 0.1337448
Stationary 638.0914 364 440 0.009259283 0.1337448
Stationary 638.1072 364 440 0.009259283 0.1337448
Stationary 638.1223 364 440 0.009259283 0.1337448
Stationary 638.1392 364 440 0.009259283 0.1337448
Stationary 638.1553 364 440 0.009259283 0.1337448
Stationary 638.1698 364 440 0.009259283 0.1337448
Moved 638.1855 363 430.2925 0.006944438 0.1087769
Moved 638.2012 363 423.3838 0.006944438 0.09100761
Moved 638.2164 363 415.4791 0.006944438 0.07067668
Moved 638.2321 363 408.2866 0.006944438 0.05217732
Moved 638.2471 363 402.9783 0.006944438 0.03852432
Moved 638.2623 363 398.6273 0.006944438 0.02733336
Moved 638.2784 363 394.3074 0.006944438 0.01622259
Moved 638.2928 363 390.9858 0.006944438 0.007679511
Moved 638.3087 363 389.5529 0.006944438 0.00399405
Moved 638.3237 363 387.2201 0.006944438 -0.002006013
Moved 638.3395 363 386 0.006944438 -0.005144111
Moved 638.3553 363 385.4221 0.006944438 -0.006630548
Ended 638.3695 363 385 0.006944438 -0.007716127
NextCandidatePanel 638.3993
Began 638.5405 377 371 0.03935188 -0.04372435
Stationary 638.5549 377 371 0.03935188 -0.04372435
Stationary 638.5699 377 371 0.03935188 -0.04372435
Stationary 638.5854 377 371 0.03935188 -0.04372435
Stationary 638.6001 377 371 0.03935188 -0.04372435
Stationary 638.616 377 371 0.03935188 -0.04372435
Ended 638.6322 377 371 0.03935188 -0.04372435
Began 638.6917 384 367 0.0555556 -0.05401234
NextCandidatePanel 638.6917
Stationary 638.7092 384 367 0.0555556 -0.05401234
Stationary 638.7233 384 367 0.0555556 -0.05401234
Stationary 638.7432 384 367 0.0555556 -0.05401234
Ended 638.755 384 367 0.0555556 -0.05401234
Cancel 638.8141
Began 639.3827 381 364 0.04861106 -0.06172839
Stationary 639.4029 381 364 0.04861106 -0.06172839
Stationary 639.4174 381 364 0.04861106 -0.06172839
Stationary 639.434 381 364 0.04861106 -0.06172839
Moved 639.4476 381 371.2161 0.04861106 -0.04316848
Moved 639.4644 373.6905 383.3095 0.0316909 -0.0120641
Moved 639.4803 371.5072 390.4641 0.02663702 0.006337538
Moved 639.4944 370.3178 396.4112 0.02388378 0.02163373
Moved 639.5105 368.993 404.0424 0.02081702 0.04126117
Moved 639.5264 369 409.7997 0.02083332 0.05606918
Moved 639.5413 368 414.5609 0.01851857 0.06831507
Moved 639.5573 366.6823 417.6355 0.0154682 0.07622295
Moved 639.5721 367 423.2927 0.01620372 0.09077339
Moved 639.5887 367 428.8145 0.01620372 0.1049755
Moved 639.6025 367 432.5 0.01620372 0.1144546
