this is a very good idea
this is a very good idea
Basic
0.6 0.6
432 388.8
Began 1099.222 315 500 -0.1041667 0.2880658
Stationary 1099.24 315 500 -0.1041667 0.2880658
Stationary 1099.255 315 500 -0.1041667 0.2880658
Stationary 1099.269 315 500 -0.1041667 0.2880658
Stationary 1099.285 315 500 -0.1041667 0.2880658
Moved 1099.301 326.5263 488.4737 -0.07748549 0.2584199
Moved 1099.317 345.8461 464.2782 -0.03276368 0.1961887
Moved 1099.331 356.5 447 -0.008101861 0.1517489
Moved 1099.349 371.1581 414.8884 0.02582908 0.06915728
Moved 1099.364 385.2718 388.9108 0.05849947 0.002342428
Moved 1099.378 392.7701 372.1414 0.07585664 -0.04078877
Moved 1099.393 400.6328 357.861 0.09405733 -0.07751794
Moved 1099.409 406.2615 349.1732 0.1070868 -0.09986328
Moved 1099.424 411.0271 343.9729 0.1181182 -0.1132385
Moved 1099.439 415.3311 339.6689 0.1280811 -0.1243083
Moved 1099.455 415.5488 339.4512 0.1285853 -0.1248685
Moved 1099.47 417.9896 339 0.1342351 -0.1260288
Moved 1099.486 426.6255 357.6885 0.1542256 -0.07796182
Moved 1099.502 441.7585 408.779 0.1892558 0.05344383
Moved 1099.517 448.2855 442.0702 0.2043646 0.1390693
Moved 1099.532 449.757 457.0834 0.2077708 0.1776837
Moved 1099.547 451.1971 470.7734 0.2111043 0.2128944
Moved 1099.563 451 476.192 0.2106482 0.226831
Moved 1099.578 451 482.0472 0.2106482 0.2418908
Moved 1099.595 451 486.3856 0.2106482 0.2530493
Moved 1099.611 441.1513 490.1395 0.1878502 0.2627043
Moved 1099.625 423.8789 491 0.1478679 0.2649176
Moved 1099.64 381.3137 491 0.04933715 0.2649176
Moved 1099.655 333.3348 460.0613 -0.06172504 0.1853427
Moved 1099.671 316.9143 452.9633 -0.09973531 0.1670865
Moved 1099.687 295.3585 440.0151 -0.1496332 0.1337835
Moved 1099.702 279.2326 429.8218 -0.1869615 0.1075662
Moved 1099.718 260.5856 416.9438 -0.230126 0.07444401
Moved 1099.732 236.5535 395.7174 -0.2857558 0.01984918
