did you have a good time
did you have a good time
Basic
0.6 0.6
432 388.8
Moved 359.4998 358.243 483 -0.004067173 0.2443414
Stationary 359.5107 358.243 483 -0.004067173 0.2443414
Moved 359.5238 376.587 482.5413 0.03839582 0.2431617
Moved 359.5374 390.9637 482 0.07167508 0.2417695
Moved 359.5538 403.9577 482 0.101754 0.2417695
Moved 359.5682 414.3996 482 0.1259249 0.2417695
Moved 359.584 424.5736 482 0.149476 0.2417695
Moved 359.598 430.4648 480.7559 0.163113 0.2385695
Moved 359.6137 438.6952 481 0.1821648 0.2391974
Moved 359.6294 445.4734 481 0.1978551 0.2391974
Moved 359.6449 451.1767 481 0.2110572 0.2391974
Moved 359.6611 454.9688 481 0.2198351 0.2391974
Moved 359.6776 459.2736 481 0.2298 0.2391974
Moved 359.6904 462.7303 481 0.2378015 0.2391974
Moved 359.7068 465.8448 481 0.2450112 0.2391974
Moved 359.7237 470.1069 481 0.2548771 0.2391974
Moved 359.7533 478.7585 481 0.2749039 0.2391974
Moved 359.7683 482.0923 488.6974 0.2826212 0.2589954
Moved 359.7834 485.2564 489 0.2899454 0.2597736
Moved 359.7995 489.1601 490 0.2989817 0.2623456
Moved 359.8149 490.7361 490.7361 0.3026298 0.2642388
Moved 359.8315 493.1796 492.0898 0.3082862 0.2677205
Moved 359.8455 494.5 492 0.3113426 0.2674896
Moved 359.8608 496.9702 492.9702 0.3170606 0.269985
Moved 359.8763 498.4144 493 0.3204037 0.2700616
Stationary 359.8912 498.4144 493 0.3204037 0.2700616
Moved 359.9063 500.2898 494 0.3247449 0.2726337
Moved 359.9222 501.5 494 0.3275463 0.2726337
Stationary 359.9383 501.5 494 0.3275463 0.2726337
Moved 359.954 502.3174 494 0.3294384 0.2726337
Stationary 359.968 502.3174 494 0.3294384 0.2726337
Moved 359.9841 503 495.1378 0.3310186 0.2755602
Stationary 359.9994 503 495.1378 0.3310186 0.2755602
Stationary 360.0149 503 495.1378 0.3310186 0.2755602
Stationary 360.0306 503 495.1378 0.3310186 0.2755602
Stationary 360.0465 503 495.1378 0.3310186 0.2755602
Stationary 360.0612 503 495 0.3310186 0.2752057
Moved 360.0793 486.7197 495 0.2933327 0.2752057
Moved 360.0966 478.654 496.9066 0.274662 0.2801093
Moved 360.1083 468.5503 498.35 0.2512737 0.2838219
Moved 360.123 462.0396 499.7921 0.2362028 0.2875309
Moved 360.1387 454.8216 502.4714 0.2194944 0.2944222
Moved 360.1537 449.7311 503.2538 0.2077109 0.2964346
Moved 360.1689 440.0895 503.7821 0.1853924 0.2977934
Moved 360.1846 430.3954 505.2292 0.1629523 0.3015155
Moved 360.2004 423.7022 506.6595 0.1474589 0.3051942
Moved 360.2147 416.5011 508.0998 0.1307896 0.3088985
Moved 360.2303 409.8341 510.5414 0.1153568 0.3151785
Moved 360.2457 403.0711 512.9716 0.09970167 0.3214289
