healthy food is good for you
healthy food is good for you
Basic
0.6 0.6
432 388.8
Moved 1853.721 403.4992 374.7521 0.1006925 -0.03407396
Moved 1853.736 404 366.7328 0.1018518 -0.05469969
Moved 1853.752 405.2558 365.4885 0.1047587 -0.05790012
Moved 1853.766 405 366 0.1041667 -0.05658444
Stationary 1853.782 405 366 0.1041667 -0.05658444
Stationary 1853.798 405 366 0.1041667 -0.05658444
Moved 1853.813 405 373.3096 0.1041667 -0.0377841
Moved 1853.829 390.0155 408.9381 0.06948024 0.05385312
Moved 1853.844 381.884 451.4493 0.05065748 0.1631927
Moved 1853.86 378.4535 470.6604 0.04271646 0.2126038
Moved 1853.875 367.4768 539.0645 0.0173074 0.3885403
Moved 1853.891 354.8381 603.272 -0.01194889 0.553683
Moved 1853.906 348.6798 632.4542 -0.02620409 0.62874
Ended 1853.92 341 656 -0.04398147 0.6893002
Candidates 1854.041 12 healthy jewelry height wealthy straight lengthy headline bradley taught gradient heather delight
Began 1854.41 408 428 0.1111111 0.1028806
Stationary 1854.429 408 428 0.1111111 0.1028806
Stationary 1854.445 408 428 0.1111111 0.1028806
Stationary 1854.46 408 428 0.1111111 0.1028806
Moved 1854.475 408 444.6848 0.1111111 0.1457942
Moved 1854.491 408 484.2789 0.1111111 0.2476307
Moved 1854.508 408 513.6527 0.1111111 0.3231808
Moved 1854.523 408 534.8541 0.1111111 0.3777109
Ended 1854.537 408 542.0021 0.1111111 0.3960959
Accept 1854.607 0 healthy
Began 1854.935 350 457 -0.02314816 0.1774691
Stationary 1854.954 350 457 -0.02314816 0.1774691
Stationary 1854.969 350 457 -0.02314816 0.1774691
Stationary 1854.984 350 457 -0.02314816 0.1774691
Moved 1855.002 340.4886 445.7329 -0.04516522 0.14849
Moved 1855.016 336.5914 441.5914 -0.05418663 0.1378378
Moved 1855.031 334 437.5 -0.06018519 0.1273147
Moved 1855.047 331.615 433.9225 -0.06570597 0.1181135
Moved 1855.062 329.0362 430.0543 -0.07167548 0.1081643
Moved 1855.078 327.6445 427.2889 -0.07489706 0.1010517
Moved 1855.093 325.2661 423.7983 -0.08040249 0.09207384
Moved 1855.108 323.8917 419.6751 -0.08358404 0.08146882
Moved 1855.123 321.0363 415.5544 -0.0901938 0.07087036
Moved 1855.139 320.139 412.4171 -0.09227072 0.06280114
Moved 1855.155 317.5241 408.2861 -0.09832382 0.05217619
Moved 1855.171 316.7777 406.5554 -0.1000517 0.04772465
Moved 1855.19 315.3269 401.9806 -0.10341 0.03595827
Moved 1855.203 313.9459 399.9459 -0.1066067 0.03072503
Moved 1855.215 314 397.1525 -0.1064815 0.02354037
Moved 1855.231 313.1939 396.1939 -0.1083474 0.02107483
Moved 1855.248 313 394.8197 -0.1087963 0.01754039
Stationary 1855.262 313 395 -0.1087963 0.01800408
Stationary 1855.276 313 395 -0.1087963 0.01800408
Stationary 1855.292 313 395 -0.1087963 0.01800408
Stationary 1855.307 313 395 -0.1087963 0.01800408
Moved 1855.323 320.551 402.551 -0.0913172 0.03742528
Moved 1855.339 332.5035 414.5035 -0.06364921 0.0681675
Moved 1855.355 340.6117 422.6117 -0.04488026 0.08902176
Moved 1855.37 365.2461 446.4297 0.01214375 0.150282
Moved 1855.385 394.1963 469.2426 0.07915815 0.2089573
Moved 1855.402 426.9169 495.7717 0.1549003 0.2771905
Moved 1855.416 451.6597 511.4681 0.2121752 0.317562
