that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Moved 367.35 189.5047 220.614 -0.3946652 -0.4305196
Moved 367.3636 170.5348 228.1993 -0.4385769 -0.41101
Stationary 367.3745 170.5348 228.1993 -0.4385769 -0.41101
Moved 367.3866 153.9975 236.5012 -0.4768576 -0.3896573
Moved 367.4055 142.4231 243.9835 -0.5036502 -0.3704127
Moved 367.4182 136.2729 248.5453 -0.5178868 -0.3586798
Moved 367.4335 131 255.5 -0.5300926 -0.3407922
Moved 367.4502 131 261.9413 -0.5300926 -0.3242252
Moved 367.4647 131 273.8954 -0.5300926 -0.293479
Moved 367.4801 140.5075 287.5821 -0.5080845 -0.2582765
Moved 367.4955 151.4707 301.2178 -0.4827067 -0.2232054
Moved 367.5106 168.6001 317.4771 -0.4430552 -0.1813863
Moved 367.5261 189.4865 336.9874 -0.3947071 -0.1312052
Moved 367.5415 208.337 348.9309 -0.3510718 -0.1004865
Moved 367.5584 229.0563 361.4338 -0.3031104 -0.06832876
Moved 367.5761 242.488 366.1952 -0.2720184 -0.0560824
Stationary 367.5919 242.488 366.1952 -0.2720184 -0.0560824
Moved 367.6026 272.5075 379.6852 -0.2025288 -0.02138577
Moved 367.6191 278.5 383.5 -0.1886574 -0.01157415
Moved 367.6338 286.4589 386.6754 -0.170234 -0.00340709
Moved 367.6494 290.8233 388.2744 -0.1601312 0.0007057582
Moved 367.6652 294.9959 390.6653 -0.1504724 0.006855309
Moved 367.6801 296.795 391.7949 -0.146308 0.009760522
Moved 367.6954 299.2629 392 -0.1405951 0.01028803
Ended 367.7107 299.2629 392 -0.1405951 0.01028803
Candidates 367.831 12 that friday usat what they user today use there tar yasser theater
Began 368.2012 301 206 -0.1365741 -0.4681071
Stationary 368.2205 301 206 -0.1365741 -0.4681071
Stationary 368.2347 301 206 -0.1365741 -0.4681071
Stationary 368.2504 301 206 -0.1365741 -0.4681071
Moved 368.2722 301 234.8682 -0.1365741 -0.3938577
Moved 368.2837 301 265.6467 -0.1365741 -0.3146949
Moved 368.3035 305.7162 354.5812 -0.1256569 -0.08595376
Stationary 368.315 305.7162 354.5812 -0.1256569 -0.08595376
Moved 368.327 310.8441 399.1811 -0.1137869 0.02875791
Moved 368.3421 311 443.8591 -0.113426 0.1436704
Ended 368.3589 311 443.8591 -0.113426 0.1436704
Accept 368.4176 0 that
Began 368.5092 259 256 -0.2337963 -0.3395062
Stationary 368.5268 259 256 -0.2337963 -0.3395062
Stationary 368.5409 259 256 -0.2337963 -0.3395062
Stationary 368.558 259 256 -0.2337963 -0.3395062
Moved 368.5738 277.7092 272.7092 -0.1904879 -0.2965298
Moved 368.5895 296.6793 291.6793 -0.1465757 -0.2477385
Moved 368.607 324.8665 324.4398 -0.08132765 -0.1634781
Moved 368.6208 344.4277 347.7579 -0.0360469 -0.1035032
Moved 368.636 361.0937 369.4583 0.002531807 -0.0476896
Moved 368.6518 368.8713 381.307 0.02053549 -0.01721464
Moved 368.6662 370.7269 387.3173 0.0248309 -0.001755938
Moved 368.6826 371 391.7515 0.025463 0.009648907
Moved 368.6975 371 393.6423 0.025463 0.01451218
