he is just like everyone else
he is just like everyone else
FixStart
0.6 0.6
432 388.8
Accept 2517.312 0 is
Began 2517.634 380 378 0.04629632 -0.02572024
Stationary 2517.654 380 378 0.04629632 -0.02572024
Stationary 2517.668 380 378 0.04629632 -0.02572024
Stationary 2517.682 380 378 0.04629632 -0.02572024
Stationary 2517.698 380 378 0.04629632 -0.02572024
Stationary 2517.713 380 378 0.04629632 -0.02572024
Stationary 2517.732 380 378 0.04629632 -0.02572024
Stationary 2517.745 380 378 0.04629632 -0.02572024
Moved 2517.76 397.0267 378 0.08570999 -0.02572024
Moved 2517.784 425.4051 378 0.1514006 -0.02572024
Stationary 2517.795 425.4051 378 0.1514006 -0.02572024
Moved 2517.806 439.494 383.6823 0.1840139 -0.0111054
Moved 2517.822 452.3002 386.2556 0.2136578 -0.004486743
Moved 2517.837 463.8974 388 0.2405033 -3.924585E-08
Moved 2517.854 473.1199 389.7485 0.2618515 0.004497183
Moved 2517.868 482.8377 391.2625 0.2843466 0.008391196
Moved 2517.883 488.1443 391 0.2966302 0.007715971
Moved 2517.899 492.4144 392.1381 0.3065149 0.01064328
Moved 2517.915 495.1728 392 0.3129001 0.01028803
Moved 2517.93 497.0204 392 0.3171768 0.01028803
Stationary 2517.946 497.0204 392 0.3171768 0.01028803
Moved 2517.961 498.672 394.344 0.321 0.01631678
Moved 2517.978 499 398.0273 0.3217593 0.02579022
Moved 2517.991 499 402.3311 0.3217593 0.03685967
Moved 2518.008 499 411.4058 0.3217593 0.06020015
Moved 2518.024 489.7365 425.2336 0.3003159 0.0957653
Moved 2518.046 485.5679 449.9445 0.2906663 0.1593223
Stationary 2518.056 485.5679 449.9445 0.2906663 0.1593223
Moved 2518.068 483 458.5 0.2847222 0.181327
Moved 2518.084 478.8371 474.6516 0.2750859 0.2228692
Moved 2518.1 475.6938 488.3777 0.2678098 0.258173
Moved 2518.116 471.8035 501.1878 0.2588044 0.2911209
Moved 2518.131 468.9247 510.2261 0.2521404 0.3143673
Moved 2518.146 467.5237 514.4288 0.2488976 0.3251769
Moved 2518.162 463.2464 519.6714 0.2389963 0.338661
Moved 2518.178 458.9185 522.721 0.228978 0.3465046
Moved 2518.192 455.9627 524.6915 0.2221359 0.3515728
Moved 2518.208 448.4834 525 0.2048226 0.3523662
Moved 2518.224 441.2879 525 0.1881664 0.3523662
Moved 2518.238 427.425 518.7636 0.1560763 0.3363261
Moved 2518.253 406.8484 503.6888 0.1084455 0.2975536
Moved 2518.271 387.0777 487.7392 0.06267995 0.2565307
Moved 2518.285 367.6976 468.6976 0.01781841 0.2075554
Moved 2518.301 355.411 455.2786 -0.01062264 0.1730416
Moved 2518.316 334.7094 433.0804 -0.05854293 0.1159474
Moved 2518.333 321.3805 419.3805 -0.08939693 0.08071106
Moved 2518.346 308.5 405 -0.119213 0.04372424
Moved 2518.362 300.3554 396.3554 -0.1380661 0.02149013
Moved 2518.377 290.2003 386.2004 -0.1615733 -0.004628735
