experience is hard to come by
experience is hard to come by
Basic
0.6 0.6
432 388.8
Began 691.8616 325 562 -0.08101851 0.4475308
Stationary 691.876 325 562 -0.08101851 0.4475308
Stationary 691.8906 325 562 -0.08101851 0.4475308
Stationary 691.9051 325 562 -0.08101851 0.4475308
Stationary 691.9205 325 562 -0.08101851 0.4475308
Stationary 691.9362 325 562 -0.08101851 0.4475308
Stationary 691.9523 325 562 -0.08101851 0.4475308
Stationary 691.9658 325 562 -0.08101851 0.4475308
Moved 691.9819 318.8667 539.1144 -0.09521588 0.3886686
Moved 691.9974 312.8745 511.0912 -0.1090868 0.3165926
Moved 692.014 305.4045 475.7416 -0.1263784 0.2256729
Moved 692.0283 298.1639 440.9869 -0.143139 0.136283
Moved 692.0464 293.6083 415.4332 -0.1536845 0.07055847
Moved 692.0598 288.8874 393.437 -0.1646125 0.013984
Moved 692.0746 286.0418 374.7719 -0.1711995 -0.03402309
Moved 692.0925 283.6463 365.2318 -0.1767446 -0.05856039
Moved 692.106 281.9923 352.931 -0.1805733 -0.09019804
Moved 692.1213 279.0934 345.7336 -0.1872838 -0.10871
Moved 692.1364 278.1044 340.4175 -0.1895732 -0.1223831
Moved 692.1515 278 337.3549 -0.1898148 -0.1302602
Moved 692.1677 278 335.233 -0.1898148 -0.1357175
Moved 692.1826 278 333.791 -0.1898148 -0.1394265
Stationary 692.1979 278 333.791 -0.1898148 -0.1394265
Moved 692.2117 278 333 -0.1898148 -0.141461
Stationary 692.2283 278 333 -0.1898148 -0.141461
Stationary 692.244 278 333 -0.1898148 -0.141461
Moved 692.2592 292.8091 344.1558 -0.1555346 -0.112768
Moved 692.2742 308.4141 355.1329 -0.1194117 -0.08453487
Moved 692.2916 326.9518 367.9666 -0.07650058 -0.05152628
Moved 692.306 347.1843 382.4174 -0.02966608 -0.01435865
Moved 692.3213 367.9774 397.6516 0.01846621 0.02482402
Moved 692.3365 392.7702 413.8513 0.07585695 0.06648997
Moved 692.3522 418.4576 429.7356 0.1353186 0.1073446
Moved 692.3669 440.0051 445.537 0.185197 0.1479861
Moved 692.3829 464.4218 460.1893 0.2417172 0.1856721
Moved 692.3979 490.5093 472.7546 0.3021049 0.2179902
Moved 692.4135 516.3166 485.6583 0.361844 0.2511786
Moved 692.429 530.8237 493.506 0.3954253 0.271363
Moved 692.4446 552.389 505.8936 0.445345 0.3032243
Moved 692.4598 566.2648 513.7027 0.4774649 0.3233093
Moved 692.4746 577.5256 519.7628 0.5035316 0.338896
Moved 692.4922 586.0703 523.0234 0.5233109 0.3472824
Moved 692.5061 591.3865 525.4622 0.5356169 0.3535548
Moved 692.5217 595.7016 526.9005 0.5456055 0.3572543
Moved 692.5378 598.0245 528.0123 0.5509828 0.3601138
Moved 692.553 599.4702 529.4702 0.5543292 0.3638636
Moved 692.5685 600.5 530.5 0.5567129 0.3665122
Moved 692.5828 600 531.1702 0.5555555 0.3682361
Stationary 692.5999 600 531.1702 0.5555555 0.3682361
Moved 692.6138 600 533.2297 0.5555555 0.373533
Moved 692.6297 586 534.6667 0.5231482 0.377229
