experience is hard to come by
experience is hard to come by
Basic
0.6 0.6
432 388.8
Began 3522.185 223 425 -0.3171296 0.09516452
Stationary 3522.202 223 425 -0.3171296 0.09516452
Stationary 3522.216 223 425 -0.3171296 0.09516452
Stationary 3522.231 223 425 -0.3171296 0.09516452
Stationary 3522.246 223 425 -0.3171296 0.09516452
Stationary 3522.261 223 425 -0.3171296 0.09516452
Stationary 3522.278 223 425 -0.3171296 0.09516452
Moved 3522.293 223 414.4022 -0.3171296 0.06790691
Moved 3522.309 223 411.5833 -0.3171296 0.06065663
Moved 3522.325 214.3887 403.5548 -0.3370632 0.04000719
Moved 3522.34 211.8902 397.7803 -0.3428468 0.02515514
Moved 3522.356 207.5071 389.0142 -0.3529929 0.002608397
Moved 3522.371 205.1354 383.2708 -0.3584828 -0.0121637
Moved 3522.388 200.8991 376.1651 -0.3682892 -0.03043963
Moved 3522.403 197.3911 368.1733 -0.3764095 -0.05099465
Moved 3522.418 195.1635 362.4088 -0.3815659 -0.06582095
Moved 3522.434 192.3436 356.6873 -0.3880934 -0.08053697
Moved 3522.449 189.4618 350.9236 -0.3947643 -0.09536099
Moved 3522.464 187.7915 346.3746 -0.3986306 -0.1070612
Moved 3522.479 186.3546 342.0638 -0.4019569 -0.1181486
Moved 3522.494 184.9168 337.7505 -0.4052851 -0.1292426
Moved 3522.51 183.4781 334.9563 -0.4086154 -0.1364294
Moved 3522.525 182.267 331.8011 -0.4114189 -0.1445446
Moved 3522.54 182 326.6323 -0.412037 -0.1578387
Moved 3522.557 182 322.4088 -0.412037 -0.1687018
Moved 3522.572 181.0363 318.109 -0.4142677 -0.1797608
Moved 3522.587 181 313.7813 -0.4143519 -0.1908918
Moved 3522.602 181 308.6437 -0.4143519 -0.2041057
Moved 3522.617 181 302.8782 -0.4143519 -0.2189346
Moved 3522.633 181 299.5 -0.4143519 -0.2276234
Moved 3522.648 181 296.3466 -0.4143519 -0.2357341
Moved 3522.664 189.8586 292.2035 -0.3938459 -0.2463903
Moved 3522.68 189.7071 290.293 -0.3941966 -0.2513041
Moved 3522.694 192.2786 286.5821 -0.388244 -0.2608485
Moved 3522.711 194.1691 284.8309 -0.3838679 -0.2653525
Moved 3522.726 196.0233 282.9767 -0.3795757 -0.2701215
Moved 3522.74 197.4537 281.5463 -0.3762646 -0.2738008
Moved 3522.755 198.3858 280.6142 -0.3741069 -0.276198
Moved 3522.771 199.9691 279.0308 -0.3704418 -0.2802705
Moved 3522.788 201.4039 279 -0.3671205 -0.2803498
Moved 3522.802 202.8438 278 -0.3637875 -0.2829219
Moved 3522.817 204.2825 276.7175 -0.3604571 -0.2862206
Stationary 3522.833 204.2825 276.7175 -0.3604571 -0.2862206
Moved 3522.849 205.3729 275.6271 -0.3579331 -0.2890249
Moved 3522.865 206.118 276 -0.3562084 -0.288066
Moved 3522.88 206 274.5 -0.3564815 -0.2919239
Moved 3522.908 207.0774 275 -0.3539875 -0.2906379
Moved 3522.919 208 273.968 -0.3518518 -0.2932922
Stationary 3522.931 208 274 -0.3518518 -0.2932099
