are you sure you want this
are you sure you want this
FixStart
0.6 0.6
432 388.8
Moved 436.1879 466.7764 571.7764 0.2471676 0.4726759
Moved 436.2034 469.3061 572 0.2530234 0.4732509
Moved 436.219 474.6325 573.5265 0.2653529 0.4771771
Moved 436.2344 483.3881 574 0.2856206 0.478395
Moved 436.2498 499.5985 574 0.3231448 0.478395
Moved 436.2651 511.3545 574 0.3503577 0.478395
Moved 436.2805 536.0717 568.7082 0.4075734 0.4647843
Moved 436.296 553.8637 561.2832 0.4487586 0.4456871
Moved 436.3111 567.252 557.4244 0.4797499 0.4357623
Moved 436.3269 578.3882 553.2622 0.5055284 0.425057
Moved 436.344 587.9433 550.4448 0.5276465 0.4178105
Moved 436.3585 597.7372 546.3051 0.5503176 0.4071633
Moved 436.3738 599.8663 544.4225 0.5552462 0.4023211
Moved 436.3893 602.1992 543.9336 0.5606461 0.4010637
Moved 436.4053 607.2751 541.8624 0.5723962 0.3957366
Moved 436.4191 609.5082 539.4918 0.5775653 0.3896393
Moved 436.4353 610.1911 538.8089 0.5791461 0.3878829
Moved 436.4507 612.2657 536.7343 0.5839484 0.382547
Moved 436.4654 613 537 0.5856481 0.3832304
Stationary 436.4811 613 537 0.5856481 0.3832304
Moved 436.4966 613 536 0.5856481 0.3806583
Moved 436.5119 613 534.5406 0.5856481 0.3769048
Moved 436.5271 613 533.842 0.5856481 0.3751079
Moved 436.5437 596.678 533 0.5478658 0.3729423
Moved 436.5592 582.8933 532 0.5159568 0.3703703
Moved 436.5725 576.0078 532 0.5000181 0.3703703
Moved 436.588 558.4396 532 0.4593511 0.3703703
Moved 436.6061 547.8279 532 0.4347869 0.3703703
Moved 436.6206 535.6566 532 0.4066126 0.3703703
Moved 436.6376 517.3463 540.2862 0.3642276 0.3916824
Moved 436.6513 506.0971 540.5576 0.3381877 0.3923804
Moved 436.6666 501.2642 541.248 0.3270005 0.3941562
Moved 436.6822 487.7015 543.3284 0.2956054 0.399507
Moved 436.7035 479.3946 545.4014 0.2763764 0.4048389
Stationary 436.7138 479.3946 545.4014 0.2763764 0.4048389
Moved 436.7276 475.541 546.3647 0.2674559 0.4073166
Moved 436.7444 470.3674 547.8776 0.2554801 0.4112076
Moved 436.7586 466.1969 549.2677 0.2458261 0.4147831
Moved 436.7747 463.3493 550.6506 0.2392346 0.41834
Moved 436.7899 461.9639 552.0361 0.2360274 0.4219036
Stationary 436.8053 462 552 0.2361111 0.4218106
Ended 436.8202 462 553 0.2361111 0.4243826
Candidates 436.9272 12 you toy your out tour utility root got it output foot put
Began 437.3416 474 413 0.2638889 0.06430033
Stationary 437.3603 474 413 0.2638889 0.06430033
Stationary 437.3736 474 413 0.2638889 0.06430033
Stationary 437.3893 474 413 0.2638889 0.06430033
Stationary 437.4047 474 413 0.2638889 0.06430033
Moved 437.4209 474 420.941 0.2638889 0.08472462
Moved 437.4366 474 438.3502 0.2638889 0.1295013
Moved 437.4516 474 453.6218 0.2638889 0.1687801
Moved 437.4674 474 469.0599 0.2638889 0.2084872
Moved 437.4835 474 494.5258 0.2638889 0.2739859
Moved 437.4983 474 508.0742 0.2638889 0.3088326
Moved 437.5141 474 524.9578 0.2638889 0.3522576
Moved 437.5302 474 536.0594 0.2638889 0.3808112
Moved 437.5453 474 543.3134 0.2638889 0.3994685
Moved 437.5587 474 547.3105 0.2638889 0.4097493
Ended 437.5748 474 549 0.2638889 0.4140946
Accept 437.6173 0 you
Began 437.9572 491 434 0.3032407 0.1183127
Stationary 437.9756 491 434 0.3032407 0.1183127
Stationary 437.9902 491 434 0.3032407 0.1183127
Stationary 438.0072 491 434 0.3032407 0.1183127
Stationary 438.021 491 434 0.3032407 0.1183127
Moved 438.0457 474.4084 434 0.2648342 0.1183127
Stationary 438.0565 474.4084 434 0.2648342 0.1183127
Moved 438.0688 464.8622 434 0.2427366 0.1183127
Moved 438.0847 454.1898 434 0.2180321 0.1183127
Moved 438.0991 436.6617 434 0.1774577 0.1183127
Moved 438.1151 420.3963 441.9355 0.1398064 0.1387229
Moved 438.1308 408.336 442.5182 0.1118888 0.1402217
Moved 438.1456 396.8461 443 0.08529186 0.1414608
Moved 438.1608 385.866 443 0.05987495 0.1414608
Moved 438.1763 377.7686 443 0.04113108 0.1414608
Moved 438.1927 371.4616 443 0.02653152 0.1414608
Moved 438.2071 364.78 443 0.01106491 0.1414608
Moved 438.2224 360.7163 443 0.001658102 0.1414608
Moved 438.2371 356.3781 443 -0.00838394 0.1414608
Moved 438.2547 353.6035 443 -0.01480659 0.1414608
Moved 438.2685 352 443.584 -0.01851852 0.142963
Moved 438.2822 351.0324 444 -0.02075831 0.1440329
Moved 438.2986 351 446.7248 -0.02083332 0.151041
Moved 438.3151 351 448.6396 -0.02083332 0.1559661
Moved 438.3309 351 454.2418 -0.02083332 0.1703748
Moved 438.3466 360.5081 460.9426 0.001176298 0.1876094
Moved 438.3611 373.2003 472.6367 0.03055632 0.2176867
Moved 438.3764 386.5826 485.5826 0.06153365 0.2509839
Moved 438.3922 403.006 499.3383 0.09955078 0.2863639
Moved 438.4076 421.252 511.4052 0.1417869 0.3174002
Moved 438.4223 434.7961 519.7144 0.1731392 0.3387716
Moved 438.4376 456.0756 533.343 0.2223973 0.3738245
Moved 438.4554 475.1049 547.0699 0.2664464 0.4091302
Moved 438.4695 492.6489 559.0646 0.3070576 0.439981
Moved 438.4909 520.9149 577.286 0.3724881 0.4868466
Stationary 438.502 520.9149 577.286 0.3724881 0.4868466
Moved 438.5145 531.2726 585.2336 0.3964642 0.5072881
Moved 438.5304 542.3791 593.5343 0.4221738 0.5286375
Moved 438.5472 545.0784 596.0784 0.4284222 0.5351809
Moved 438.5609 548.8136 599.8136 0.4370685 0.544788
Moved 438.5767 551.5748 602.5748 0.4434603 0.5518899
Moved 438.5925 552.6763 603.6763 0.4460101 0.554723
Moved 438.6085 553 605.0636 0.4467593 0.5582911
Moved 438.6227 553 606.451 0.4467593 0.5618595
Moved 438.6382 553 607.5 0.4467593 0.5645576
Stationary 438.6539 553 607.5 0.4467593 0.5645576
Moved 438.6677 553 609.2615 0.4467593 0.569088
Stationary 438.6847 553 609.2615 0.4467593 0.569088
Moved 438.7006 545.9091 609 0.4303451 0.5684156
Moved 438.7152 543.1553 609 0.4239705 0.5684156
Moved 438.7303 535.9677 609 0.4073327 0.5684156
Moved 438.7471 526.673 609 0.3858171 0.5684156
Moved 438.7629 519 609 0.3680556 0.5684156
Moved 438.7781 510.1608 604.7657 0.3475943 0.5575248
Moved 438.7927 499.0622 600.0156 0.3219032 0.5453075
Moved 438.8076 486.5833 597.2407 0.2930168 0.5381705
Moved 438.8234 475.3581 594.7074 0.2670326 0.5316548
Moved 438.8395 463.7874 591.6968 0.2402485 0.5239115
Moved 438.8545 453.258 589.4655 0.2158751 0.5181724
Moved 438.8738 443.6604 587.1887 0.1936584 0.5123166
Moved 438.8858 437.1104 586.0184 0.1784965 0.5093066
Moved 438.9005 427.5361 583.296 0.1563335 0.5023045
Moved 438.9156 417.9007 582.2715 0.1340293 0.4996695
Moved 438.9313 410.4207 580.8842 0.1167144 0.4961011
Moved 438.9472 403.5 581 0.1006944 0.496399
Moved 438.962 395.7349 579.1225 0.08271973 0.4915701
Moved 438.9774 389.9846 577.7462 0.06940881 0.4880302
Moved 438.9931 383.5 578 0.05439818 0.488683
Moved 439.0082 378.3168 577 0.04239997 0.4861111
Moved 439.0237 371.7659 577 0.02723595 0.4861111
Moved 439.0396 367.7201 577 0.01787047 0.4861111
Moved 439.0545 364.3968 576 0.01017779 0.483539
Moved 439.0697 361.6447 576 0.003807247 0.483539
Moved 439.0863 360.5 576 0.001157423 0.483539
Stationary 439.1014 360.5 576 0.001157423 0.483539
Moved 439.116 360 576 0 0.483539
Ended 439.1303 360 576 0 0.483539
Candidates 439.2531 12 sure site sue store air assure stir suite due fair dye street
Began 439.6207 438 400 0.1805556 0.03086416
Stationary 439.6407 438 400 0.1805556 0.03086416
Stationary 439.6553 438 400 0.1805556 0.03086416
Stationary 439.6706 438 400 0.1805556 0.03086416
Stationary 439.6864 438 400 0.1805556 0.03086416
Moved 439.7088 438 439.3724 0.1805556 0.1321305
Stationary 439.7195 438 439.3724 0.1805556 0.1321305
Moved 439.731 438 453 0.1805556 0.167181
Moved 439.7501 444.088 478.5247 0.1946482 0.2328309
Moved 439.7635 446.2491 499.7365 0.1996506 0.2873879
Moved 439.7793 447.6241 514.4895 0.2028336 0.325333
Moved 439.7938 449.0059 528.0533 0.2060322 0.3602193
Moved 439.8098 449 537.8342 0.2060185 0.3853759
Ended 439.8257 452 541 0.2129629 0.3935184
Accept 439.8521 0 sure
Began 440.2248 431 408 0.1643519 0.05144025
Stationary 440.2408 431 408 0.1643519 0.05144025
Stationary 440.2555 431 408 0.1643519 0.05144025
Stationary 440.2711 431 408 0.1643519 0.05144025
Stationary 440.2863 431 408 0.1643519 0.05144025
Stationary 440.3032 431 408 0.1643519 0.05144025
Stationary 440.3178 431 408 0.1643519 0.05144025
Moved 440.3333 431 426.2898 0.1643519 0.0984819
Moved 440.3488 431 435.8304 0.1643519 0.1230204
Moved 440.3645 431 447.8484 0.1643519 0.1539311
Moved 440.3794 431 462.8016 0.1643519 0.1923909
Moved 440.3962 431 481.5925 0.1643519 0.2407213
Moved 440.4167 439 508.5165 0.1828703 0.3099704
Stationary 440.4268 439 508.5165 0.1828703 0.3099704
Moved 440.4406 440.1077 522.0767 0.1854344 0.3448472
Moved 440.4566 441.4949 534.4545 0.1886457 0.3766834
Moved 440.4725 442.5711 542.9977 0.1911368 0.3986565
Moved 440.4883 443.9541 552.6788 0.1943383 0.4235566
Moved 440.5031 445.3303 559.6512 0.1975237 0.4414898
Moved 440.5187 446.7109 563.1326 0.2007196 0.4504439
Moved 440.5343 448.0877 567.2631 0.2039067 0.4610676
Moved 440.5497 449.4637 568.4637 0.207092 0.4641556
Moved 440.5639 450.842 571.684 0.2102824 0.4724381
Moved 440.5804 451.9126 572.9126 0.2127607 0.4755981
Moved 440.5977 454.5325 574.2662 0.2188252 0.4790798
Moved 440.6119 457.9388 575.6462 0.2267101 0.4826291
Moved 440.6273 464.1256 578.0502 0.2410315 0.4888122
Moved 440.6412 473.7275 579.3896 0.2632582 0.4922572
Moved 440.657 490.3687 580 0.3017793 0.4938271
