do you prefer a window seat
do you prefer a window seat
Basic
0.6 0.6
432 388.8
Began 1443.266 264 369 -0.2222222 -0.04886839
Stationary 1443.287 264 369 -0.2222222 -0.04886839
Stationary 1443.301 264 369 -0.2222222 -0.04886839
Stationary 1443.316 264 369 -0.2222222 -0.04886839
Stationary 1443.332 264 369 -0.2222222 -0.04886839
Stationary 1443.348 264 369 -0.2222222 -0.04886839
Moved 1443.362 269.3906 378.4335 -0.209744 -0.02460519
Moved 1443.379 275.2776 388.7358 -0.1961167 0.001892357
Moved 1443.394 290.2782 406.6578 -0.1613931 0.04798818
Moved 1443.41 311.8735 431.4984 -0.111404 0.1118786
Moved 1443.425 340.2982 458.1684 -0.0456059 0.1804742
Moved 1443.44 371.6206 480.7241 0.02689958 0.2384879
Moved 1443.455 398.969 500.2722 0.09020597 0.2887659
Moved 1443.472 416.5423 510.6497 0.130885 0.315457
Moved 1443.487 427 517 0.1550926 0.33179
Moved 1443.501 437.5185 522.7249 0.1794409 0.3465144
Moved 1443.518 446.2195 525.7398 0.1995822 0.354269
Moved 1443.533 453.2233 528.6116 0.2157946 0.3616553
Moved 1443.548 457.7124 530.2375 0.2261862 0.3658371
Moved 1443.564 463.041 530.6804 0.2385209 0.3669761
Moved 1443.579 467.349 532.1163 0.248493 0.3706695
Moved 1443.594 473 533.5 0.2615741 0.3742283
Moved 1443.609 474.9303 533.6434 0.2660424 0.3745972
Moved 1443.626 479.2559 534 0.2760553 0.3755144
Moved 1443.641 481.5193 534 0.2812948 0.3755144
Moved 1443.656 482.954 534.954 0.2846156 0.377968
Moved 1443.671 484.3927 535 0.287946 0.3780863
Moved 1443.687 485.8324 535 0.2912787 0.3780863
Moved 1443.702 486.5 535 0.2928241 0.3780863
Moved 1443.718 487.1768 535 0.2943907 0.3780863
Moved 1443.734 488.8505 535 0.2982651 0.3780863
Stationary 1443.749 489 535 0.2986111 0.3780863
Ended 1443.765 492 535 0.3055556 0.3780863
Candidates 1443.853 12 so do di du dip stop drop ai auto duty sp ap
Began 1444.61 396 363 0.08333336 -0.06430049
Stationary 1444.629 396 363 0.08333336 -0.06430049
Stationary 1444.642 396 363 0.08333336 -0.06430049
Stationary 1444.658 396 363 0.08333336 -0.06430049
Stationary 1444.672 396 363 0.08333336 -0.06430049
Moved 1444.688 369.026 363 0.02089352 -0.06430049
Moved 1444.705 349.4112 363 -0.02451112 -0.06430049
Moved 1444.722 318.1201 363 -0.09694418 -0.06430049
Moved 1444.736 279.4434 353.0442 -0.1864737 -0.08990692
Moved 1444.752 228.8642 353.2367 -0.3035552 -0.08941187
Moved 1444.766 205.806 353 -0.3569304 -0.09002065
Ended 1444.782 188.5 353 -0.3969907 -0.09002065
Accept 1444.825 1 do
Began 1445.122 366 527 0.01388888 0.3575102
Stationary 1445.136 366 527 0.01388888 0.3575102
Stationary 1445.15 366 527 0.01388888 0.3575102
Stationary 1445.166 366 527 0.01388888 0.3575102
Stationary 1445.182 366 527 0.01388888 0.3575102
Stationary 1445.197 366 527 0.01388888 0.3575102
Stationary 1445.214 366 527 0.01388888 0.3575102
Stationary 1445.229 366 527 0.01388888 0.3575102
Stationary 1445.246 366 527 0.01388888 0.3575102
Stationary 1445.261 366 527 0.01388888 0.3575102
Moved 1445.275 351 527 -0.02083332 0.3575102
Moved 1445.291 347.0342 527 -0.03001332 0.3575102
Moved 1445.306 341.2683 527 -0.04336034 0.3575102
Moved 1445.322 335.4915 519.9829 -0.05673274 0.3394621
Moved 1445.337 331.0805 516.387 -0.06694336 0.3302133
Moved 1445.351 328.0385 515.6795 -0.07398491 0.3283937
Moved 1445.368 323.4059 514.1353 -0.08470848 0.3244221
Moved 1445.384 319.0742 511.3828 -0.09473562 0.3173426
Moved 1445.399 316.5099 511.2549 -0.1006714 0.3170137
Moved 1445.415 314.8147 511 -0.1045955 0.3163579
Moved 1445.429 313.5 511 -0.1076389 0.3163579
Moved 1445.444 312.9673 511 -0.1088721 0.3163579
Stationary 1445.46 313 511 -0.1087963 0.3163579
Stationary 1445.476 313 511 -0.1087963 0.3163579
Moved 1445.49 311.9822 511 -0.1111524 0.3163579
Stationary 1445.505 312 511 -0.1111111 0.3163579
Stationary 1445.523 312 511 -0.1111111 0.3163579
Stationary 1445.536 312 511 -0.1111111 0.3163579
Stationary 1445.552 312 511 -0.1111111 0.3163579
Stationary 1445.568 312 511 -0.1111111 0.3163579
Stationary 1445.584 312 511 -0.1111111 0.3163579
Moved 1445.599 318.5666 520.6417 -0.09591073 0.3411565
Moved 1445.614 322.4986 522.2493 -0.0868089 0.3452912
Moved 1445.629 326.7808 525.3904 -0.07689625 0.3533703
Moved 1445.645 333.6604 529.3962 -0.06097128 0.3636734
Moved 1445.661 343.9976 532.1422 -0.0370426 0.3707359
Moved 1445.675 352.1797 533.7399 -0.01810263 0.3748454
Moved 1445.7 388.5 534 0.06597221 0.3755144
Moved 1445.714 406.5552 534 0.1077666 0.3755144
Stationary 1445.726 406.5552 534 0.1077666 0.3755144
Moved 1445.738 425.1683 522.8195 0.1508526 0.3467578
Moved 1445.753 441.2982 516.7735 0.1881903 0.3312075
Moved 1445.769 455.8216 510.8713 0.2218093 0.316027
Moved 1445.783 465 506 0.2430555 0.3034978
Moved 1445.799 474.435 502.5869 0.2648959 0.2947192
Moved 1445.814 483.4254 499.5248 0.285707 0.2868437
Moved 1445.83 490.405 497.319 0.3018634 0.28117
Moved 1445.845 497.6103 494.7559 0.3185422 0.2745779
Moved 1445.86 501.6781 494.4406 0.3279587 0.273767
Moved 1445.876 505.9901 494 0.3379402 0.2726337
Moved 1445.892 508.8737 492.5632 0.344615 0.2689381
Moved 1445.909 512.2415 493 0.3524108 0.2700616
Moved 1445.923 514.9732 493 0.3587342 0.2700616
Moved 1445.938 516.4269 493 0.3620994 0.2700616
Moved 1445.953 518.8674 493 0.3677486 0.2700616
Moved 1445.969 519.5 493 0.3692129 0.2700616
Moved 1445.984 520.3717 493 0.3712308 0.2700616
Stationary 1445.999 520.3717 493 0.3712308 0.2700616
Stationary 1446.016 520 493 0.3703704 0.2700616
Stationary 1446.032 520 493 0.3703704 0.2700616
Stationary 1446.047 520 493 0.3703704 0.2700616
Moved 1446.06 505.9015 493 0.3377349 0.2700616
Moved 1446.076 493.8375 491.9819 0.3098091 0.2674432
Moved 1446.092 478.483 492 0.2742663 0.2674896
Moved 1446.108 462.0894 492 0.2363179 0.2674896
Moved 1446.124 448.6095 492 0.2051146 0.2674896
Moved 1446.14 422.3913 492 0.1444242 0.2674896
Moved 1446.154 407.9259 492 0.1109396 0.2674896
Moved 1446.17 387.9215 492 0.06463309 0.2674896
Moved 1446.185 373.5833 492 0.03144294 0.2674896
Moved 1446.2 359.7734 492 -0.0005245209 0.2674896
Moved 1446.216 346.4951 492 -0.03126125 0.2674896
Moved 1446.231 338.097 491.1567 -0.0507015 0.2653207
Moved 1446.247 333.2984 491 -0.06180927 0.2649176
Moved 1446.264 330.3199 491 -0.06870389 0.2649176
Ended 1446.277 328.8843 491 -0.07202704 0.2649176
Candidates 1446.441 12 root report error roy toy terror tour route roof you wrote teppy
Began 1447.602 415 412 0.1273148 0.06172835
Stationary 1447.621 415 412 0.1273148 0.06172835
Stationary 1447.635 415 412 0.1273148 0.06172835
Stationary 1447.65 415 412 0.1273148 0.06172835
Stationary 1447.665 415 412 0.1273148 0.06172835
