experience is hard to come by
experience is hard to come by
FixStart
0.6 0.6
432 388.8
Began 3134.383 418 312 0.1342593 -0.1954732
Stationary 3134.403 418 312 0.1342593 -0.1954732
Stationary 3134.418 418 312 0.1342593 -0.1954732
Stationary 3134.432 418 312 0.1342593 -0.1954732
Stationary 3134.448 418 312 0.1342593 -0.1954732
Stationary 3134.462 418 312 0.1342593 -0.1954732
Moved 3134.478 404.7015 319.1607 0.1034757 -0.1770559
Moved 3134.495 397.2913 326.7087 0.08632243 -0.1576422
Moved 3134.51 380.7647 343.2353 0.04806638 -0.1151356
Moved 3134.525 363.6963 359.2804 0.008556147 -0.07386737
Moved 3134.542 353.8522 370.5975 -0.01423101 -0.04475966
Moved 3134.557 339.6826 391.0248 -0.04703104 0.007779941
Moved 3134.571 325.5381 406.8082 -0.07977302 0.04837487
Moved 3134.587 317.5766 417.9729 -0.09820223 0.07709075
Moved 3134.603 310.6615 428.0078 -0.1142095 0.1029005
Moved 3134.617 304.8618 439.2763 -0.1276346 0.1318834
Moved 3134.634 303.2668 443.933 -0.131327 0.1438606
Moved 3134.649 301.8356 448.4931 -0.1346397 0.1555892
Moved 3134.664 299.7787 453.832 -0.1394012 0.1693209
Moved 3134.679 297.9539 456.0461 -0.1436251 0.1750156
Moved 3134.695 297.5151 458.4849 -0.1446409 0.1812882
Moved 3134.71 296.3029 459 -0.1474471 0.1826131
Moved 3134.725 294.9595 460.0405 -0.1505567 0.1852892
Stationary 3134.74 294.5195 460 -0.1515752 0.1851851
Moved 3134.756 293.0793 460 -0.1549091 0.1851851
Moved 3134.772 291.6405 460 -0.1582395 0.1851851
Moved 3134.786 289.3944 452.7747 -0.1634389 0.1666014
Moved 3134.802 286.5287 442.3506 -0.1700724 0.1397907
Moved 3134.818 284 426 -0.1759259 0.09773654
Moved 3134.833 285 396.3307 -0.1736111 0.02142678
Moved 3134.849 285 367.895 -0.1736111 -0.05171049
Moved 3134.865 292.6472 349.2335 -0.1559092 -0.0997081
Moved 3134.88 296.2486 324.4254 -0.1475726 -0.1635151
Moved 3134.896 297.5 308 -0.1446759 -0.2057614
Moved 3134.912 298.9607 290.4714 -0.1412946 -0.2508452
Moved 3134.926 301.8067 273.1596 -0.1347066 -0.2953714
Moved 3134.941 302.4109 261.0695 -0.1333082 -0.3264673
Moved 3134.957 304.9615 249.1346 -0.1274039 -0.3571641
Moved 3134.972 306.4205 239.0564 -0.1240266 -0.3830855
Moved 3134.987 307.8609 228.9738 -0.1206924 -0.4090181
Moved 3135.002 309.3034 221.4832 -0.1173533 -0.4282841
Moved 3135.019 310.7433 216.0266 -0.11402 -0.4423184
Moved 3135.034 312.1829 210.2684 -0.1106878 -0.4571286
Moved 3135.049 313.211 208.578 -0.1083079 -0.4614764
Moved 3135.063 314.7241 206.2759 -0.1048053 -0.4673975
