the facts get in the way
the facts get in the way
Basic
0.6 0.6
432 388.8
Moved 664.9694 251.2297 352.7703 -0.2517832 -0.09061138
Moved 664.9858 245.6535 358.3465 -0.2646909 -0.07626937
Moved 665.0002 239.0792 363.1906 -0.2799093 -0.06381023
Moved 665.0156 230.1978 369.573 -0.300468 -0.04739471
Moved 665.0313 220.5 375 -0.3229167 -0.03343629
Moved 665.0474 216.6582 377.114 -0.3318097 -0.02799917
Moved 665.0626 208.3879 380.806 -0.3509539 -0.01850301
Moved 665.0866 192.8341 386.3886 -0.3869581 -0.004144559
Moved 665.1016 185.6343 389.1463 -0.4036243 0.002948306
Stationary 665.1116 185.6343 389.1463 -0.4036243 0.002948306
Moved 665.1265 178.7416 390.4517 -0.4195797 0.006305631
Moved 665.1373 172.6792 391.8302 -0.4336129 0.009851298
Moved 665.1537 168.2514 392 -0.4438624 0.01028803
Moved 665.1701 165.4052 393.2974 -0.4504509 0.01362498
Moved 665.1851 160.6539 394 -0.4614492 0.01543206
Moved 665.2006 158.9542 394 -0.4653837 0.01543206
Moved 665.2152 156.1589 394 -0.4718543 0.01543206
Moved 665.2322 155.1817 395 -0.4741163 0.01800408
Moved 665.2467 153.8089 395 -0.4772942 0.01800408
Stationary 665.2624 153.8089 395 -0.4772942 0.01800408
Moved 665.2767 153 395.652 -0.4791667 0.01968113
Stationary 665.2928 153 396 -0.4791667 0.02057605
Moved 665.308 151.5838 397.4162 -0.4824449 0.02421858
Moved 665.3242 151.1868 397.8132 -0.4833639 0.02523972
Stationary 665.3391 151 398 -0.4837963 0.02572008
Stationary 665.3541 151 398 -0.4837963 0.02572008
Stationary 665.3702 151 398 -0.4837963 0.02572008
Stationary 665.3848 151 398 -0.4837963 0.02572008
Moved 665.3997 174.6947 386.8495 -0.4289474 -0.002959059
Moved 665.4163 191.6741 375.9955 -0.3896433 -0.03087566
Moved 665.4332 210.0781 363.5613 -0.3470413 -0.06285687
Moved 665.4481 225.3924 351.673 -0.3115916 -0.09343378
Moved 665.4628 238.4313 340.4976 -0.2814089 -0.1221771
Moved 665.4783 252.0125 329.59 -0.2499712 -0.1502314
Moved 665.4938 264 320 -0.2222222 -0.1748972
Moved 665.509 275.9024 308.7162 -0.1946704 -0.2039192
Moved 665.525 286.31 298.69 -0.1705787 -0.2297069
Moved 665.5402 293.8631 291.7095 -0.1530946 -0.2476609
Moved 665.5552 298.8567 286.191 -0.1415353 -0.2618544
Moved 665.5712 301.6467 283.3533 -0.135077 -0.2691532
Moved 665.5861 304.4352 279.5648 -0.1286221 -0.2788973
Moved 665.6017 307.2089 276.7911 -0.1222017 -0.2860311
Moved 665.6165 309.228 274.772 -0.1175278 -0.2912242
Moved 665.632 310.544 271.912 -0.1144816 -0.2985802
Moved 665.6479 311.93 269.14 -0.1112732 -0.3057099
Moved 665.6627 313.3196 267.6804 -0.1080565 -0.3094639
Moved 665.6783 314.7047 265.2953 -0.1048502 -0.3155985
Moved 665.6938 315 263.9093 -0.1041667 -0.3191634
Moved 665.7094 316.4766 264 -0.1007485 -0.31893
Moved 665.7263 316 262.3318 -0.1018519 -0.3232206
Moved 665.7393 316.9601 262 -0.09962936 -0.3240741
Moved 665.7609 317.5 262 -0.09837966 -0.3240741
Stationary 665.7715 317.5 262 -0.09837966 -0.3240741
Moved 665.7858 317 262 -0.09953702 -0.3240741
Moved 665.8006 317 283.1548 -0.09953702 -0.2696636
Moved 665.8168 317 307.0699 -0.09953702 -0.2081536
Moved 665.8326 317 332.3111 -0.09953702 -0.1432329
Moved 665.8478 317 350.9369 -0.09953702 -0.095327
Moved 665.863 320.4698 382.963 -0.0915051 -0.01295521
Moved 665.8796 325.4958 408.231 -0.07987086 0.05203443
Moved 665.8937 331 436 -0.06712963 0.1234567
Moved 665.9093 337.4766 456.325 -0.05213757 0.1757329
Moved 665.926 343.1404 477.2766 -0.03902683 0.2296208
Moved 665.9388 347.0002 493.0005 -0.03009225 0.2700631
Moved 665.9544 349.5644 503.2576 -0.02415642 0.2964445
Moved 665.9709 353.2624 514.787 -0.0155964 0.3260983
Moved 665.9858 356.9533 523.86 -0.007052471 0.3494342
Moved 666.001 359.7348 531.337 -0.0006138781 0.368665
Moved 666.0171 361.2577 537.0306 0.002911289 0.3833092
Moved 666.0329 362.6401 540.9204 0.006111463 0.3933137
Moved 666.0483 363 544.0636 0.006944438 0.401398
Moved 666.0626 364.4137 548.2411 0.01021693 0.4121428
Moved 666.0801 364 549.7485 0.009259283 0.4160196
Moved 666.0944 364.8792 551.8792 0.01129429 0.4214998
Moved 666.1094 365 553.2686 0.01157403 0.4250736
Stationary 666.1256 365 553.2686 0.01157403 0.4250736
Moved 666.1391 365 554 0.01157403 0.4269547
Stationary 666.155 365 554 0.01157403 0.4269547
Stationary 666.171 365 554 0.01157403 0.4269547
Stationary 666.1855 365 554 0.01157403 0.4269547
Moved 666.2011 354.2167 554 -0.0133873 0.4269547
