good jobs for those with education
good jobs for those with education
Basic
0.6 0.6
432 388.8
Moved 601.9332 416.7676 484.1716 0.1314064 0.247355
Moved 601.9473 427.3055 493.2619 0.1557999 0.2707353
Moved 601.9627 434.2536 498.1811 0.1718833 0.2833875
Moved 601.9868 453.5051 510.6465 0.2164469 0.3154487
Stationary 601.998 453.5051 510.6465 0.2164469 0.3154487
Moved 602.0089 460.84 516.472 0.233426 0.330432
Moved 602.0264 467.1974 519.3981 0.2481422 0.3379579
Moved 602.0413 474.1673 522.4669 0.2642762 0.3458511
Moved 602.0563 478.0186 525.3458 0.2731913 0.3532555
Moved 602.0717 481.4799 526.8266 0.2812035 0.3570642
Moved 602.087 485.6066 529.4044 0.2907559 0.3636943
Moved 602.103 489.2773 530.6387 0.2992531 0.3668689
Moved 602.1182 493.1869 532.0623 0.3083029 0.3705305
Moved 602.1337 497.0239 534 0.3171849 0.3755144
Moved 602.149 499.8988 535.8988 0.3238398 0.3803981
Moved 602.1643 501.388 536 0.3272869 0.3806583
Moved 602.1807 504 537.5 0.3333333 0.3845164
Moved 602.1951 504.9578 537 0.3355504 0.3832304
Moved 602.2106 506.3926 537 0.3388717 0.3832304
Moved 602.2262 506.83 538 0.3398843 0.3858024
Stationary 602.2408 507 538 0.3402778 0.3858024
Moved 602.256 508 538.7062 0.3425926 0.3876188
Moved 602.273 509.1426 539 0.3452375 0.3883744
Stationary 602.2888 509 539 0.3449074 0.3883744
Stationary 602.3024 509 539 0.3449074 0.3883744
Stationary 602.3177 509 539 0.3449074 0.3883744
Stationary 602.3316 509 539 0.3449074 0.3883744
Stationary 602.3478 509 539 0.3449074 0.3883744
Moved 602.3639 493.253 530.5208 0.3084559 0.3665658
Moved 602.38 478.6355 520.954 0.2746192 0.34196
Moved 602.3953 464.0484 512.2291 0.2408527 0.3195192
Moved 602.4103 455.4823 507.6013 0.2210239 0.3076163
Moved 602.4262 437.182 495.2728 0.178662 0.2759074
Moved 602.4417 427.4588 490.2294 0.1561545 0.2629356
Moved 602.4562 417.2303 484.9559 0.1324776 0.249372
Moved 602.4719 406.0133 478.3833 0.1065123 0.2324672
Moved 602.487 397.6391 473.7594 0.08712758 0.2205745
Moved 602.503 387.0186 468.0093 0.06254305 0.2057851
Moved 602.5179 380.5083 463.6722 0.04747282 0.19463
