exercise is good for the mind
exercise is good for the mind
Basic
0.6 0.6
432 388.8
Moved 1585.971 288.3968 359.7936 -0.1657481 -0.07254738
Moved 1585.986 285.321 348.284 -0.172868 -0.1021503
Moved 1586.002 282.4378 341.0945 -0.1795421 -0.1206417
Moved 1586.017 280.7696 331.3875 -0.1834037 -0.1456085
Moved 1586.033 279.7523 326.7612 -0.1857587 -0.1575071
Moved 1586.049 280 316.5767 -0.1851852 -0.1837021
Moved 1586.066 280 311.3471 -0.1851852 -0.1971525
Moved 1586.079 280 303.0654 -0.1851852 -0.2184533
Moved 1586.095 287.6616 296.6219 -0.1674501 -0.2350259
Moved 1586.112 291.6089 288.3184 -0.1583126 -0.2563828
Moved 1586.126 297.9027 280.1168 -0.1437438 -0.2774774
Moved 1586.141 304.2144 272.7499 -0.1291334 -0.2964253
Moved 1586.156 313.4435 263.0484 -0.1077696 -0.3213776
Moved 1586.172 321.6607 255.3392 -0.08874828 -0.3412057
Moved 1586.188 330.2252 246.7749 -0.06892323 -0.3632334
Moved 1586.202 336.0767 241.7386 -0.05537808 -0.3761867
Moved 1586.219 341.9878 237.2592 -0.04169494 -0.387708
Moved 1586.234 346.0699 232.6201 -0.03224572 -0.3996396
Moved 1586.254 349.5561 229.444 -0.02417579 -0.4078088
Moved 1586.266 352.4923 226.5077 -0.01737883 -0.4153609
Moved 1586.279 353.6862 224.6274 -0.01461516 -0.420197
Moved 1586.295 355.1259 222.8741 -0.01128276 -0.4247064
Moved 1586.311 356 223 -0.009259283 -0.4243828
Moved 1586.326 357.0119 223 -0.006916821 -0.4243828
Stationary 1586.341 357 223 -0.006944438 -0.4243828
Moved 1586.358 360.3158 242.2106 0.000731051 -0.3749728
Moved 1586.372 363.9165 266.4433 0.009065965 -0.3126459
Moved 1586.388 371.1147 295.4586 0.02572834 -0.238018
Moved 1586.403 381.9726 328.9177 0.05086243 -0.1519608
Moved 1586.419 390.813 358.0433 0.07132639 -0.07704919
Moved 1586.434 402.1289 385.4559 0.09752055 -0.006543658
Moved 1586.45 413.4249 410.0278 0.1236687 0.0566559
Moved 1586.466 424 428 0.1481481 0.1028806
Moved 1586.48 432.9925 439.4907 0.1689642 0.1324348
Moved 1586.496 440.9765 451.5624 0.1874456 0.1634835
Moved 1586.512 447.5277 460.7915 0.2026104 0.1872209
Moved 1586.526 453.2625 468.3281 0.2158853 0.2066052
Moved 1586.541 456.5313 473.5521 0.2234521 0.2200414
Moved 1586.556 458.9464 477.8928 0.2290426 0.2312056
Moved 1586.573 461.8021 480.8021 0.235653 0.2386884
Moved 1586.588 461.502 483.0039 0.2349582 0.2443516
Moved 1586.603 462 484.9352 0.2361111 0.2493188
Moved 1586.619 462 486.3777 0.2361111 0.2530289
Moved 1586.634 462 487.8114 0.2361111 0.2567165
Stationary 1586.65 462 488 0.2361111 0.2572016
Moved 1586.667 452.8984 488 0.2150426 0.2572016
Moved 1586.679 445.1594 488 0.1971283 0.2572016
Moved 1586.696 437.8842 478.7249 0.1802876 0.2333457
Moved 1586.711 415.599 463.1993 0.1287014 0.1934137
Moved 1586.727 392.4784 444.7637 0.07518142 0.1459971
Moved 1586.743 370 428 0.02314816 0.1028806
Moved 1586.759 348.3903 408.3345 -0.02687439 0.05230052
Moved 1586.773 330.9243 395.1932 -0.06730477 0.01850108
Moved 1586.792 317.4156 385.991 -0.09857491 -0.005167266
Moved 1586.804 308.1522 380.0951 -0.1200181 -0.02033155
Moved 1586.82 292.4057 370.0764 -0.1564683 -0.04609991
Moved 1586.835 283.962 367.4123 -0.1760138 -0.05295192
Moved 1586.85 276.4688 364.3875 -0.1933592 -0.06073178
Moved 1586.867 269.3005 362.2601 -0.2099525 -0.0662036
Moved 1586.88 262.1143 362 -0.2265873 -0.06687243
Moved 1586.901 255.525 362 -0.2418402 -0.06687243
Moved 1586.912 250.0846 362 -0.2544339 -0.06687243
Moved 1586.926 243.271 362 -0.2702059 -0.06687243
Moved 1586.942 236.0148 374.3882 -0.2870028 -0.03500981
Moved 1586.958 230.914 381.1433 -0.2988101 -0.0176356
Moved 1586.973 226.5842 388.3597 -0.3088329 0.0009252603
Moved 1586.988 223.1756 399.3853 -0.316723 0.02928302
Moved 1587.004 220.3135 409.4026 -0.3233483 0.05504772
Moved 1587.02 221 419.4629 -0.3217593 0.08092299
Moved 1587.033 221 431.3401 -0.3217593 0.1114714
Moved 1587.049 221 442.9214 -0.3217593 0.1412586
Moved 1587.065 235.0482 459.7158 -0.2892402 0.1844541
Moved 1587.081 239.7556 469.5112 -0.2783434 0.2096481
