this is a very good idea
this is a very good idea
Basic
0.6 0.6
432 388.8
Began 315.5492 305 513 -0.1273148 0.321502
Stationary 315.5799 305 513 -0.1273148 0.321502
Stationary 315.5912 305 513 -0.1273148 0.321502
Stationary 315.6018 305 513 -0.1273148 0.321502
Stationary 315.614 305 513 -0.1273148 0.321502
Stationary 315.6298 305 513 -0.1273148 0.321502
Moved 315.6451 312.7093 504.327 -0.1094692 0.2991949
Moved 315.6601 320.0509 495.5389 -0.09247467 0.2765917
Moved 315.677 324.7381 488.5667 -0.08162484 0.2586592
Moved 315.6923 339.4804 468.7423 -0.04749914 0.2076704
Moved 315.7068 349.5566 454.3477 -0.02417445 0.1706472
Moved 315.7217 357.7551 443.8674 -0.005196532 0.1436917
Moved 315.7375 365.1389 433.4056 0.0118956 0.1167838
Moved 315.7537 371.3453 420.6476 0.0262622 0.08397008
Moved 315.7691 377.4733 411.2901 0.04044741 0.05990244
Moved 315.784 381.6883 403.7955 0.0502043 0.04062637
Moved 315.7989 387.0101 395.6499 0.06252328 0.01967563
Moved 315.8145 391.2887 388.5188 0.07242759 0.00133432
Moved 315.8305 395.6386 383.8152 0.08249681 -0.01076341
Moved 315.8456 399.9254 378.0995 0.09241978 -0.02546412
Moved 315.8612 404.241 373.759 0.1024097 -0.03662824
Moved 315.876 408.557 368.5907 0.1124004 -0.04992112
Moved 315.8912 411.8621 364.1839 0.1200511 -0.06125548
Moved 315.9071 416.1299 359.8702 0.1299302 -0.07235044
Moved 315.9235 418.6306 358.1847 0.1357189 -0.07668546
Moved 315.9376 421.5082 356.7459 0.1423801 -0.08038611
Moved 315.9527 422.69 355.31 0.1451156 -0.0840793
Moved 315.9685 424.132 355 0.1484536 -0.08487654
Moved 315.983 427.1487 355 0.1554369 -0.08487654
Moved 315.9994 431.9117 355 0.1664622 -0.08487654
Moved 316.0149 437.5765 368.7296 0.1795753 -0.04956374
Moved 316.0333 446.9798 385.5556 0.2013421 -0.006287108
Moved 316.0457 453.1152 397.2017 0.2155445 0.02366674
Moved 316.0614 458.8712 407.2747 0.2288686 0.0495747
