exercise is good for the mind
exercise is good for the mind
FixStart
0.6 0.6
432 388.8
Moved 1253.457 500 645.7562 0.324074 0.6629531
Moved 1253.472 500 647.1908 0.324074 0.6666428
Stationary 1253.487 500 647.1908 0.324074 0.6666428
Stationary 1253.504 500 647 0.324074 0.6661521
Moved 1253.525 479.8196 636.2917 0.2773602 0.6386103
Stationary 1253.536 479.8196 636.2917 0.2773602 0.6386103
Moved 1253.549 465.3929 627.6357 0.2439652 0.616347
Moved 1253.565 449.5104 616.0076 0.2071999 0.5864391
Moved 1253.58 435.5626 606.3751 0.1749134 0.5616641
Moved 1253.596 410.3623 589.5749 0.1165794 0.5184538
Moved 1253.611 391.5 574.5 0.07291664 0.479681
Moved 1253.626 371.0834 557.6448 0.02565612 0.4363293
Moved 1253.642 349.0782 538.7345 -0.02528186 0.3876916
Moved 1253.657 335.2524 526.0272 -0.05728602 0.3550082
Moved 1253.672 323.369 513.165 -0.08479407 0.3219265
Moved 1253.688 313.4682 502.8207 -0.1077125 0.2953208
Moved 1253.703 305.5996 492.4394 -0.1259269 0.2686197
Moved 1253.718 294 478 -0.1527778 0.2314814
Moved 1253.734 286.013 465.0174 -0.1712661 0.1980899
Moved 1253.751 278.6147 453.3257 -0.1883918 0.1680188
Moved 1253.766 271.3831 442.3052 -0.2051317 0.1396737
Moved 1253.78 268.05 436.1001 -0.2128471 0.1237141
Moved 1253.798 265.2046 431.8069 -0.2194338 0.1126721
Moved 1253.811 265 431.1586 -0.2199074 0.1110046
Stationary 1253.826 265 431 -0.2199074 0.1105966
Stationary 1253.842 265 431 -0.2199074 0.1105966
Stationary 1253.857 265 431 -0.2199074 0.1105966
Stationary 1253.872 265 431 -0.2199074 0.1105966
Moved 1253.887 265 446.504 -0.2199074 0.1504732
Moved 1253.904 265 454.8385 -0.2199074 0.1719096
Moved 1253.92 265 464.5528 -0.2199074 0.196895
Moved 1253.934 265 480.1086 -0.2199074 0.2369047
Moved 1253.95 272.4421 489.5684 -0.2026803 0.2612355
Moved 1253.966 278.093 506.2324 -0.1895995 0.3040957
Moved 1253.981 285.7476 527.2848 -0.1718806 0.3582426
