the facts get in the way
the facts get in the way
FixStart
0.6 0.6
432 388.8
Began 899.2648 446 358 0.199074 -0.07716057
Stationary 899.2823 446 358 0.199074 -0.07716057
Stationary 899.2988 446 358 0.199074 -0.07716057
Stationary 899.3112 446 358 0.199074 -0.07716057
Stationary 899.3274 446 358 0.199074 -0.07716057
Moved 899.343 437.9496 370.5228 0.180439 -0.04495173
Moved 899.3586 430.6313 388.5585 0.1634985 0.001436477
Moved 899.3738 424.0628 407.4677 0.1482936 0.05007128
Moved 899.39 418.8402 425.8491 0.1362043 0.09734848
Moved 899.4044 413.6187 446.5252 0.1241174 0.1505277
Moved 899.4199 411.0402 462.759 0.1181485 0.1922813
Moved 899.4358 409.1361 481.5023 0.1137411 0.2404894
Moved 899.451 407.7426 491.8019 0.1105153 0.2669801
Moved 899.4654 408 497.5237 0.1111111 0.2816966
Moved 899.4811 408 502.0343 0.1111111 0.293298
Moved 899.4982 408 503.395 0.1111111 0.2967977
Moved 899.5129 408 504.3303 0.1111111 0.2992035
Moved 899.5281 415.994 504 0.1296158 0.2983539
Moved 899.5441 429.776 488.6912 0.1615185 0.2589793
Moved 899.558 444.5 471.5 0.1956019 0.2147633
Moved 899.574 456.4882 454.7393 0.2233523 0.1716544
Moved 899.5906 467.5253 434.265 0.2489013 0.1189941
Moved 899.6054 476.2094 414.2827 0.2690033 0.06759953
Moved 899.6212 482.1509 401.868 0.2827567 0.03566883
Moved 899.6362 491.1801 380.1341 0.3036577 -0.02023132
Moved 899.6534 495.109 369.1186 0.3127522 -0.04856337
Moved 899.6675 497.8705 360.3884 0.3191448 -0.07101757
Moved 899.6827 499.3111 354.7556 0.3224795 -0.08550534
Moved 899.6984 500 350.9241 0.324074 -0.09535974
Moved 899.7133 501.0684 347.8632 0.3265472 -0.1032327
Moved 899.7285 501 345.1108 0.3263889 -0.1103118
Stationary 899.7441 501 344.6194 0.3263889 -0.1115755
Stationary 899.7593 501 345 0.3263889 -0.1105968
Moved 899.7747 489.5029 345 0.2997752 -0.1105968
Moved 899.7905 480.0737 354.6176 0.2779483 -0.08586027
Moved 899.8056 468.7006 362.1996 0.2516218 -0.06635909
Moved 899.8208 456.454 370.364 0.2232731 -0.04536012
Moved 899.8358 444.6917 379.7312 0.1960456 -0.02126748
Moved 899.8534 433.4296 389.7004 0.1699758 0.004373401
Moved 899.8667 418.7764 401.8193 0.1360564 0.03554352
Moved 899.8832 409 410.5 0.113426 0.05787029
Moved 899.8975 396.3686 421.6775 0.08418659 0.08661894
Moved 899.913 386.6124 432.7287 0.06160269 0.1150429
Moved 899.9288 378.617 442.1135 0.04309485 0.1391808
Moved 899.9539 366.0198 458.4753 0.01393467 0.1812635
Stationary 899.9636 366.0198 458.4753 0.01393467 0.1812635
Moved 899.9749 361.1954 464.3655 0.002767145 0.1964131
Moved 899.9898 356.1784 471.7027 -0.008846372 0.2152846
Moved 900.0053 351.9847 478.6921 -0.01855383 0.2332616
Ended 900.0198 351 480 -0.02083332 0.2366254
Candidates 900.2036 12 the there threw further trigger tiger they right either where rights huge
Began 900.587 453 334 0.2152778 -0.1388889
Stationary 900.6073 453 334 0.2152778 -0.1388889
Stationary 900.6212 453 334 0.2152778 -0.1388889
Moved 900.637 453 355.9183 0.2152778 -0.08251457
Moved 900.6577 453 381.2078 0.2152778 -0.01746974
Moved 900.6691 453 401.3179 0.2152778 0.03425386
Moved 900.6836 453 426.1415 0.2152778 0.09810043
Moved 900.699 453 438 0.2152778 0.1286007
Moved 900.7144 453 442.8413 0.2152778 0.1410527
Ended 900.7292 453 446.296 0.2152778 0.1499381
Accept 900.7892 0 the
Began 901.1101 503 408 0.3310186 0.05144025
Stationary 901.1306 503 408 0.3310186 0.05144025
Stationary 901.1467 503 408 0.3310186 0.05144025
Moved 901.1605 491.0774 408 0.3034198 0.05144025
Moved 901.1766 483.9663 408 0.2869591 0.05144025
Moved 901.1928 470.4164 408 0.2555935 0.05144025
Moved 901.209 459.5193 408 0.2303687 0.05144025
Moved 901.2234 445.5 418.5 0.1979166 0.07844638
Moved 901.2385 429.0831 416.7944 0.1599145 0.07405967
Moved 901.2535 414.2141 418.1786 0.1254957 0.07761978
Moved 901.2698 399.8991 418 0.09235909 0.07716041
Moved 901.2852 389.3588 418 0.06796013 0.07716041
Moved 901.2999 379.7522 418 0.04572272 0.07716041
Moved 901.3157 370.0928 418 0.02336293 0.07716041
Moved 901.3309 360.3811 418 0.0008821487 0.07716041
Moved 901.3464 353.1824 418 -0.01578147 0.07716041
Moved 901.3627 344.2841 418 -0.0363795 0.07716041
Moved 901.3774 336.4398 418 -0.0545375 0.07716041
Moved 901.3932 328.2034 418 -0.07360324 0.07716041
Moved 901.4067 321.6187 418 -0.08884548 0.07716041
Moved 901.4235 312.674 418 -0.1095509 0.07716041
Moved 901.4379 307.262 418 -0.1220787 0.07716041
Moved 901.4542 301.5 407.5 -0.1354167 0.05015428
Moved 901.4702 297.4697 410 -0.1447461 0.05658428
Moved 901.4858 292.1284 410 -0.1571101 0.05658428
Moved 901.5018 290.3973 409 -0.1611173 0.05401234
Moved 901.5156 289.0266 409 -0.1642903 0.05401234
Moved 901.5305 287.6359 409 -0.1675096 0.05401234
Moved 901.5478 286.5 409 -0.1701389 0.05401234
Moved 901.5605 287 409 -0.1689815 0.05401234
Stationary 901.5767 287 409 -0.1689815 0.05401234
