a very traditional way to dress
a very traditional way to dress
FixStart
0.6 0.6
432 388.8
Began 1101.586 387 413 0.06250004 0.06430033
Stationary 1101.604 387 413 0.06250004 0.06430033
Stationary 1101.618 387 413 0.06250004 0.06430033
Stationary 1101.634 387 413 0.06250004 0.06430033
Moved 1101.65 369.3201 413 0.0215742 0.06430033
Moved 1101.664 359.8244 413 -0.0004064043 0.06430033
Moved 1101.68 339.3849 413 -0.04772002 0.06430033
Moved 1101.697 320.5 413 -0.09143516 0.06430033
Moved 1101.711 278.9867 413 -0.1875307 0.06430033
Moved 1101.728 239.6094 413 -0.2786819 0.06430033
Moved 1101.743 218.5076 413 -0.3275286 0.06430033
Moved 1101.757 193.9618 413 -0.3843476 0.06430033
Moved 1101.772 171.959 409.0446 -0.4352801 0.05412694
Ended 1101.788 157 402.5 -0.4699074 0.03729416
Delete 1101.831 LeftSwipe
Backspace 1103.76
Began 1104.595 432 409 0.1666667 0.05401234
Stationary 1104.611 432 409 0.1666667 0.05401234
Stationary 1104.626 432 409 0.1666667 0.05401234
Stationary 1104.641 432 409 0.1666667 0.05401234
Moved 1104.656 423.3489 409 0.1466409 0.05401234
Moved 1104.672 412.3933 409 0.1212808 0.05401234
Moved 1104.689 391.9926 409 0.07405708 0.05401234
Moved 1104.702 367.0284 409 0.01626959 0.05401234
Moved 1104.718 342.7216 409 -0.0399964 0.05401234
Moved 1104.734 321.6652 409 -0.0887379 0.05401234
Moved 1104.749 306.1568 409 -0.124637 0.05401234
Moved 1104.765 298 409 -0.1435185 0.05401234
Moved 1104.78 289.2593 409 -0.1637517 0.05401234
Moved 1104.799 281.9952 409 -0.1805667 0.05401234
Moved 1104.81 275.852 409 -0.1947871 0.05401234
Moved 1104.827 271.0934 409 -0.2058023 0.05401234
Moved 1104.842 263.9306 409 -0.2223828 0.05401234
Moved 1104.858 260.4645 409 -0.2304063 0.05401234
Moved 1104.873 257.4237 409 -0.2374452 0.05401234
Moved 1104.889 254.5491 409 -0.2440992 0.05401234
Moved 1104.903 250.5154 409 -0.2534366 0.05401234
Moved 1104.918 248.8027 409 -0.2574012 0.05401234
Moved 1104.934 246.4531 409 -0.2628399 0.05401234
Moved 1104.949 244.8715 409 -0.2665011 0.05401234
