the union will go on strike
the union will go on strike
FixStart
0.6 0.6
432 388.8
Began 246.9742 419 321 0.1365741 -0.1723252
Stationary 246.9925 419 321 0.1365741 -0.1723252
Stationary 247.0082 419 321 0.1365741 -0.1723252
Stationary 247.0243 419 321 0.1365741 -0.1723252
Stationary 247.0381 419 321 0.1365741 -0.1723252
Stationary 247.0527 419 321 0.1365741 -0.1723252
Moved 247.07 406.9091 336.7182 0.1085858 -0.1318976
Moved 247.085 403 349 0.09953707 -0.1003086
Moved 247.0999 396.4032 372.9484 0.08426677 -0.03871305
Moved 247.1179 391.6284 395.982 0.07321388 0.02052974
Moved 247.132 387.4177 427.076 0.06346692 0.1005041
Moved 247.1461 386.9976 435.0289 0.06249438 0.1209591
Moved 247.1617 387 451.8722 0.06250004 0.1642802
Moved 247.1773 387 461.2455 0.06250004 0.1883886
Moved 247.1934 387 468.9443 0.06250004 0.2081899
Moved 247.2086 387 479.2972 0.06250004 0.234818
Moved 247.226 397.4167 490.9048 0.08661271 0.2646727
Moved 247.2386 396.4151 490.6227 0.08429427 0.2639471
Moved 247.2555 402.117 496.7447 0.09749304 0.2796931
Moved 247.2719 403.1815 497.0908 0.09995719 0.2805831
Moved 247.2857 409.755 501.5034 0.1151737 0.2919324
Moved 247.3001 413.5 501 0.1238426 0.2906378
Moved 247.3161 415.1586 501 0.1276819 0.2906378
Moved 247.332 424.1512 501 0.1484982 0.2906378
Moved 247.3466 429.6592 486.3464 0.1612481 0.2529484
Moved 247.3655 436.567 473.9793 0.1772386 0.2211401
Moved 247.3774 442.2032 461.4919 0.1902853 0.1890223
Moved 247.3931 445.0807 454.2984 0.196946 0.1705205
Moved 247.4123 452.3058 432.6474 0.2136708 0.1148338
Moved 247.425 456.7172 415.8484 0.2238825 0.07162643
Moved 247.4389 460.0248 401.876 0.2315388 0.03568928
Moved 247.4545 462.9106 384.5363 0.238219 -0.008908848
Moved 247.4704 465.5299 375.8803 0.2442822 -0.03117204
Moved 247.4856 468.6763 359.6329 0.2515656 -0.07296079
Moved 247.5002 469.0535 354.6256 0.2524387 -0.08583947
Moved 247.5169 471.2147 342.7118 0.2574414 -0.1164821
Moved 247.5323 472.2243 337.8784 0.2597786 -0.1289136
Moved 247.5543 475.3418 327.2911 0.2669949 -0.1561444
Stationary 247.5683 475 326.8203 0.2662037 -0.1573552
Moved 247.5813 475 319.5 0.2662037 -0.1761832
Moved 247.5953 475 319.4767 0.2662037 -0.1762431
Moved 247.6085 475 315.5774 0.2662037 -0.1862721
Moved 247.6231 475 314.858 0.2662037 -0.1881225
Moved 247.639 475 313.5 0.2662037 -0.1916154
Moved 247.6533 464.0437 313 0.2408418 -0.1929013
Moved 247.6708 461.5917 313 0.235166 -0.1929013
Moved 247.6858 446.9809 328.0287 0.2013446 -0.1542473
Moved 247.701 430.2892 343.7108 0.1627065 -0.1139125
Moved 247.7162 412.2568 362.8773 0.1209649 -0.06461611
Moved 247.7325 398.7888 378.7903 0.08978884 -0.02368762
Moved 247.7471 392.2208 386.088 0.07458518 -0.004917702
Moved 247.7631 379.0104 402.1309 0.04400561 0.03634492
Moved 247.7769 366.9708 414.6048 0.01613607 0.0684279
Moved 247.7932 361.992 420.2948 0.004611214 0.08306268
Moved 247.8089 346.9464 443.4227 -0.03021672 0.1425481
Moved 247.8243 341.4464 451.8699 -0.04294813 0.1642743
Moved 247.8408 328.567 474.6271 -0.07276152 0.2228064
Moved 247.855 322.5 484 -0.08680557 0.2469135
Moved 247.8711 321.9125 486.1749 -0.0881654 0.2525075
Moved 247.8871 315.4159 497.9735 -0.1032039 0.2828536
Moved 247.9014 311.7123 503.9316 -0.1117771 0.2981779
Moved 247.9174 308.814 509.3719 -0.118486 0.3121706
Moved 247.9379 303.2405 514.5063 -0.1313877 0.3253762
Stationary 247.9493 303.2405 514.5063 -0.1313877 0.3253762
Moved 247.9641 300.5859 518.8281 -0.1375325 0.336492
Ended 247.9788 300.5859 518.8281 -0.1375325 0.336492
Candidates 248.1155 12 the there threw tiger trigger further either tougher right roger rule ride
Began 248.3777 431 270 0.1643519 -0.303498
Stationary 248.3948 431 270 0.1643519 -0.303498
Stationary 248.4123 431 270 0.1643519 -0.303498
Moved 248.4252 415.2732 324.1539 0.1279472 -0.1642134
Moved 248.4419 406.9656 383.1601 0.1087166 -0.01244831
Moved 248.4565 406 447.7997 0.1064815 0.1538059
Moved 248.4715 406 515.0544 0.1064815 0.3267859
Stationary 248.4854 406 515.0544 0.1064815 0.3267859
Moved 248.5022 432.1552 590.0328 0.1670258 0.5196317
Ended 248.5169 448 620 0.2037037 0.5967077
Accept 248.5605 0 the
Began 249.0868 429 388 0.1597223 -3.924585E-08
Stationary 249.1038 429 388 0.1597223 -3.924585E-08
Stationary 249.1179 429 388 0.1597223 -3.924585E-08
Stationary 249.133 429 388 0.1597223 -3.924585E-08
Stationary 249.1476 429 388 0.1597223 -3.924585E-08
Stationary 249.1655 429 388 0.1597223 -3.924585E-08
Moved 249.1803 442.9656 403.4484 0.19205 0.03973353
