do you prefer a window seat
do you prefer a window seat
Basic
Moved 691.1356 504.5 551.5 0.3344907 0.4205247
Moved 691.1509 507.9759 552.6586 0.3425369 0.4235046
Moved 691.1669 512.3016 554.1005 0.35255 0.4272132
Moved 691.1826 516.5 555.5 0.3622685 0.4308127
Moved 691.196 518.9667 556.9834 0.3679785 0.434628
Moved 691.2117 521.8442 558.4221 0.3746394 0.4383284
Moved 691.2286 523.863 558.863 0.3793124 0.4394623
Moved 691.2438 525.3062 559 0.3826533 0.4398148
Moved 691.2587 526.3165 560.3165 0.3849919 0.4432007
Moved 691.274 526.8609 560 0.3862521 0.4423867
Stationary 691.2957 527 560 0.3865741 0.4423867
Stationary 691.3065 527 560 0.3865741 0.4423867
Ended 691.3194 527 560 0.3865741 0.4423867
Candidates 691.3617 12 so do sp dip ap di stop ago soup ai du atp
Began 692.0605 445 380 0.1967593 -0.02057613
Stationary 692.0753 445 380 0.1967593 -0.02057613
Stationary 692.0897 445 380 0.1967593 -0.02057613
Moved 692.1053 435.1681 380 0.1740001 -0.02057613
Moved 692.1199 411.4759 380 0.1191571 -0.02057613
Moved 692.1373 368.7214 380 0.02018839 -0.02057613
Moved 692.1532 319.1553 387.5104 -0.09454792 -0.001259203
Moved 692.1674 281.2306 388.9465 -0.1823366 0.002434263
Ended 692.1837 280 389 -0.1851852 0.002572016
Accept 692.2269 1 do
Began 693.3074 334 475 -0.06018519 0.2237653
Stationary 693.324 334 475 -0.06018519 0.2237653
Stationary 693.338 334 475 -0.06018519 0.2237653
Stationary 693.3533 334 475 -0.06018519 0.2237653
Moved 693.3687 352.3747 475 -0.01765112 0.2237653
Moved 693.386 377.4206 486.8004 0.04032553 0.2541161
Moved 693.4003 407.8757 492.3387 0.1108233 0.2683609
Moved 693.4153 437.2079 498.1907 0.1787221 0.2834123
Moved 693.4311 454.4171 501.4532 0.2185581 0.2918034
Moved 693.4465 474.6981 503 0.2655049 0.2957818
Moved 693.462 489.8031 504.0803 0.3004702 0.2985604
Moved 693.4782 498.6168 504.5234 0.3208722 0.2997
Moved 693.4931 505.8175 505 0.3375404 0.3009258
Moved 693.5084 511.6088 505 0.3509463 0.3009258
Moved 693.5226 514.6973 506 0.3580956 0.3034978
Moved 693.5396 516.9241 506 0.3632503 0.3034978
Moved 693.5538 519.7759 507.3879 0.3698516 0.3070676
Moved 693.5698 520.8243 507 0.3722786 0.3060699
Moved 693.5853 522.2735 507 0.3756332 0.3060699
Moved 693.601 523.709 507.709 0.3789561 0.3078935
Moved 693.624 524.5902 508 0.3809959 0.3086419
Stationary 693.6336 524.5902 508 0.3809959 0.3086419
Stationary 693.6461 525 508 0.3819444 0.3086419
Stationary 693.6624 525 508 0.3819444 0.3086419
Stationary 693.6763 525 508 0.3819444 0.3086419
Stationary 693.6924 525 508 0.3819444 0.3086419
Stationary 693.7073 525 508 0.3819444 0.3086419
Stationary 693.723 525 508 0.3819444 0.3086419
Moved 693.7401 514.5276 508 0.3577028 0.3086419
Moved 693.7554 511 508 0.349537 0.3086419
Moved 693.7706 497.6394 501.9564 0.3186098 0.2930976
Moved 693.7858 472.4874 498.3875 0.2603875 0.2839184
Moved 693.8018 437.9176 496.5146 0.1803648 0.2791012
Moved 693.817 410.5764 496 0.1170751 0.2777777
Moved 693.8306 392.08 495.3709 0.07425934 0.2761597
Moved 693.8475 380.518 495 0.04749526 0.2752057
Moved 693.8629 370.5 493.5 0.02430558 0.2713476
Moved 693.8781 366.2105 493.4035 0.01437614 0.2710995
Moved 693.8928 361.8875 493 0.004369219 0.2700616
Moved 693.9086 357.571 493 -0.005622804 0.2700616
Moved 693.9236 356.1591 493 -0.008891076 0.2700616
Moved 693.9395 355 493 -0.01157408 0.2700616
Stationary 693.9541 355 493 -0.01157408 0.2700616
Moved 693.9686 355 501.7537 -0.01157408 0.2925764
Ended 693.9848 355 501.7537 -0.01157408 0.2925764
Candidates 694.1373 12 for you tour your root toy got foot type roy report error
Began 694.7396 414 370 0.125 -0.04629637
Stationary 694.7565 414 370 0.125 -0.04629637
Stationary 694.7717 414 370 0.125 -0.04629637
Stationary 694.7887 414 370 0.125 -0.04629637
Moved 694.8073 384.6303 370 0.05701452 -0.04629637
Moved 694.8189 353.0389 370 -0.01611372 -0.04629637
Moved 694.8345 299.1615 377.6337 -0.1408298 -0.02666222
Ended 694.8514 265.8984 381.5547 -0.2178278 -0.01657753
Accept 694.9083 1 you
Began 696.2337 576 457 0.5000001 0.1774691
Stationary 696.2677 576 457 0.5000001 0.1774691
Moved 696.2827 561.6984 457 0.4668944 0.1774691
Moved 696.2988 551.5068 457 0.4433027 0.1774691
Moved 696.3133 534.654 448.0594 0.4042916 0.1544738
Moved 696.3285 516.0172 446.6167 0.3611508 0.1507631
Moved 696.3459 498.5 445.5 0.3206019 0.1478908
Moved 696.3589 461.8734 446 0.2358179 0.1491768
Moved 696.3744 428.2564 446 0.158001 0.1491768
Moved 696.3915 405.5017 446 0.105328 0.1491768
Moved 696.405 380.0424 446 0.04639437 0.1491768
Moved 696.4204 352.9911 458.0015 -0.01622419 0.1800449
Moved 696.4365 332.5821 461.2181 -0.06346738 0.1883182
Moved 696.4518 316 464 -0.1018519 0.1954732
Moved 696.4674 303.9951 467.3344 -0.1296408 0.2040493
Moved 696.4829 291.0211 469.1088 -0.1596734 0.208613
Moved 696.4977 282.3193 471.5361 -0.1798164 0.2148563
Moved 696.5126 276.0895 472.9776 -0.1942372 0.2185637
Moved 696.528 271.7505 474.4165 -0.2042814 0.2222646
Moved 696.546 269.2839 476.7161 -0.209991 0.2281792
Moved 696.5594 267.692 479.616 -0.2136759 0.2356378
Moved 696.5745 268 481.5885 -0.212963 0.2407111
Moved 696.5951 268 484.6602 -0.212963 0.2486114
Moved 696.6061 268 487.5438 -0.212963 0.2560281
Moved 696.6199 268 488.5 -0.212963 0.2584876
Moved 696.6353 268 489.0788 -0.212963 0.2599762
Moved 696.6517 267.4064 489.5936 -0.2143371 0.2613004
Moved 696.667 266.5 490.5 -0.2164352 0.2636316
Moved 696.6824 267 490 -0.2152778 0.2623456
Moved 696.6979 265.3966 490 -0.2189893 0.2623456
