if you were not so stupid
if you were not so stupid
FixStart
0.6 0.6
432 388.8
Moved 3254.248 527.3028 520.6285 0.387275 0.3411225
Moved 3254.263 531.2911 525.0547 0.3965071 0.352507
Moved 3254.278 534.4064 528.4064 0.4037184 0.3611274
Moved 3254.293 535.6437 531.2875 0.4065827 0.3685376
Moved 3254.309 538.1669 534.1669 0.4124234 0.3759437
Stationary 3254.324 538.1669 534.1669 0.4124234 0.3759437
Moved 3254.344 539 536 0.4143518 0.3806583
Moved 3254.356 540.0975 537.0975 0.4168923 0.3834811
Stationary 3254.371 540 537 0.4166667 0.3832304
Moved 3254.387 540 538.5 0.4166667 0.3870883
Moved 3254.402 540 539.2101 0.4166667 0.3889149
Stationary 3254.417 540 539.2101 0.4166667 0.3889149
Moved 3254.433 517.408 527.3497 0.3643703 0.3584096
Moved 3254.449 487.6066 501.8057 0.2953857 0.2927099
Moved 3254.465 460.0515 472.2121 0.2316007 0.2165948
Moved 3254.483 440.8254 449.671 0.1870959 0.1586188
Moved 3254.511 411.3719 409.8834 0.1189164 0.05628448
Moved 3254.526 397.1334 390.9167 0.08595685 0.007501884
Moved 3254.541 388.6401 379.343 0.06629656 -0.0222659
Moved 3254.557 378.059 364.7061 0.04180312 -0.05991249
Moved 3254.574 369.2321 352.6785 0.02137055 -0.09084748
Moved 3254.589 362.0384 343.0537 0.004718403 -0.1156027
Moved 3254.603 354.8241 334.3889 -0.01198128 -0.1378886
Moved 3254.619 348.5277 327.6597 -0.02655615 -0.1551963
Moved 3254.636 342.7322 321.7322 -0.03997167 -0.1704418
Moved 3254.651 341 320 -0.04398147 -0.1748972
Moved 3254.665 336.3905 315.3905 -0.05465155 -0.1867528
Moved 3254.681 332.063 312.3753 -0.06466901 -0.194508
Moved 3254.697 328.4997 308.4998 -0.07291729 -0.204476
Moved 3254.712 325.6221 305.6221 -0.07957846 -0.2118773
Moved 3254.727 323.3705 304.3705 -0.08479039 -0.2150964
Moved 3254.742 321.9308 302.9308 -0.08812319 -0.2187995
Moved 3254.757 320.5 301.5 -0.09143516 -0.2224794
Moved 3254.773 319.4037 300.4037 -0.09397288 -0.2252991
Moved 3254.789 317.962 300 -0.09731019 -0.2263375
Moved 3254.803 317 298.5233 -0.09953702 -0.2301355
Moved 3254.819 316.082 298 -0.1016621 -0.2314816
Ended 3254.834 316 296.643 -0.1018519 -0.2349718
Candidates 3254.985 12 of off if good god ogc odd igf fox goods is odds
Began 3255.601 285 377 -0.1736111 -0.02829226
Stationary 3255.62 285 377 -0.1736111 -0.02829226
Stationary 3255.634 285 377 -0.1736111 -0.02829226
Moved 3255.65 300.9447 377 -0.1367022 -0.02829226
Moved 3255.667 320.4301 377 -0.09159704 -0.02829226
Moved 3255.682 346.3783 377 -0.0315317 -0.02829226
Moved 3255.697 373.5 377 0.03125002 -0.02829226
Moved 3255.713 403.8109 377 0.1014141 -0.02829226
Moved 3255.729 441.4964 385.6887 0.1886491 -0.005944805
Moved 3255.744 471.5302 387.5295 0.2581716 -0.001210224
Moved 3255.76 494.4604 389.928 0.311251 0.004958949
Moved 3255.775 516.1583 390 0.3614776 0.005143954
Moved 3255.79 535.1987 390 0.4055525 0.005143954
Moved 3255.805 552.4633 390 0.4455169 0.005143954
Moved 3255.82 562.5 390 0.46875 0.005143954
Moved 3255.838 570.8495 390 0.4880775 0.005143954
Moved 3255.851 578.3539 390 0.5054488 0.005143954
Moved 3255.866 583.1418 390 0.5165319 0.005143954
Ended 3255.89 590 392 0.5324074 0.01028803
Accept 3255.924 2 if
Began 3257.004 398 282 0.08796295 -0.2726338
Stationary 3257.023 398 282 0.08796295 -0.2726338
Stationary 3257.037 398 282 0.08796295 -0.2726338
Stationary 3257.053 398 282 0.08796295 -0.2726338
Stationary 3257.068 398 282 0.08796295 -0.2726338
Moved 3257.085 398 294.7434 0.08796295 -0.2398575
Moved 3257.098 398 301.91 0.08796295 -0.221425
Moved 3257.115 398 309.1958 0.08796295 -0.2026858
Moved 3257.13 398 321.7319 0.08796295 -0.1704428
Moved 3257.147 398 338.9192 0.08796295 -0.1262367
Moved 3257.161 385.9169 359.5618 0.05999277 -0.07314368
Moved 3257.177 381.3633 375.1224 0.04945209 -0.03312154
Moved 3257.193 379.3506 391.546 0.04479299 0.009120188
Moved 3257.207 376.8154 403.8307 0.03892452 0.04071691
Moved 3257.223 375.5 413.5 0.03587961 0.06558634
Moved 3257.24 376 419.526 0.03703703 0.08108527
Moved 3257.253 376 427.4161 0.03703703 0.1013789
Moved 3257.27 376 431.5 0.03703703 0.1118827
Moved 3257.286 376 435.9279 0.03703703 0.1232713
Moved 3257.3 376 438.8132 0.03703703 0.1306924
Moved 3257.315 376 442.6883 0.03703703 0.1406591
Moved 3257.332 376 448.1463 0.03703703 0.1546971
Moved 3257.347 386.2163 449.5541 0.06068587 0.158318
Moved 3257.362 390.2534 453.6266 0.07003088 0.1687927
Moved 3257.377 397.2581 456.5032 0.08624553 0.1761913
Moved 3257.393 406.8523 459.3864 0.1084544 0.1836068
Moved 3257.408 420.3189 461.1319 0.1396271 0.1880964
Moved 3257.424 433.1725 462.5747 0.1693807 0.1918072
Moved 3257.44 447.1228 464.0123 0.2016732 0.1955047
Moved 3257.455 457.0298 465.1144 0.2246061 0.1983395
Moved 3257.469 476.9229 465 0.2706549 0.1980452
