are you sure you want this
are you sure you want this
Basic
0.6 0.6
432 388.8
Stationary 1854.084 349 318 -0.02546296 -0.1800412
Stationary 1854.098 349 318 -0.02546296 -0.1800412
Stationary 1854.112 349 318 -0.02546296 -0.1800412
Stationary 1854.128 349 318 -0.02546296 -0.1800412
Stationary 1854.144 349 318 -0.02546296 -0.1800412
Stationary 1854.161 349 318 -0.02546296 -0.1800412
Ended 1854.175 349 318 -0.02546296 -0.1800412
NextCandidatePanel 1854.234
Began 1854.928 349 321 -0.02546296 -0.1723252
Stationary 1854.945 349 321 -0.02546296 -0.1723252
Stationary 1854.961 349 321 -0.02546296 -0.1723252
Stationary 1854.977 349 321 -0.02546296 -0.1723252
Stationary 1854.991 349 321 -0.02546296 -0.1723252
Stationary 1855.011 349 321 -0.02546296 -0.1723252
Ended 1855.026 349 321 -0.02546296 -0.1723252
Began 1855.112 346 328 -0.03240739 -0.1543211
NextCandidatePanel 1855.112
Stationary 1855.132 346 328 -0.03240739 -0.1543211
Stationary 1855.147 346 328 -0.03240739 -0.1543211
Stationary 1855.161 346 328 -0.03240739 -0.1543211
Stationary 1855.177 346 328 -0.03240739 -0.1543211
Stationary 1855.197 346 328 -0.03240739 -0.1543211
Ended 1855.208 346 328 -0.03240739 -0.1543211
NextCandidatePanel 1855.33
Began 1855.929 285 334 -0.1736111 -0.1388889
Stationary 1855.949 285 334 -0.1736111 -0.1388889
Stationary 1855.963 285 334 -0.1736111 -0.1388889
Ended 1855.98 285 334 -0.1736111 -0.1388889
Began 1856.1 249 334 -0.2569445 -0.1388889
Stationary 1856.118 249 334 -0.2569445 -0.1388889
Stationary 1856.133 249 334 -0.2569445 -0.1388889
Ended 1856.147 249 334 -0.2569445 -0.1388889
NextCandidatePanel 1856.147
Cancel 1856.271
Began 1856.823 139 373 -0.511574 -0.03858032
Stationary 1856.841 139 373 -0.511574 -0.03858032
Stationary 1856.858 139 373 -0.511574 -0.03858032
Stationary 1856.875 139 373 -0.511574 -0.03858032
Stationary 1856.889 139 373 -0.511574 -0.03858032
Stationary 1856.905 139 373 -0.511574 -0.03858032
Stationary 1856.922 139 373 -0.511574 -0.03858032
Stationary 1856.938 139 373 -0.511574 -0.03858032
Stationary 1856.953 139 373 -0.511574 -0.03858032
Stationary 1856.967 139 373 -0.511574 -0.03858032
Stationary 1856.979 139 373 -0.511574 -0.03858032
Stationary 1856.994 139 373 -0.511574 -0.03858032
Stationary 1857.011 139 373 -0.511574 -0.03858032
Stationary 1857.027 139 373 -0.511574 -0.03858032
Stationary 1857.042 139 373 -0.511574 -0.03858032
Stationary 1857.058 139 373 -0.511574 -0.03858032
Stationary 1857.073 139 373 -0.511574 -0.03858032
Stationary 1857.088 139 373 -0.511574 -0.03858032
Stationary 1857.103 139 373 -0.511574 -0.03858032
Stationary 1857.118 139 373 -0.511574 -0.03858032
Stationary 1857.133 139 373 -0.511574 -0.03858032
Moved 1857.15 147.0488 383.0488 -0.4929425 -0.01273457
Moved 1857.167 148.0901 385.1803 -0.490532 -0.007252398
Moved 1857.18 151.69 388.1267 -0.482199 0.0003258191
Moved 1857.196 156.0187 391.0125 -0.472179 0.007748074
Moved 1857.212 161.3386 394.8924 -0.4598643 0.01772731
Moved 1857.228 165.6595 397.773 -0.4498622 0.0251363
Moved 1857.251 173.528 402.764 -0.4316481 0.03797311
Stationary 1857.262 173.528 402.764 -0.4316481 0.03797311
Moved 1857.274 176.7238 403.9079 -0.4242505 0.0409153
Moved 1857.289 180.9278 406.6185 -0.4145189 0.04788712
Moved 1857.305 184.2494 408.4996 -0.40683 0.05272535
Moved 1857.32 188.5656 410.1885 -0.3968389 0.05706916
Moved 1857.335 193.8904 413.2603 -0.384513 0.06496975
Moved 1857.351 199.2877 416.1439 -0.3720191 0.07238643
Moved 1857.367 207.5527 419.0211 -0.3528873 0.07978663
Moved 1857.382 214.2211 421.407 -0.3374512 0.08592343
Moved 1857.396 222.2429 425.1215 -0.3188821 0.09547696
Moved 1857.414 229.396 427.9584 -0.302324 0.1027737
Moved 1857.428 237.4904 432.7452 -0.2835871 0.1150852
Moved 1857.443 248.8302 438.4151 -0.2573376 0.1296684
Moved 1857.46 261.4038 445.0024 -0.2282318 0.1466109
Moved 1857.475 274.1589 452.1994 -0.1987062 0.1651218
Moved 1857.49 288.5 460 -0.1655093 0.1851851
Moved 1857.506 304.094 466.1337 -0.1294121 0.200961
Moved 1857.521 317.2286 473.2381 -0.09900778 0.2192337
Moved 1857.536 328.186 478.7907 -0.07364342 0.2335151
Moved 1857.551 336.8235 484.549 -0.05364935 0.2483256
Moved 1857.567 347.5852 489.8657 -0.02873793 0.2620002
Moved 1857.582 356.0593 496.0474 -0.009122093 0.2778997
Moved 1857.597 363.295 501.836 0.007627309 0.292788
Moved 1857.612 368.8349 506.2679 0.02045115 0.3041869
Moved 1857.628 376.0593 511.0356 0.03717432 0.3164495
Moved 1857.644 381.8191 515.3643 0.05050719 0.327583
Moved 1857.66 385.6768 517.7845 0.05943696 0.3338078
Moved 1857.674 389.9929 519.3309 0.06942799 0.3377853
Moved 1857.691 392.5496 521.7748 0.07534624 0.3440709
Moved 1857.706 394.2141 523.2142 0.07919937 0.347773
Moved 1857.721 396.4174 524.2087 0.08429964 0.3503311
Moved 1857.737 397.727 525.727 0.08733103 0.354236
Moved 1857.751 399.1657 527.1657 0.09066135 0.3579364
Moved 1857.774 402.0431 529.0431 0.09732196 0.362765
Stationary 1857.785 402.0431 529.0431 0.09732196 0.362765
Moved 1857.798 402 530.4862 0.09722222 0.3664768
Moved 1857.813 403 530.9236 0.09953707 0.3676017
Moved 1857.829 404.0306 531 0.1019226 0.3677982
Stationary 1857.845 404.0306 531 0.1019226 0.3677982
Moved 1857.859 404.912 532 0.1039628 0.3703703
Moved 1857.875 405.5 532 0.1053241 0.3703703
Moved 1857.891 406.375 533.375 0.1073497 0.3739069
Stationary 1857.905 406.375 533.375 0.1073497 0.3739069
Stationary 1857.919 406.375 533.375 0.1073497 0.3739069
Moved 1857.936 407.1864 534.1865 0.1092279 0.3759939
Stationary 1857.952 407.1864 534.1865 0.1092279 0.3759939
Stationary 1857.967 407.1864 534.1865 0.1092279 0.3759939
Moved 1857.982 408.0777 535 0.111291 0.3780863
Moved 1857.998 408 535.519 0.1111111 0.3794211
Moved 1858.014 408 536.9578 0.1111111 0.3831218
Moved 1858.029 408 537.5 0.1111111 0.3845164
Stationary 1858.045 408 537.5 0.1111111 0.3845164
Moved 1858.06 408 538 0.1111111 0.3858024
Moved 1858.076 408 539.4177 0.1111111 0.3894486
Moved 1858.091 408 540.8552 0.1111111 0.3931461
Moved 1858.106 408 542.3013 0.1111111 0.3968655
Moved 1858.122 401.3609 543.7377 0.09574275 0.4005598
Moved 1858.137 395.4686 546.3543 0.08210321 0.4072898
Moved 1858.152 390 547.5 0.06944448 0.4102365
Moved 1858.168 383.3952 547.7209 0.05415549 0.4108048
Moved 1858.184 376.1856 548 0.03746678 0.4115225
Moved 1858.199 368.3732 548 0.01938244 0.4115225
Moved 1858.214 359.7404 548 -0.0006008645 0.4115225
Moved 1858.237 342.3811 548 -0.04078443 0.4115225
Stationary 1858.248 342.3811 548 -0.04078443 0.4115225
Moved 1858.26 335.2266 548 -0.05734578 0.4115225
Moved 1858.276 331.7154 548 -0.06547356 0.4115225
Moved 1858.29 326.366 548 -0.07785658 0.4115225
Moved 1858.309 322.0498 548 -0.08784761 0.4115225
Moved 1858.322 318.4876 548 -0.09609352 0.4115225
Moved 1858.337 315.6046 548 -0.102767 0.4115225
Moved 1858.353 312.0926 548 -0.1108969 0.4115225
Moved 1858.368 309.9254 548 -0.1159135 0.4115225
Moved 1858.382 307.7104 548 -0.1210408 0.4115225
Moved 1858.398 304.7397 548 -0.1279172 0.4115225
Moved 1858.414 301.8561 548 -0.1345923 0.4115225
Moved 1858.43 298.9734 548 -0.1412654 0.4115225
Moved 1858.445 297.0506 548 -0.1457161 0.4115225
Moved 1858.461 294.2242 548 -0.1522589 0.4115225
Moved 1858.475 292.1709 548 -0.1570119 0.4115225
Moved 1858.491 290.1216 548 -0.1617554 0.4115225
Moved 1858.507 288.6433 548 -0.1651775 0.4115225
Moved 1858.522 287.2046 548 -0.1685078 0.4115225
Moved 1858.537 285.7624 548 -0.1718464 0.4115225
Moved 1858.552 285.3214 548 -0.172867 0.4115225
Moved 1858.569 284.5 548 -0.1747685 0.4115225
