effort is what it will take
effort is what it will take
Basic
0.6 0.6
432 388.8
Began 332.0468 283 528 -0.1782407 0.3600822
Stationary 332.0803 283 528 -0.1782407 0.3600822
Stationary 332.0941 283 528 -0.1782407 0.3600822
Stationary 332.1062 283 528 -0.1782407 0.3600822
Stationary 332.1173 283 528 -0.1782407 0.3600822
Stationary 332.1287 283 528 -0.1782407 0.3600822
Moved 332.1408 283 511.419 -0.1782407 0.3174356
Moved 332.1606 293.5 501 -0.1539352 0.2906378
Moved 332.1738 300.4361 480.5187 -0.1378794 0.2379596
Moved 332.1884 308.2489 465.752 -0.1197942 0.1999792
Moved 332.2049 317.1109 450.8337 -0.09928038 0.1616092
Moved 332.2201 325.6619 438.0071 -0.07948627 0.1286191
Moved 332.2337 332.2307 428.0963 -0.06428078 0.1031281
Moved 332.2498 338.9739 417.0417 -0.04867151 0.07469577
Moved 332.2661 344.8005 408.2993 -0.03518408 0.05220998
Moved 332.2815 348.133 403.8669 -0.02746984 0.04081004
Moved 332.2969 351.944 398.112 -0.01864816 0.02600819
Moved 332.3127 355.2217 393.7783 -0.01106078 0.01486174
Moved 332.3273 357.8482 390.3036 -0.004981011 0.005924751
Moved 332.3423 360.5692 387.4308 0.00131766 -0.001464067
Moved 332.3578 361.7262 385.5476 0.003995796 -0.006307712
Moved 332.373 362 383.8343 0.004629592 -0.01071428
Moved 332.3892 363.2324 382.7676 0.007482271 -0.0134578
Moved 332.4039 364 382.2559 0.009259283 -0.01477387
Moved 332.4192 365.1862 380.8138 0.01200517 -0.01848307
Stationary 332.4346 365.1862 380.8138 0.01200517 -0.01848307
Moved 332.4502 366.3729 379.6271 0.01475205 -0.02153514
Moved 332.4675 366.5033 379 0.01505395 -0.02314815
Moved 332.4808 367 378.0514 0.01620372 -0.02558806
Moved 332.4963 368.0344 378 0.01859804 -0.02572024
Moved 332.5143 368 376.5152 0.01851857 -0.02953918
Stationary 332.5287 368 376.5152 0.01851857 -0.02953918
Moved 332.5426 369.1208 375.8792 0.02111296 -0.03117494
Stationary 332.5591 369.1208 375.8792 0.02111296 -0.03117494
Moved 332.5743 369 374.919 0.02083332 -0.03364453
Moved 332.5894 370.5 375 0.02430558 -0.03343629
Stationary 332.6049 370.5 375 0.02430558 -0.03343629
Moved 332.6196 371.055 375 0.02559026 -0.03343629
Moved 332.636 371.6262 374 0.02691249 -0.03600823
Moved 332.6516 373.0691 374 0.03025244 -0.03600823
Moved 332.6666 374.499 374 0.03356258 -0.03600823
Stationary 332.682 374.499 374 0.03356258 -0.03600823
Moved 332.6965 376.3762 374 0.03790776 -0.03600823
Moved 332.714 379.2341 374 0.04452338 -0.03600823
Moved 332.7282 381.8692 374 0.05062322 -0.03600823
Moved 332.7435 387.5424 385.0848 0.06375551 -0.007498116
Moved 332.7595 395.7361 391.9166 0.08272231 0.01007351
Moved 332.775 404.5801 401.8434 0.1031946 0.03560533
Moved 332.7902 415.8495 411.1567 0.1292813 0.05955947
Moved 332.8052 425.9434 422.0782 0.1526468 0.08764953
Moved 332.8206 435.5 431.5 0.1747686 0.1118827
Moved 332.8363 443.2691 439.2691 0.1927525 0.1318649
Moved 332.851 452.5656 448.5656 0.2142723 0.1557756
Moved 332.8664 462.5 457 0.2372685 0.1774691
Moved 332.8818 469.8503 463.8752 0.2542831 0.1951523
Moved 332.8976 478.4575 471.0479 0.2742072 0.2136005
Moved 332.9156 486.1114 478.4076 0.2919246 0.2325297
Moved 332.9287 494.7469 485.4557 0.3119142 0.2506577
Moved 332.9442 499.643 491.9716 0.3232476 0.2674165
Moved 332.9666 514.2668 503.9501 0.3570991 0.2982255
Stationary 332.977 514.2668 503.9501 0.3570991 0.2982255
Moved 332.9889 520.022 509.2665 0.3704212 0.3118992
Moved 333.0055 524.5525 513.5525 0.3809085 0.3229229
Moved 333.0203 530.5278 517.8958 0.3947402 0.3340941
Moved 333.0365 535.179 521.1193 0.4055068 0.3423849
Moved 333.0527 537.2631 523.2631 0.4103312 0.3478987
Moved 333.0677 542.2123 527.2123 0.4217877 0.3580562
Moved 333.0822 545.1047 529.0524 0.4284831 0.3627889
Moved 333.0977 546.4777 531.4777 0.4316612 0.3690268
Moved 333.1161 547.9153 532 0.434989 0.3703703
Moved 333.1292 548 533.35 0.4351853 0.3738425
Moved 333.144 549 534 0.4375 0.3755144
Moved 333.1601 549 534.8985 0.4375 0.3778253
Stationary 333.1755 549 535 0.4375 0.3780863
Moved 333.1906 540.7521 536.7498 0.4184076 0.3825868
Moved 333.2062 529.6804 537 0.3927787 0.3832304
Moved 333.2213 516.9592 538.6301 0.3633315 0.3874231
Moved 333.2372 503.2809 541.1438 0.3316688 0.3938883
Moved 333.2522 486 541 0.2916667 0.3935184
Moved 333.2671 471.3832 541 0.2578314 0.3935184
Moved 333.2826 453.1602 541 0.2156486 0.3935184
Moved 333.2988 440.5 541 0.1863426 0.3935184
Moved 333.3153 421.5814 541 0.1425495 0.3935184
Moved 333.3284 404.4524 541 0.1028991 0.3935184
Moved 333.3445 387.8541 541 0.06447703 0.3935184
Moved 333.3603 377.1022 532.1022 0.03958851 0.3706332
Moved 333.375 361 532.5 0.002314846 0.3716563
Moved 333.3907 349.2448 528.6122 -0.02489636 0.3616569
Moved 333.4063 338.3365 526.7623 -0.05014692 0.3568988
Moved 333.4214 326.2502 524.3215 -0.07812465 0.350621
Moved 333.4376 316.3743 522.9106 -0.1009854 0.3469923
Moved 333.4543 308.1577 521.9022 -0.1200053 0.3443987
Moved 333.4677 300.0117 520.0024 -0.1388617 0.3395122
Moved 333.4837 294.2546 518.5637 -0.1521884 0.3358118
Moved 333.5022 289.7204 518 -0.1626843 0.3343621
Moved 333.5148 284.964 516.988 -0.1736945 0.3317592
Moved 333.5293 279.2469 517 -0.1869286 0.33179
Moved 333.5455 276.3414 516 -0.1936543 0.329218
Moved 333.5614 272.0468 514.6823 -0.2035954 0.3258287
Moved 333.5771 269.482 514.241 -0.2095325 0.3246937
Moved 333.5916 266.6461 514 -0.2160969 0.324074
Moved 333.6062 264.5297 514 -0.2209961 0.324074
Moved 333.6225 263.2601 513.2601 -0.2239349 0.322171
Moved 333.6371 261.8161 513 -0.2272776 0.321502
