that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Began 1014.587 415 275 0.1273148 -0.2906379
Stationary 1014.607 415 275 0.1273148 -0.2906379
Stationary 1014.621 415 275 0.1273148 -0.2906379
Stationary 1014.638 415 275 0.1273148 -0.2906379
Stationary 1014.653 415 275 0.1273148 -0.2906379
Stationary 1014.668 415 275 0.1273148 -0.2906379
Stationary 1014.683 415 275 0.1273148 -0.2906379
Stationary 1014.698 415 275 0.1273148 -0.2906379
Stationary 1014.714 415 275 0.1273148 -0.2906379
Stationary 1014.728 415 275 0.1273148 -0.2906379
Stationary 1014.744 415 275 0.1273148 -0.2906379
Stationary 1014.759 415 275 0.1273148 -0.2906379
Stationary 1014.776 415 275 0.1273148 -0.2906379
Stationary 1014.79 415 275 0.1273148 -0.2906379
Stationary 1014.805 415 275 0.1273148 -0.2906379
Stationary 1014.82 415 275 0.1273148 -0.2906379
Stationary 1014.837 415 275 0.1273148 -0.2906379
Stationary 1014.852 415 275 0.1273148 -0.2906379
Stationary 1014.868 415 275 0.1273148 -0.2906379
Stationary 1014.883 415 275 0.1273148 -0.2906379
Stationary 1014.898 415 275 0.1273148 -0.2906379
Stationary 1014.914 415 275 0.1273148 -0.2906379
Moved 1014.93 415 286.1859 0.1273148 -0.2618675
Moved 1014.945 415 286.0014 0.1273148 -0.2623422
Moved 1014.961 415 288.8834 0.1273148 -0.2549297
Moved 1014.977 415 289.5 0.1273148 -0.2533437
Moved 1014.991 415 290.1613 0.1273148 -0.2516429
Moved 1015.007 415 291.7621 0.1273148 -0.2475256
Moved 1015.022 415 293.2023 0.1273148 -0.2438212
Moved 1015.039 415 295.4636 0.1273148 -0.2380051
Moved 1015.054 415 296.75 0.1273148 -0.2346966
Moved 1015.07 415 299.3858 0.1273148 -0.2279172
Moved 1015.084 415 300.6364 0.1273148 -0.2247007
Moved 1015.099 415 303.1572 0.1273148 -0.218217
Moved 1015.115 415 304.5184 0.1273148 -0.214716
Moved 1015.131 415 306.9117 0.1273148 -0.2085605
Moved 1015.146 415 308.0209 0.1273148 -0.2057077
Moved 1015.161 415 309.4686 0.1273148 -0.2019841
Moved 1015.178 415 310.9063 0.1273148 -0.1982865
Moved 1015.192 415 312.3463 0.1273148 -0.1945827
Moved 1015.208 415 313.7898 0.1273148 -0.1908699
Moved 1015.223 415 316.4587 0.1273148 -0.1840056
Moved 1015.237 415 318.6705 0.1273148 -0.1783168
Moved 1015.253 415 321.5293 0.1273148 -0.1709637
