travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Moved 2675.609 345.0519 438.803 -0.03460213 0.1306661
Moved 2675.624 363.6805 428.5547 0.00851969 0.1043073
Moved 2675.639 387.7877 411.3976 0.06432344 0.06017904
Moved 2675.655 409.2643 397.1813 0.1140378 0.02361431
Moved 2675.67 429.8149 382.7901 0.1616086 -0.01339995
Moved 2675.693 461.6752 355.9092 0.2353594 -0.08253811
Stationary 2675.704 461.6752 355.9092 0.2353594 -0.08253811
Moved 2675.717 475.5617 344.1985 0.2675041 -0.1126581
Moved 2675.733 490.1584 332.4733 0.3012927 -0.1428157
Moved 2675.748 503.7799 320.9734 0.3328238 -0.1723935
Moved 2675.764 515.3973 310.7773 0.359716 -0.1986179
Moved 2675.779 524.3512 303.892 0.3804425 -0.2163271
Moved 2675.794 532.3017 296.6983 0.3988466 -0.2348295
Moved 2675.809 539.4952 291.0038 0.4154981 -0.2494758
Moved 2675.824 545.7961 287.4693 0.4300835 -0.2585667
Moved 2675.841 553.3577 281.7139 0.4475872 -0.2733698
Moved 2675.857 560.5 277.5 0.4641204 -0.2842079
Moved 2675.87 567.7317 270.2683 0.4808604 -0.3028078
Moved 2675.885 573.5407 265.8445 0.4943072 -0.3141861
Ended 2675.902 577 264 0.5023147 -0.31893
Candidates 2675.96 12 travel excel rebel earth isabel ratio wheel recall reveal rail angel radio
Began 2676.427 425 240 0.150463 -0.3806585
Stationary 2676.441 425 240 0.150463 -0.3806585
Stationary 2676.458 425 240 0.150463 -0.3806585
Moved 2676.472 433.3479 283.0438 0.1697869 -0.2699492
Moved 2676.49 441.8783 333.79 0.1895331 -0.1394289
Moved 2676.504 446.7403 371.5759 0.2007877 -0.04224306
Moved 2676.519 453.5948 410.9308 0.2166546 0.05897827
Moved 2676.534 470 475.5 0.2546296 0.2250513
Ended 2676.548 470 475.5 0.2546296 0.2250513
Accept 2676.593 0 travel
Began 2676.823 389 271 0.06712963 -0.300926
Stationary 2676.843 389 271 0.06712963 -0.300926
Stationary 2676.859 389 271 0.06712963 -0.300926
Stationary 2676.873 389 271 0.06712963 -0.300926
Moved 2676.888 378.368 271 0.04251847 -0.300926
Moved 2676.906 365.0075 271 0.01159151 -0.300926
Moved 2676.919 351.6771 271 -0.01926606 -0.300926
Moved 2676.934 339.5929 271 -0.04723872 -0.300926
Moved 2676.952 316.198 271 -0.1013936 -0.300926
Moved 2676.966 301.6603 278.9266 -0.1350455 -0.2805386
Moved 2676.981 284.571 279 -0.1746043 -0.2803498
Moved 2676.998 272.3524 279 -0.2028879 -0.2803498
Moved 2677.012 258.6154 279 -0.2346867 -0.2803498
Moved 2677.027 246.5177 274.1268 -0.2626906 -0.2928838
Moved 2677.043 237.6887 270.2413 -0.283128 -0.3028774
Moved 2677.059 226.0238 267.7831 -0.31013 -0.3091999
Moved 2677.073 218.2703 266.454 -0.328078 -0.3126182
Moved 2677.089 212.1108 265.0277 -0.342336 -0.3162868
Moved 2677.107 207.7676 263.5892 -0.3523899 -0.3199867
Moved 2677.119 201.5661 262.1415 -0.366745 -0.3237101
Moved 2677.135 197.1097 260.7032 -0.3770609 -0.3274094
Moved 2677.151 193.5 261 -0.3854167 -0.3266461
