do you prefer a window seat
do you prefer a window seat
FixStart
0.6 0.6
432 388.8
Began 190.7512 432 329 0.1666667 -0.151749
Stationary 190.7694 432 329 0.1666667 -0.151749
Stationary 190.7839 432 329 0.1666667 -0.151749
Stationary 190.7981 432 329 0.1666667 -0.151749
Stationary 190.8155 432 329 0.1666667 -0.151749
Moved 190.8297 420.2711 329 0.1395164 -0.151749
Moved 190.8457 403.436 329 0.1005463 -0.151749
Moved 190.8623 390.7417 329 0.07116139 -0.151749
Moved 190.8828 365.3315 329 0.01234134 -0.151749
Stationary 190.8931 365.3315 329 0.01234134 -0.151749
Moved 190.9065 350.6592 329 -0.02162213 -0.151749
Moved 190.9233 342.6299 329 -0.04020845 -0.151749
Moved 190.9381 334.3963 329 -0.05926773 -0.151749
Moved 190.9537 328.4744 329 -0.07297601 -0.151749
Moved 190.9684 324.5137 329 -0.08214419 -0.151749
Moved 190.9842 321.5 329 -0.08912037 -0.151749
Moved 190.9991 320.2224 329 -0.0920777 -0.151749
Moved 191.0155 319 329 -0.09490739 -0.151749
Stationary 191.0309 318.6917 329 -0.09562111 -0.151749
Stationary 191.0457 318.6917 329 -0.09562111 -0.151749
Moved 191.0615 319 338.4015 -0.09490739 -0.1275682
Moved 191.0774 319 339.1188 -0.09490739 -0.1257234
Moved 191.0926 333.9853 345.3519 -0.06021917 -0.1096916
Moved 191.108 356.5133 353.9575 -0.008070965 -0.08755805
Moved 191.123 408 366.5 0.1111111 -0.05529835
Moved 191.1387 438.1523 373.6304 0.180908 -0.03695877
Moved 191.1544 468.6794 378.9877 0.2515728 -0.02317978
Moved 191.1695 495.0753 387.2264 0.3126743 -0.001989804
Moved 191.1847 527.0126 397.684 0.3866032 0.02490742
Moved 191.2003 549.2475 407.2958 0.4380728 0.04962894
Moved 191.2159 562 412.5 0.4675925 0.06301432
Moved 191.2303 572.6609 419.7739 0.4922706 0.08172302
Moved 191.2462 586.8869 428.928 0.5252011 0.1052675
Moved 191.2621 597.7714 437.0785 0.5503966 0.1262306
Moved 191.277 604.5989 444.5989 0.5662012 0.1455733
Moved 191.2922 609.2628 449.2628 0.5769971 0.1575688
Moved 191.3079 611.8717 451.8717 0.5830363 0.164279
Moved 191.3229 612.8041 452.8041 0.5851947 0.1666773
Stationary 191.3385 613 453 0.5856481 0.167181
Ended 191.3547 613 453 0.5856481 0.167181
Candidates 191.4431 12 so do sp gdp shop gap ago ship ap hsp dip gao
Began 191.998 477 322 0.2708333 -0.1697531
Stationary 192.0323 477 322 0.2708333 -0.1697531
Stationary 192.0471 477 322 0.2708333 -0.1697531
Stationary 192.064 477 322 0.2708333 -0.1697531
Moved 192.0789 464.826 322 0.2426528 -0.1697531
Moved 192.0941 456.0188 322 0.2222656 -0.1697531
Moved 192.1096 447.8291 322 0.2033081 -0.1697531
Moved 192.1248 440.7874 322 0.1870078 -0.1697531
Moved 192.1402 430.3541 322 0.1628567 -0.1697531
Moved 192.1549 418.8114 322 0.1361376 -0.1697531
Moved 192.1705 409.5564 322 0.1147138 -0.1697531
Moved 192.1866 400.0406 322 0.0926865 -0.1697531
Moved 192.2032 390.4685 322 0.07052888 -0.1697531
Moved 192.2177 384.5 322 0.05671293 -0.1697531
Moved 192.231 376.4828 322 0.03815452 -0.1697531
Moved 192.248 371.1404 322 0.02578785 -0.1697531
Moved 192.2636 364.4247 322 0.01024226 -0.1697531
Moved 192.2781 360.6397 322 0.001480778 -0.1697531
Moved 192.2939 357.9216 322 -0.004811089 -0.1697531
Moved 192.3108 355.1846 322 -0.01114666 -0.1697531
Moved 192.325 354.2358 322 -0.01334295 -0.1697531
Stationary 192.3393 354 322 -0.01388888 -0.1697531
Moved 192.3552 352.7819 322 -0.01670867 -0.1697531
Ended 192.3703 352.7819 322 -0.01670867 -0.1697531
Accept 192.4312 1 do
Began 192.8002 430 318 0.162037 -0.1800412
Stationary 192.8185 430 318 0.162037 -0.1800412
Stationary 192.8332 430 318 0.162037 -0.1800412
Stationary 192.8486 430 318 0.162037 -0.1800412
Stationary 192.8647 430 318 0.162037 -0.1800412
Stationary 192.8783 430 318 0.162037 -0.1800412
Stationary 192.8937 430 318 0.162037 -0.1800412
Moved 192.9116 430 328.0181 0.162037 -0.1542744
Moved 192.9259 420.307 333.0581 0.1395995 -0.1413115
Moved 192.9399 416.7159 344.8522 0.1312869 -0.1109769
Moved 192.9588 413.9846 356.069 0.1249645 -0.08212705
Moved 192.9729 412.6348 362.826 0.1218398 -0.06474797
Moved 192.988 411.2707 375.8343 0.1186822 -0.03129048
Moved 193.0029 411 385.6797 0.1180555 -0.005967803
Moved 193.0273 411 396 0.1180555 0.02057605
Stationary 193.0382 411 396 0.1180555 0.02057605
Moved 193.0497 411 399.5378 0.1180555 0.02967528
Moved 193.0641 411 402.4208 0.1180555 0.03709059
Moved 193.0801 422.0457 408.3118 0.1436244 0.05224236
Moved 193.0948 432.5629 412.8361 0.1679698 0.06387883
Moved 193.1104 446.0685 418.2274 0.1992326 0.07774537
Moved 193.1261 476.1393 424.0232 0.268841 0.09265224
Moved 193.1408 501.6023 427.0634 0.3277831 0.1004717
Stationary 193.1567 501.6023 427.0634 0.3277831 0.1004717
Moved 193.1711 545.7523 431.3554 0.4299821 0.1115107
Moved 193.1875 564.1724 432 0.4726212 0.1131687
Moved 193.203 581.0971 433.0914 0.5117989 0.1159758
Moved 193.2186 594.5237 433 0.542879 0.1157406
Moved 193.2342 602.7292 433 0.5618732 0.1157406
Moved 193.2492 609.9326 434.1865 0.5785477 0.1187924
Moved 193.2647 613.5 435.5 0.5868056 0.1221707
Moved 193.2807 615.5822 436 0.5916255 0.1234567
Moved 193.2964 616.5 436 0.5937499 0.1234567
Moved 193.3116 616 437.1488 0.5925925 0.1264115
Moved 193.327 601.6315 440.3397 0.5593323 0.1346186
Moved 193.3421 576.9902 447.0028 0.5022921 0.1517561
