learn to walk before you run
learn to walk before you run
FixStart
0.6 0.6
432 388.8
Began 448.8983 402 430 0.09722222 0.1080246
Stationary 448.9169 402 430 0.09722222 0.1080246
Stationary 448.9308 402 430 0.09722222 0.1080246
Stationary 448.9479 402 430 0.09722222 0.1080246
Stationary 448.9641 402 430 0.09722222 0.1080246
Stationary 448.979 402 430 0.09722222 0.1080246
Stationary 448.9925 402 430 0.09722222 0.1080246
Moved 449.0095 415.9333 430 0.1294754 0.1080246
Moved 449.0251 421.265 430 0.1418171 0.1080246
Moved 449.0401 434.7088 430 0.172937 0.1080246
Moved 449.0573 448.9942 430 0.2060051 0.1080246
Moved 449.0706 462.6248 430 0.2375575 0.1080246
Moved 449.087 477.5167 430 0.2720293 0.1080246
Moved 449.1026 490.0426 430 0.3010245 0.1080246
Moved 449.1173 503.0861 422.3914 0.3312179 0.08845525
Moved 449.1358 513.7253 421.2527 0.3558457 0.08552653
Moved 449.1487 526.4979 419.9502 0.3854117 0.08217631
Moved 449.1626 536.0886 417.1176 0.4076125 0.0748907
Moved 449.1782 546.9342 416.1776 0.4327181 0.07247316
Moved 449.1941 554.0301 414.794 0.4491438 0.06891454
Moved 449.2095 560.3517 414 0.4637771 0.06687239
Moved 449.2236 565.8708 413.0323 0.4765528 0.06438345
Moved 449.2388 570.0759 413 0.4862867 0.06430033
Moved 449.255 571.5664 411.7168 0.4897371 0.06099995
Moved 449.2698 574.5381 412 0.496616 0.06172835
Moved 449.2856 576.1539 412 0.5003561 0.06172835
Moved 449.3017 577.5 412 0.5034722 0.06172835
Moved 449.3178 578.5 412 0.505787 0.06172835
Stationary 449.333 578.5 412 0.505787 0.06172835
Stationary 449.3481 578.5 412 0.505787 0.06172835
Stationary 449.3639 578.5 412 0.505787 0.06172835
Moved 449.3775 578 412 0.5046296 0.06172835
Moved 449.3934 563 412 0.4699074 0.06172835
Moved 449.4081 549.1873 422.5251 0.4379336 0.08879904
Moved 449.4243 534.1399 430.5601 0.4031017 0.1094652
Moved 449.4386 516.8026 441.2345 0.362969 0.13692
Moved 449.4562 499.3833 454.4744 0.3226465 0.1709732
Moved 449.4709 487.1947 462.5369 0.2944321 0.1917099
Moved 449.486 477.7511 469.2742 0.2725719 0.2090385
Moved 449.5033 460.9126 479.8524 0.2335941 0.2362458
Moved 449.5164 448.2404 488.173 0.2042603 0.2576466
Moved 449.5316 435.4028 497.4479 0.1745435 0.2815018
Moved 449.5491 423.3895 504.7836 0.1467349 0.3003693
Moved 449.5628 412.2488 511.7195 0.1209464 0.3182085
Moved 449.5783 403.5872 517.2064 0.1008964 0.332321
Moved 449.5944 396.8115 521.459 0.08521169 0.3432586
Moved 449.6103 389.973 525.6162 0.06938189 0.3539512
Moved 449.625 384.2738 530.1508 0.0561893 0.3656142
Moved 449.6408 380.1612 532.8925 0.04666944 0.3726659
Moved 449.6561 377.3269 535.6731 0.04010857 0.3798175
Moved 449.671 375.2911 536.7089 0.03539611 0.3824817
Moved 449.6866 373.918 538.082 0.0322176 0.3860134
Moved 449.7031 372.5417 539.4583 0.02903183 0.389553
Moved 449.7173 371.612 539 0.02687961 0.3883744
Moved 449.7372 371 539.8933 0.025463 0.390672
Moved 449.7481 369.7332 540 0.02253046 0.3909464
Moved 449.7625 368.3467 540.6533 0.01932104 0.3926266
Moved 449.7784 367.5 541.5 0.01736114 0.3948044
Moved 449.7948 366.794 541 0.01572699 0.3935184
Moved 449.8091 362.6034 541 0.006026328 0.3935184
Moved 449.825 358.4936 541 -0.00348712 0.3935184
Moved 449.8403 348.2378 525.1364 -0.02722735 0.352717
Moved 449.856 336.664 514.6639 -0.0540186 0.3257816
Moved 449.8716 324.1937 502.1937 -0.08288487 0.2937081
Moved 449.8869 310.4901 485.7881 -0.1146062 0.2515126
Moved 449.9027 300.0891 472.6113 -0.1386828 0.2176216
Moved 449.9177 289.0562 458.8203 -0.1642218 0.1821508
Moved 449.9341 278.0175 445.0219 -0.1897743 0.1466611
Moved 449.9517 271.9993 438.5706 -0.2037053 0.1300684
Moved 449.9634 263.2982 426.4175 -0.2238468 0.09881027
Moved 449.9795 256.399 416.7587 -0.239817 0.07396764
Moved 449.9945 251.9026 410.5043 -0.2502254 0.05788147
Moved 450.0103 247.761 404.6813 -0.2598125 0.04290451
Moved 450.0261 245.0891 402.0891 -0.2659975 0.03623719
Moved 450.041 243.1612 398.3223 -0.2704602 0.02654915
Moved 450.0564 242.0894 397.0894 -0.2729412 0.02337809
Moved 450.0717 240.74 395.74 -0.2760649 0.01990726
Stationary 450.0872 240.74 395.74 -0.2760649 0.01990726
Moved 450.1065 241 395 -0.275463 0.01800408
Stationary 450.1227 241 395 -0.275463 0.01800408
Stationary 450.1352 241 395 -0.275463 0.01800408
Stationary 450.1492 241 395 -0.275463 0.01800408
Moved 450.1641 241 405.1143 -0.275463 0.04401823
Moved 450.18 255.9403 415.1754 -0.2408789 0.06989553
Moved 450.1962 268.9772 431.9704 -0.2107009 0.1130925
Moved 450.2106 281.466 450.0065 -0.1817916 0.1594816
Moved 450.2264 293.8466 468.411 -0.1531328 0.2068184
Moved 450.2426 306.2025 487.8706 -0.1245312 0.2568687
Moved 450.2574 315.5 504 -0.1030092 0.2983539
Moved 450.2713 323.4093 515.114 -0.08470063 0.3269393
Moved 450.2872 328.877 523.8031 -0.07204408 0.3492877
Moved 450.3033 334.4196 534.8391 -0.05921399 0.3776725
Moved 450.3184 338.2185 540.9581 -0.05042006 0.3934106
Moved 450.3333 340.1268 545.3805 -0.04600272 0.4047851
Moved 450.3516 341.5 548 -0.04282405 0.4115225
Moved 450.3644 342 548.8989 -0.04166668 0.4138344
Moved 450.3794 343.2862 550.2862 -0.03868943 0.4174026
Stationary 450.3973 343.2862 550.2862 -0.03868943 0.4174026
Stationary 450.413 343.2862 550.2862 -0.03868943 0.4174026
Moved 450.4254 344.0216 550 -0.03698712 0.4166666
Stationary 450.4417 344.0216 550 -0.03698712 0.4166666
Moved 450.4574 348.553 550 -0.02649759 0.4166666
Moved 450.4799 364.757 521.3645 0.01101156 0.3430157
Stationary 450.4912 364.757 521.3645 0.01101156 0.3430157
Moved 450.5054 373.0522 508.9216 0.03021349 0.3110123
Moved 450.5193 379.3257 496.3487 0.04473527 0.2786745
Moved 450.535 387.853 473.3921 0.06447444 0.2196298
Moved 450.55 391.5495 461.5018 0.07303119 0.1890477
Moved 450.5653 396.8931 447.7673 0.08540064 0.1537225
Moved 450.581 402.0932 431.339 0.09743799 0.1114686
Moved 450.5981 407.0014 416.9957 0.1087995 0.07457745
Moved 450.6127 411.1409 405.9575 0.1183818 0.04618699
Moved 450.6271 414.5 397 0.1261574 0.02314815
Moved 450.6426 420.1955 385.0112 0.1393415 -0.007687243
Moved 450.6587 424.515 373.6268 0.1493401 -0.0369681
Moved 450.6745 427.0944 366.264 0.1553111 -0.05590525
Moved 450.6899 428.9371 360.2515 0.1595767 -0.07136977
Moved 450.7043 431.6277 354.7447 0.1658047 -0.08553328
Moved 450.7194 433.3906 350.9141 0.1698857 -0.09538556
Moved 450.7347 435.0713 346.7861 0.1737762 -0.106003
Moved 450.7512 436.1254 345.8746 0.1762161 -0.1083472
Moved 450.7656 437.5 343 0.1793981 -0.1157408
Moved 450.7816 437.916 342.0839 0.1803612 -0.1180969
Moved 450.7968 438 340.7079 0.1805556 -0.1216361
Moved 450.8123 439 339.3292 0.1828703 -0.125182
Moved 450.8272 439 337.9503 0.1828703 -0.1287286
Stationary 450.8429 439 337.9503 0.1828703 -0.1287286
Moved 450.8585 440.3581 336.6419 0.1860142 -0.1320938
Moved 450.8752 440 335.1334 0.1851852 -0.1359737
Stationary 450.8882 440 335 0.1851852 -0.1363169
Ended 450.9056 440 335 0.1851852 -0.1363169
Candidates 451.0098 12 learn laden listen ken glenn pattern keen karen lawn laugh oath path
Began 451.4099 493 383 0.3078704 -0.01286016
Stationary 451.4283 493 383 0.3078704 -0.01286016
Stationary 451.4439 493 383 0.3078704 -0.01286016
Stationary 451.4593 493 383 0.3078704 -0.01286016
