the price of gas is high
the price of gas is high
FixStart
0.6 0.6
432 388.8
Began 1477.609 392 487 0.07407407 0.2546296
Stationary 1477.629 392 487 0.07407407 0.2546296
Stationary 1477.642 392 487 0.07407407 0.2546296
Stationary 1477.658 392 487 0.07407407 0.2546296
Stationary 1477.673 392 487 0.07407407 0.2546296
Stationary 1477.688 392 487 0.07407407 0.2546296
Stationary 1477.708 392 487 0.07407407 0.2546296
Stationary 1477.719 392 487 0.07407407 0.2546296
Moved 1477.735 376.8407 502.739 0.03898313 0.2951104
Moved 1477.752 370.1242 519.1895 0.02343575 0.3374213
Moved 1477.766 359.7272 545.1819 -0.0006314119 0.4042745
Moved 1477.782 354.6029 558.9928 -0.01249333 0.4397962
Moved 1477.799 347.8028 576.5128 -0.02823427 0.4848578
Moved 1477.813 342.1152 595.1255 -0.0413999 0.5327301
Moved 1477.829 338.5784 605.9757 -0.04958709 0.5606371
Moved 1477.844 335.8967 613.2582 -0.05579462 0.5793676
Moved 1477.859 334.5075 618.97 -0.05901038 0.5940584
Moved 1477.874 335 622.7905 -0.05787035 0.603885
Moved 1477.891 335 625.7477 -0.05787035 0.611491
Moved 1477.905 334 627.6121 -0.06018519 0.6162862
Moved 1477.922 334 630.5034 -0.06018519 0.6237226
Moved 1477.937 334 631.5 -0.06018519 0.6262859
Moved 1477.952 334 632.7621 -0.06018519 0.6295322
Moved 1477.967 334 634.2051 -0.06018519 0.6332436
Moved 1477.981 334 635.5 -0.06018519 0.636574
Stationary 1477.998 334 635.5 -0.06018519 0.636574
Moved 1478.012 334 635 -0.06018519 0.6352879
Moved 1478.028 343.9403 635 -0.03717527 0.6352879
Moved 1478.044 349.6764 635 -0.02389724 0.6352879
Moved 1478.059 367.0749 622.7376 0.01637697 0.6037489
Moved 1478.074 390.2654 607.4897 0.0700588 0.5645311
Moved 1478.09 410.2351 591.8867 0.116285 0.5243999
Moved 1478.105 424.1454 572.5289 0.1484848 0.4746113
Moved 1478.128 441.6437 535.3908 0.18899 0.3790915
Stationary 1478.14 441.6437 535.3908 0.18899 0.3790915
Moved 1478.151 445.1808 518.915 0.1971778 0.3367155
Moved 1478.167 447.3177 508.4118 0.2021242 0.309701
Moved 1478.183 448 497.0996 0.2037037 0.2806059
Moved 1478.198 448 489.5643 0.2037037 0.261225
Moved 1478.215 448 484.9449 0.2037037 0.2493438
Moved 1478.229 448 481.0886 0.2037037 0.2394254
Moved 1478.252 448 478.1515 0.2037037 0.231871
Stationary 1478.263 448 478.1515 0.2037037 0.231871
Moved 1478.276 448 477.048 0.2037037 0.2290329
Moved 1478.291 436.8715 477 0.1779432 0.2289094
Moved 1478.306 432.8925 477 0.1687325 0.2289094
Moved 1478.321 418.2444 485.7536 0.134825 0.2514238
Moved 1478.338 393.3339 508.5551 0.07716169 0.3100697
Moved 1478.354 365.3775 533.3602 0.01244793 0.3738688
Moved 1478.368 336.7712 562.0752 -0.05377044 0.4477241
Moved 1478.384 319.0316 579.7519 -0.09483426 0.4931889
Moved 1478.399 303.2763 598.0371 -0.1313049 0.5402188
Moved 1478.415 292.83 611.3614 -0.155486 0.5744891
Moved 1478.43 284.8414 623.2537 -0.1739782 0.6050763
Moved 1478.448 276.1676 639.1928 -0.1940565 0.646072
Moved 1478.46 265.5596 661.974 -0.2186119 0.7046656
Moved 1478.476 252.8796 689.9343 -0.2479639 0.7765797
Ended 1478.492 250 705.5 -0.2546296 0.8166152
Candidates 1478.644 12 the there threw trigger tiger where either roger further rubber ride rude
Began 1478.999 328 483 -0.07407407 0.2443414
Stationary 1479.016 328 483 -0.07407407 0.2443414
Stationary 1479.03 328 483 -0.07407407 0.2443414
Moved 1479.048 328 502.3015 -0.07407407 0.2939851
Moved 1479.062 337.2076 579.0377 -0.05276029 0.491352
Ended 1479.078 339.3595 649.6138 -0.04777903 0.6728749
Accept 1479.121 0 the
Began 1479.413 323 520 -0.08564815 0.3395061
Stationary 1479.431 323 520 -0.08564815 0.3395061
Stationary 1479.448 323 520 -0.08564815 0.3395061
Moved 1479.462 331.5953 520 -0.06575152 0.3395061
Moved 1479.477 341.7836 529.7836 -0.0421676 0.3646697
Moved 1479.494 378.5408 546.0062 0.04291853 0.4063945
Moved 1479.51 442.2434 575.5894 0.1903783 0.482483
Moved 1479.524 490 597 0.300926 0.5375513
Moved 1479.539 492.6976 600.6185 0.3071704 0.5468583
Moved 1479.555 509.46 610.435 0.3459722 0.5721064
Moved 1479.57 520.7994 616.2219 0.3722209 0.5869904
Moved 1479.585 530.4617 621.2308 0.3945873 0.5998735
Moved 1479.603 539 625.5 0.4143518 0.6108538
Moved 1479.617 545.8539 627.9269 0.4302175 0.6170959
Moved 1479.633 552.9913 630.7965 0.4467392 0.6244766
Moved 1479.649 555.1533 631.3845 0.4517438 0.6259887
Moved 1479.662 558.8873 632 0.4603874 0.6275719
Moved 1479.678 560.3784 633.3784 0.4638388 0.6311171
Moved 1479.695 561 633.8159 0.4652777 0.6322423
Moved 1479.709 562.2505 634 0.4681724 0.632716
Stationary 1479.724 562.2505 634 0.4681724 0.632716
Moved 1479.74 562 635.0389 0.4675925 0.6353881
Stationary 1479.755 562 635.0389 0.4675925 0.6353881
Moved 1479.771 544.1494 636.6501 0.4262716 0.639532
Moved 1479.786 531.3381 638.0735 0.3966161 0.6431932
Moved 1479.801 512.5 641 0.3530093 0.65072
Moved 1479.817 470.7684 644.8484 0.2564085 0.6606184
Moved 1479.833 410.4407 650.7885 0.1167609 0.6758962
Moved 1479.849 355.8832 656.1595 -0.009529541 0.6897106
Moved 1479.863 333.4025 657.9763 -0.06156832 0.6943833
Moved 1479.878 318.8804 659.412 -0.09518435 0.698076
Moved 1479.894 312.7526 659.8495 -0.1093689 0.6992012
Moved 1479.909 306.8617 660 -0.1230054 0.6995884
Moved 1479.932 301.6684 662.1658 -0.1350268 0.7051587
Stationary 1479.943 301.6684 662.1658 -0.1350268 0.7051587
Moved 1479.955 300.4001 663 -0.1379628 0.7073045
Moved 1479.971 299.2202 664.5597 -0.1406941 0.711316
Moved 1479.986 297.8542 665 -0.1438561 0.7124484
Moved 1480.002 297.4268 667.1464 -0.1448454 0.717969
Moved 1480.018 297 669.0119 -0.1458333 0.7227672
Moved 1480.033 297 670.4506 -0.1458333 0.7264674
Moved 1480.049 303.1859 672.7674 -0.1315141 0.7324263
Moved 1480.064 309.3506 675.6753 -0.117244 0.7399054
Moved 1480.079 315.5 678 -0.1030092 0.7458847
Moved 1480.096 326.5939 679.6876 -0.07732888 0.7502252
Moved 1480.11 340.7533 680 -0.04455254 0.7510287
Moved 1480.126 372.0878 672.8153 0.02798101 0.7325496
Moved 1480.141 405.6945 660.7685 0.1057743 0.701565
Moved 1480.156 427.3911 652.4038 0.155998 0.6800508
Moved 1480.172 441.2773 645.8613 0.188142 0.6632235
Moved 1480.187 452.8212 641.5671 0.2148638 0.6521786
Moved 1480.202 456.7673 638.2327 0.2239983 0.6436026
Moved 1480.218 461.0783 635.9739 0.2339776 0.6377928
Moved 1480.234 463.9213 633.0787 0.2405586 0.6303463
Moved 1480.25 465 632.0989 0.2430555 0.6278263
Moved 1480.263 466.3395 629.321 0.2461562 0.6206816
Moved 1480.279 466 626.6652 0.2453704 0.6138506
Moved 1480.296 466 619.915 0.2453704 0.5964892
Moved 1480.31 453.7642 613.6586 0.2170468 0.5803975
Moved 1480.326 414.9327 579.6533 0.1271591 0.4929352
Moved 1480.341 379.7949 548.1605 0.04582147 0.4119354
Moved 1480.357 353.4329 522.8113 -0.01520157 0.3467369
Moved 1480.373 325.7934 490.5521 -0.07918193 0.2637655
Moved 1480.388 290.5689 444.2142 -0.1607202 0.1445837
Moved 1480.405 273.1251 418.2033 -0.2010993 0.07768337
Moved 1480.419 266.4835 407.1392 -0.2164733 0.04922631
Moved 1480.434 258.7782 392.6673 -0.2343097 0.01200437
Moved 1480.45 253.0735 381.1653 -0.2475151 -0.01757893
Moved 1480.466 250.1651 373.9127 -0.2542475 -0.03623271
Moved 1480.481 248.1467 371.2935 -0.2589196 -0.04296958
Moved 1480.496 246.7108 369.7108 -0.2622437 -0.04704024
Moved 1480.51 246.2713 368.2713 -0.263261 -0.05074262
Moved 1480.526 245.1308 368 -0.2659009 -0.05144041
Moved 1480.54 243.7321 368 -0.2691387 -0.05144041
Stationary 1480.556 243.7321 368 -0.2691387 -0.05144041
Moved 1480.572 240.87 375.9099 -0.2757638 -0.03109614
Moved 1480.588 238.4357 383.9501 -0.2813988 -0.01041656
Moved 1480.603 234.9958 399.017 -0.2893617 0.02833574
Moved 1480.619 226.3756 453.6212 -0.3093157 0.1687786
Moved 1480.635 224.7281 500.8934 -0.3131292 0.2903635
Moved 1480.65 224 549.2626 -0.3148148 0.4147699
Moved 1480.672 224 627.7311 -0.3148148 0.6165923
Stationary 1480.682 224 627.7311 -0.3148148 0.6165923
Moved 1480.697 224 653.8967 -0.3148148 0.6838904
Moved 1480.711 230.784 674.3218 -0.2991111 0.7364241
Moved 1480.726 235.3975 698.1797 -0.2884318 0.7977871
Moved 1480.743 238 711.5 -0.2824074 0.8320473
Moved 1480.757 238 726.5637 -0.2824074 0.8707913
Ended 1480.774 238 737 -0.2824074 0.8976335
Candidates 1480.927 12 price prove private prince prize probe joyce office primary police officer notice
Began 1481.247 323 439 -0.08564815 0.1311728
Stationary 1481.267 323 439 -0.08564815 0.1311728
Stationary 1481.281 323 439 -0.08564815 0.1311728
Moved 1481.298 323 472.8246 -0.08564815 0.2181702
Moved 1481.313 337.3066 518.7812 -0.05253102 0.3363714
Moved 1481.327 339.6349 610.82 -0.04714141 0.5730966
Moved 1481.344 340 687.1949 -0.04629632 0.7695342
Ended 1481.359 340 687.1949 -0.04629632 0.7695342
Accept 1481.419 0 price
Began 1481.648 367 534 0.01620372 0.3755144
Stationary 1481.667 367 534 0.01620372 0.3755144
Stationary 1481.682 367 534 0.01620372 0.3755144
Stationary 1481.702 367 534 0.01620372 0.3755144
Moved 1481.713 379.821 534 0.04588187 0.3755144
Moved 1481.73 385.809 543.6179 0.05974293 0.4002518
Moved 1481.744 394.8552 547.9276 0.08068343 0.4113364
Moved 1481.76 402.808 552.3188 0.09909253 0.4226307
Moved 1481.775 411.2816 556.6408 0.1187075 0.4337469
Moved 1481.791 418.2645 560.3058 0.1348716 0.4431732
Moved 1481.806 424.4171 564.3129 0.1491137 0.4534795
Moved 1481.822 430 567 0.162037 0.4603909
Moved 1481.837 435.91 568.955 0.1757176 0.4654192
Moved 1481.853 443.0826 570.4165 0.1923209 0.4691781
Moved 1481.869 450 573 0.2083333 0.4758229
Moved 1481.883 461.6642 577.8561 0.2353339 0.4883128
Moved 1481.9 473.1269 582.1726 0.2618679 0.4994151
Moved 1481.913 483.5492 588.2746 0.2859936 0.5151095
Moved 1481.93 493.8492 595.3208 0.309836 0.5332325
Moved 1481.952 509.8234 606.549 0.3468135 0.5621114
Stationary 1481.962 509.8234 606.549 0.3468135 0.5621114
Moved 1481.974 515 610.5 0.3587963 0.5722736
Moved 1481.992 520.2789 616.6232 0.3710161 0.5880224
Moved 1482.007 524.1829 620.1829 0.3800529 0.5971781
Moved 1482.022 528.5 623 0.3900464 0.6044238
Moved 1482.037 528.9663 625.9663 0.3911256 0.6120532
