travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Began 282.334 404 316 0.1018518 -0.1851853
Stationary 282.3543 404 316 0.1018518 -0.1851853
Stationary 282.3676 404 316 0.1018518 -0.1851853
Stationary 282.3836 404 316 0.1018518 -0.1851853
Stationary 282.3996 404 316 0.1018518 -0.1851853
Stationary 282.4136 404 316 0.1018518 -0.1851853
Stationary 282.4286 404 316 0.1018518 -0.1851853
Stationary 282.4438 404 316 0.1018518 -0.1851853
Stationary 282.46 404 316 0.1018518 -0.1851853
Stationary 282.4747 404 316 0.1018518 -0.1851853
Moved 282.4894 404 322.2959 0.1018518 -0.1689921
Moved 282.5061 404 327.017 0.1018518 -0.1568493
Moved 282.5231 404 329.801 0.1018518 -0.1496888
Moved 282.5373 404 333.5681 0.1018518 -0.1399998
Moved 282.553 395.8268 337.5028 0.08293232 -0.1298797
Moved 282.5674 397 340.4805 0.0856481 -0.1222209
Moved 282.5841 396.3973 344.808 0.08425305 -0.1110905
Moved 282.5995 396 349.9474 0.08333336 -0.09787202
Moved 282.6146 396 354.0887 0.08333336 -0.08722053
Moved 282.6296 396 358.2205 0.08333336 -0.07659338
Moved 282.6448 396 362.3712 0.08333336 -0.06591773
Moved 282.6606 396 367.5345 0.08333336 -0.05263772
Moved 282.6771 396 373.1329 0.08333336 -0.03823865
Moved 282.6909 396 379.9061 0.08333336 -0.02081765
Moved 282.7072 396 386.8241 0.08333336 -0.003024443
Moved 282.7231 403.7533 391.013 0.1012807 0.007749408
Moved 282.738 405.1343 396.5374 0.1044776 0.02195814
Moved 282.7525 406.5 403.5 0.1076389 0.03986618
Moved 282.7684 407.8918 407.567 0.1108606 0.05032665
Moved 282.7857 410.5488 413.0977 0.1170112 0.06455151
Moved 282.7998 411.2556 417.0222 0.1186471 0.07464553
Moved 282.8147 412.725 423.9 0.1220486 0.09233522
Moved 282.83 414.098 431.5881 0.1252269 0.1121093
Moved 282.8458 415.4868 436.9471 0.1284416 0.1258928
Moved 282.861 416.8576 441.5728 0.1316148 0.1377899
Moved 282.8759 417 446.969 0.1319444 0.1516692
Moved 282.8908 418.6303 451.5214 0.1357184 0.1633779
Moved 282.9067 419 454.4937 0.1365741 0.1710228
Moved 282.9236 420.0304 458.0911 0.1389592 0.1802755
Moved 282.9386 420 460.8519 0.1388889 0.1873761
Moved 282.9534 421 464.5845 0.1412037 0.1969764
Moved 282.9681 421 467.3388 0.1412037 0.2040606
Moved 282.9854 421 469.1187 0.1412037 0.2086386
Moved 283 421 470.943 0.1412037 0.2133307
Moved 283.0148 421 472.3157 0.1412037 0.2168612
