effort is what it will take
effort is what it will take
Basic
0.6 0.6
432 388.8
Began 4461.496 306 522 -0.125 0.3446501
Stationary 4461.514 306 522 -0.125 0.3446501
Stationary 4461.532 306 522 -0.125 0.3446501
Stationary 4461.544 306 522 -0.125 0.3446501
Stationary 4461.559 306 522 -0.125 0.3446501
Stationary 4461.576 306 522 -0.125 0.3446501
Stationary 4461.59 306 522 -0.125 0.3446501
Stationary 4461.606 306 522 -0.125 0.3446501
Stationary 4461.622 306 522 -0.125 0.3446501
Stationary 4461.638 306 522 -0.125 0.3446501
Stationary 4461.653 306 522 -0.125 0.3446501
Stationary 4461.668 306 522 -0.125 0.3446501
Stationary 4461.684 306 522 -0.125 0.3446501
Stationary 4461.699 306 522 -0.125 0.3446501
Stationary 4461.714 306 522 -0.125 0.3446501
Stationary 4461.734 306 522 -0.125 0.3446501
Stationary 4461.75 306 522 -0.125 0.3446501
Stationary 4461.764 306 522 -0.125 0.3446501
Stationary 4461.775 306 522 -0.125 0.3446501
Stationary 4461.791 306 522 -0.125 0.3446501
Stationary 4461.806 306 522 -0.125 0.3446501
Stationary 4461.823 306 522 -0.125 0.3446501
Stationary 4461.839 306 522 -0.125 0.3446501
Stationary 4461.852 306 522 -0.125 0.3446501
Stationary 4461.868 306 522 -0.125 0.3446501
Stationary 4461.883 306 522 -0.125 0.3446501
Stationary 4461.898 306 522 -0.125 0.3446501
Stationary 4461.914 306 522 -0.125 0.3446501
Stationary 4461.932 306 522 -0.125 0.3446501
Stationary 4461.945 306 522 -0.125 0.3446501
Moved 4461.96 295.3309 522 -0.149697 0.3446501
Moved 4461.977 292.0046 522 -0.1573967 0.3446501
Moved 4461.993 287.6908 522 -0.1673824 0.3446501
Moved 4462.007 283.2383 522 -0.1776892 0.3446501
Moved 4462.022 277.7064 522 -0.1904946 0.3446501
Moved 4462.038 273.9464 515.8929 -0.199198 0.3289425
Moved 4462.054 269.2966 513.0742 -0.2099616 0.3216927
Moved 4462.069 266.3152 513 -0.2168628 0.321502
Moved 4462.084 262.4321 511.216 -0.2258517 0.3169135
Moved 4462.1 259.5475 511 -0.2325288 0.3163579
Moved 4462.115 256.6637 510 -0.2392043 0.3137859
Moved 4462.13 254.8912 510 -0.2433073 0.3137859
Moved 4462.146 253.451 509.4509 -0.2466413 0.3123737
Moved 4462.16 252.5 508.5 -0.2488426 0.3099279
Moved 4462.178 251.9608 509 -0.2500909 0.3112139
Stationary 4462.193 252 509 -0.25 0.3112139
Moved 4462.208 250.5 509 -0.2534722 0.3112139
Stationary 4462.224 250.5 509 -0.2534722 0.3112139
Stationary 4462.238 250.5 509 -0.2534722 0.3112139
Moved 4462.253 249.9461 509 -0.2547545 0.3112139
Stationary 4462.269 249.9461 509 -0.2547545 0.3112139
Stationary 4462.284 249.9461 509 -0.2547545 0.3112139
Stationary 4462.299 249.9461 509 -0.2547545 0.3112139
Stationary 4462.314 249.9461 509 -0.2547545 0.3112139
Stationary 4462.334 249.9461 509 -0.2547545 0.3112139
Stationary 4462.35 249.9461 509 -0.2547545 0.3112139
Stationary 4462.365 249.9461 509 -0.2547545 0.3112139
Stationary 4462.377 249.9461 509 -0.2547545 0.3112139
Stationary 4462.392 249.9461 509 -0.2547545 0.3112139
Stationary 4462.407 250 509 -0.2546296 0.3112139
Stationary 4462.424 250 509 -0.2546296 0.3112139
Stationary 4462.439 250 509 -0.2546296 0.3112139
Stationary 4462.454 250 509 -0.2546296 0.3112139
Moved 4462.468 255.3501 509 -0.2422452 0.3112139
Moved 4462.485 261.8903 504.1097 -0.2271059 0.2986361
Moved 4462.5 269.5842 497.6421 -0.2092957 0.2820012
Moved 4462.515 276.9802 489.7649 -0.1921756 0.2617409
Moved 4462.532 283.7357 482.1171 -0.1765376 0.2420707
Moved 4462.546 289.3334 474.0832 -0.16358 0.2214072
Moved 4462.563 295.1066 466.8668 -0.1502163 0.2028468
Moved 4462.578 300.8557 459.6804 -0.1369082 0.1843631
Moved 4462.593 303.8082 453.3837 -0.1300737 0.1681678
Moved 4462.608 306.0606 449.9091 -0.1248597 0.159231
Moved 4462.625 308.962 445.5569 -0.1181435 0.1480373
Moved 4462.638 309.9224 443.1552 -0.1159204 0.14186
Moved 4462.656 311.36 440.28 -0.1125926 0.1344648
Moved 4462.67 312.8018 438.3964 -0.1092551 0.1296202
Moved 4462.686 313.5 437 -0.1076389 0.1260288
Moved 4462.7 314 436.3204 -0.1064815 0.1242808
Moved 4462.716 314.8365 435.1635 -0.104545 0.1213051
Moved 4462.732 315 433.7741 -0.1041667 0.1177317
Moved 4462.747 315.6629 433.3371 -0.1026322 0.1166077
Stationary 4462.761 316 433 -0.1018519 0.1157406
Moved 4462.78 316 431.5 -0.1018519 0.1118827
Moved 4462.792 317 431.0287 -0.09953702 0.1106706
Moved 4462.809 317 430.5 -0.09953702 0.1093106
Moved 4462.824 317 429.6255 -0.09953702 0.1070613
Moved 4462.839 318.5 430 -0.0960648 0.1080246
Moved 4462.854 319.1809 428.8191 -0.09448855 0.1049872
Stationary 4462.871 319.1809 428.8191 -0.09448855 0.1049872
Moved 4462.886 320.0818 429 -0.09240334 0.1054526
Moved 4462.901 321.6829 428.3171 -0.08869693 0.1036961
Moved 4462.917 323.1253 428 -0.08535817 0.1028806
Moved 4462.933 326 428 -0.07870371 0.1028806
Moved 4462.958 348.8413 437.9465 -0.02583022 0.1284633
Moved 4462.97 361.5 441.5 0.003472269 0.1376028
Moved 4462.984 377.855 449.9341 0.04133115 0.1592954
Stationary 4462.995 377.855 449.9341 0.04133115 0.1592954
Moved 4463.009 392.7902 455.7419 0.07590313 0.1742332
Moved 4463.025 407.7031 461.4813 0.1104239 0.1889949
Moved 4463.039 418.1506 465.9217 0.1346079 0.2004158
Moved 4463.055 426.3788 468.8921 0.1536547 0.2080557
Moved 4463.072 437.8435 472.6696 0.1801932 0.2177714
Moved 4463.087 446.6733 475.5577 0.2006326 0.2251999
Moved 4463.102 455.3 480.15 0.2206018 0.2370113
Moved 4463.117 462.7742 483.3097 0.2379033 0.2451381
Moved 4463.133 469.7745 487.183 0.2541076 0.2551002
Moved 4463.147 475.1411 490.0706 0.2665303 0.2625271
Moved 4463.163 478.3633 492.2422 0.2739893 0.2681127
