a picture is worth many words
a picture is worth many words
FixStart
0.6 0.6
432 388.8
Moved 3765.903 334.3589 343.1794 -0.05935441 -0.1152793
Moved 3765.918 328.6041 338.9531 -0.0726757 -0.1261496
Moved 3765.934 324.6281 336.4187 -0.0818795 -0.1326681
Moved 3765.949 319.0825 333.5413 -0.09471639 -0.1400689
Moved 3765.965 317 331 -0.09953702 -0.146605
Moved 3765.98 313.7137 327.7137 -0.1071443 -0.1550574
Moved 3765.996 309.3972 322.1963 -0.1171361 -0.1692483
Moved 3766.011 306.7188 316.4375 -0.1233362 -0.18406
Moved 3766.026 302.7557 306.3484 -0.13251 -0.2100092
Moved 3766.042 300.9601 298.3603 -0.1366665 -0.2305549
Moved 3766.057 298.077 283.4622 -0.1433402 -0.2688731
Moved 3766.072 296.6037 262.0561 -0.1467506 -0.3239299
Moved 3766.096 297 221.4343 -0.1458333 -0.4284097
Stationary 3766.106 297 221.4343 -0.1458333 -0.4284097
Moved 3766.118 297 203.9767 -0.1458333 -0.4733111
Moved 3766.134 297 190.3982 -0.1458333 -0.5082352
Moved 3766.149 306.0324 176.0966 -0.1249249 -0.5450191
Moved 3766.165 308.201 162.397 -0.1199051 -0.5802548
Moved 3766.181 311.3514 150.5945 -0.1126125 -0.6106108
Moved 3766.197 313.4159 143.5444 -0.1078336 -0.6287437
Moved 3766.211 317.4347 136.1306 -0.0985308 -0.6478124
Moved 3766.227 321.4757 128.0485 -0.08917655 -0.6685996
Moved 3766.243 325.8094 120.9843 -0.07914478 -0.6867688
Moved 3766.257 330.1326 115.8673 -0.06913742 -0.6999298
Moved 3766.272 332.9658 113.0342 -0.06257912 -0.7072166
Moved 3766.289 334.9245 110.0754 -0.05804514 -0.7148266
Moved 3766.305 335.9969 108.0062 -0.0555627 -0.7201487
Moved 3766.318 337.4329 106.5671 -0.05223865 -0.7238498
Moved 3766.334 338.8733 106 -0.04890447 -0.7253087
Moved 3766.351 341.6239 104.688 -0.0425372 -0.7286832
Moved 3766.365 342.7507 105 -0.03992885 -0.7278807
Moved 3766.381 345.3789 105 -0.03384506 -0.7278807
Moved 3766.396 348.2423 105 -0.02721687 -0.7278807
Moved 3766.411 353.0012 112.2021 -0.01620094 -0.7093567
Moved 3766.427 362.2502 132.8577 0.00520885 -0.6562303
Moved 3766.443 371.3148 158.3279 0.02619157 -0.5907205
Moved 3766.458 379.2919 183.9926 0.04465729 -0.5247107
Moved 3766.473 387.7691 207.8612 0.06428043 -0.4633199
Moved 3766.488 395.9687 231.9111 0.08326073 -0.4014632
Moved 3766.504 404.5047 254.6792 0.1030202 -0.3429034
Moved 3766.522 408 266 0.1111111 -0.3137861
Moved 3766.535 413.8419 282.5259 0.1246341 -0.2712812
Moved 3766.55 419.5816 296.954 0.1379204 -0.2341719
Moved 3766.566 422.6602 308.8106 0.1450466 -0.2036764
Moved 3766.581 425.5081 321.2863 0.151639 -0.1715889
Moved 3766.597 427.7017 327.5082 0.1567168 -0.1555858
Moved 3766.612 429.1429 332.4287 0.1600531 -0.1429303
Moved 3766.628 430.5 336.5 0.1631944 -0.1324588
Moved 3766.644 430 339.441 0.162037 -0.1248946
Moved 3766.658 431.1634 342.3267 0.1647299 -0.1174724
Moved 3766.674 431 345.2067 0.1643519 -0.1100651
Moved 3766.689 431 347.0432 0.1643519 -0.1053415
Moved 3766.706 432.4821 349.9641 0.1677825 -0.09782901
Moved 3766.721 432 351.9234 0.1666667 -0.09278968
Moved 3766.735 432 354.717 0.1666667 -0.08560447
Stationary 3766.753 432 355.3486 0.1666667 -0.08397993
Moved 3766.766 432 356 0.1666667 -0.0823046
Moved 3766.782 432 358.6924 0.1666667 -0.0753796
Moved 3766.797 432 359.7903 0.1666667 -0.07255593
Moved 3766.812 423.4259 363.6746 0.1468192 -0.06256527
Moved 3766.829 418.0085 366.3305 0.1342789 -0.05573445
Moved 3766.845 409.4004 368.0999 0.1143527 -0.05118342
Moved 3766.859 402.1388 369.123 0.0975436 -0.04855191
Moved 3766.878 388.5699 369 0.06613404 -0.04886839
Moved 3766.89 377.718 369 0.04101396 -0.04886839
Moved 3766.905 366.7009 369 0.01551141 -0.04886839
Moved 3766.921 356.4772 361.6363 -0.008154611 -0.06780796
Moved 3766.936 345.1238 358.2809 -0.03443554 -0.07643797
Moved 3766.955 336.4127 353.6055 -0.05460024 -0.08846337
Moved 3766.967 329.3976 351.1326 -0.07083877 -0.09482364
Moved 3766.982 320.871 346.9355 -0.09057631 -0.1056186
Moved 3766.998 314.8208 344.4104 -0.1045816 -0.1121132
Moved 3767.013 309.0636 341.5318 -0.1179083 -0.119517
Moved 3767.028 304.9985 340.3328 -0.1273184 -0.1226008
Moved 3767.047 300.6916 338.8972 -0.1372881 -0.1262933
Moved 3767.059 296.5 337.5 -0.1469907 -0.1298869
Moved 3767.073 293.5323 336.2662 -0.1538603 -0.1330603
Moved 3767.092 290.846 336 -0.1600787 -0.1337449
Moved 3767.106 288.9619 336 -0.16444 -0.1337449
Ended 3767.122 287 336 -0.1689815 -0.1337449
Candidates 3767.288 12 species pressure piece force speeches pursue forever directed preview direct however pitcher
Began 3768.396 372 293 0.02777775 -0.2443416
Stationary 3768.418 372 293 0.02777775 -0.2443416
Stationary 3768.431 372 293 0.02777775 -0.2443416
Stationary 3768.445 372 293 0.02777775 -0.2443416
Stationary 3768.461 372 293 0.02777775 -0.2443416
Ended 3768.476 372 293 0.02777775 -0.2443416
NextCandidatePanel 3768.536
Began 3769.462 417 320 0.1319444 -0.1748972
Stationary 3769.479 417 320 0.1319444 -0.1748972
Stationary 3769.495 417 320 0.1319444 -0.1748972
Stationary 3769.509 417 320 0.1319444 -0.1748972
Stationary 3769.525 417 320 0.1319444 -0.1748972
Stationary 3769.541 417 320 0.1319444 -0.1748972
Ended 3769.555 417 320 0.1319444 -0.1748972
NextCandidatePanel 3769.616
Began 3770.97 409 321 0.113426 -0.1723252
Stationary 3770.99 409 321 0.113426 -0.1723252
Stationary 3771.008 409 321 0.113426 -0.1723252
Stationary 3771.023 409 321 0.113426 -0.1723252
Stationary 3771.037 409 321 0.113426 -0.1723252
Stationary 3771.052 409 321 0.113426 -0.1723252
Ended 3771.076 409 321 0.113426 -0.1723252
Began 3771.113 414 327 0.125 -0.1568931
Stationary 3771.128 414 327 0.125 -0.1568931
NextCandidatePanel 3771.128
Stationary 3771.144 414 327 0.125 -0.1568931
Stationary 3771.16 414 327 0.125 -0.1568931
Stationary 3771.176 414 327 0.125 -0.1568931
Stationary 3771.19 414 327 0.125 -0.1568931
Ended 3771.207 414 327 0.125 -0.1568931
Cancel 3771.265
Began 3772.067 372 260 0.02777775 -0.3292181
Stationary 3772.086 372 260 0.02777775 -0.3292181
Stationary 3772.101 372 260 0.02777775 -0.3292181
Stationary 3772.113 372 260 0.02777775 -0.3292181
Stationary 3772.129 372 260 0.02777775 -0.3292181
Stationary 3772.146 372 260 0.02777775 -0.3292181
Stationary 3772.162 372 260 0.02777775 -0.3292181
Stationary 3772.177 372 260 0.02777775 -0.3292181
Moved 3772.191 382.2757 271.4174 0.05156408 -0.2998523
Moved 3772.207 392.4497 279.8926 0.07511516 -0.2780539
Moved 3772.223 406.0246 288.2148 0.1065384 -0.2566492
Moved 3772.239 421.8943 298.2747 0.143274 -0.2307751
Moved 3772.254 439.1957 306.5519 0.1833233 -0.209486
Moved 3772.271 455.7821 313.6282 0.2217179 -0.1912855
Moved 3772.286 471.7043 320.8656 0.2585747 -0.1726709
Moved 3772.301 482.3724 325.149 0.2832695 -0.1616538
Moved 3772.316 507.2562 332.4283 0.3408708 -0.1429314
Moved 3772.332 521.1589 340.5413 0.3730531 -0.1220647
Moved 3772.346 538.4429 347.8512 0.4130622 -0.1032635
Moved 3772.362 551.2499 353.2222 0.4427082 -0.08944923
Moved 3772.377 561.7056 357.731 0.4669112 -0.0778524
Moved 3772.393 571.4183 362.051 0.4893943 -0.06674127
Moved 3772.408 577.299 364.7196 0.5030069 -0.05987756
Moved 3772.423 581.7794 367.5197 0.5133783 -0.05267587
Moved 3772.438 585.3965 369.6982 0.5217512 -0.04707242
Moved 3772.461 588.2814 372.2814 0.5284292 -0.04042857
Stationary 3772.47 588.2814 372.2814 0.5284292 -0.04042857
Moved 3772.485 589.3718 373.3718 0.5309533 -0.03762398
Moved 3772.502 589 374.2299 0.5300926 -0.03541711
Moved 3772.515 589 375.6727 0.5300926 -0.03170618
Moved 3772.531 589 376.9942 0.5300926 -0.02830709
Moved 3772.547 589 378.4582 0.5300926 -0.02454185
Moved 3772.563 576.5953 378.8809 0.501378 -0.0234545
Moved 3772.577 569.4182 380.3163 0.4847643 -0.01976249
Moved 3772.594 558.7048 381.7565 0.4599648 -0.01605846
Moved 3772.608 548.6544 383.1922 0.4367 -0.01236582
Moved 3772.624 536.5 383 0.4085648 -0.01286016
Moved 3772.64 525.6318 383 0.3834071 -0.01286016
Moved 3772.655 514.9615 383 0.3587073 -0.01286016
Moved 3772.67 506.0682 383 0.3381209 -0.01286016
Moved 3772.686 496.8134 383 0.3166976 -0.01286016
Moved 3772.701 489.6641 383 0.3001485 -0.01286016
Moved 3772.716 482.4738 383 0.2835042 -0.01286016
Moved 3772.734 475.3362 383 0.2669819 -0.01286016
Moved 3772.751 470.3019 383 0.2553285 -0.01286016
Moved 3772.765 463.408 383 0.2393705 -0.01286016
Moved 3772.779 456.3352 383 0.2229981 -0.01286016
Moved 3772.795 452.455 383 0.2140163 -0.01286016
Moved 3772.809 447.109 383 0.2016413 -0.01286016
Moved 3772.832 443.0457 383 0.1922354 -0.01286016
Moved 3772.847 435.5909 375.0454 0.1749789 -0.0333195
Stationary 3772.858 435.5909 375.0454 0.1749789 -0.0333195
Moved 3772.869 429.5076 373.3769 0.1608972 -0.03761095
Moved 3772.884 423.7468 370.8734 0.1475619 -0.0440501
Moved 3772.901 418 366.5 0.1342593 -0.05529835
Moved 3772.916 410.2798 361.2239 0.1163885 -0.0688687
Moved 3772.931 401.6749 354.0624 0.09646972 -0.08728812
Moved 3772.954 384.2007 335.2294 0.05602022 -0.1357269
Stationary 3772.964 384.2007 335.2294 0.05602022 -0.1357269
Moved 3772.977 369.9412 316.7236 0.02301206 -0.1833242
Moved 3772.993 358.2638 299.7377 -0.004019042 -0.2270122
Moved 3773.008 345.4777 282.637 -0.03361637 -0.2709955
Moved 3773.024 335.6539 265.7565 -0.05635668 -0.3144124
Moved 3773.039 324.7128 246.7474 -0.08168334 -0.363304
Moved 3773.054 317.9599 234.9198 -0.09731507 -0.3937248
Moved 3773.07 312.0858 222.3888 -0.1109125 -0.4259548
Moved 3773.085 306.3934 210.7869 -0.1240894 -0.4557951
Moved 3773.102 301.6319 199.2638 -0.1351114 -0.4854327
Moved 3773.115 296.9291 190.8818 -0.1459974 -0.5069911
Moved 3773.134 293.6824 183.8041 -0.1535129 -0.5251953
Moved 3773.163 288.2928 172.9391 -0.165989 -0.5531403
Moved 3773.178 287.5 171 -0.1678241 -0.5581277
Moved 3773.194 286.1365 168.2729 -0.1709803 -0.5651417
Moved 3773.209 286 166.6974 -0.1712963 -0.569194
Moved 3773.225 285.2547 165.2546 -0.1730216 -0.5729047
Moved 3773.24 285 163.8129 -0.1736111 -0.5766131
Moved 3773.256 285 162.3749 -0.1736111 -0.5803115
Moved 3773.27 285 160.9287 -0.1736111 -0.5840311
Stationary 3773.286 285 160.9287 -0.1736111 -0.5840311
Stationary 3773.305 285 160.9287 -0.1736111 -0.5840311
Moved 3773.318 285 159.775 -0.1736111 -0.5869985
Stationary 3773.332 285 160 -0.1736111 -0.5864198
Stationary 3773.349 285 160 -0.1736111 -0.5864198
Moved 3773.363 285 169.7056 -0.1736111 -0.5614569
Moved 3773.378 299.1779 180.6847 -0.1407918 -0.5332184
Moved 3773.394 303.8069 189.6139 -0.1300765 -0.5102525
Moved 3773.414 309.2507 204.2517 -0.1174753 -0.4726037
Moved 3773.426 319.7662 226.1211 -0.09313384 -0.4163553
Moved 3773.44 328.4288 246.3337 -0.07308155 -0.364368
Moved 3773.456 338.7567 267.1929 -0.04917433 -0.310718
Moved 3773.47 349.9235 289.847 -0.02332523 -0.2524512
Moved 3773.486 360.3758 313.7515 0.0008698304 -0.1909684
Moved 3773.504 370.9585 334.9169 0.02536684 -0.1365306
Moved 3773.517 376.4803 343.7684 0.03814876 -0.1137645
Moved 3773.536 388 365.5 0.06481478 -0.05787045
Moved 3773.554 392.0417 376.1043 0.07417063 -0.03059599
Moved 3773.567 394.9058 383.2646 0.08080056 -0.01217964
Moved 3773.578 396.8907 388.5629 0.08539517 0.001447623
Moved 3773.594 397 391.6599 0.0856481 0.009413354
Moved 3773.61 397 394.5294 0.0856481 0.01679354
Moved 3773.63 397 395.898 0.0856481 0.02031373
Moved 3773.639 397 397.2032 0.0856481 0.02367067
Moved 3773.656 391.8474 398.7361 0.07372081 0.02761334
Moved 3773.674 385.2723 399 0.05850067 0.02829214
Moved 3773.688 379.9082 399 0.04608383 0.02829214
Moved 3773.703 372.6877 399 0.02936979 0.02829214
Moved 3773.718 367.0119 399 0.01623134 0.02829214
Moved 3773.733 362.2663 394.2161 0.005246103 0.01598782
Moved 3773.749 356.9748 390.9937 -0.007002851 0.007699841
Moved 3773.764 352.6759 388.1172 -0.01695395 0.0003015259
Moved 3773.779 348.3462 387.1154 -0.02697642 -0.002275239
Moved 3773.794 345.36 385.68 -0.03388901 -0.005967096
Moved 3773.81 344.2349 385 -0.03649339 -0.007716127
Stationary 3773.831 344 385 -0.03703703 -0.007716127
Stationary 3773.842 344 385 -0.03703703 -0.007716127
Stationary 3773.856 344 385 -0.03703703 -0.007716127
Moved 3773.876 352.4155 385 -0.01755665 -0.007716127
Moved 3773.887 361.5 385 0.003472269 -0.007716127
Moved 3773.904 384.4128 394.0942 0.05651096 0.01567424
Moved 3773.918 401 394 0.09490739 0.01543206
Moved 3773.935 422.588 394 0.1448795 0.01543206
Moved 3773.951 444.1308 394 0.1947472 0.01543206
Moved 3773.965 450.3868 394 0.2092287 0.01543206
Moved 3773.981 463.6025 387.3975 0.2398206 -0.001549779
Moved 3773.999 472.1602 385.64 0.2596301 -0.006070117
Moved 3774.012 476.6277 385 0.2699714 -0.007716127
Moved 3774.027 480.7376 383.7542 0.2794852 -0.0109204
Moved 3774.042 482.6913 384 0.2840075 -0.01028807
Moved 3774.059 484.1313 384 0.2873409 -0.01028807
Moved 3774.072 484 382.7938 0.287037 -0.01339061
Stationary 3774.088 484 383 0.287037 -0.01286016
Moved 3774.104 484 381.8517 0.287037 -0.01581357
Moved 3774.119 470.8824 380.4117 0.2566721 -0.01951712
Moved 3774.135 460.8042 377.944 0.2333429 -0.0258642
Moved 3774.152 450.7012 375.0575 0.2099564 -0.03328842
Moved 3774.165 437.8394 371.2798 0.1801837 -0.04300467
Moved 3774.18 424.8397 367.9599 0.1500919 -0.05154354
Moved 3774.196 411.925 365.0944 0.1201967 -0.0589136
Moved 3774.213 398.8548 361.2137 0.08994162 -0.06889492
Moved 3774.231 384.6387 358.3278 0.05703399 -0.07631757
Moved 3774.244 373.8051 356.2256 0.03195624 -0.08172415
Moved 3774.259 358.6131 354.783 -0.003210406 -0.08543469
Moved 3774.274 345.6088 352.7217 -0.03331304 -0.09073634
Moved 3774.289 335.5996 350.3999 -0.05648245 -0.09670814
Moved 3774.304 322.2805 348.8281 -0.08731355 -0.1007509
Moved 3774.319 311.8777 346.3878 -0.1113943 -0.1070274
Moved 3774.335 301.6624 346 -0.1350408 -0.1080248
Moved 3774.351 293.5173 345 -0.1538952 -0.1105968
Moved 3774.367 286.3142 345 -0.1705689 -0.1105968
Moved 3774.383 280.5103 345 -0.1840039 -0.1105968
Moved 3774.398 277.1495 345 -0.1917835 -0.1105968
Moved 3774.412 274.1346 345 -0.1987625 -0.1105968
Moved 3774.427 272.6242 345 -0.2022588 -0.1105968
Ended 3774.445 271.5 345 -0.2048611 -0.1105968
Candidates 3774.627 12 picture pictures opposite pairs pair paid posterior paris parties paper payoff paired
Began 3775.087 429 202 0.1597223 -0.4783951
Stationary 3775.107 429 202 0.1597223 -0.4783951
Moved 3775.121 429 212.5193 0.1597223 -0.4513392
Moved 3775.137 429 234.0155 0.1597223 -0.3960507
Moved 3775.152 429 255.3314 0.1597223 -0.3412258
Moved 3775.168 429 282.0613 0.1597223 -0.2724762
Moved 3775.183 429 314.6786 0.1597223 -0.1885839
Ended 3775.206 437.0193 355.5336 0.1782855 -0.08350427
Accept 3775.259 0 picture
Began 3775.797 414 184 0.125 -0.5246913
