a picture is worth many words
a picture is worth many words
Basic
0.6 0.6
432 388.8
Moved 1278.234 446.4579 522 0.200134 0.3446501
Moved 1278.25 432.321 522 0.1674096 0.3446501
Moved 1278.265 414.62 522 0.1264351 0.3446501
Moved 1278.28 397.214 522 0.08614341 0.3446501
Moved 1278.295 381.4373 522 0.04962335 0.3446501
Moved 1278.311 361.3718 522 0.003175537 0.3446501
Moved 1278.327 339.6927 522 -0.0470076 0.3446501
Moved 1278.341 321.1368 522 -0.089961 0.3446501
Moved 1278.357 303.1317 522 -0.1316397 0.3446501
Moved 1278.374 287.9179 521.3242 -0.1668567 0.3429121
Moved 1278.39 277.245 519.8922 -0.1915626 0.3392287
Moved 1278.404 266 518.5 -0.2175926 0.335648
Moved 1278.42 261.6644 517.3329 -0.2276288 0.3326462
Moved 1278.434 254.4529 517 -0.244322 0.33179
Moved 1278.45 249.3537 516.4512 -0.2561256 0.3303786
Moved 1278.472 246.0219 516 -0.2638382 0.329218
Moved 1278.483 243.1361 516 -0.2705182 0.329218
Stationary 1278.495 243 516 -0.2708333 0.329218
Ended 1278.512 243 516 -0.2708333 0.329218
Candidates 1278.679 12 picture pictures occur occurs oocytes liberties institute oxide locus inferior pundit lecture
Began 1279.202 393 468 0.07638891 0.2057612
Stationary 1279.221 393 468 0.07638891 0.2057612
Moved 1279.236 393 481.825 0.07638891 0.2413192
Moved 1279.251 393 492.785 0.07638891 0.2695088
Moved 1279.267 393 502.9121 0.07638891 0.2955557
Moved 1279.282 400.8495 509.2476 0.09455909 0.3118506
Moved 1279.298 402.2882 515.1528 0.0978894 0.3270391
Moved 1279.313 405 520 0.1041667 0.3395061
Moved 1279.33 404.8745 523.7489 0.103876 0.3491483
Moved 1279.344 405 526.6202 0.1041667 0.3565333
Moved 1279.359 406.7628 528.5256 0.1082473 0.3614341
Ended 1279.375 407.5 530 0.1099537 0.3652262
Accept 1279.433 0 picture
Began 1280.034 478 552 0.2731481 0.4218106
Stationary 1280.052 478 552 0.2731481 0.4218106
Stationary 1280.067 478 552 0.2731481 0.4218106
Stationary 1280.083 478 552 0.2731481 0.4218106
Stationary 1280.098 478 552 0.2731481 0.4218106
Stationary 1280.113 478 552 0.2731481 0.4218106
Moved 1280.13 468.1134 552 0.2502626 0.4218106
Moved 1280.144 466 552 0.2453704 0.4218106
Moved 1280.16 461.4756 544.1586 0.2348973 0.4016423
Moved 1280.174 455.885 541.4425 0.2219561 0.3946566
Moved 1280.19 446.6986 537.8493 0.2006911 0.3854148
Moved 1280.206 436.9028 533.5298 0.1780158 0.3743049
Moved 1280.222 428.8052 530.2022 0.1592714 0.3657463
Moved 1280.237 419.8332 525.9166 0.1385027 0.3547236
Moved 1280.252 411.1319 523.044 0.1183609 0.3473353
Moved 1280.267 403.1757 517.8147 0.09994377 0.3338855
Moved 1280.293 385.4728 508.7365 0.05896489 0.3105361
Stationary 1280.303 385.4728 508.7365 0.05896489 0.3105361
Moved 1280.314 377.6952 505.4171 0.04096111 0.3019986
Moved 1280.329 369.2299 501.1149 0.02136558 0.2909334
Moved 1280.344 362.3168 496.79 0.005362928 0.2798097
Moved 1280.36 353.9429 492.4714 -0.01402105 0.2687021
Moved 1280.375 347.6765 489.3383 -0.02852659 0.2606436
Moved 1280.39 337.9122 483.8195 -0.05112911 0.2464492
Moved 1280.406 328.98 479.49 -0.07180551 0.2353136
Moved 1280.421 321.3103 475.1552 -0.08955956 0.2241644
Moved 1280.437 312.7402 470.8701 -0.1093978 0.2131431
Moved 1280.452 302.6032 462.0885 -0.1328629 0.1905568
Moved 1280.468 289.5847 453.3654 -0.1629984 0.1681208
Moved 1280.486 280.918 445.9283 -0.1830602 0.1489924
Moved 1280.499 266.4888 434.3911 -0.216461 0.1193185
Moved 1280.514 256.8442 427.6331 -0.2387866 0.101937
Moved 1280.53 247.9888 420.324 -0.2592852 0.08313783
Moved 1280.545 239.1339 413.6804 -0.2797826 0.06605019
Moved 1280.56 233.1528 409.3646 -0.2936278 0.05494988
Moved 1280.575 228.7057 405.7057 -0.3039219 0.04553943
Moved 1280.591 225.4911 402.4911 -0.3113633 0.03727124
Moved 1280.606 222.5439 400.7719 -0.3181855 0.03284949
Moved 1280.622 220.6647 398.3323 -0.3225354 0.02657486
Moved 1280.637 220 396.895 -0.3240741 0.0228781
Moved 1280.652 217.8934 394.3401 -0.3289504 0.01630673
Ended 1280.669 216 391.5 -0.3333333 0.009002057
Candidates 1280.838 12 its is ita us irs ours puts usa ira orfs press oa
Began 1281.343 316 348 -0.1018519 -0.1028807
Stationary 1281.362 316 348 -0.1018519 -0.1028807
Stationary 1281.381 316 348 -0.1018519 -0.1028807
Stationary 1281.393 316 348 -0.1018519 -0.1028807
Stationary 1281.408 316 348 -0.1018519 -0.1028807
Stationary 1281.424 316 348 -0.1018519 -0.1028807
Moved 1281.438 303.4243 348 -0.1309622 -0.1028807
Moved 1281.454 296.5 348 -0.1469907 -0.1028807
Moved 1281.47 288.1929 348 -0.1662201 -0.1028807
Moved 1281.486 278.097 348 -0.1895904 -0.1028807
Moved 1281.5 271.4423 348 -0.2049947 -0.1028807
Moved 1281.516 264.257 348 -0.2216272 -0.1028807
Moved 1281.531 257.639 348 -0.2369468 -0.1028807
Moved 1281.546 250.8551 348 -0.2526503 -0.1028807
Moved 1281.563 246.5969 348 -0.2625071 -0.1028807
Moved 1281.58 243.9186 348 -0.268707 -0.1028807
Moved 1281.594 241.0388 348 -0.2753732 -0.1028807
Moved 1281.609 239.5766 348 -0.2787578 -0.1028807
Stationary 1281.623 239.5766 348 -0.2787578 -0.1028807
Ended 1281.639 238.6271 348 -0.2809558 -0.1028807
Accept 1281.682 1 is
Began 1282.254 201 495 -0.3680556 0.2752057
Stationary 1282.271 201 495 -0.3680556 0.2752057
Stationary 1282.286 201 495 -0.3680556 0.2752057
Stationary 1282.301 201 495 -0.3680556 0.2752057
Stationary 1282.315 201 495 -0.3680556 0.2752057
Stationary 1282.331 201 495 -0.3680556 0.2752057
Stationary 1282.347 201 495 -0.3680556 0.2752057
Stationary 1282.362 201 495 -0.3680556 0.2752057
Stationary 1282.385 201 495 -0.3680556 0.2752057
Stationary 1282.396 201 495 -0.3680556 0.2752057
Stationary 1282.409 201 495 -0.3680556 0.2752057
Moved 1282.425 189.7638 495 -0.3940654 0.2752057
Moved 1282.44 190.7935 495 -0.3916818 0.2752057
Stationary 1282.456 190.7935 495 -0.3916818 0.2752057
Moved 1282.471 190 495 -0.3935185 0.2752057
Moved 1282.486 190 503.9329 -0.3935185 0.2981813
Moved 1282.502 190 504.626 -0.3935185 0.2999638
Moved 1282.518 190 507.5096 -0.3935185 0.3073807
Moved 1282.533 196.9566 512.087 -0.3774152 0.3191537
Moved 1282.549 204.5635 515.2817 -0.3598068 0.3273707
Moved 1282.564 212.4903 519.7451 -0.3414577 0.3388505
Moved 1282.579 222.1027 524.044 -0.3192067 0.3499073
Moved 1282.594 233.1882 526.2376 -0.2935459 0.3555493
Moved 1282.609 251.7845 530.5988 -0.2504987 0.3667665
Moved 1282.627 272.4751 534.095 -0.2026039 0.3757587
Moved 1282.641 294.1224 535.4749 -0.1524945 0.3793077
Moved 1282.656 313.7677 535.9178 -0.1070192 0.3804471
Moved 1282.672 331.1415 536 -0.06680215 0.3806583
Moved 1282.686 352.565 536 -0.01721064 0.3806583
Moved 1282.702 368.8861 536 0.02056966 0.3806583
Moved 1282.717 390.0361 536 0.06952792 0.3806583
Moved 1282.733 406.3316 536 0.107249 0.3806583
Moved 1282.748 419.9846 526.236 0.1388532 0.3555451
Moved 1282.771 429.6302 527.3386 0.1611811 0.358381
Moved 1282.782 439.7012 525.8998 0.1844935 0.3546806
Moved 1282.794 447.6971 523.4606 0.2030024 0.3484067
Moved 1282.809 452.8586 522.2853 0.2149504 0.3453841
Moved 1282.825 458.2085 522 0.2273345 0.3446501
Moved 1282.841 462.4587 520.5138 0.2371728 0.3408276
Moved 1282.856 465.859 521 0.245044 0.3420781
Moved 1282.871 468.7361 521 0.2517039 0.3420781
Moved 1282.887 469.8143 520 0.2541997 0.3395061
Moved 1282.902 470.5 520 0.2557871 0.3395061
Stationary 1282.917 470.5 520 0.2557871 0.3395061
Moved 1282.933 470 520 0.2546296 0.3395061
Stationary 1282.949 470 520 0.2546296 0.3395061
Moved 1282.964 454.3888 524.8435 0.2184926 0.3519637
Moved 1282.981 437.3823 530.4044 0.1791257 0.3662665
Moved 1282.994 414.4032 536.7194 0.1259333 0.3825085
Moved 1283.01 389.7855 540.0239 0.06894787 0.3910078
Moved 1283.027 368.1776 542.9097 0.01892954 0.3984301
Moved 1283.041 351.8301 543 -0.01891186 0.3986624
Moved 1283.057 330.2495 543.9833 -0.06886681 0.4011916
Moved 1283.072 312.8857 544 -0.1090609 0.4012345
Moved 1283.087 298.3055 544 -0.1428113 0.4012345
Moved 1283.104 285.1925 544 -0.1731655 0.4012345
Moved 1283.126 265.6764 544 -0.2183417 0.4012345
Stationary 1283.138 265.6764 544 -0.2183417 0.4012345
Moved 1283.15 260.7371 544 -0.2297753 0.4012345
Moved 1283.165 255.7039 544 -0.2414263 0.4012345
Moved 1283.181 251.3711 544 -0.2514558 0.4012345
Moved 1283.194 249.3509 544 -0.2561322 0.4012345
Stationary 1283.21 249 544 -0.2569445 0.4012345
Moved 1283.229 247.5 544 -0.2604167 0.4012345
Moved 1283.244 248 544 -0.2592593 0.4012345
Stationary 1283.257 248 544 -0.2592593 0.4012345
Stationary 1283.271 248 544 -0.2592593 0.4012345
Stationary 1283.287 248 544 -0.2592593 0.4012345
Moved 1283.303 248 534.2843 -0.2592593 0.3762455
Moved 1283.318 254.6179 532.5183 -0.2439401 0.3717034
Moved 1283.334 261.076 529.462 -0.2289906 0.3638424
Moved 1283.349 269.2937 524.8531 -0.2099683 0.3519884
Moved 1283.365 276.8842 519.797 -0.1923976 0.3389839
Moved 1283.38 290.1993 512.9003 -0.1615756 0.3212456
Moved 1283.395 303.2842 508.0184 -0.1312865 0.3086893
Moved 1283.411 313.68 504.8057 -0.1072223 0.3004262
Moved 1283.427 323.782 502.9194 -0.08383786 0.2955746
Moved 1283.442 333.8248 500.05 -0.06059065 0.2881945
Moved 1283.462 342.5055 498.5824 -0.04049654 0.2844196
Moved 1283.473 348.2385 498.3523 -0.02722561 0.2838278
Moved 1283.488 354.8461 497.0308 -0.01193032 0.2804288
Moved 1283.504 360.6477 495.5881 0.001499256 0.2767183
Moved 1283.518 363.6999 494.1501 0.008564591 0.2730197
Moved 1283.534 365.292 494 0.01224995 0.2726337
Moved 1283.55 367.7327 491.5345 0.01789987 0.2662925
Moved 1283.565 369.1682 488.6637 0.02122253 0.2589086
Moved 1283.581 370.5 486 0.02430558 0.2520575
Moved 1283.595 371 479.503 0.025463 0.2353471
Moved 1283.61 371 470.0392 0.025463 0.211006
Moved 1283.629 371 459.9166 0.025463 0.1849705
Moved 1283.642 371 449.8372 0.025463 0.1590463
Moved 1283.658 371 432.8729 0.025463 0.1154136
Moved 1283.673 371 423.4526 0.025463 0.09118472
Moved 1283.688 371 419.1118 0.025463 0.08002002
Moved 1283.705 371 412.3276 0.025463 0.06257084
Moved 1283.72 371 408.1714 0.025463 0.05188129
Moved 1283.736 371 404.9011 0.025463 0.04346973
Ended 1283.751 371 405 0.025463 0.04372424
Candidates 1283.917 12 with worth work query weird quiet growth worthy word quoted retired worry
Began 1284.609 434 410 0.1712963 0.05658428
Stationary 1284.632 434 410 0.1712963 0.05658428
Stationary 1284.644 434 410 0.1712963 0.05658428
Moved 1284.659 424.8126 410 0.1500293 0.05658428
Moved 1284.675 419.128 410 0.1368704 0.05658428
Moved 1284.69 413.8919 410 0.1247497 0.05658428
Moved 1284.705 391.8625 410 0.07375579 0.05658428
Moved 1284.721 383.9741 410 0.0554956 0.05658428
Moved 1284.736 369.585 410 0.02218743 0.05658428
Moved 1284.752 345.0573 420.6285 -0.03458957 0.0839209
Moved 1284.767 338.5199 420.096 -0.0497224 0.08255138
Moved 1284.782 321.5374 423.2089 -0.08903389 0.09055785
Moved 1284.797 316.0598 425.2935 -0.1017133 0.09591934
Moved 1284.813 311.7315 427.0895 -0.1117326 0.1005387
Moved 1284.829 312 430.3661 -0.1111111 0.1089663
Ended 1284.844 312 430.3661 -0.1111111 0.1089663
Accept 1284.871 1 worth
Began 1285.307 505 326 0.3356481 -0.1594652
Stationary 1285.327 505 326 0.3356481 -0.1594652
Stationary 1285.337 505 326 0.3356481 -0.1594652
Stationary 1285.35 505 326 0.3356481 -0.1594652
Stationary 1285.369 505 326 0.3356481 -0.1594652
Stationary 1285.383 505 326 0.3356481 -0.1594652
Stationary 1285.398 505 326 0.3356481 -0.1594652
Stationary 1285.414 505 326 0.3356481 -0.1594652
Stationary 1285.429 505 326 0.3356481 -0.1594652
Stationary 1285.445 505 326 0.3356481 -0.1594652
Stationary 1285.46 505 326 0.3356481 -0.1594652
Moved 1285.476 486.9881 326 0.2939539 -0.1594652
Moved 1285.491 470.5789 326 0.2559698 -0.1594652
Moved 1285.506 455.7254 331.092 0.2215866 -0.1463683
Moved 1285.523 435.9233 340.4614 0.1757484 -0.12227
Moved 1285.538 422.484 345.5831 0.1446389 -0.109097
Moved 1285.553 391.4458 354.9857 0.07279118 -0.08491328
Moved 1285.569 369.4648 361.1427 0.02190918 -0.06907749
