are you sure you want this
are you sure you want this
FixStart
0.6 0.6
432 388.8
Began 3638.201 365 236 0.01157403 -0.3909465
Stationary 3638.219 365 236 0.01157403 -0.3909465
Stationary 3638.234 365 236 0.01157403 -0.3909465
Moved 3638.248 359.0381 236 -0.00222673 -0.3909465
Moved 3638.266 347.7484 236 -0.02836029 -0.3909465
Moved 3638.28 334.6991 236 -0.05856683 -0.3909465
Moved 3638.296 315.0911 224.1819 -0.1039559 -0.4213429
Moved 3638.311 293.7993 219.9598 -0.1532423 -0.4322021
Moved 3638.327 277.3519 214.235 -0.1913151 -0.4469264
Moved 3638.342 241.6752 207.3527 -0.2739 -0.4646279
Moved 3638.357 222.3994 201.5845 -0.3185199 -0.4794638
Moved 3638.373 204.7202 196.8369 -0.3594441 -0.4916746
Moved 3638.388 190.9412 192.3137 -0.3913399 -0.5033084
Moved 3638.405 181.2594 190.3228 -0.4137514 -0.5084291
Moved 3638.419 175.653 188.8843 -0.4267292 -0.512129
Moved 3638.434 171.407 189 -0.436558 -0.5118313
Moved 3638.449 169.3624 189 -0.4412907 -0.5118313
Moved 3638.464 167.9266 189 -0.4446143 -0.5118313
Moved 3638.48 166.5012 189 -0.4479138 -0.5118313
Moved 3638.495 166 195.6066 -0.4490741 -0.4948391
Moved 3638.51 166 201.496 -0.4490741 -0.4796915
Moved 3638.526 172.6446 214.1362 -0.4336931 -0.4471804
Moved 3638.542 181.8316 229.7054 -0.4124267 -0.4071362
Moved 3638.556 202.9809 256.5759 -0.36347 -0.3380251
Moved 3638.572 226.7891 282.7891 -0.3083585 -0.2706042
Moved 3638.588 244.4628 300.4628 -0.2674472 -0.225147
Moved 3638.603 261.1204 313.6746 -0.228888 -0.1911661
Moved 3638.618 278.9092 329.7501 -0.1877101 -0.1498196
Moved 3638.633 294.7289 342.8938 -0.1510904 -0.116014
Moved 3638.653 307.6597 352.298 -0.1211582 -0.09182627
Moved 3638.666 323.6947 363.1298 -0.08403996 -0.06396659
Moved 3638.68 335.6783 371.9239 -0.05630036 -0.04134802
Moved 3638.697 344.108 378.0864 -0.03678704 -0.02549795
Moved 3638.711 351.3179 383.8544 -0.02009739 -0.01066263
Moved 3638.727 354.8011 387.7017 -0.01203453 -0.0007674527
Moved 3638.743 357.6841 389.342 -0.005360941 0.003451712
Moved 3638.759 358.5 392 -0.003472219 0.01028803
Stationary 3638.772 358.5 392 -0.003472219 0.01028803
Moved 3638.788 358 392.3154 -0.004629641 0.01109932
Moved 3638.806 352.1233 392 -0.01823321 0.01028803
Moved 3638.82 342.9892 392 -0.03937677 0.01028803
Moved 3638.838 333.1226 383.171 -0.06221632 -0.01242037
Moved 3638.85 322.6667 377.8096 -0.08641957 -0.02621003
Moved 3638.866 311.048 372.024 -0.1133149 -0.04109057
Moved 3638.881 300.9104 367.5641 -0.1367814 -0.05256142
Moved 3638.897 289.6642 361.8081 -0.1628145 -0.06736606
Moved 3638.911 278.5788 356.045 -0.188475 -0.08218875
Moved 3638.927 267.5844 350.2922 -0.2139249 -0.09698506
Moved 3638.944 255.6434 344.3217 -0.2415663 -0.1123414
Moved 3638.958 244.1435 339.5717 -0.2681865 -0.1245584
Moved 3638.974 229.9669 333.7867 -0.3010026 -0.1394375
Ended 3638.989 229.9669 333.7867 -0.3010026 -0.1394375
Candidates 3639.172 12 are date gate fate ate faster data gates arts dates at art
Began 3639.462 431 158 0.1643519 -0.5915639
Stationary 3639.481 431 158 0.1643519 -0.5915639
Stationary 3639.496 431 158 0.1643519 -0.5915639
Stationary 3639.512 431 158 0.1643519 -0.5915639
Stationary 3639.529 431 158 0.1643519 -0.5915639
Moved 3639.545 431 184.1356 0.1643519 -0.5243425
Moved 3639.558 420.4986 222.3828 0.1400431 -0.4259701
Moved 3639.575 414.912 250.6223 0.1271112 -0.3533377
Moved 3639.59 406.7938 297.0364 0.1083189 -0.23396
Moved 3639.604 401.0941 363.3999 0.09512524 -0.06327193
Ended 3639.62 398.5 407.5 0.08912037 0.05015428
Accept 3639.651 0 are
Began 3640.023 389 181 0.06712963 -0.5324075
Stationary 3640.036 389 181 0.06712963 -0.5324075
Stationary 3640.054 389 181 0.06712963 -0.5324075
Stationary 3640.066 389 181 0.06712963 -0.5324075
Moved 3640.082 389 195.5011 0.06712963 -0.4951104
Moved 3640.098 389 213.4907 0.06712963 -0.4488408
