good jobs for those with education
good jobs for those with education
FixStart
0.6 0.6
432 388.8
Moved 1192.854 411.0977 492.4586 0.1182816 0.2686692
Moved 1192.871 397.7127 484.8404 0.08729795 0.249075
Moved 1192.885 381.8693 476.2015 0.05062342 0.2268555
Moved 1192.902 365.9322 467.5084 0.01373182 0.2044969
Moved 1192.916 352.8855 460.2697 -0.01646881 0.1858788
Moved 1192.931 339.5 454.5 -0.04745369 0.171039
Moved 1192.947 323.9166 443.5347 -0.08352633 0.142836
Moved 1192.962 310.7744 436.208 -0.113948 0.1239917
Moved 1192.977 298.5686 428.9804 -0.1422022 0.1054022
Moved 1192.993 285.8164 420.5443 -0.1717213 0.08370423
Moved 1193.009 277.2028 416.944 -0.1916603 0.07444448
Moved 1193.024 268.2834 410.4028 -0.212307 0.05762021
Moved 1193.039 258.5 405 -0.2349537 0.04372424
Moved 1193.056 252.0256 401.3504 -0.2499407 0.03433741
Moved 1193.071 245.5866 396.6899 -0.2648458 0.02235059
Moved 1193.087 238.2898 391.916 -0.2817366 0.0100719
Moved 1193.102 231.0828 387.0662 -0.2984194 -0.002401768
Moved 1193.116 226.7336 384.1557 -0.3084871 -0.009887679
Moved 1193.131 222.4172 381.1391 -0.3184786 -0.01764635
Moved 1193.147 218.0898 378.3932 -0.3284959 -0.02470895
Moved 1193.163 215.1802 376.4535 -0.335231 -0.02969789
Moved 1193.178 210.5625 374.3751 -0.34592 -0.03504357
Moved 1193.193 207.4976 372.7488 -0.3530148 -0.03922639
Moved 1193.215 199.7426 368.8713 -0.3709662 -0.04919947
Stationary 1193.226 199.7426 368.8713 -0.3709662 -0.04919947
Moved 1193.239 196.8594 367.4297 -0.3776403 -0.05290725
Moved 1193.255 192.9727 364.9818 -0.3866372 -0.05920324
Moved 1193.271 190.8096 363.9048 -0.3916444 -0.06197321
Moved 1193.287 188.4382 363.4382 -0.3971337 -0.06317335
Moved 1193.302 185.999 361.9995 -0.4027801 -0.06687376
Moved 1193.317 184.5608 362 -0.4061093 -0.06687243
Moved 1193.332 183.5 362 -0.4085648 -0.06687243
Ended 1193.348 184 362 -0.4074074 -0.06687243
Candidates 1193.498 12 of good off god odd pd opioid oops ps if goods pig
Began 1194.24 383 427 0.05324075 0.1003086
Stationary 1194.257 383 427 0.05324075 0.1003086
Stationary 1194.272 383 427 0.05324075 0.1003086
Stationary 1194.287 383 427 0.05324075 0.1003086
Moved 1194.302 358.2048 427 -0.004155486 0.1003086
Moved 1194.319 340.4344 427 -0.04529064 0.1003086
Moved 1194.334 322.1175 427 -0.0876909 0.1003086
Moved 1194.351 304.7886 418.8591 -0.1278042 0.07936995
Moved 1194.365 291.6357 416.7726 -0.1582508 0.07400348
Moved 1194.381 270.8626 412.2156 -0.2063366 0.06228298
Moved 1194.396 250.568 407.9136 -0.2533149 0.05121804
Moved 1194.411 228.8568 402.0952 -0.3035722 0.03625289
Ended 1194.43 216 398 -0.3333333 0.02572008
Accept 1194.454 1 good
Began 1195.086 281 401 -0.1828704 0.03343609
Stationary 1195.105 281 401 -0.1828704 0.03343609
