do you prefer a window seat
do you prefer a window seat
FixStart
0.6 0.6
432 388.8
Stationary 1310.738 440 216 0.1851852 -0.4423869
Stationary 1310.755 440 216 0.1851852 -0.4423869
Stationary 1310.769 440 216 0.1851852 -0.4423869
Moved 1310.784 428.9019 216 0.1594951 -0.4423869
Moved 1310.8 426.0385 216 0.1528669 -0.4423869
Moved 1310.815 424.5766 216 0.1494829 -0.4423869
Moved 1310.829 421.2633 216 0.1418132 -0.4423869
Moved 1310.846 419.046 216 0.1366805 -0.4423869
Moved 1310.861 417.58 216 0.1332871 -0.4423869
Moved 1310.876 414.301 216 0.1256967 -0.4423869
Moved 1310.892 412.7118 216 0.1220181 -0.4423869
Moved 1310.907 411.2624 216 0.1186629 -0.4423869
Moved 1310.924 410.5 216 0.1168981 -0.4423869
Moved 1310.938 409.3823 216 0.114311 -0.4423869
Moved 1310.953 409 221.4244 0.113426 -0.4284351
Moved 1310.97 409 225.2697 0.113426 -0.4185452
Moved 1310.986 409 231.4758 0.113426 -0.4025828
Moved 1311.002 409 239.1464 0.113426 -0.3828541
Moved 1311.019 409 246.1949 0.113426 -0.3647249
Moved 1311.032 415.9789 258.8513 0.1295809 -0.3321725
Moved 1311.044 419.693 269.4255 0.1381783 -0.3049757
Moved 1311.061 422 279 0.1435185 -0.2803498
Moved 1311.075 424.9005 286.5023 0.1502325 -0.2610538
Moved 1311.09 427.664 294.9919 0.1566296 -0.2392182
Moved 1311.108 429.5496 301.874 0.1609944 -0.2215176
Moved 1311.121 431.2141 311.499 0.1648476 -0.1967618
Moved 1311.137 433.6567 318.2834 0.1705016 -0.1793123
Moved 1311.152 435.1005 323.3016 0.1738438 -0.1664054
Moved 1311.168 438 330.5 0.1805556 -0.147891
Moved 1311.189 440.8786 335.131 0.187219 -0.13598
Moved 1311.2 444.132 341.2639 0.1947499 -0.120206
Moved 1311.214 446.0268 346.5402 0.1991361 -0.1066355
Moved 1311.23 447.9576 350.8729 0.2036057 -0.09549152
Moved 1311.245 450.7929 353.7929 0.2101688 -0.08798128
Moved 1311.261 452.6735 357.6735 0.214522 -0.0780002
Moved 1311.278 454.2732 361.8195 0.2182249 -0.06733663
Moved 1311.308 459.7105 367.7104 0.2308113 -0.05218514
Moved 1311.323 461.2794 370.5588 0.2344431 -0.04485919
Moved 1311.34 463.7327 373.4655 0.2401221 -0.03738309
Moved 1311.355 465.1782 376.3563 0.243468 -0.0299478
Moved 1311.369 466.6148 377.6148 0.2467936 -0.02671088
Moved 1311.385 468.0576 378 0.2501334 -0.02572024
Moved 1311.401 469.1222 379.1221 0.2525976 -0.0228341
Moved 1311.416 472.6987 380.5662 0.2608765 -0.01911988
Moved 1311.432 477.0273 382.0091 0.2708966 -0.01540879
Moved 1311.447 485.7119 382 0.2909997 -0.01543218
Moved 1311.462 492.4738 382 0.3066524 -0.01543218
Moved 1311.478 499.7266 382 0.3234412 -0.01543218
Moved 1311.493 507.7074 382 0.3419152 -0.01543218
Moved 1311.508 513.4612 382 0.3552342 -0.01543218
Moved 1311.524 520.4927 382 0.371511 -0.01543218
Moved 1311.54 528.6606 374.2679 0.3904182 -0.03531931
Moved 1311.555 535.8932 371.6427 0.4071603 -0.04207132
Moved 1311.57 543.0707 370.3859 0.4237747 -0.04530392
Moved 1311.585 550.2892 367.8843 0.4404842 -0.05173789
Moved 1311.6 557.5025 365.999 0.4571818 -0.05658687
Moved 1311.617 562.8463 363.5768 0.4695515 -0.06281684
Moved 1311.632 569.2723 360.8911 0.4844267 -0.06972474
Moved 1311.649 572.5014 359.4995 0.4919014 -0.0733038
Moved 1311.661 576.8221 357.1186 0.501903 -0.07942749
Moved 1311.677 579.7589 355.6206 0.508701 -0.08328041
Moved 1311.693 583.6563 351.5156 0.5177227 -0.09383849
Moved 1311.708 586.5366 348.4634 0.5243903 -0.1016889
Moved 1311.723 587.5 346 0.5266203 -0.1080248
Moved 1311.739 589 343.399 0.5300926 -0.1147145
Moved 1311.755 590.2399 339.2804 0.5329627 -0.1253076
Moved 1311.773 590 334.2666 0.5324074 -0.1382032
Moved 1311.788 590 329.6595 0.5324074 -0.1500527
Moved 1311.802 590 322.7694 0.5324074 -0.1677742
Moved 1311.821 581.9958 315.9974 0.5138792 -0.1851919
Moved 1311.833 576.2592 308.824 0.5006 -0.2036421
Moved 1311.848 566.7256 303.0698 0.4785316 -0.2184419
Moved 1311.864 552.8262 294.8958 0.446357 -0.2394657
Moved 1311.878 538.3106 290.5932 0.412756 -0.250532
Moved 1311.893 527.9413 289 0.3887531 -0.2546296
Moved 1311.91 514.9608 289 0.3587054 -0.2546296
Moved 1311.925 505.5322 289 0.3368802 -0.2546296
Moved 1311.94 494.2687 297.5148 0.3108073 -0.2327293
Moved 1311.955 489.7908 299.7255 0.3004416 -0.2270434
Moved 1311.97 482.9185 303.3112 0.2845335 -0.2178212
Moved 1311.986 478.3747 306.4169 0.2740155 -0.2098333
Moved 1312.001 474.0609 309.2927 0.26403 -0.2024365
