please provide your date of birth
please provide your date of birth
FixStart
0.6 0.6
432 388.8
Began 986.3639 398 327 0.08796295 -0.1568931
Stationary 986.3783 398 327 0.08796295 -0.1568931
Stationary 986.394 398 327 0.08796295 -0.1568931
Stationary 986.4086 398 327 0.08796295 -0.1568931
Stationary 986.4228 398 327 0.08796295 -0.1568931
Stationary 986.438 398 327 0.08796295 -0.1568931
Stationary 986.4541 398 327 0.08796295 -0.1568931
Stationary 986.4695 398 327 0.08796295 -0.1568931
Stationary 986.4841 398 327 0.08796295 -0.1568931
Stationary 986.5106 398 327 0.08796295 -0.1568931
Stationary 986.5211 398 327 0.08796295 -0.1568931
Stationary 986.5319 398 327 0.08796295 -0.1568931
Stationary 986.5464 398 327 0.08796295 -0.1568931
Moved 986.5629 416.4137 327 0.1305872 -0.1568931
Moved 986.5789 435.7233 336.5433 0.1752854 -0.1323474
Moved 986.5945 461.1765 337.5975 0.2342049 -0.129636
Moved 986.6096 488.6376 339.2441 0.2977722 -0.1254011
Moved 986.6247 512.1942 341 0.3523013 -0.1208849
Moved 986.6408 530.442 344.3605 0.3945417 -0.1122414
Moved 986.6558 548.5 347 0.4363426 -0.1054527
Moved 986.6714 559.4286 350.3572 0.4616403 -0.09681803
Moved 986.6875 569.7991 353.2283 0.4856461 -0.08943337
Moved 986.7014 578.9324 356.6853 0.506788 -0.08054199
Moved 986.7244 595.2154 367.7723 0.54448 -0.05202596
Stationary 986.7352 595.2154 367.7723 0.54448 -0.05202596
Moved 986.7478 604.1434 380.8986 0.5651467 -0.01826494
Moved 986.7642 612.946 395.2434 0.5855232 0.01863009
Moved 986.7792 616.184 401.0719 0.5930185 0.03362102
Moved 986.7945 621.5301 414.0602 0.6053938 0.06702713
Moved 986.8099 624.5725 424.0037 0.6124364 0.09260208
Moved 986.8254 626.7233 430.6167 0.6174151 0.1096107
Moved 986.84 628.1629 437.8146 0.6207475 0.128124
Moved 986.8557 629 444.4273 0.6226851 0.1451318
Moved 986.873 630.0401 451.2004 0.6250928 0.1625523
Moved 986.8873 630 454.4157 0.6250001 0.1708222
Moved 986.9019 630 458.8615 0.6250001 0.1822569
Moved 986.9185 630 463.1721 0.6250001 0.1933437
Moved 986.9338 630 465.4933 0.6250001 0.1993139
Moved 986.9488 630 467.865 0.6250001 0.205414
Moved 986.9642 630 469.3748 0.6250001 0.2092973
Moved 986.9787 630 472 0.6250001 0.2160493
Stationary 986.9947 630 472 0.6250001 0.2160493
Moved 987.0092 630 473.3461 0.6250001 0.2195114
Moved 987.0253 624.4642 474 0.6121856 0.2211934
Moved 987.0404 621.7681 475.2319 0.6059446 0.2243619
Moved 987.0563 620.3309 476 0.6026179 0.2263374
Moved 987.0723 618.8912 477.1088 0.5992852 0.2291891
Moved 987.0867 616.8994 477 0.5946745 0.2289094
Moved 987.1027 614.5565 477 0.5892512 0.2289094
Moved 987.1185 612.9334 477 0.585494 0.2289094
Moved 987.1339 610.9904 477 0.5809964 0.2289094
Moved 987.1475 607.1613 477 0.5721326 0.2289094
Moved 987.1647 604.2299 477 0.5653468 0.2289094
Moved 987.1811 600.5284 468.7614 0.5567787 0.2077195
Moved 987.1961 596.2123 463.2123 0.5467877 0.1934471
Moved 987.2101 591 456.5 0.5347222 0.1761831
Moved 987.2275 586.7452 448.3041 0.5248731 0.155103
Moved 987.2419 582.2593 440.7655 0.5144891 0.1357137
Moved 987.2573 577.2253 431.1444 0.5028364 0.110968
Moved 987.2721 570.326 416.5173 0.4868658 0.07334697
Moved 987.2877 564.0916 405.1831 0.4724342 0.04419519
Moved 987.3031 556.9269 391.8685 0.4558494 0.009949766
Moved 987.3199 549.7119 371.5934 0.4391479 -0.04219808
Moved 987.3348 547.3597 365.0792 0.4337031 -0.05895261
Moved 987.3505 544.0217 355.0651 0.4259761 -0.0847092
Moved 987.3666 541.136 343.5442 0.4192964 -0.1143411
Moved 987.3805 539.1379 335.8274 0.414671 -0.1341889
Moved 987.3957 536.3859 325.8505 0.4083007 -0.1598498
Moved 987.4123 535.2516 315.7615 0.4056751 -0.1857987
