learn to walk before you run
learn to walk before you run
FixStart
0.6 0.6
432 388.8
Began 392.6854 364 465 0.009259283 0.1980452
Stationary 392.7059 364 465 0.009259283 0.1980452
Stationary 392.7178 364 465 0.009259283 0.1980452
Stationary 392.7334 364 465 0.009259283 0.1980452
Stationary 392.7501 364 465 0.009259283 0.1980452
Moved 392.7639 371.8037 465 0.02732337 0.1980452
Moved 392.7805 382.9343 465 0.05308867 0.1980452
Moved 392.7967 395.2079 465 0.08149971 0.1980452
Moved 392.8111 407.4805 465 0.1099085 0.1980452
Moved 392.8271 430.7059 465 0.1636712 0.1980452
Moved 392.8426 451.4659 465 0.2117266 0.1980452
Moved 392.8586 470.5772 465 0.2559657 0.1980452
Moved 392.8731 487.2086 465 0.2944644 0.1980452
Moved 392.8889 503.7123 465 0.3326674 0.1980452
Moved 392.9037 520.4069 465 0.3713122 0.1980452
Moved 392.9197 531.4781 465 0.3969401 0.1980452
Moved 392.9344 544.6481 465 0.4274261 0.1980452
Moved 392.9525 554.3849 465 0.449965 0.1980452
Moved 392.9661 564.5206 458.4794 0.4734273 0.1812742
Moved 392.9813 571.5685 456.6863 0.4897419 0.1766622
Moved 392.9971 577.7979 456.3005 0.5041617 0.17567
Moved 393.0117 583.3472 456 0.5170073 0.174897
Moved 393.0281 587.4055 456 0.5264017 0.174897
Moved 393.0432 588.7686 456 0.5295569 0.174897
Moved 393.0582 589.9036 456 0.5321842 0.174897
Stationary 393.0738 590 456 0.5324074 0.174897
Stationary 393.0898 590 456 0.5324074 0.174897
Stationary 393.1033 590 456 0.5324074 0.174897
Stationary 393.1191 590 456 0.5324074 0.174897
Moved 393.1339 581.0228 461.7128 0.5116269 0.1895904
Moved 393.1514 571.6088 465.7717 0.4898351 0.20003
Moved 393.1658 553.0783 473.6807 0.4469406 0.2203721
Moved 393.1812 537.4395 478.634 0.4107396 0.2331119
Moved 393.1964 520.5575 483.1106 0.3716609 0.2446259
Moved 393.2124 506.9234 487.223 0.3401004 0.255203
Moved 393.2278 492.2445 489.5919 0.3061215 0.2612959
Moved 393.2433 478.1868 492.3626 0.2735807 0.2684222
Moved 393.2591 460.5 496.5 0.2326389 0.2790637
Moved 393.2743 446.8884 501.4959 0.2011305 0.2919132
Moved 393.2898 432.0404 505.9879 0.1667603 0.3034666
Moved 393.3045 418.1805 511.5278 0.134677 0.3177155
Moved 393.3193 405.3407 517.4973 0.1049553 0.333069
Moved 393.3364 393.0275 524.0958 0.07645249 0.3500407
Moved 393.3542 383.9902 528.8059 0.05553285 0.3621551
Moved 393.3652 377.095 533.924 0.03957172 0.3753189
Moved 393.3817 371.9748 538.0201 0.02771954 0.3858542
Moved 393.3976 365.0218 544.9782 0.0116244 0.4037504
Moved 393.4122 358.8625 550.1375 -0.002632986 0.4170201
Moved 393.4287 353.3075 555.6925 -0.01549199 0.4313078
Moved 393.4468 349.5 558 -0.02430553 0.4372427
Moved 393.4595 345.1952 562.8048 -0.03427048 0.4496008
Moved 393.4738 343.6735 564.3265 -0.03779292 0.4535147
Moved 393.489 341 567 -0.04398147 0.4603909
Moved 393.5049 339.2079 568.5841 -0.04812976 0.4644652
Moved 393.5201 337.8347 570.1653 -0.05130867 0.4685321
Moved 393.536 336.4421 570.5579 -0.05453224 0.4695419
Moved 393.5512 336 571.9401 -0.05555556 0.4730969
Moved 393.5657 334.6606 572 -0.05865599 0.4732509
Moved 393.5816 335 573 -0.05787035 0.4758229
Stationary 393.597 335 573 -0.05787035 0.4758229
Moved 393.6121 335 574.0647 -0.05787035 0.4785614
Moved 393.6277 334.4766 574 -0.05908196 0.478395
Stationary 393.6445 334 574 -0.06018519 0.478395
Stationary 393.66 334 574 -0.06018519 0.478395
Moved 393.6731 332.3516 574 -0.06400088 0.478395
Moved 393.6962 326.7657 574 -0.07693136 0.478395
Stationary 393.7064 326.7657 574 -0.07693136 0.478395
Moved 393.7204 320.9521 562.3425 -0.09038875 0.4484116
Moved 393.7364 312.8098 552.9254 -0.1092367 0.4241908
Moved 393.7527 301.9451 540.6882 -0.1343864 0.3927166
Moved 393.7679 293.0883 528.4363 -0.1548881 0.3612045
Moved 393.7833 281.7429 515.7143 -0.1811508 0.3284832
Moved 393.7986 273.5341 504.7121 -0.2001526 0.3001854
Moved 393.8125 264.198 494.3977 -0.2217639 0.2736565
Moved 393.8278 255.937 483.5827 -0.2408864 0.2458401
Moved 393.8434 252.2934 479.1168 -0.2493208 0.2343537
Moved 393.8596 245.5584 471.948 -0.2649111 0.2159156
Moved 393.8751 240.0056 466.0056 -0.2777648 0.2006317
Moved 393.8902 235.8687 461.8687 -0.2873409 0.1899915
Moved 393.9055 233.4877 459.4877 -0.2928525 0.1838675
Moved 393.9211 230.7197 457.8599 -0.29926 0.1796807
Moved 393.9369 229.5 456.5 -0.3020833 0.1761831
Stationary 393.9515 229.5 456.5 -0.3020833 0.1761831
Moved 393.9671 229.0858 456 -0.3030422 0.174897
Stationary 393.9829 229 456 -0.3032407 0.174897
Stationary 393.9984 229 456 -0.3032407 0.174897
Moved 394.0138 238.222 468.296 -0.2818935 0.2065226
Moved 394.0281 249.4841 480.9197 -0.2558237 0.2389909
Moved 394.0462 265.066 497.066 -0.2197546 0.2805195
Moved 394.0607 281.4821 512.2752 -0.1817545 0.3196378
Moved 394.075 291.0335 520.8301 -0.1596446 0.3416412
Moved 394.0901 318.9172 549.577 -0.09509907 0.4155785
Moved 394.1074 333.3805 565.4185 -0.06161923 0.4563232
Moved 394.1219 344.3643 579.2054 -0.03619363 0.4917834
Moved 394.1371 357.4441 595.8606 -0.005916506 0.5346208
Moved 394.1523 366.146 606.337 0.01422693 0.5615664
Moved 394.1675 373.2938 614.8673 0.03077278 0.5835064
Moved 394.1815 377.1548 619.1547 0.0397101 0.5945337
Moved 394.2017 380.0166 623.0248 0.04633467 0.6044876
Moved 394.2128 382.7809 625.7809 0.05273352 0.6115762
Moved 394.2281 382.7712 626 0.05271107 0.6121398
Moved 394.2427 383 627.1552 0.05324075 0.6151111
Stationary 394.2585 383 627.1552 0.05324075 0.6151111
Moved 394.2733 383 628.3616 0.05324075 0.6182138
Moved 394.2888 384.1591 628 0.05592396 0.6172838
Stationary 394.3059 384 628 0.0555556 0.6172838
Moved 394.32 388.4101 618.3595 0.06576419 0.5924883
Moved 394.336 396.4235 602.3903 0.08431375 0.5514152
Moved 394.3553 406.2971 582.4058 0.1071693 0.5000147
Moved 394.3667 414.9646 565.0709 0.1272328 0.4554291
Moved 394.3826 424.6433 541.5806 0.1496373 0.3950117
Moved 394.399 429.7683 525.2025 0.1615007 0.3528869
Moved 394.413 434.4355 511.6934 0.1723045 0.3181413
Moved 394.4323 439.7485 496.9417 0.1846029 0.2801996
Moved 394.449 442 481 0.1898148 0.2391974
Moved 394.4757 447.7134 458.5029 0.2030403 0.1813346
Moved 394.4912 448.7392 451.304 0.2054148 0.1628187
Moved 394.5074 450.1134 444.4329 0.2085959 0.1451462
Moved 394.5217 451.5 436 0.2118056 0.1234567
Moved 394.5375 452.3924 434.8227 0.2138714 0.1204287
Moved 394.5541 453 427.3306 0.2152778 0.1011588
Moved 394.5682 454.3009 423.0973 0.2182891 0.09027077
Moved 394.5838 454 419.9269 0.2175926 0.08211657
Moved 394.5992 455.0793 416.8415 0.2200909 0.07418075
Moved 394.614 455 414.0669 0.2199073 0.06704436
Moved 394.6297 455.8512 413.1488 0.2218778 0.06468306
Moved 394.6462 456 412.0568 0.2222222 0.06187435
Moved 394.6611 456 410.6908 0.2222222 0.05836106
Moved 394.6761 456 409.3026 0.2222222 0.05479059
Moved 394.6912 456 407.9123 0.2222222 0.05121466
Moved 394.7063 456 406.5251 0.2222222 0.04764675
Stationary 394.7216 456 406.5251 0.2222222 0.04764675
Moved 394.7379 457 404.756 0.2245371 0.04309658
Moved 394.7535 457 403.5 0.2245371 0.03986618
Moved 394.7694 457 401.6382 0.2245371 0.03507755
Moved 394.7841 457 399.9318 0.2245371 0.03068861
Moved 394.7998 458.4637 397.0726 0.2279252 0.02333492
