exercise is good for the mind
exercise is good for the mind
FixStart
0.6 0.6
432 388.8
Began 234.1805 485 366 0.2893518 -0.05658444
Stationary 234.2111 485 366 0.2893518 -0.05658444
Stationary 234.2231 485 366 0.2893518 -0.05658444
Stationary 234.2319 485 366 0.2893518 -0.05658444
Stationary 234.243 485 366 0.2893518 -0.05658444
Stationary 234.262 485 366 0.2893518 -0.05658444
Stationary 234.2763 485 366 0.2893518 -0.05658444
Stationary 234.2896 485 366 0.2893518 -0.05658444
Stationary 234.3058 485 366 0.2893518 -0.05658444
Stationary 234.3189 485 366 0.2893518 -0.05658444
Moved 234.3353 471.791 366 0.2587755 -0.05658444
Moved 234.3521 466.4552 377.0895 0.2464242 -0.02806196
Moved 234.3671 460.6643 376.3343 0.2330192 -0.0300044
Moved 234.3837 455.2109 378.8945 0.2203956 -0.02341942
Moved 234.3971 448.8398 381.4641 0.2056477 -0.01681065
Moved 234.4132 444 384 0.1944444 -0.01028807
Moved 234.4285 440 384.5 0.1851852 -0.009002057
Moved 234.443 434.7595 388.6202 0.1730544 0.001595148
Moved 234.4582 430.7245 391.1837 0.1637141 0.008188372
Moved 234.4742 425.5058 393.7471 0.1516337 0.01478168
Moved 234.4894 419.7236 397.9658 0.1382492 0.02563217
Moved 234.5068 413.3267 401.804 0.1234415 0.035504
Moved 234.5201 408.1476 405.6393 0.1114528 0.04536844
Moved 234.536 403.0031 409.4977 0.09954422 0.05529231
Moved 234.5511 397.5 412.5 0.08680551 0.06301432
Moved 234.5663 392.3748 417.8543 0.07494161 0.07678569
Moved 234.5827 386.7958 422.1531 0.06202738 0.08784235
Moved 234.5968 381.6817 427.3183 0.0501892 0.1011273
Moved 234.6128 378.1559 431.4587 0.04202763 0.1117765
Moved 234.6298 374.304 436.5946 0.03311117 0.1249861
Moved 234.6439 371.6565 441.687 0.02698263 0.1380838
Moved 234.6605 369.0832 445.3752 0.02102594 0.14757
Moved 234.6747 367 450 0.01620372 0.1594649
Moved 234.6906 365.3065 453.0806 0.01228342 0.1673882
Moved 234.718 363 460.7783 0.006944438 0.1871868
Moved 234.7296 361.5 464.5 0.003472269 0.1967592
Stationary 234.7385 361.5 464.5 0.003472269 0.1967592
Moved 234.7509 361 467.4634 0.002314846 0.204381
Moved 234.7681 359.8896 470.2209 -0.0002556542 0.2114733
Moved 234.782 360 472.7896 0 0.2180802
Moved 234.7974 360 475 0 0.2237653
Moved 234.8132 359.332 476.668 -0.001546293 0.2280554
Moved 234.8296 359 478.885 -0.002314796 0.2337577
Moved 234.8443 359 480.2238 -0.002314796 0.237201
Moved 234.8603 359 481.5 -0.002314796 0.2404835
Moved 234.8749 359 482.7918 -0.002314796 0.243806
