a picture is worth many words
a picture is worth many words
Basic
0.6 0.6
432 388.8
Began 1773.453 126 357 -0.5416667 -0.07973259
Stationary 1773.474 126 357 -0.5416667 -0.07973259
Stationary 1773.486 126 357 -0.5416667 -0.07973259
Ended 1773.502 126 357 -0.5416667 -0.07973259
Candidates 1773.546 2 a s
Began 1774.087 289 442 -0.1643519 0.1388888
Stationary 1774.104 289 442 -0.1643519 0.1388888
Moved 1774.12 299.1923 491.8417 -0.1407586 0.2670826
Ended 1774.137 318 566 -0.09722222 0.4578188
Accept 1774.194 0 a
Began 1774.566 554 508 0.4490741 0.3086419
Stationary 1774.583 554 508 0.4490741 0.3086419
Stationary 1774.596 554 508 0.4490741 0.3086419
Stationary 1774.611 554 508 0.4490741 0.3086419
Stationary 1774.628 554 508 0.4490741 0.3086419
Stationary 1774.644 554 508 0.4490741 0.3086419
Stationary 1774.66 554 508 0.4490741 0.3086419
Stationary 1774.674 554 508 0.4490741 0.3086419
Stationary 1774.689 554 508 0.4490741 0.3086419
Stationary 1774.705 554 508 0.4490741 0.3086419
Moved 1774.722 533.3403 522.7569 0.4012507 0.3465969
Moved 1774.736 514.6968 527.3213 0.3580944 0.3583365
Moved 1774.751 495.7215 531.9874 0.3141702 0.3703379
Moved 1774.768 468.6599 538.3138 0.2515275 0.3866094
Moved 1774.784 450.5458 542.6135 0.2095968 0.3976685
Moved 1774.798 435.7346 544.4665 0.1753117 0.4024343
Moved 1774.813 416.5623 546.4911 0.1309313 0.4076416
Moved 1774.828 401.1042 547 0.09514868 0.4089505
Moved 1774.844 390.609 547 0.07085412 0.4089505
Moved 1774.859 382.6849 547 0.05251139 0.4089505
Moved 1774.879 376.4832 547 0.03815562 0.4089505
Moved 1774.891 372.1183 547 0.02805163 0.4089505
Moved 1774.906 368.9676 547 0.02075821 0.4089505
Moved 1774.923 367.5465 547 0.01746883 0.4089505
Moved 1774.936 365.1078 547 0.01182348 0.4089505
Moved 1774.952 363.6728 547 0.008501808 0.4089505
Moved 1774.967 362.5 547 0.005787015 0.4089505
Moved 1774.983 361.8958 547 0.004388392 0.4089505
Stationary 1774.998 362 547 0.004629592 0.4089505
Moved 1775.014 361.1803 547 0.002732078 0.4089505
Stationary 1775.029 361 547 0.002314846 0.4089505
Stationary 1775.045 361 547 0.002314846 0.4089505
Moved 1775.06 360 547 0 0.4089505
Stationary 1775.075 360 547 0 0.4089505
Stationary 1775.09 360 547 0 0.4089505
Moved 1775.106 358.7513 547 -0.002890527 0.4089505
Stationary 1775.121 358.7513 547 -0.002890527 0.4089505
Stationary 1775.137 358.7513 547 -0.002890527 0.4089505
Moved 1775.151 357.9333 547 -0.004783919 0.4089505
Stationary 1775.168 358 547 -0.004629641 0.4089505
Stationary 1775.183 358 547 -0.004629641 0.4089505
Stationary 1775.198 358 547 -0.004629641 0.4089505
Moved 1775.213 357 547 -0.006944438 0.4089505
Stationary 1775.233 357 547 -0.006944438 0.4089505
Stationary 1775.247 357 547 -0.006944438 0.4089505
Moved 1775.267 356 547 -0.009259283 0.4089505
Stationary 1775.277 356 547 -0.009259283 0.4089505
Stationary 1775.29 356 547 -0.009259283 0.4089505
Stationary 1775.306 356 547 -0.009259283 0.4089505
Moved 1775.322 355.1306 547 -0.01127179 0.4089505
Stationary 1775.337 355 547 -0.01157408 0.4089505
Stationary 1775.352 355 547 -0.01157408 0.4089505
Stationary 1775.369 355 547 -0.01157408 0.4089505
Moved 1775.384 355 538.0083 -0.01157408 0.3858238
Moved 1775.399 353.5 540 -0.0150463 0.3909464
Moved 1775.415 354 540 -0.01388888 0.3909464
Stationary 1775.43 354 540 -0.01388888 0.3909464
Moved 1775.445 354 538.9626 -0.01388888 0.3882782
Stationary 1775.46 354 538.9626 -0.01388888 0.3882782
Stationary 1775.475 354 538.9626 -0.01388888 0.3882782
Moved 1775.492 353 539 -0.01620372 0.3883744
Stationary 1775.507 353 539 -0.01620372 0.3883744
Moved 1775.521 353 538.1391 -0.01620372 0.3861602
Moved 1775.538 353 537.5 -0.01620372 0.3845164
Moved 1775.552 351.2581 535.5162 -0.02023583 0.3794141
Moved 1775.568 347.4286 529.643 -0.02910033 0.3643081
Moved 1775.584 315.788 478.2806 -0.1023425 0.232203
Moved 1775.599 288.2557 423.0435 -0.1660747 0.09013223
Moved 1775.614 272.2236 383.3813 -0.2031861 -0.01187925
Moved 1775.63 261.29 346.5415 -0.2284954 -0.1066319
Moved 1775.646 253.7875 311.9798 -0.2458623 -0.1955253
Moved 1775.661 248.0209 289.0836 -0.2592109 -0.2544146
Moved 1775.678 248.3133 276.0734 -0.258534 -0.2878771
Moved 1775.692 246.991 262.9188 -0.261595 -0.321711
Moved 1775.708 245.5564 255.782 -0.2649157 -0.340067
Moved 1775.723 246 253.2268 -0.2638889 -0.3466389
Moved 1775.738 246 251.6671 -0.2638889 -0.3506505
Stationary 1775.754 246 252 -0.2638889 -0.3497943
Moved 1775.769 246 272.5543 -0.2638889 -0.2969283
Moved 1775.784 246 293 -0.2638889 -0.2443416
Moved 1775.8 270.155 352.0272 -0.2079746 -0.09252281
Moved 1775.816 287.6796 407.4854 -0.1674083 0.05011657
Moved 1775.831 295.9521 436.5148 -0.1482591 0.1247809
Moved 1775.846 301.293 453.9766 -0.1358959 0.1696927
Moved 1775.862 307 472.5 -0.1226852 0.2173353
Moved 1775.877 309.9441 477.8882 -0.1158701 0.231194
Moved 1775.892 312.8216 485.054 -0.1092092 0.2496244
Moved 1775.908 313.3872 488.5486 -0.1079 0.2586127
Moved 1775.923 314.9522 491.8567 -0.1042772 0.267121
Moved 1775.939 316.4392 493.4392 -0.1008351 0.2711913
Moved 1775.954 317.7617 494.8809 -0.09777392 0.2748992
Moved 1775.97 320.6317 496.3159 -0.09113038 0.2785901
Moved 1775.985 329.2935 498.5125 -0.07107988 0.2842397
Moved 1776.002 342.9423 500.1942 -0.03948544 0.2885653
Moved 1776.032 374.389 501 0.03330787 0.2906378
Moved 1776.051 391.8485 501 0.0737235 0.2906378
Moved 1776.063 411.9803 501 0.1203248 0.2906378
Moved 1776.08 429.2803 492.8132 0.160371 0.2695811
Moved 1776.093 439.2715 491.0653 0.1834988 0.2650855
Moved 1776.109 445.668 489.1107 0.1983056 0.2600582
Moved 1776.124 448.0181 487.9909 0.2037456 0.2571782
Moved 1776.14 449.4506 486.5494 0.2070617 0.2534705
Moved 1776.155 442.7742 483.3318 0.191607 0.2451949
Moved 1776.17 420.6885 477.6721 0.1404827 0.2306381
Moved 1776.185 386.4768 479 0.06128887 0.2340534
Moved 1776.201 352.2021 490.9991 -0.01805077 0.2649154
