travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Stationary 549.4594 236.9702 204 -0.2847912 -0.473251
Stationary 549.4752 236.9702 204 -0.2847912 -0.473251
Stationary 549.4904 236.9702 204 -0.2847912 -0.473251
Stationary 549.5064 236.9702 204 -0.2847912 -0.473251
Stationary 549.5215 236.9702 204 -0.2847912 -0.473251
Stationary 549.5385 236.9702 204 -0.2847912 -0.473251
Stationary 549.5538 236.9702 204 -0.2847912 -0.473251
Stationary 549.569 236.9702 204 -0.2847912 -0.473251
Stationary 549.5852 236.9702 204 -0.2847912 -0.473251
Stationary 549.5997 236.9702 204 -0.2847912 -0.473251
Stationary 549.6152 236.9702 204 -0.2847912 -0.473251
Stationary 549.6302 236.9702 204 -0.2847912 -0.473251
Stationary 549.646 236.9702 204 -0.2847912 -0.473251
Stationary 549.6614 236.9702 204 -0.2847912 -0.473251
Stationary 549.6775 236.9702 204 -0.2847912 -0.473251
Stationary 549.6922 236.9702 204 -0.2847912 -0.473251
Stationary 549.7075 236.9702 204 -0.2847912 -0.473251
Stationary 549.7222 236.9702 204 -0.2847912 -0.473251
Stationary 549.7382 237 204 -0.2847222 -0.473251
Stationary 549.754 237 204 -0.2847222 -0.473251
Stationary 549.7682 237 204 -0.2847222 -0.473251
Moved 549.7852 251.7945 204 -0.2504756 -0.473251
Moved 549.8004 260.4518 204 -0.2304356 -0.473251
Moved 549.8152 306.9462 202.7949 -0.1228097 -0.4763506
Moved 549.8328 340.0556 194.2291 -0.04616752 -0.4983819
Moved 549.8478 363.3075 187.6731 0.007656217 -0.5152441
Moved 549.8618 381.5 180.5 0.04976849 -0.5336935
Moved 549.8774 387.2488 178.1005 0.06307591 -0.539865
Moved 549.8933 405.6991 170.8433 0.105785 -0.5585307
Moved 549.9078 411.8652 167.5674 0.1200583 -0.5669563
Moved 549.9304 427.8154 160.0923 0.1569801 -0.5861824
Moved 549.942 432.1195 157.9403 0.1669433 -0.5917174
Moved 549.9543 434.3068 157.9233 0.1720065 -0.5917609
Moved 549.971 442.9842 153.5079 0.192093 -0.6031174
Moved 549.9849 446.3579 152.321 0.1999025 -0.6061702
Moved 550.001 449.2236 150.8882 0.2065362 -0.6098555
Moved 550.0161 452 149.5 0.2129629 -0.6134259
Moved 550.0334 454.3809 147 0.2184742 -0.6198559
Moved 550.0466 456.1324 145.8676 0.2225288 -0.6227687
Moved 550.0627 457.5736 145 0.2258649 -0.625
Moved 550.0812 459.0124 143.9875 0.2291954 -0.6276041
Moved 550.0935 460.4469 144 0.232516 -0.627572
Stationary 550.1085 460 144 0.2314815 -0.627572
Moved 550.123 461.5 142.5 0.2349537 -0.6314301
Moved 550.1401 461 143 0.2337964 -0.6301441
Stationary 550.1541 461 143 0.2337964 -0.6301441
Stationary 550.1686 461 143 0.2337964 -0.6301441
Moved 550.186 461 153.063 0.2337964 -0.6042619
Moved 550.2012 441.6766 174.0796 0.1890663 -0.5502069
Moved 550.2176 432.5836 188.5709 0.1680177 -0.5129349
Moved 550.2339 420.3742 210.1125 0.1397551 -0.4575296
Moved 550.249 413.232 222.3165 0.1232223 -0.4261407
Moved 550.2628 394.6222 252.5959 0.080144 -0.3482615
Moved 550.2788 372.4944 287.7732 0.02892236 -0.257785
Moved 550.2933 352.6769 321.8397 -0.01695166 -0.1701656
Moved 550.3082 347.2385 328.6422 -0.02954046 -0.1526693
Moved 550.3237 330.5529 349.7967 -0.06816462 -0.09825961
Moved 550.3402 325.6087 357.559 -0.07960951 -0.07829478
Moved 550.3558 318.5238 368.9619 -0.09600973 -0.04896635
Moved 550.3703 310.6782 377.6523 -0.1141709 -0.02661457
Moved 550.3862 308.8474 383.356 -0.1184087 -0.01194448
Moved 550.4052 302.3646 393.059 -0.1334153 0.01301177
Moved 550.4188 298.6989 397.9517 -0.1419007 0.02559595
Moved 550.4382 296.9077 402.2771 -0.1460471 0.03672089
Moved 550.4497 295.5 406.5 -0.1493056 0.04758226
Moved 550.4633 294.7583 406.2416 -0.1510224 0.04691775
Moved 550.4791 295 410.1048 -0.150463 0.05685382
Moved 550.4941 295 411.982 -0.150463 0.06168204
Moved 550.509 295 413.4208 -0.150463 0.06538273
Moved 550.5252 295 416.3831 -0.150463 0.07300184
Moved 550.5411 295 418.1923 -0.150463 0.07765491
Moved 550.5558 311.5337 420 -0.1121905 0.08230445
Moved 550.5708 330.5 420 -0.06828706 0.08230445
Moved 550.5858 344.6929 411.3228 -0.03543302 0.05998662
Moved 550.6015 402.9695 386.5579 0.09946644 -0.003709126
Moved 550.6168 420.1225 377.9414 0.1391725 -0.02587095
Moved 550.6337 457.292 356.6248 0.225213 -0.08069748
Moved 550.6479 489.9067 338.0467 0.3007099 -0.1284808
Moved 550.663 518.7065 319.5055 0.3673761 -0.176169
Moved 550.6808 537.1615 309.6823 0.410096 -0.2014347
Moved 550.6937 546.8784 303.2972 0.432589 -0.217857
Moved 550.709 561.1218 292.9147 0.4655598 -0.2445609
Moved 550.7252 571.1869 284.2684 0.4888586 -0.2667994
Moved 550.7407 576.2131 281.1335 0.5004933 -0.2748624
Moved 550.7568 587.676 271.6592 0.5270277 -0.2992304
Moved 550.7722 592.3222 266.6778 0.5377829 -0.3120428
Moved 550.787 601.1112 260.111 0.5581278 -0.3289327
Ended 550.8032 603.6472 259.7842 0.5639982 -0.3297731
Candidates 550.9119 12 travel rebel isabel excel trail ratio label tail angel rail radio wheel
Began 551.5521 459 318 0.2291666 -0.1800412
Moved 551.5735 459 332.7936 0.2291666 -0.1419919
Moved 551.5945 469.3539 391.752 0.2531341 0.009650163
Ended 551.6071 480.3005 425.3217 0.2784735 0.09599183
Accept 551.6615 0 travel
Began 552.2729 461 310 0.2337964 -0.2006174
Stationary 552.2847 461 310 0.2337964 -0.2006174
Stationary 552.2971 461 310 0.2337964 -0.2006174
Moved 552.3113 446 310 0.199074 -0.2006174
Moved 552.3278 436.9028 310 0.1780156 -0.2006174
Moved 552.3439 384.5387 310 0.05680244 -0.2006174
Moved 552.3583 356.2167 310 -0.008757611 -0.2006174
Moved 552.3735 298.29 310 -0.1428473 -0.2006174
Moved 552.39 286.0854 310 -0.1710986 -0.2006174
Moved 552.4044 273.6573 310 -0.1998674 -0.2006174
Moved 552.4207 250.0261 310 -0.2545693 -0.2006174
Moved 552.4377 243.6207 310 -0.2693966 -0.2006174
Moved 552.4517 228.6174 310 -0.3041265 -0.2006174
