exercise is good for the mind
exercise is good for the mind
FixStart
0.6 0.6
432 388.8
Began 2188.398 439 298 0.1828703 -0.2314816
Stationary 2188.417 439 298 0.1828703 -0.2314816
Stationary 2188.43 439 298 0.1828703 -0.2314816
Stationary 2188.446 439 298 0.1828703 -0.2314816
Stationary 2188.461 439 298 0.1828703 -0.2314816
Stationary 2188.477 439 298 0.1828703 -0.2314816
Stationary 2188.492 439 298 0.1828703 -0.2314816
Moved 2188.508 423.3514 313.6486 0.1466469 -0.1912332
Moved 2188.524 416.6219 325.2128 0.1310692 -0.1614898
Moved 2188.539 407.0807 339.3788 0.1089832 -0.1250544
Moved 2188.555 399.0589 349.1176 0.09041409 -0.1000064
Moved 2188.571 391.8505 358.1794 0.07372797 -0.07669904
Moved 2188.586 386.6028 364.8629 0.06158064 -0.0595092
Moved 2188.601 382.2789 371.5352 0.05157142 -0.04234769
Moved 2188.616 377.9732 377.369 0.04160464 -0.02734314
Moved 2188.631 376.3884 379.9174 0.03793617 -0.02078869
Moved 2188.647 373.2945 386.5583 0.03077427 -0.003708144
Moved 2188.662 371.7044 392.1826 0.02709349 0.01075752
Moved 2188.677 369.2651 398.9395 0.02144704 0.02813637
Moved 2188.693 367.8316 402.3369 0.01812865 0.0368745
Moved 2188.707 366.3941 406.8177 0.01480113 0.0483994
Moved 2188.725 366 410.0879 0.01388888 0.05681038
Moved 2188.739 364.8832 411.1168 0.01130362 0.0594568
Moved 2188.753 365 413.5939 0.01157403 0.06582797
Moved 2188.77 363.9703 415.0297 0.00919044 0.06952077
Moved 2188.785 364 416.4728 0.009259283 0.07323241
Moved 2188.801 364 417.5 0.009259283 0.0758744
Moved 2188.816 362.8244 418.1756 0.006537934 0.07761201
Moved 2188.831 363 419.5 0.006944438 0.08101848
Stationary 2188.847 363 419.5 0.006944438 0.08101848
Moved 2188.862 363 419 0.006944438 0.07973251
Moved 2188.877 363 420.5 0.006944438 0.08359041
Moved 2188.893 361.9009 420 0.004400313 0.08230445
Stationary 2188.908 361.9009 420 0.004400313 0.08230445
Stationary 2188.927 362 420 0.004629592 0.08230445
Stationary 2188.94 362 420 0.004629592 0.08230445
Moved 2188.954 360.5 420 0.001157423 0.08230445
Moved 2188.971 361 412.7271 0.002314846 0.0635983
Moved 2188.987 360 410.473 0 0.05780075
Moved 2189.001 360 408.0603 0 0.05159535
Moved 2189.016 360 406.5912 0 0.04781695
Moved 2189.034 359 403.3251 -0.002314796 0.03941638
Moved 2189.048 359 400.4357 -0.002314796 0.03198471
Moved 2189.063 357.5 398 -0.005787015 0.02572008
Moved 2189.078 358 395.3563 -0.004629641 0.01892051
Moved 2189.093 356.7359 391.2076 -0.007555783 0.008250067
