effort is what it will take
effort is what it will take
Basic
0.6 0.6
432 388.8
Began 658.4979 269 542 -0.2106481 0.3960905
Stationary 658.5125 269 542 -0.2106481 0.3960905
Stationary 658.5275 269 542 -0.2106481 0.3960905
Stationary 658.5432 269 542 -0.2106481 0.3960905
Stationary 658.5604 269 542 -0.2106481 0.3960905
Stationary 658.576 269 542 -0.2106481 0.3960905
Stationary 658.5892 269 542 -0.2106481 0.3960905
Moved 658.6048 281.9339 525.8793 -0.1807086 0.3546278
Moved 658.6207 287.2381 517.019 -0.1684303 0.331839
Moved 658.6369 300.0949 501.3813 -0.1386692 0.2916186
Moved 658.6519 309.1994 487.001 -0.117594 0.2546322
Moved 658.6656 318.2735 472.4171 -0.09658904 0.217122
Moved 658.6814 325.4869 462.3184 -0.07989148 0.1911479
Moved 658.6978 332.5 452.5 -0.06365741 0.165895
Moved 658.7136 337.8777 444.2139 -0.05120894 0.1445831
Moved 658.7277 340.1119 440.8322 -0.04603724 0.135885
Moved 658.743 344.5 433.5 -0.03587961 0.1170266
Moved 658.7589 346.9048 431.1429 -0.03031308 0.1109641
Moved 658.7745 349.8055 426.7918 -0.02359847 0.09977309
Moved 658.7911 351.6811 422.4784 -0.01925682 0.08867895
Moved 658.8054 353.2797 420.7203 -0.01555627 0.08415705
Moved 658.8195 354.7221 417.5558 -0.01221741 0.07601804
Moved 658.8362 355 415.2999 -0.01157408 0.07021574
Moved 658.8511 356.2342 412.5317 -0.008717229 0.06309576
Moved 658.867 357.6757 409.6486 -0.005380263 0.05568037
Moved 658.884 359.1273 406.7454 -0.00202015 0.04821349
Moved 658.8991 359.5646 404.8708 -0.001007865 0.0433919
Moved 658.9141 361.0063 402.9938 0.00232925 0.03856419
Moved 658.928 361 400.1017 0.002314846 0.03112585
Moved 658.946 362.5 399.5 0.005787015 0.02957815
Stationary 658.9589 362.5 399.5 0.005787015 0.02957815
Moved 658.9745 363 397.5612 0.006944438 0.02459141
Moved 658.9904 363.8865 397 0.008996625 0.02314815
Moved 659.0051 364 395.6709 0.009259283 0.0197296
Stationary 659.0211 364 395.6709 0.009259283 0.0197296
Moved 659.0361 366.1976 395 0.01434634 0.01800408
Stationary 659.0522 366.1976 395 0.01434634 0.01800408
Moved 659.0667 368.4566 395 0.01957546 0.01800408
Moved 659.0832 372.4959 395 0.02892583 0.01800408
Moved 659.0991 384.1434 402.3721 0.0558874 0.03696512
Moved 659.1134 398.4856 415.3885 0.08908699 0.07044356
Moved 659.1289 412.8767 426.9014 0.1223998 0.100055
Moved 659.1444 424.5756 439.5049 0.1494806 0.1324714
Moved 659.1595 438.8373 452.4536 0.1824937 0.1657757
Moved 659.1757 443.3788 457.3788 0.1930064 0.1784432
Moved 659.1904 452.7863 465.8291 0.2147833 0.2001776
Moved 659.2059 461.3082 474.3082 0.2345096 0.221986
Moved 659.2208 468.8034 483.4615 0.2518598 0.2455286
Moved 659.2361 476.3236 493.853 0.2692676 0.2722557
Moved 659.2513 483.1543 501.8724 0.2850794 0.2928817
Moved 659.2668 488.6268 507.6268 0.2977472 0.3076819
Moved 659.2822 491.5908 511.7878 0.3046084 0.3183842
Moved 659.2991 494.4084 515.4083 0.3111305 0.3276962
Moved 659.3141 496.143 518.2859 0.3151458 0.3350975
Moved 659.3291 498.5817 520.5817 0.3207909 0.3410021
Moved 659.3444 500.0175 523.035 0.3241146 0.3473123
Moved 659.3685 503 527.8951 0.3310186 0.3598123
Stationary 659.3798 503 527.8951 0.3310186 0.3598123
Moved 659.3902 503.9673 528.9673 0.3332577 0.3625703
Moved 659.4064 504 530.3937 0.3333333 0.3662388
Moved 659.4224 504 531.8353 0.3333333 0.3699465
Moved 659.4368 504 533.2739 0.3333333 0.3736468
Moved 659.4526 504 534.7184 0.3333333 0.3773622
Moved 659.468 504 536.1572 0.3333333 0.3810627
Moved 659.4838 491.0117 538.5977 0.3032678 0.3873395
Moved 659.499 484.2907 539.7849 0.2877099 0.3903932
Moved 659.5141 469.1089 542.3152 0.2525669 0.3969011
Moved 659.5289 452.609 543.5994 0.2143726 0.400204
Moved 659.5457 431.4385 544 0.1653668 0.4012345
Moved 659.5605 404.8443 544 0.1038062 0.4012345
Moved 659.5759 381.1857 544 0.04904101 0.4012345
Moved 659.592 363.5934 544 0.008317927 0.4012345
Moved 659.6069 350 544 -0.02314816 0.4012345
Moved 659.6221 341.7917 537.7917 -0.04214873 0.3852668
Moved 659.6372 331.697 535.671 -0.06551623 0.3798122
Moved 659.6525 325.9299 534.2325 -0.07886598 0.3761123
Moved 659.6678 321.3728 534 -0.08941486 0.3755144
Moved 659.6843 316.6906 533 -0.1002532 0.3729423
Moved 659.6996 312.745 531.915 -0.1093866 0.3701516
Moved 659.7141 311.5 532 -0.1122685 0.3703703
Moved 659.7299 308.6713 531.3357 -0.1188164 0.3686616
Moved 659.7454 306.8938 531 -0.122931 0.3677982
Moved 659.7606 305.4538 531 -0.1262644 0.3677982
Moved 659.7755 304.0166 531 -0.1295912 0.3677982
Moved 659.7906 302.5697 531 -0.1329406 0.3677982
Stationary 659.806 302.5697 531 -0.1329406 0.3677982
Moved 659.8219 301.6266 531 -0.1351236 0.3677982
Moved 659.8378 300.8225 531 -0.1369849 0.3677982
Stationary 659.8524 300.8225 531 -0.1369849 0.3677982
Moved 659.8677 299.626 531 -0.1397546 0.3677982
Stationary 659.8843 299.626 531 -0.1397546 0.3677982
Moved 659.9002 298.8257 531 -0.1416071 0.3677982
Stationary 659.9142 299 531 -0.1412037 0.3677982
Stationary 659.9306 299 531 -0.1412037 0.3677982
Stationary 659.9464 299 531 -0.1412037 0.3677982
Stationary 659.9607 299 531 -0.1412037 0.3677982
Moved 659.9763 315.0883 529.9853 -0.1039622 0.3651884
Moved 659.9918 326.6611 525.6271 -0.07717336 0.353979
Moved 660.007 332.4755 524.1049 -0.06371414 0.350064
Moved 660.0223 338.3507 521.3246 -0.05011405 0.3429132
Moved 660.0381 343.3262 519.2246 -0.03859669 0.3375118
Moved 660.053 346.7496 518.0835 -0.0306723 0.3345768
Moved 660.0687 349.6637 516.6682 -0.02392655 0.3309366
Moved 660.0853 352.5465 516 -0.01725346 0.329218
Moved 660.1002 354.2113 514.7887 -0.01339967 0.3261026
