that is a very odd question
that is a very odd question
Basic
0.6 0.6
432 388.8
Began 73.02171 304 482 -0.1296296 0.2417695
Stationary 73.04185 304 482 -0.1296296 0.2417695
Stationary 73.05912 304 482 -0.1296296 0.2417695
Stationary 73.07127 304 482 -0.1296296 0.2417695
Stationary 73.08707 304 482 -0.1296296 0.2417695
Moved 73.10224 325.617 465.1664 -0.07959033 0.1984731
Moved 73.11796 340.7188 451.4374 -0.04463241 0.1631621
Moved 73.13276 357 438 -0.006944438 0.1286007
Moved 73.15083 371.3341 422.6659 0.02623638 0.0891612
Moved 73.16337 385.4282 409.5146 0.05886167 0.05533575
Moved 73.17927 393.8377 399.856 0.07832796 0.03049383
Moved 73.19373 399.0338 393.9662 0.09035607 0.01534509
Moved 73.21845 402.4001 386.7998 0.09814828 -0.003086961
Stationary 73.22779 402.4001 386.7998 0.09814828 -0.003086961
Moved 73.2393 402 384.4617 0.09722222 -0.009100526
Moved 73.25568 402 383.1504 0.09722222 -0.01247327
Moved 73.27186 402 379.5012 0.09722222 -0.021859
Moved 73.28687 362.9413 375.9244 0.006808539 -0.0310587
Moved 73.30296 318.4486 375 -0.09618377 -0.03343629
Moved 73.31748 271.8921 375 -0.2039534 -0.03343629
Moved 73.33439 244.0718 385.2662 -0.2683522 -0.007031444
Moved 73.35014 221.0466 386.9969 -0.3216513 -0.002580101
Moved 73.36616 204.631 387 -0.3596505 -0.002572055
Moved 73.37989 190.2099 387 -0.3930326 -0.002572055
Moved 73.39506 178.4882 387 -0.4201662 -0.002572055
Moved 73.41056 169.9324 387 -0.4399714 -0.002572055
Moved 73.42603 164.3548 387 -0.4528824 -0.002572055
Moved 73.44111 161.1738 387 -0.4602458 -0.002572055
Moved 73.45673 158.4399 387 -0.4665743 -0.002572055
Moved 73.47089 158 388.2803 -0.4675925 0.0007207501
Moved 73.48722 158 392.8047 -0.4675925 0.01235785
Moved 73.50294 171.7763 408.8361 -0.4357029 0.05359064
Moved 73.51801 192.2232 426.3934 -0.3883722 0.09874846
Moved 73.53336 248.7357 461.8292 -0.2575562 0.1898899
Moved 73.54945 305.0213 486.4966 -0.1272655 0.2533349
Moved 73.56632 344.6455 498.046 -0.03554275 0.2830399
Moved 73.5803 362.7325 502.7465 0.006325146 0.2951298
Moved 73.59562 372.7088 506.7324 0.02941857 0.3053815
Moved 73.61079 376.9433 508.3773 0.03922065 0.3096123
Moved 73.62675 381.8768 509.6256 0.0506408 0.312823
Moved 73.64106 385.9624 510 0.06009817 0.3137859
Moved 73.65778 387.4081 511.408 0.06344457 0.3174074
Ended 73.67286 387 511 0.06250004 0.3163579
Candidates 73.79224 12 that thai hat jay hart harry kat what jar larry lat lay
Began 74.1648 405 246 0.1041667 -0.3652264
Stationary 74.18037 405 246 0.1041667 -0.3652264
Stationary 74.19602 405 246 0.1041667 -0.3652264
Stationary 74.21201 405 246 0.1041667 -0.3652264
Stationary 74.22797 405 246 0.1041667 -0.3652264
Moved 74.24226 405 272.9417 0.1041667 -0.2959319
Moved 74.2573 405 289.4991 0.1041667 -0.253346
Moved 74.27219 405 307.8584 0.1041667 -0.2061256
Moved 74.28855 405 322.4542 0.1041667 -0.168585
Moved 74.30381 412.6068 332.6068 0.1217751 -0.1424723
Moved 74.31913 412 345.1377 0.1203704 -0.1102426
Moved 74.33479 413 349.2971 0.1226852 -0.0995446
Moved 74.35023 413 355.8154 0.1226852 -0.08277947
Moved 74.36533 413 358.5818 0.1226852 -0.07566405
Moved 74.38001 413 360.8922 0.1226852 -0.06972168
Moved 74.39848 413 362.2623 0.1226852 -0.06619772
Moved 74.41312 413 363.224 0.1226852 -0.06372436
Moved 74.42713 413 364 0.1226852 -0.06172839
Moved 74.44193 413 365.038 0.1226852 -0.05905857
Ended 74.4571 413 365.038 0.1226852 -0.05905857
Accept 74.50266 0 that
Began 74.6085 535 493 0.4050927 0.2700616
Stationary 74.6272 535 493 0.4050927 0.2700616
Stationary 74.64124 535 493 0.4050927 0.2700616
Stationary 74.65815 535 493 0.4050927 0.2700616
Stationary 74.67377 535 493 0.4050927 0.2700616
Moved 74.68739 503.8727 486.0455 0.3330387 0.2521744
Moved 74.70618 469.3732 475.5933 0.2531788 0.2252915
Moved 74.72022 419.8195 464.6266 0.1384712 0.1970848
Moved 74.73582 392.9016 456.4713 0.07616112 0.1761093
Moved 74.75053 360.9913 447.7803 0.002294779 0.153756
Moved 74.76579 340.6799 442.0514 -0.04472236 0.139021
Moved 74.78004 323.5692 434.7846 -0.08433059 0.1203307
Moved 74.79847 305.4377 427.1683 -0.1263015 0.1007416
Moved 74.81272 286.2314 416.2751 -0.1707607 0.07272394
Moved 74.83152 276.6606 409.0694 -0.1929153 0.05419075
Moved 74.84492 269.9342 404.5605 -0.2084856 0.04259396
Moved 74.85792 263.3969 399.5175 -0.2236182 0.0296232
Moved 74.87318 261.5094 398.5094 -0.2279874 0.02703031
