that is a very odd question
that is a very odd question
Basic
0.6 0.6
432 388.8
Began 1015.448 384 438 0.0555556 0.1286007
Stationary 1015.466 384 438 0.0555556 0.1286007
Stationary 1015.481 384 438 0.0555556 0.1286007
Stationary 1015.497 384 438 0.0555556 0.1286007
Stationary 1015.519 384 438 0.0555556 0.1286007
Stationary 1015.529 384 438 0.0555556 0.1286007
Moved 1015.543 371.2231 438 0.02597948 0.1286007
Moved 1015.559 365.6971 438 0.01318783 0.1286007
Moved 1015.573 361.5717 438 0.003638168 0.1286007
Moved 1015.59 354.405 438 -0.01295134 0.1286007
Moved 1015.605 349.9585 447.4302 -0.02324427 0.1528554
Moved 1015.622 346.4323 446.7839 -0.03140683 0.151193
Moved 1015.634 344.7782 447 -0.03523558 0.1517489
Moved 1015.65 343 447 -0.03935183 0.1517489
Moved 1015.666 341.895 447 -0.04190977 0.1517489
Stationary 1015.68 342 447 -0.04166668 0.1517489
Stationary 1015.697 342 447 -0.04166668 0.1517489
Stationary 1015.712 342 447 -0.04166668 0.1517489
Moved 1015.727 351.6803 442.1754 -0.01925851 0.13934
Moved 1015.743 360.7867 433.1524 0.001820922 0.1161326
Moved 1015.759 372.2878 423.1232 0.02844383 0.09033748
Moved 1015.775 383.8812 412.1188 0.05528063 0.06203377
Moved 1015.789 390.698 404.3523 0.07106026 0.04205833
Moved 1015.805 403.3519 391.6481 0.1003516 0.009383017
Moved 1015.821 411.6009 383.1992 0.1194466 -0.01234769
Moved 1015.835 420.4245 373.3381 0.1398714 -0.03771064
Moved 1015.85 426.7182 365.6022 0.1544403 -0.0576075
Moved 1015.867 431.363 360.637 0.1651922 -0.0703781
Moved 1015.882 434.1288 355.3068 0.1715945 -0.08408762
Moved 1015.897 435.7615 352.477 0.1753739 -0.09136576
Moved 1015.912 437.1158 349.7685 0.1785087 -0.09833214
Moved 1015.927 437 347.4374 0.1782407 -0.1043276
Moved 1015.943 437 345.989 0.1782407 -0.1080531
Moved 1015.96 437 344.5603 0.1782407 -0.1117276
Moved 1015.974 429.0843 344 0.1599173 -0.1131688
Moved 1015.989 416.1445 344 0.1299641 -0.1131688
Moved 1016.005 395 344 0.08101851 -0.1131688
Moved 1016.023 359.3766 357.0945 -0.001442929 -0.07948949
Moved 1016.036 320.1442 363.1638 -0.09225875 -0.06387907
Moved 1016.052 297.982 367.4691 -0.1435603 -0.052806
Moved 1016.068 275.3327 370.3334 -0.1959891 -0.04543877
Moved 1016.084 253.8036 373.8393 -0.2458249 -0.03642157
Moved 1016.097 233.2909 377.1013 -0.2933082 -0.02803159
Moved 1016.112 216.1414 379.9764 -0.333006 -0.02063688
Moved 1016.128 207.4046 381.2434 -0.35323 -0.01737814
Moved 1016.144 196.5945 383.0579 -0.3782535 -0.01271118
Moved 1016.159 189.5023 385.9991 -0.3946707 -0.005146505
Moved 1016.175 184.2347 386.9413 -0.4068642 -0.002722956
Moved 1016.189 178.5327 389.7336 -0.4200632 0.004458918
Moved 1016.205 176.3694 390.8153 -0.4250707 0.007240938
Moved 1016.222 176 393.5062 -0.4259259 0.01416191
Moved 1016.236 176 396.7953 -0.4259259 0.02262155
Moved 1016.251 176 404.0209 -0.4259259 0.04120591
Moved 1016.267 192.0231 414.8604 -0.3888353 0.06908538
Moved 1016.282 208.1437 429.7864 -0.3515191 0.1074754
Moved 1016.297 228.7184 446.3747 -0.3038926 0.1501406
Moved 1016.313 255.2659 463.1962 -0.2424401 0.1934059
Moved 1016.329 278.9287 474.9667 -0.1876651 0.2236798
Moved 1016.344 294.7471 483.3984 -0.1510483 0.2453662
Moved 1016.359 324 501 -0.08333336 0.2906378
Moved 1016.375 342.326 510.6371 -0.04091193 0.3154245
Moved 1016.391 358.2415 520.6991 -0.0040707 0.3413042
Moved 1016.405 372.6252 528.3126 0.02922515 0.3608862
Moved 1016.422 384.1854 535.3659 0.05598476 0.3790274
Moved 1016.436 390.0573 539.5287 0.06957719 0.3897342
Moved 1016.451 393.7254 542.7254 0.07806797 0.3979562
Moved 1016.467 396.6371 544.3185 0.08480807 0.4020537
Moved 1016.482 399 545.5 0.09027779 0.4050925
Moved 1016.497 399.101 545 0.09051153 0.4038065
Ended 1016.512 399.101 545 0.09051153 0.4038065
Candidates 1016.603 12 that kat larry jay lat thai last hat what jar lay hart
Began 1017.005 398 356 0.08796295 -0.0823046
Stationary 1017.022 398 356 0.08796295 -0.0823046
Stationary 1017.037 398 356 0.08796295 -0.0823046
Moved 1017.052 398 373.4631 0.08796295 -0.03738905
Moved 1017.068 398 386.158 0.08796295 -0.004737642
Moved 1017.083 398 402.9367 0.08796295 0.03841737
Moved 1017.099 398 424.5291 0.08796295 0.09395324
Moved 1017.114 398 442.4373 0.08796295 0.1400136
Moved 1017.129 398 457.196 0.08796295 0.1779733
Ended 1017.143 398 457.196 0.08796295 0.1779733
Accept 1017.174 0 that
Began 1017.437 522 512 0.375 0.31893
