what goes up must come down
what goes up must come down
Basic
0.6 0.6
432 388.8
Began 1097.595 236 552 -0.287037 0.4218106
Stationary 1097.614 236 552 -0.287037 0.4218106
Stationary 1097.629 236 552 -0.287037 0.4218106
Stationary 1097.644 236 552 -0.287037 0.4218106
Stationary 1097.66 236 552 -0.287037 0.4218106
Moved 1097.676 257.7077 535.2258 -0.2367876 0.3786671
Moved 1097.691 281.4234 517.088 -0.1818903 0.3320162
Moved 1097.707 314 498 -0.1064815 0.2829217
Moved 1097.722 352.286 480.2757 -0.01785646 0.2373345
Moved 1097.738 380.1738 463.364 0.04669855 0.1938372
Moved 1097.753 397.1525 450.078 0.08600106 0.1596656
Moved 1097.768 408.9818 440.0159 0.1133838 0.1337858
Moved 1097.784 418.5906 431.7795 0.1356264 0.1126015
Moved 1097.799 424.9801 422.2748 0.150417 0.08815541
Moved 1097.815 428.2407 416.5186 0.1579645 0.0733503
Moved 1097.83 429.1394 413.5818 0.1600448 0.06579685
Moved 1097.844 429 408.3054 0.1597223 0.05222567
Moved 1097.861 422.3792 402.2708 0.1443962 0.03670473
Moved 1097.876 410.0035 394.0023 0.1157488 0.01543795
Moved 1097.891 390.4359 389.8872 0.07045338 0.00485381
Moved 1097.906 369.8956 386.8528 0.02290656 -0.0029507
Moved 1097.923 350.4759 387 -0.02204661 -0.002572055
Moved 1097.938 334.5 387 -0.05902777 -0.002572055
Moved 1097.953 306.3231 387 -0.124252 -0.002572055
Moved 1097.967 275.849 398.1072 -0.194794 0.02599591
Moved 1097.983 256.838 400.4432 -0.2388009 0.03200405
Moved 1097.998 239.1582 404.9604 -0.2797264 0.04362248
Moved 1098.014 221.234 410.4664 -0.3212176 0.05778395
Moved 1098.03 209.5773 414.9691 -0.3482006 0.06936477
Moved 1098.045 201.3363 419.3982 -0.3672771 0.08075658
Moved 1098.061 197.4094 422.4429 -0.3763671 0.08858771
Moved 1098.077 193.5 428 -0.3854167 0.1028806
Moved 1098.091 194 435.7701 -0.3842593 0.1228656
Moved 1098.107 194 445.3112 -0.3842593 0.1474053
Moved 1098.122 204.627 455.3762 -0.3596598 0.1732925
Moved 1098.138 218.7889 465.6136 -0.3268775 0.1996234
Moved 1098.153 239.8964 478.1378 -0.2780176 0.2318359
Moved 1098.169 258.5 484.5 -0.2349537 0.2481995
Moved 1098.184 283.8918 496.0014 -0.1761763 0.2777813
Moved 1098.2 303.8035 503.3584 -0.1300844 0.2967036
Moved 1098.215 317.5364 509.6146 -0.09829541 0.3127946
Moved 1098.231 331.3909 515.1564 -0.06622483 0.3270482
