want to join us for lunch
want to join us for lunch
FixStart
0.6 0.6
432 388.8
Began 3657.141 445 309 0.1967593 -0.2031893
Stationary 3657.157 445 309 0.1967593 -0.2031893
Stationary 3657.171 445 309 0.1967593 -0.2031893
Stationary 3657.188 445 309 0.1967593 -0.2031893
Stationary 3657.203 445 309 0.1967593 -0.2031893
Stationary 3657.218 445 309 0.1967593 -0.2031893
Moved 3657.235 438.6462 313.8875 0.1820515 -0.1906185
Moved 3657.249 427.3916 323.6084 0.1559991 -0.1656163
Moved 3657.265 419.6698 330.283 0.1381246 -0.1484491
Moved 3657.28 407.4357 343.5643 0.109805 -0.1142895
Moved 3657.295 394.5464 357.3929 0.07996847 -0.07872208
Moved 3657.311 382.9802 370.3973 0.05319486 -0.04527457
Moved 3657.326 373.0993 385.3511 0.03032248 -0.006813119
Moved 3657.342 363.114 397.1555 0.007208288 0.02354794
Moved 3657.357 356.5239 406.8666 -0.008046627 0.04852507
Moved 3657.373 350.7547 415.7925 -0.02140125 0.07148279
Moved 3657.388 345.0484 423.1895 -0.03461018 0.09050793
Moved 3657.403 338.2933 435.06 -0.05024692 0.121039
Moved 3657.418 333.6538 442.577 -0.06098658 0.1403728
Moved 3657.434 329.3431 449.2092 -0.07096508 0.157431
Moved 3657.448 327.0071 453.9786 -0.07637237 0.1696979
Moved 3657.465 324.1204 456.8796 -0.08305465 0.1771594
Moved 3657.482 322 459 -0.08796295 0.1826131
Moved 3657.495 321.0526 459.9473 -0.0901559 0.1850496
Moved 3657.51 319.614 461.386 -0.0934862 0.18875
Stationary 3657.526 319.614 461.386 -0.0934862 0.18875
Moved 3657.542 318.6266 462.3734 -0.09577184 0.1912896
Moved 3657.557 317.292 456.3359 -0.09886111 0.1757609
Moved 3657.572 314.7001 443.6503 -0.104861 0.1431335
Moved 3657.588 310.5 421 -0.1145833 0.08487643
Moved 3657.603 309.5904 400.0848 -0.1166889 0.03108217
Moved 3657.618 307.8589 371.3196 -0.120697 -0.04290239
Moved 3657.635 307 352.0226 -0.1226852 -0.09253443
Moved 3657.651 307 331.7224 -0.1226852 -0.144747
Moved 3657.665 307 314.88 -0.1226852 -0.1880659
Moved 3657.681 307 301.86 -0.1226852 -0.2215534
Moved 3657.696 307 291.6433 -0.1226852 -0.2478311
Moved 3657.71 317.5066 284.8067 -0.0983643 -0.2654149
Moved 3657.726 318.5941 273.9471 -0.095847 -0.293346
Moved 3657.742 321.6144 267.7712 -0.08885562 -0.3092304
Moved 3657.758 326.2437 261.7563 -0.0781396 -0.3247007
Moved 3657.774 330.5598 258.6268 -0.06814867 -0.33275
Moved 3657.789 345.483 253.1293 -0.03360411 -0.3468897
Moved 3657.804 362.8823 249.8529 0.006671945 -0.3553167
Moved 3657.819 379.4123 248.8392 0.04493574 -0.3579239
Moved 3657.834 402.6629 248 0.09875675 -0.3600824
Moved 3657.851 416.6775 246.9247 0.131198 -0.3628481
Moved 3657.866 438.5 247 0.181713 -0.3626543
Moved 3657.88 455.3835 245 0.2207951 -0.3677984
Moved 3657.896 470.0435 240.787 0.2547302 -0.3786344
Moved 3657.911 482.4873 235.4539 0.2835353 -0.3923512
Moved 3657.927 492.7023 229.1985 0.3071812 -0.4084402
Moved 3657.943 498.5784 226.2108 0.3207833 -0.4161245
Moved 3657.958 504.2957 223.3522 0.3340177 -0.423477
Moved 3657.973 508.7928 221.7357 0.3444278 -0.4276345
Moved 3657.99 509.5 222 0.3460647 -0.4269547
Moved 3658.003 509 222 0.3449074 -0.4269547
Stationary 3658.018 509 222 0.3449074 -0.4269547
Stationary 3658.034 509 222 0.3449074 -0.4269547
Moved 3658.05 496.8366 245.2209 0.3167514 -0.3672301
Moved 3658.066 488.6352 263.8208 0.2977666 -0.319391
Moved 3658.081 475.1566 293.6556 0.2665661 -0.2426553
Moved 3658.096 462.1926 325.3071 0.2365568 -0.1612473
Moved 3658.111 452.0185 358.5081 0.2130057 -0.07585368
Moved 3658.128 443.2031 382.7916 0.1925998 -0.01339602
Moved 3658.143 439 402 0.1828703 0.03600815
Moved 3658.158 432.6192 422.6781 0.1680999 0.0891926
Moved 3658.174 428.1384 437.872 0.1577278 0.1282715
Moved 3658.189 424.5499 450.8005 0.149421 0.161524
Moved 3658.205 421.6921 461.0778 0.1428058 0.1879572
Moved 3658.22 419.406 472.5642 0.1375139 0.2175004
Moved 3658.235 416.9285 481.2146 0.1317788 0.2397494
Moved 3658.251 415.5256 488.3718 0.1285316 0.2581579
Ended 3658.267 415 491 0.1273148 0.2649176
Candidates 3658.464 12 want grant rant range went wnt frame heavy entry rent teacher strange
Began 3658.88 417 306 0.1319444 -0.2109054
Stationary 3658.898 417 306 0.1319444 -0.2109054
Stationary 3658.912 417 306 0.1319444 -0.2109054
Stationary 3658.929 417 306 0.1319444 -0.2109054
Moved 3658.943 417 315.8493 0.1319444 -0.1855728
Moved 3658.96 417 333 0.1319444 -0.141461
Moved 3658.977 417 359.77 0.1319444 -0.0726082
Moved 3658.992 417 385.5926 0.1319444 -0.006191976
Moved 3659.006 424.5592 408.8622 0.1494426 0.05365795
Moved 3659.021 426.0014 434.0213 0.1527811 0.1183675
Moved 3659.037 427.3849 447.8492 0.1559836 0.153933
