do you prefer a window seat
do you prefer a window seat
FixStart
0.6 0.6
432 388.8
Began 192.0788 461 286 0.2337964 -0.2623458
Stationary 192.0964 461 286 0.2337964 -0.2623458
Stationary 192.1123 461 286 0.2337964 -0.2623458
Stationary 192.125 461 286 0.2337964 -0.2623458
Moved 192.1409 432.8501 286 0.1686345 -0.2623458
Moved 192.1571 412.3887 298.5795 0.1212701 -0.229991
Moved 192.1717 382.4927 306.4742 0.05206654 -0.2096857
Moved 192.1872 365.4342 310.3132 0.01257916 -0.1998119
Moved 192.2024 356.553 312.3215 -0.007979224 -0.1946463
Moved 192.218 347.7231 314.3108 -0.0284188 -0.1895299
Moved 192.234 341.6171 316.0957 -0.04255295 -0.1849391
Moved 192.2502 339.4569 317.5432 -0.04755353 -0.1812162
Moved 192.2646 338.0563 319.8874 -0.05079557 -0.1751868
Moved 192.2802 338 324.1588 -0.05092591 -0.1642008
Moved 192.2951 338 332.8236 -0.05092591 -0.1419147
Moved 192.318 427.5656 396.6959 0.1564019 0.02236602
Stationary 192.3284 427.5656 396.6959 0.1564019 0.02236602
Moved 192.3409 483.3521 414.5477 0.2855374 0.06828092
Moved 192.3565 519.3683 419.796 0.368908 0.08177985
Moved 192.3724 536.0233 420.7176 0.4074614 0.0841501
Moved 192.3877 546.1235 421 0.4308413 0.08487643
Moved 192.4029 552.9996 421 0.4467584 0.08487643
Moved 192.4183 558.0836 421 0.4585269 0.08487643
Moved 192.4341 563.5278 421 0.4711292 0.08487643
Moved 192.448 567.7208 421 0.4808351 0.08487643
Moved 192.4644 571.0352 421 0.4885074 0.08487643
Moved 192.4819 575.3815 421 0.4985682 0.08487643
Ended 192.4961 583 421 0.5162038 0.08487643
Candidates 192.5522 12 stop deep atp strip drop atop step dru so wo auto steep
Began 193.9542 464 316 0.2407408 -0.1851853
Stationary 193.9746 464 316 0.2407408 -0.1851853
Ended 193.9893 464 316 0.2407408 -0.1851853
NextCandidatePanel 194.0344
Began 195.9895 482 328 0.2824074 -0.1543211
Stationary 196.007 482 328 0.2824074 -0.1543211
Stationary 196.0219 482 328 0.2824074 -0.1543211
Stationary 196.0384 482 328 0.2824074 -0.1543211
Stationary 196.0538 482 328 0.2824074 -0.1543211
Ended 196.0678 482 328 0.2824074 -0.1543211
Began 196.1307 462 331 0.2361111 -0.146605
NextCandidatePanel 196.1307
Stationary 196.1468 462 331 0.2361111 -0.146605
Stationary 196.1601 462 331 0.2361111 -0.146605
Stationary 196.1752 462 331 0.2361111 -0.146605
Stationary 196.1908 462 331 0.2361111 -0.146605
Ended 196.2072 462 331 0.2361111 -0.146605
Cancel 196.2677
Began 196.9315 469 329 0.2523148 -0.151749
Stationary 196.9474 469 329 0.2523148 -0.151749
Stationary 196.9611 469 329 0.2523148 -0.151749
Stationary 196.9769 469 329 0.2523148 -0.151749
Stationary 196.9918 469 329 0.2523148 -0.151749
Moved 197.0078 447.9434 329 0.2035726 -0.151749
Moved 197.024 432.2108 322 0.1671546 -0.1697531
Moved 197.0458 404.2639 322 0.1024628 -0.1697531
Stationary 197.056 404.2639 322 0.1024628 -0.1697531
Moved 197.0694 390.6166 322 0.0708717 -0.1697531
Moved 197.0869 380.4925 322 0.04743635 -0.1697531
Moved 197.1017 374.0271 322 0.03247023 -0.1697531
Moved 197.1175 368.6107 322 0.01993219 -0.1697531
Moved 197.1341 367.4623 322 0.01727392 -0.1697531
Moved 197.1466 366.0251 322 0.01394699 -0.1697531
Moved 197.1625 365.5 322 0.01273145 -0.1697531
Moved 197.1772 366 333.9848 0.01388888 -0.138928
Moved 197.1931 372.546 340.6757 0.02904167 -0.1217188
Moved 197.2081 379.8883 347.8882 0.04603763 -0.1031681
Moved 197.2234 405.8811 360.4406 0.1062063 -0.07088335
Moved 197.2385 441.6215 373.2921 0.1889387 -0.03782916
Moved 197.2543 472.2558 381.4883 0.2598514 -0.01674817
Moved 197.2704 488.3232 384.7205 0.2970444 -0.008434876
Moved 197.285 502.5762 390.0305 0.3300374 0.00522225
Moved 197.3015 512.2029 393.401 0.3523217 0.01389138
Moved 197.3165 519.7003 396.2802 0.3696767 0.02129657
Moved 197.3339 527.3238 399.1619 0.3873236 0.02870858
Moved 197.3475 532.9433 401.9717 0.4003317 0.03593527
Moved 197.3699 543 407 0.4236111 0.04886827
Stationary 197.3814 543 407 0.4236111 0.04886827
Moved 197.3929 551.8363 410.8909 0.4440655 0.05887569
Moved 197.4096 559.0859 413.8344 0.4608469 0.06644629
Moved 197.4248 565.3074 416.723 0.4752487 0.07387581
Moved 197.4401 571.2081 418.302 0.4889076 0.07793716
Moved 197.4552 575.4944 420.7472 0.4988296 0.08422619
Moved 197.4703 579.5745 422.1915 0.5082743 0.08794113
Moved 197.4865 582 422 0.513889 0.08744851
Moved 197.5011 585.5386 423.7693 0.5220801 0.09199915
Moved 197.5168 588.4257 424 0.5287631 0.09259254
Ended 197.5345 594 426 0.5416667 0.09773654
Candidates 197.6373 12 do so sp di gao hsp ago gap du ap gdp shop
Began 198.2224 429 297 0.1597223 -0.2340535
Stationary 198.2431 429 297 0.1597223 -0.2340535
Stationary 198.2555 429 297 0.1597223 -0.2340535
Moved 198.2703 438.6293 317.6342 0.1820122 -0.1809822
Moved 198.288 447.96 345.2267 0.2036112 -0.1100135
Moved 198.3023 460.3483 379.5229 0.2322876 -0.02180319
Moved 198.3167 471.2909 411.1738 0.2576178 0.05960327
Ended 198.3323 474 419 0.2638889 0.07973251
Accept 198.3926 0 do
Began 199.0865 414 283 0.125 -0.2700618
Stationary 199.1031 414 283 0.125 -0.2700618
Stationary 199.1171 414 283 0.125 -0.2700618
Stationary 199.1342 414 283 0.125 -0.2700618
Stationary 199.1494 414 283 0.125 -0.2700618
Stationary 199.1641 414 283 0.125 -0.2700618
Moved 199.1796 414 296.6334 0.125 -0.2349964
