a picture is worth many words
a picture is worth many words
FixStart
0.6 0.6
432 388.8
Moved 160.4967 351.6415 225.4622 -0.01934841 -0.4180501
Moved 160.5118 343.2726 212.9089 -0.03872081 -0.4503372
Moved 160.5287 338.8154 204.9047 -0.04903843 -0.4709242
Moved 160.543 332.5472 195.7661 -0.06354813 -0.4944288
Moved 160.5612 326.9409 186.1465 -0.07652581 -0.5191706
Moved 160.575 323.1337 182.1338 -0.0853386 -0.5294913
Moved 160.5884 320.0207 179.0208 -0.09254461 -0.5374981
Moved 160.6046 317.3127 176.3127 -0.09881318 -0.5444631
Moved 160.6196 316.2833 176 -0.101196 -0.5452675
Moved 160.6345 314.9185 176 -0.1043554 -0.5452675
Moved 160.6502 313.9033 176 -0.1067053 -0.5452675
Stationary 160.665 314 176 -0.1064815 -0.5452675
Moved 160.6805 312.1378 176 -0.1107922 -0.5452675
Stationary 160.6961 312 176 -0.1111111 -0.5452675
Moved 160.7111 311 191.1843 -0.113426 -0.5062132
Moved 160.7271 311 202.5942 -0.113426 -0.4768667
Moved 160.7426 321.6701 224.3402 -0.08872662 -0.4209358
Moved 160.7596 331 243 -0.06712963 -0.3729424
Moved 160.7738 341.4537 270.3161 -0.04293119 -0.3026851
Moved 160.7881 349.26 290.676 -0.0248611 -0.2503189
Moved 160.8121 365.1995 319.5244 0.01203597 -0.1761206
Stationary 160.8228 365.1995 319.5244 0.01203597 -0.1761206
Moved 160.8343 380.6553 337.9312 0.04781315 -0.128778
Moved 160.8501 397 354 0.0856481 -0.08744855
Moved 160.8688 425.9964 374.5306 0.1527694 -0.03464349
Moved 160.882 437.4438 382.6107 0.179268 -0.01386156
Moved 160.8965 450.9591 394.6632 0.2105535 0.01713776
Moved 160.9119 458.933 403.5886 0.2290117 0.040094
Moved 160.9267 469.1776 412.1332 0.252726 0.06207105
Moved 160.9424 480.1261 423.1261 0.2780698 0.09034486
Moved 160.9576 487.556 428.556 0.2952685 0.1043106
Moved 160.9727 492.3744 434.4991 0.3064222 0.1195965
Moved 160.9879 496.4331 435.4777 0.3158173 0.1221133
Moved 161.0035 497.0145 437.5073 0.3171631 0.1273334
Moved 161.0227 498.8684 438.8684 0.3214546 0.1308343
Moved 161.0341 499 440.243 0.3217593 0.1343698
Stationary 161.05 499 440.243 0.3217593 0.1343698
Moved 161.0656 499 441 0.3217593 0.1363167
Moved 161.0816 499 442.3149 0.3217593 0.1396989
Moved 161.0959 492.139 445.3722 0.3058774 0.1475621
Moved 161.1119 484.1048 447.6317 0.2872796 0.1533737
Moved 161.128 464.9595 452.5101 0.2429618 0.1659211
Moved 161.1441 450.5392 452 0.2095815 0.164609
Moved 161.1584 433.7042 452 0.1706115 0.164609
Moved 161.1731 413.6192 452 0.1241185 0.164609
Moved 161.189 398.4959 452 0.08911083 0.164609
Moved 161.205 382.5439 452 0.05218496 0.164609
Moved 161.2214 368.7347 452 0.02021929 0.164609
Moved 161.2356 356.6891 452 -0.007664015 0.164609
Moved 161.2507 342.3553 452 -0.04084433 0.164609
Moved 161.2679 330.0711 452 -0.06927986 0.164609
Moved 161.2821 320.7792 452 -0.09078895 0.164609
Moved 161.2965 307.5081 452 -0.1215091 0.164609
Moved 161.3122 297.6153 452 -0.144409 0.164609
Moved 161.3278 286.8739 445 -0.1692733 0.1466049
Ended 161.3477 278.5 445 -0.1886574 0.1466049
Candidates 161.4633 12 picture opposite occur pundit doctor outdoor idiot outfit pair prudie issue offshore
Began 161.8693 411 293 0.1180555 -0.2443416
Stationary 161.8816 411 293 0.1180555 -0.2443416
Stationary 161.8966 411 293 0.1180555 -0.2443416
Stationary 161.9138 411 293 0.1180555 -0.2443416
Stationary 161.9292 411 293 0.1180555 -0.2443416
Stationary 161.9424 411 293 0.1180555 -0.2443416
Moved 161.9585 411 308.7333 0.1180555 -0.2038753
Moved 161.9744 411 325.027 0.1180555 -0.1619677
Moved 161.9895 411 335 0.1180555 -0.1363169
Moved 162.0052 411 349.7833 0.1180555 -0.09829399
Moved 162.0204 411 368.805 0.1180555 -0.04936987
Moved 162.0356 411 374.8752 0.1180555 -0.03375732
Moved 162.0511 411 384.4359 0.1180555 -0.00916689
Moved 162.0662 411 391.3906 0.1180555 0.008720664
Moved 162.0828 411 395.9365 0.1180555 0.02041271
Moved 162.0977 411 399.0118 0.1180555 0.02832236
Moved 162.1141 411 402.0803 0.1180555 0.03621462
Moved 162.129 411 403.3978 0.1180555 0.03960323
Moved 162.1439 411 404 0.1180555 0.04115226
Moved 162.1592 411 405.1333 0.1180555 0.04406701
Stationary 162.1737 411 405 0.1180555 0.04372424
Ended 162.1897 411 405 0.1180555 0.04372424
Accept 162.218 0 picture
Began 162.4798 440 301 0.1851852 -0.2237656
Stationary 162.4998 440 301 0.1851852 -0.2237656
Stationary 162.5154 440 301 0.1851852 -0.2237656
Stationary 162.5284 440 301 0.1851852 -0.2237656
Stationary 162.5483 440 301 0.1851852 -0.2237656
