this is a very good idea
this is a very good idea
FixStart
0.6 0.6
432 388.8
Began 792.4421 488 379 0.2962963 -0.02314815
Stationary 792.4634 488 379 0.2962963 -0.02314815
Stationary 792.4755 488 379 0.2962963 -0.02314815
Stationary 792.4913 488 379 0.2962963 -0.02314815
Stationary 792.5073 488 379 0.2962963 -0.02314815
Stationary 792.5225 488 379 0.2962963 -0.02314815
Stationary 792.5369 488 379 0.2962963 -0.02314815
Stationary 792.5531 488 379 0.2962963 -0.02314815
Moved 792.5687 472.2974 396.1837 0.2599476 0.02104857
Moved 792.5839 466.2531 406.3072 0.2459562 0.04708627
Moved 792.5999 459.3389 417.1019 0.229951 0.07485037
Moved 792.6152 450.6884 430.4674 0.2099269 0.1092268
Moved 792.6295 443.5898 443.3384 0.1934948 0.1423313
Moved 792.6453 437.3367 455.4613 0.1790202 0.1735115
Moved 792.6617 430.1652 466.9357 0.1624195 0.2030237
Moved 792.6758 424.9884 480.0271 0.1504362 0.2366951
Moved 792.6918 418.2373 493.5848 0.1348085 0.2715657
Moved 792.7099 413.8142 505.1622 0.1245698 0.3013431
Moved 792.7228 410.3626 513.0934 0.1165801 0.3217424
Moved 792.738 407.4789 520.3027 0.109905 0.3402846
Moved 792.7534 406.3035 524.7861 0.107184 0.3518162
Moved 792.7697 406 529.4031 0.1064815 0.3636911
Moved 792.7836 404.8201 533.7195 0.1037503 0.3747928
Moved 792.7988 405 537.033 0.1041667 0.3833153
Moved 792.8229 405 540.5561 0.1041667 0.3923767
Stationary 792.8329 405 540.5561 0.1041667 0.3923767
Moved 792.8447 405 541.9919 0.1041667 0.3960698
Moved 792.8611 405 543.4348 0.1041667 0.3997807
Moved 792.8765 405 544.5 0.1041667 0.4025204
Stationary 792.8917 405 544.5 0.1041667 0.4025204
Moved 792.9073 416.035 545 0.1297106 0.4038065
Moved 792.9227 420.2426 545 0.1394505 0.4038065
Moved 792.9384 427.3687 545 0.1559459 0.4038065
Moved 792.955 434.5052 545 0.1724657 0.4038065
Moved 792.9691 444.0291 536.9708 0.1945119 0.3831553
Moved 792.9838 454.5594 534.8602 0.2188874 0.3777266
